日期,开盘,收盘,最高,最低,涨跌幅,涨跌额,成交量,成交额,振幅,换手率
2013-02-18,1050.0,1050.0,1050.0,1050.0,5.0,50.0,112326,70759682.0,0.0,1.66
2013-02-19,1103.33,1103.33,1103.33,1103.33,5.08,53.33,124073,82057116.0,0.0,1.84
2013-02-20,1096.67,1096.67,1096.67,1096.67,-0.6,-6.66,166890,111147730.0,0.0,2.47
2013-02-21,1151.67,1151.67,1151.67,1151.67,5.02,55.0,113019,77518983.0,0.0,1.67
2013-02-22,1168.33,1168.33,1168.33,1168.33,1.45,16.66,131952,91574507.0,0.0,1.95
2013-02-25,1170.0,1170.0,1170.0,1170.0,0.14,1.67,106387,73244719.0,0.0,1.57
2013-08-19,1286.67,1286.67,1286.67,1286.67,9.97,116.67,1957,1510742.0,0.0,0.03
2013-08-20,1415.0,1415.0,1415.0,1415.0,9.97,128.33,1476,1253124.0,0.0,0.02
2013-08-21,1556.67,1556.67,1556.67,1556.67,10.01,141.67,2900,2708207.0,0.0,0.04
2013-08-22,1711.67,1711.67,1711.67,1711.67,9.96,155.0,3333,3423483.0,0.0,0.05
2013-08-23,1883.33,1883.33,1883.33,1883.33,10.03,171.66,5993,6772101.0,0.0,0.09
2013-08-26,2071.67,2071.67,2071.67,2071.67,10.0,188.34,10756,13369807.0,0.0,0.16
2013-08-27,2278.33,2278.33,2278.33,2278.33,9.98,206.66,183001,250123329.0,0.0,2.71
2013-08-28,2500.0,2500.0,2500.0,2500.0,9.73,221.67,423910,624645792.0,0.0,6.27
2013-08-29,2458.33,2458.33,2458.33,2458.33,-1.67,-41.67,242851,359074512.0,0.0,3.59
2013-08-30,2213.33,2213.33,2213.33,2213.33,-9.97,-245.0,273811,382050928.0,0.0,4.05
2013-09-02,2173.33,2173.33,2173.33,2173.33,-1.81,-40.0,157589,202155300.0,0.0,2.33
2013-09-03,2273.33,2273.33,2273.33,2273.33,4.6,100.0,153918,207580770.0,0.0,2.28
