日期,开盘,收盘,最高,最低,涨跌幅,涨跌额,成交量,成交额,振幅,换手率
2010-01-04,1018.39,1018.39,1018.39,1018.39,1.84,18.39,1310278,1798813862.0,0.0,0.27
2010-01-05,1038.11,1038.11,1038.11,1038.11,1.94,19.72,1222437,1841753328.0,0.0,0.25
2010-01-06,1035.41,1035.41,1035.41,1035.41,-0.26,-2.7,1014660,1599415716.0,0.0,0.21
2010-01-07,1019.9,1019.9,1019.9,1019.9,-1.5,-15.51,1274994,1822328727.0,0.0,0.27
2010-01-08,1036.98,1036.98,1036.98,1036.98,1.67,17.08,1022229,1502456714.0,0.0,0.21
2010-01-11,1070.14,1070.14,1070.14,1070.14,3.2,33.16,1276058,2059105743.0,0.0,0.27
2010-01-12,1087.76,1087.76,1087.76,1087.76,1.65,17.62,1120865,1899497738.0,0.0,0.23
2010-01-13,1109.33,1109.33,1109.33,1109.33,1.98,21.57,1293218,2105876163.0,0.0,0.27
2010-01-14,1147.11,1147.11,1147.11,1147.11,3.41,37.78,1586595,2307618959.0,0.0,0.33
2010-01-15,1146.04,1146.04,1146.04,1146.04,-0.09,-1.07,1213499,1927313807.0,0.0,0.25
2010-01-18,1149.11,1149.11,1149.11,1149.11,0.27,3.07,1035168,1653335678.0,0.0,0.22
2010-01-19,1152.56,1152.56,1152.56,1152.56,0.3,3.45,1091058,1791471899.0,0.0,0.23
2010-01-20,1088.88,1088.88,1088.88,1088.88,-5.53,-63.68,1327140,2021045279.0,0.0,0.28
2010-01-21,1092.06,1092.06,1092.06,1092.06,0.29,3.18,751033,1283284590.0,0.0,0.16
2010-01-22,1061.0,1061.0,1061.0,1061.0,-2.84,-31.06,959029,1519892961.0,0.0,0.2
2010-01-25,1054.01,1054.01,1054.01,1054.01,-0.66,-6.99,493016,775510230.0,0.0,0.1
2010-01-26,1019.49,1019.49,1019.49,1019.49,-3.28,-34.52,696584,1206769306.0,0.0,0.15
2010-01-27,1017.19,1017.19,1017.19,1017.19,-0.23,-2.3,566327,1043859551.0,0.0,0.12
2010-01-28,1030.54,1030.54,1030.54,1030.54,1.31,13.35,481166,818293381.0,0.0,0.1
2010-01-29,1037.78,1037.78,1037.78,1037.78,0.7,7.24,611840,988684556.0,0.0,0.13
2010-02-01,1030.9,1030.9,1030.9,1030.9,-0.66,-6.88,590935,920916216.0,0.0,0.12
2010-02-02,1034.15,1034.15,1034.15,1034.15,0.32,3.25,528956,824462036.0,0.0,0.11
2010-02-03,1041.67,1041.67,1041.67,1041.67,0.73,7.52,776825,1037639395.0,0.0,0.16
2010-02-04,1048.24,1048.24,1048.24,1048.24,0.63,6.57,1015758,1351109851.0,0.0,0.21
2010-02-05,1021.25,1021.25,1021.25,1021.25,-2.57,-26.99,720879,1065537499.0,0.0,0.15
2010-02-08,1020.56,1020.56,1020.56,1020.56,-0.07,-0.69,498875,647461816.0,0.0,0.1
2010-02-09,1017.59,1017.59,1017.59,1017.59,-0.29,-2.97,356520,537004057.0,0.0,0.07
2010-02-10,1043.95,1043.95,1043.95,1043.95,2.59,26.36,411678,721482361.0,0.0,0.09
2010-02-11,1041.17,1041.17,1041.17,1041.17,-0.27,-2.78,462379,655858285.0,0.0,0.1
2010-02-12,1064.14,1064.14,1064.14,1064.14,2.21,22.97,363766,661095949.0,0.0,0.08
2010-02-22,1058.53,1058.53,1058.53,1058.53,-0.53,-5.61,366457,566291913.0,0.0,0.08
2010-02-23,1071.31,1071.31,1071.31,1071.31,1.21,12.78,633997,814585542.0,0.0,0.13
2010-02-24,1095.59,1095.59,1095.59,1095.59,2.27,24.28,579370,785686189.0,0.0,0.12
2010-02-25,1116.26,1116.26,1116.26,1116.26,1.89,20.67,721830,1143885907.0,0.0,0.15
2010-02-26,1112.88,1112.88,1112.88,1112.88,-0.3,-3.38,583903,879075137.0,0.0,0.12
2010-03-01,1127.53,1127.53,1127.53,1127.53,1.32,14.65,1014067,1284179302.0,0.0,0.21
2010-03-02,1127.51,1127.51,1127.51,1127.51,0.0,-0.02,1234526,1558709387.0,0.0,0.26
2010-03-03,1128.31,1128.31,1128.31,1128.31,0.07,0.8,841689,1169162850.0,0.0,0.18
2010-03-04,1095.16,1095.16,1095.16,1095.16,-2.94,-33.15,1026733,2121053653.0,0.0,0.21
2010-03-05,1099.23,1099.23,1099.23,1099.23,0.37,4.07,811383,1505057670.0,0.0,0.17
2010-03-08,1118.19,1118.19,1118.19,1118.19,1.72,18.96,687651,1433941555.0,0.0,0.14
2010-03-09,1123.54,1123.54,1123.54,1123.54,0.48,5.35,643901,1199379433.0,0.0,0.13
2010-03-10,1121.37,1121.37,1121.37,1121.37,-0.19,-2.17,819524,1395460269.0,0.0,0.17
2010-03-11,1132.02,1132.02,1132.02,1132.02,0.95,10.65,687894,1660282818.0,0.0,0.14
2010-03-12,1112.7,1112.7,1112.7,1112.7,-1.71,-19.32,691367,1784523461.0,0.0,0.14
2010-03-15,1114.07,1114.07,1114.07,1114.07,0.12,1.37,528896,1207014977.0,0.0,0.11
2010-03-16,1109.47,1109.47,1109.47,1109.47,-0.41,-4.6,435434,1081560853.0,0.0,0.09
2010-03-17,1144.65,1144.65,1144.65,1144.65,3.17,35.18,983484,1748780793.0,0.0,0.21
2010-03-18,1144.6,1144.6,1144.6,1144.6,0.0,-0.05,976113,1871200841.0,0.0,0.2
2010-03-19,1148.81,1148.81,1148.81,1148.81,0.37,4.21,872691,1554959595.0,0.0,0.18
2010-03-22,1164.82,1164.82,1164.82,1164.82,1.39,16.01,1165025,1799064135.0,0.0,0.24
2010-03-23,1161.2,1161.2,1161.2,1161.2,-0.31,-3.62,760086,1411997116.0,0.0,0.16
2010-03-24,1176.85,1176.85,1176.85,1176.85,1.35,15.65,694095,1608482932.0,0.0,0.14
2010-03-25,1183.23,1183.23,1183.23,1183.23,0.54,6.38,771295,1855814929.0,0.0,0.16
2010-03-26,1181.16,1181.16,1181.16,1181.16,-0.17,-2.07,628917,1306667804.0,0.0,0.13
2010-03-29,1171.84,1171.84,1171.84,1171.84,-0.79,-9.32,701000,1390017849.0,0.0,0.15
2010-03-30,1184.78,1184.78,1184.78,1184.78,1.1,12.94,601428,1221285372.0,0.0,0.13
2010-03-31,1215.46,1215.46,1215.46,1215.46,2.59,30.68,942000,1980318562.0,0.0,0.2
2010-04-01,1229.82,1229.82,1229.82,1229.82,1.18,14.36,1136050,2193494744.0,0.0,0.24
2010-04-02,1238.91,1238.91,1238.91,1238.91,0.74,9.09,1828324,2524540252.0,0.0,0.38
2010-04-06,1241.56,1241.56,1241.56,1241.56,0.21,2.65,1017740,1786876019.0,0.0,0.21
2010-04-07,1255.0,1255.0,1255.0,1255.0,1.08,13.44,1124994,1959899925.0,0.0,0.23
2010-04-08,1256.85,1256.85,1256.85,1256.85,0.15,1.85,856770,1801453508.0,0.0,0.18
2010-04-09,1300.04,1300.04,1300.04,1300.04,3.44,43.19,1386118,2017142024.0,0.0,0.29
2010-04-12,1313.54,1313.54,1313.54,1313.54,1.04,13.5,1445024,2763481613.0,0.0,0.3
2010-04-13,1256.69,1256.69,1256.69,1256.69,-4.33,-56.85,1418336,2790918380.0,0.0,0.3
2010-04-14,1262.85,1262.85,1262.85,1262.85,0.49,6.16,730951,1488024306.0,0.0,0.15
2010-04-15,1228.23,1228.23,1228.23,1228.23,-2.74,-34.62,808094,1593166572.0,0.0,0.17
2010-04-16,1240.49,1240.49,1240.49,1240.49,1.0,12.26,1151280,1744081940.0,0.0,0.24
2010-04-19,1211.67,1211.67,1211.67,1211.67,-2.32,-28.82,1427604,2329316472.0,0.0,0.3
2010-04-20,1229.1,1229.1,1229.1,1229.1,1.44,17.43,1897441,3073836164.0,0.0,0.4
2010-04-21,1273.09,1273.09,1273.09,1273.09,3.58,43.99,2068506,3424956587.0,0.0,0.43
2010-04-22,1278.23,1278.23,1278.23,1278.23,0.4,5.14,1365614,2339883465.0,0.0,0.28
2010-04-23,1268.1,1268.1,1268.1,1268.1,-0.79,-10.13,1521216,2558786388.0,0.0,0.32
2010-04-26,1264.85,1264.85,1264.85,1264.85,-0.26,-3.25,957840,1759440476.0,0.0,0.2
2010-04-27,1228.6,1228.6,1228.6,1228.6,-2.87,-36.25,901322,1849673969.0,0.0,0.19
2010-04-28,1193.19,1193.19,1193.19,1193.19,-2.88,-35.41,1038871,2147721752.0,0.0,0.22
2010-04-29,1149.32,1149.32,1149.32,1149.32,-3.68,-43.87,929529,1823884231.0,0.0,0.19
2010-04-30,1110.55,1110.55,1110.55,1110.55,-3.37,-38.77,858042,1650462215.0,0.0,0.18
2010-05-04,1110.91,1110.91,1110.91,1110.91,0.03,0.36,522306,1126092458.0,0.0,0.11
2010-05-05,1141.62,1141.62,1141.62,1141.62,2.76,30.71,649328,1338409025.0,0.0,0.14
2010-05-06,1096.63,1096.63,1096.63,1096.63,-3.94,-44.99,716764,1265479653.0,0.0,0.15
2010-05-07,1056.62,1056.62,1056.62,1056.62,-3.65,-40.01,706602,1423261018.0,0.0,0.15
2010-05-10,1026.54,1026.54,1026.54,1026.54,-2.85,-30.08,622573,1151781732.0,0.0,0.13
2010-05-11,1001.08,1001.08,1001.08,1001.08,-2.48,-25.46,587888,1074205058.0,0.0,0.12
2010-05-12,979.8,979.8,979.8,979.8,-2.13,-21.28,557433,1009554575.0,0.0,0.12
2010-05-13,1003.46,1003.46,1003.46,1003.46,2.41,23.66,527963,869124180.0,0.0,0.11
2010-05-14,1024.23,1024.23,1024.23,1024.23,2.07,20.77,689998,1186798683.0,0.0,0.14
2010-05-17,956.31,956.31,956.31,956.31,-6.63,-67.92,680986,1138814047.0,0.0,0.14
2010-05-18,958.91,958.91,958.91,958.91,0.27,2.6,654846,1077680933.0,0.0,0.14
2010-05-19,981.49,981.49,981.49,981.49,2.35,22.58,737384,1733322982.0,0.0,0.15
2010-05-20,958.61,958.61,958.61,958.61,-2.33,-22.88,696916,1482365519.0,0.0,0.15
2010-05-21,990.07,990.07,990.07,990.07,3.28,31.46,698309,1605356299.0,0.0,0.15
2010-05-24,1038.57,1038.57,1038.57,1038.57,4.9,48.5,965606,2027559281.0,0.0,0.2
2010-05-25,1040.37,1040.37,1040.37,1040.37,0.17,1.8,1111753,1957812610.0,0.0,0.23
2010-05-26,1035.76,1035.76,1035.76,1035.76,-0.44,-4.61,727767,1596835805.0,0.0,0.15
2010-05-27,1055.97,1055.97,1055.97,1055.97,1.95,20.21,865932,1865446212.0,0.0,0.18
2010-05-28,1058.16,1058.16,1058.16,1058.16,0.21,2.19,913022,1879317336.0,0.0,0.19
2010-05-31,1024.4,1024.4,1024.4,1024.4,-3.19,-33.76,795232,1554893932.0,0.0,0.17
2010-06-01,999.03,999.03,999.03,999.03,-2.48,-25.37,744529,1507499871.0,0.0,0.16
2010-06-02,1023.2,1023.2,1023.2,1023.2,2.42,24.17,1018011,1609601755.0,0.0,0.21
2010-06-03,1021.5,1021.5,1021.5,1021.5,-0.17,-1.7,1207456,2252019514.0,0.0,0.25
2010-06-04,1041.84,1041.84,1041.84,1041.84,1.99,20.34,849965,1493873217.0,0.0,0.18
2010-06-07,1065.77,1065.77,1065.77,1065.77,2.3,23.93,1038755,1999021958.0,0.0,0.22
2010-06-08,1070.79,1070.79,1070.79,1070.79,0.47,5.02,1036581,1896111386.0,0.0,0.22
2010-06-09,1082.4,1082.4,1082.4,1082.4,1.08,11.61,956176,1950569611.0,0.0,0.2
2010-06-10,1100.1,1100.1,1100.1,1100.1,1.64,17.7,891231,1733867859.0,0.0,0.19
2010-06-11,1096.61,1096.61,1096.61,1096.61,-0.32,-3.49,887412,2179189174.0,0.0,0.19
2010-06-17,1064.37,1064.37,1064.37,1064.37,-2.94,-32.24,546385,1616923634.0,0.0,0.11
2010-06-18,1016.25,1016.25,1016.25,1016.25,-4.52,-48.12,684992,1372947091.0,0.0,0.14
2010-06-21,1048.02,1048.02,1048.02,1048.02,3.13,31.77,607639,1239974217.0,0.0,0.13
2010-06-22,1047.39,1047.39,1047.39,1047.39,-0.06,-0.63,565581,1203090251.0,0.0,0.12
2010-06-23,1055.13,1055.13,1055.13,1055.13,0.74,7.74,571066,1176189715.0,0.0,0.12
2010-06-24,1056.22,1056.22,1056.22,1056.22,0.1,1.09,582308,1211858865.0,0.0,0.12
2010-06-25,1022.31,1022.31,1022.31,1022.31,-3.21,-33.91,493010,1149901243.0,0.0,0.1
2010-06-28,1002.26,1002.26,1002.26,1002.26,-1.96,-20.05,394837,947556748.0,0.0,0.08
2010-06-29,945.29,945.29,945.29,945.29,-5.68,-56.97,665726,1356144480.0,0.0,0.14
2010-06-30,937.32,937.32,937.32,937.32,-0.84,-7.97,451548,918607702.0,0.0,0.09
2010-07-01,924.91,924.91,924.91,924.91,-1.32,-12.41,374339,742292131.0,0.0,0.08
2010-07-02,912.39,912.39,912.39,912.39,-1.35,-12.52,528527,1158533602.0,0.0,0.11
2010-07-05,911.78,911.78,911.78,911.78,-0.07,-0.61,580133,865816958.0,0.0,0.12
2010-07-06,934.86,934.86,934.86,934.86,2.53,23.08,688965,1118746757.0,0.0,0.14
