日期,开盘,收盘,最高,最低,涨跌幅,涨跌额,成交量,成交额,振幅,换手率
2010-01-04,997.86,997.86,997.86,997.86,-0.21,-2.14,1834173,1860025487.0,0.0,0.15
2010-01-05,996.25,996.25,996.25,996.25,-0.16,-1.61,2104129,1980406229.0,0.0,0.17
2010-01-06,997.57,997.57,997.57,997.57,0.13,1.32,2363436,2331108448.0,0.0,0.19
2010-01-07,971.24,971.24,971.24,971.24,-2.64,-26.33,2305845,2141629176.0,0.0,0.19
2010-01-08,978.43,978.43,978.43,978.43,0.74,7.19,1443534,1368138267.0,0.0,0.12
2010-01-11,981.95,981.95,981.95,981.95,0.36,3.52,2175465,1982328361.0,0.0,0.18
2010-01-12,1006.23,1006.23,1006.23,1006.23,2.47,24.28,2184902,2029589735.0,0.0,0.18
2010-01-13,997.44,997.44,997.44,997.44,-0.87,-8.79,2682997,2643599072.0,0.0,0.22
2010-01-14,1015.83,1015.83,1015.83,1015.83,1.84,18.39,2102442,2171472765.0,0.0,0.17
2010-01-15,1022.21,1022.21,1022.21,1022.21,0.63,6.38,1721355,1712871717.0,0.0,0.14
2010-01-18,1042.56,1042.56,1042.56,1042.56,1.99,20.35,2668854,2674998653.0,0.0,0.22
2010-01-19,1040.08,1040.08,1040.08,1040.08,-0.24,-2.48,2142533,2172410970.0,0.0,0.17
2010-01-20,1004.97,1004.97,1004.97,1004.97,-3.38,-35.11,3160960,2968494265.0,0.0,0.26
2010-01-21,1013.97,1013.97,1013.97,1013.97,0.9,9.0,1640471,1557563097.0,0.0,0.13
2010-01-22,996.45,996.45,996.45,996.45,-1.73,-17.52,3703123,3050468744.0,0.0,0.3
2010-01-25,978.93,978.93,978.93,978.93,-1.76,-17.52,1463817,1285770333.0,0.0,0.12
2010-01-26,942.33,942.33,942.33,942.33,-3.74,-36.6,1738445,1491501205.0,0.0,0.14
2010-01-27,932.58,932.58,932.58,932.58,-1.03,-9.75,1170102,1014104033.0,0.0,0.1
2010-01-28,941.58,941.58,941.58,941.58,0.97,9.0,1050516,913381870.0,0.0,0.09
2010-01-29,939.97,939.97,939.97,939.97,-0.17,-1.61,1061513,929689186.0,0.0,0.09
2010-02-01,920.45,920.45,920.45,920.45,-2.08,-19.52,1305693,1129640405.0,0.0,0.11
2010-02-02,915.25,915.25,915.25,915.25,-0.56,-5.2,1027199,887645067.0,0.0,0.08
2010-02-03,941.65,941.65,941.65,941.65,2.88,26.4,1708084,1503333131.0,0.0,0.14
2010-02-04,946.27,946.27,946.27,946.27,0.49,4.62,1365180,1326574935.0,0.0,0.11
2010-02-05,938.68,938.68,938.68,938.68,-0.8,-7.59,1480245,1347507770.0,0.0,0.12
2010-02-08,931.73,931.73,931.73,931.73,-0.74,-6.95,730126,670432966.0,0.0,0.06
2010-02-09,936.38,936.38,936.38,936.38,0.5,4.65,905268,799125634.0,0.0,0.07
2010-02-10,941.07,941.07,941.07,941.07,0.5,4.69,784392,671345575.0,0.0,0.06
2010-02-11,934.35,934.35,934.35,934.35,-0.71,-6.72,759858,724571375.0,0.0,0.06
2010-02-12,943.88,943.88,943.88,943.88,1.02,9.53,842141,769488158.0,0.0,0.07
2010-02-22,953.11,953.11,953.11,953.11,0.98,9.23,1208182,1134103134.0,0.0,0.1
2010-02-23,959.92,959.92,959.92,959.92,0.71,6.81,1255901,1181135990.0,0.0,0.1
2010-02-24,979.42,979.42,979.42,979.42,2.03,19.5,2269393,2026472511.0,0.0,0.18
2010-02-25,998.27,998.27,998.27,998.27,1.92,18.85,2112507,2057358459.0,0.0,0.17
2010-02-26,999.66,999.66,999.66,999.66,0.14,1.39,1792026,1763958018.0,0.0,0.15
2010-03-01,1022.22,1022.22,1022.22,1022.22,2.26,22.56,2173649,2026951943.0,0.0,0.18
2010-03-02,1025.43,1025.43,1025.43,1025.43,0.31,3.21,2062265,2182107924.0,0.0,0.17
2010-03-03,1034.45,1034.45,1034.45,1034.45,0.88,9.02,2141328,2371115495.0,0.0,0.17
2010-03-04,1012.19,1012.19,1012.19,1012.19,-2.15,-22.26,2858519,3027667770.0,0.0,0.23
2010-03-05,1015.05,1015.05,1015.05,1015.05,0.28,2.86,1844834,1861663029.0,0.0,0.15
2010-03-08,1032.94,1032.94,1032.94,1032.94,1.76,17.89,2141610,2245242955.0,0.0,0.17
2010-03-09,1031.13,1031.13,1031.13,1031.13,-0.18,-1.81,1802193,1938246716.0,0.0,0.15
2010-03-10,1019.38,1019.38,1019.38,1019.38,-1.14,-11.75,1407450,1459536512.0,0.0,0.11
2010-03-11,1018.16,1018.16,1018.16,1018.16,-0.12,-1.22,1365609,1396621358.0,0.0,0.11
2010-03-12,1005.89,1005.89,1005.89,1005.89,-1.21,-12.27,1361913,1508069543.0,0.0,0.11
2010-03-15,998.32,998.32,998.32,998.32,-0.75,-7.57,1136766,1100157075.0,0.0,0.09
2010-03-16,1010.58,1010.58,1010.58,1010.58,1.23,12.26,994341,1058380648.0,0.0,0.08
2010-03-17,1034.22,1034.22,1034.22,1034.22,2.34,23.64,1672160,1786505902.0,0.0,0.14
