日期,开盘,收盘,最高,最低,涨跌幅,涨跌额,成交量,成交额,振幅,换手率
2010-01-04,1003.85,1003.85,1003.85,1003.85,0.39,3.85,273457,241104832.0,0.0,0.64
2010-01-05,1006.26,1006.26,1006.26,1006.26,0.24,2.41,340874,292323998.0,0.0,0.8
2010-01-06,1002.6,1002.6,1002.6,1002.6,-0.36,-3.66,319156,270633433.0,0.0,0.75
2010-01-07,977.44,977.44,977.44,977.44,-2.51,-25.16,424673,351932325.0,0.0,1.0
2010-01-08,976.55,976.55,976.55,976.55,-0.09,-0.89,270303,222933410.0,0.0,0.64
2010-01-11,988.16,988.16,988.16,988.16,1.19,11.61,362941,290484496.0,0.0,0.86
2010-01-12,1039.89,1039.89,1039.89,1039.89,5.23,51.73,855783,735018020.0,0.0,2.02
2010-01-13,1026.4,1026.4,1026.4,1026.4,-1.3,-13.49,515243,463450834.0,0.0,1.21
2010-01-14,1046.69,1046.69,1046.69,1046.69,1.98,20.29,488148,427407137.0,0.0,1.15
2010-01-15,1049.04,1049.04,1049.04,1049.04,0.22,2.35,433098,394926455.0,0.0,1.02
2010-01-18,1055.47,1055.47,1055.47,1055.47,0.61,6.43,480671,426819732.0,0.0,1.13
2010-01-19,1028.41,1028.41,1028.41,1028.41,-2.56,-27.06,482735,468092202.0,0.0,1.14
2010-01-20,979.32,979.32,979.32,979.32,-4.77,-49.09,530879,473358112.0,0.0,1.25
2010-01-21,989.57,989.57,989.57,989.57,1.05,10.25,279628,244846535.0,0.0,0.66
2010-01-22,963.36,963.36,963.36,963.36,-2.65,-26.21,375906,323482799.0,0.0,0.89
2010-01-25,951.55,951.55,951.55,951.55,-1.23,-11.81,199392,164560184.0,0.0,0.47
2010-01-26,922.1,922.1,922.1,922.1,-3.09,-29.45,272469,217105855.0,0.0,0.64
2010-01-27,914.85,914.85,914.85,914.85,-0.79,-7.25,235939,183728563.0,0.0,0.56
2010-01-28,924.24,924.24,924.24,924.24,1.03,9.39,194748,162330170.0,0.0,0.46
2010-01-29,923.94,923.94,923.94,923.94,-0.03,-0.3,208571,173418255.0,0.0,0.49
2010-02-01,897.89,897.89,897.89,897.89,-2.82,-26.05,251113,189147882.0,0.0,0.59
2010-02-02,895.11,895.11,895.11,895.11,-0.31,-2.78,189977,152781773.0,0.0,0.45
2010-02-03,911.16,911.16,911.16,911.16,1.79,16.05,220666,168966502.0,0.0,0.52
2010-02-04,919.62,919.62,919.62,919.62,0.93,8.46,243779,187398565.0,0.0,0.57
2010-02-05,898.86,898.86,898.86,898.86,-2.26,-20.76,200702,159929156.0,0.0,0.47
2010-02-08,901.88,901.88,901.88,901.88,0.34,3.02,152237,114901255.0,0.0,0.36
2010-02-09,905.86,905.86,905.86,905.86,0.44,3.98,108089,81797919.0,0.0,0.25
2010-02-10,922.55,922.55,922.55,922.55,1.84,16.69,154436,122063256.0,0.0,0.36
2010-02-11,924.2,924.2,924.2,924.2,0.18,1.65,128454,99641691.0,0.0,0.3
2010-02-12,931.07,931.07,931.07,931.07,0.74,6.87,129839,103510715.0,0.0,0.31
2010-02-22,923.85,923.85,923.85,923.85,-0.78,-7.22,142384,116948526.0,0.0,0.34
2010-02-23,933.75,933.75,933.75,933.75,1.07,9.9,159356,133397423.0,0.0,0.38
2010-02-24,964.82,964.82,964.82,964.82,3.33,31.07,301805,244765365.0,0.0,0.71
