日期,开盘,收盘,最高,最低,涨跌幅,涨跌额,成交量,成交额,振幅,换手率
2010-01-04,1008.09,1008.09,1008.09,1008.09,0.81,8.09,41617,76942006.0,0.0,0.26
2010-01-05,1017.79,1017.79,1017.79,1017.79,0.96,9.7,47823,90652694.0,0.0,0.3
2010-01-06,1051.21,1051.21,1051.21,1051.21,3.28,33.42,80049,154533518.0,0.0,0.5
2010-01-07,1004.31,1004.31,1004.31,1004.31,-4.46,-46.9,45751,88404413.0,0.0,0.28
2010-01-08,1040.43,1040.43,1040.43,1040.43,3.6,36.12,35253,66699917.0,0.0,0.22
2010-01-11,1032.88,1032.88,1032.88,1032.88,-0.73,-7.55,54967,106993596.0,0.0,0.34
2010-01-12,1094.88,1094.88,1094.88,1094.88,6.0,62.0,82748,164893884.0,0.0,0.52
2010-01-13,1094.34,1094.34,1094.34,1094.34,-0.05,-0.54,97283,199832278.0,0.0,0.61
2010-01-14,1131.54,1131.54,1131.54,1131.54,3.4,37.2,101051,214193734.0,0.0,0.63
2010-01-15,1120.76,1120.76,1120.76,1120.76,-0.95,-10.78,74048,154200952.0,0.0,0.46
2010-01-18,1157.41,1157.41,1157.41,1157.41,3.27,36.65,49900,103725732.0,0.0,0.31
2010-01-19,1133.69,1133.69,1133.69,1133.69,-2.05,-23.72,35653,75564125.0,0.0,0.22
2010-01-20,1063.61,1063.61,1063.61,1063.61,-6.18,-70.08,45437,92886945.0,0.0,0.28
2010-01-21,1064.69,1064.69,1064.69,1064.69,0.1,1.08,33632,66433674.0,0.0,0.21
2010-01-22,1048.52,1048.52,1048.52,1048.52,-1.52,-16.17,47593,94271339.0,0.0,0.3
2010-01-25,1043.13,1043.13,1043.13,1043.13,-0.51,-5.39,25663,50171888.0,0.0,0.16
2010-01-26,985.98,985.98,985.98,985.98,-5.48,-57.15,33147,61498039.0,0.0,0.21
2010-01-27,964.96,964.96,964.96,964.96,-2.13,-21.02,27082,49273430.0,0.0,0.17
2010-01-28,996.23,996.23,996.23,996.23,3.24,31.27,33102,60857607.0,0.0,0.21
2010-01-29,1063.07,1063.07,1063.07,1063.07,6.71,66.84,42742,82808379.0,0.0,0.27
2010-02-01,1042.05,1042.05,1042.05,1042.05,-1.98,-21.02,25876,49948070.0,0.0,0.16
2010-02-02,1056.6,1056.6,1056.6,1056.6,1.4,14.55,25472,50085025.0,0.0,0.16
2010-02-03,1052.83,1052.83,1052.83,1052.83,-0.36,-3.77,25331,48426102.0,0.0,0.16
2010-02-04,1046.36,1046.36,1046.36,1046.36,-0.61,-6.47,23015,45255307.0,0.0,0.14
2010-02-05,1018.87,1018.87,1018.87,1018.87,-2.63,-27.49,17687,33470380.0,0.0,0.11
2010-02-08,994.07,994.07,994.07,994.07,-2.43,-24.8,12685,23757354.0,0.0,0.08
2010-02-09,987.06,987.06,987.06,987.06,-0.71,-7.01,12920,23752566.0,0.0,0.08
2010-02-10,1013.48,1013.48,1013.48,1013.48,2.68,26.42,9683,18038481.0,0.0,0.06
2010-02-11,1016.71,1016.71,1016.71,1016.71,0.32,3.23,10954,20716367.0,0.0,0.07
2010-02-12,1061.46,1061.46,1061.46,1061.46,4.4,44.75,17825,34654674.0,0.0,0.11
2010-02-22,1088.95,1088.95,1088.95,1088.95,2.59,27.49,32180,65014265.0,0.0,0.2
2010-02-23,1097.04,1097.04,1097.04,1097.04,0.74,8.09,25632,52035058.0,0.0,0.16
2010-02-24,1088.95,1088.95,1088.95,1088.95,-0.74,-8.09,32969,66854556.0,0.0,0.21
2010-02-25,1098.65,1098.65,1098.65,1098.65,0.89,9.7,24112,49109652.0,0.0,0.15
2010-02-26,1128.3,1128.3,1128.3,1128.3,2.7,29.65,36500,76324346.0,0.0,0.23
2010-03-01,1125.61,1125.61,1125.61,1125.61,-0.24,-2.69,36457,77323605.0,0.0,0.23
2010-03-02,1126.15,1126.15,1126.15,1126.15,0.05,0.54,28385,59247123.0,0.0,0.18
2010-03-03,1155.8,1155.8,1155.8,1155.8,2.63,29.65,29722,62841048.0,0.0,0.19
2010-03-04,1093.8,1093.8,1093.8,1093.8,-5.36,-62.0,27457,57446114.0,0.0,0.17
2010-03-05,1091.64,1091.64,1091.64,1091.64,-0.2,-2.16,15030,30683256.0,0.0,0.09
2010-03-08,1119.68,1119.68,1119.68,1119.68,2.57,28.04,14160,29246903.0,0.0,0.09
2010-03-09,1115.9,1115.9,1115.9,1115.9,-0.34,-3.78,19084,39810232.0,0.0,0.12
2010-03-10,1087.33,1087.33,1087.33,1087.33,-2.56,-28.57,16653,33971679.0,0.0,0.1
2010-03-11,1087.87,1087.87,1087.87,1087.87,0.05,0.54,11007,22198343.0,0.0,0.07
2010-03-12,1053.91,1053.91,1053.91,1053.91,-3.12,-33.96,18067,35898842.0,0.0,0.11
2010-03-15,1051.21,1051.21,1051.21,1051.21,-0.26,-2.7,12125,23689317.0,0.0,0.08
2010-03-16,1060.38,1060.38,1060.38,1060.38,0.87,9.17,8839,17306205.0,0.0,0.06
2010-03-17,1137.47,1137.47,1137.47,1137.47,7.27,77.09,33591,69244046.0,0.0,0.21
2010-03-18,1139.62,1139.62,1139.62,1139.62,0.19,2.15,32126,67935542.0,0.0,0.2
2010-03-19,1172.51,1172.51,1172.51,1172.51,2.89,32.89,37211,79861474.0,0.0,0.23
