日期,开盘,收盘,最高,最低,涨跌幅,涨跌额,成交量,成交额,振幅,换手率
2010-01-04,1060.93,1060.93,1060.93,1060.93,6.09,60.93,16102,121641816.0,0.0,0.01
2010-01-05,1031.09,1031.09,1031.09,1031.09,-2.81,-29.84,9308,69730918.0,0.0,0.01
2010-01-06,1030.67,1030.67,1030.67,1030.67,-0.04,-0.42,8423,62404229.0,0.0,0.0
2010-01-07,996.96,996.96,996.96,996.96,-3.27,-33.71,7640,55754594.0,0.0,0.0
2010-01-08,1004.42,1004.42,1004.42,1004.42,0.75,7.46,4329,31388450.0,0.0,0.0
2010-01-11,1024.87,1024.87,1024.87,1024.87,2.04,20.45,9549,69527394.0,0.0,0.01
2010-01-12,1050.43,1050.43,1050.43,1050.43,2.49,25.56,12507,95276672.0,0.0,0.01
2010-01-13,1031.09,1031.09,1031.09,1031.09,-1.84,-19.34,6319,47520536.0,0.0,0.0
2010-01-14,1042.97,1042.97,1042.97,1042.97,1.15,11.88,5814,43873584.0,0.0,0.0
2010-01-15,1018.24,1018.24,1018.24,1018.24,-2.37,-24.73,8884,66460527.0,0.0,0.01
2010-01-18,1012.57,1012.57,1012.57,1012.57,-0.56,-5.67,8793,63832432.0,0.0,0.0
2010-01-19,1042.97,1042.97,1042.97,1042.97,3.0,30.4,10688,79328878.0,0.0,0.01
2010-01-20,994.61,994.61,994.61,994.61,-4.64,-48.36,12901,93203808.0,0.0,0.01
2010-01-21,1000.97,1000.97,1000.97,1000.97,0.64,6.36,5092,36538829.0,0.0,0.0
2010-01-22,976.38,976.38,976.38,976.38,-2.46,-24.59,5220,36286816.0,0.0,0.0
2010-01-25,954.41,954.41,954.41,954.41,-2.25,-21.97,3699,25477664.0,0.0,0.0
2010-01-26,945.57,945.57,945.57,945.57,-0.93,-8.84,5607,37986448.0,0.0,0.0
2010-01-27,939.49,939.49,939.49,939.49,-0.64,-6.08,2985,20365010.0,0.0,0.0
2010-01-28,944.74,944.74,944.74,944.74,0.56,5.25,3443,23279562.0,0.0,0.0
2010-01-29,965.74,965.74,965.74,965.74,2.22,21.0,4413,30590204.0,0.0,0.0
2010-02-01,939.49,939.49,939.49,939.49,-2.72,-26.25,2666,18126472.0,0.0,0.0
2010-02-02,932.58,932.58,932.58,932.58,-0.74,-6.91,3533,24036723.0,0.0,0.0
2010-02-03,929.82,929.82,929.82,929.82,-0.3,-2.76,4328,28877398.0,0.0,0.0
2010-02-04,939.21,939.21,939.21,939.21,1.01,9.39,2919,19892397.0,0.0,0.0
2010-02-05,933.27,933.27,933.27,933.27,-0.63,-5.94,3868,26274382.0,0.0,0.0
2010-02-08,935.07,935.07,935.07,935.07,0.19,1.8,1371,9215592.0,0.0,0.0
2010-02-09,936.72,936.72,936.72,936.72,0.18,1.65,1455,9854954.0,0.0,0.0
2010-02-10,972.78,972.78,972.78,972.78,3.85,36.06,3771,26215720.0,0.0,0.0
2010-02-11,964.36,964.36,964.36,964.36,-0.87,-8.42,1845,12894681.0,0.0,0.0
2010-02-12,997.51,997.51,997.51,997.51,3.44,33.15,3810,27290714.0,0.0,0.0
2010-02-22,982.73,982.73,982.73,982.73,-1.48,-14.78,1791,12761259.0,0.0,0.0
2010-02-23,967.67,967.67,967.67,967.67,-1.53,-15.06,2296,16031281.0,0.0,0.0
2010-02-24,1017.55,1017.55,1017.55,1017.55,5.15,49.88,4887,35972075.0,0.0,0.0
2010-02-25,1063.83,1063.83,1063.83,1063.83,4.55,46.28,7702,58458676.0,0.0,0.0
2010-02-26,1070.74,1070.74,1070.74,1070.74,0.65,6.91,6490,50441787.0,0.0,0.0
2010-03-01,1067.01,1067.01,1067.01,1067.01,-0.35,-3.73,3415,26498461.0,0.0,0.0
2010-03-02,1081.93,1081.93,1081.93,1081.93,1.4,14.92,5829,45504449.0,0.0,0.0
2010-03-03,1072.12,1072.12,1072.12,1072.12,-0.91,-9.81,4228,32791791.0,0.0,0.0
2010-03-04,1043.66,1043.66,1043.66,1043.66,-2.65,-28.46,5467,41754544.0,0.0,0.0
2010-03-05,1073.5,1073.5,1073.5,1073.5,2.86,29.84,5442,41707520.0,0.0,0.0
2010-03-08,1065.21,1065.21,1065.21,1065.21,-0.77,-8.29,5294,40782855.0,0.0,0.0
2010-03-09,1080.41,1080.41,1080.41,1080.41,1.43,15.2,4651,36211480.0,0.0,0.0
2010-03-10,1085.38,1085.38,1085.38,1085.38,0.46,4.97,9451,74122748.0,0.0,0.01
2010-03-11,1069.36,1069.36,1069.36,1069.36,-1.48,-16.02,7126,54570269.0,0.0,0.0
2010-03-12,1069.22,1069.22,1069.22,1069.22,-0.01,-0.14,4615,35653043.0,0.0,0.0
2010-03-15,1069.36,1069.36,1069.36,1069.36,0.01,0.14,3128,24166939.0,0.0,0.0
2010-03-16,1062.17,1062.17,1062.17,1062.17,-0.67,-7.19,11199,87217339.0,0.0,0.01
2010-03-17,1146.45,1146.45,1146.45,1146.45,7.93,84.28,27179,221935522.0,0.0,0.02
2010-03-18,1088.15,1088.15,1088.15,1088.15,-5.09,-58.3,20306,161455231.0,0.0,0.01
2010-03-19,1079.72,1079.72,1079.72,1079.72,-0.77,-8.43,10911,85621284.0,0.0,0.01
2010-03-22,1086.07,1086.07,1086.07,1086.07,0.59,6.35,5242,40817253.0,0.0,0.0
2010-03-23,1102.24,1102.24,1102.24,1102.24,1.49,16.17,6860,54555193.0,0.0,0.0
2010-03-24,1148.52,1148.52,1148.52,1148.52,4.2,46.28,16496,136328140.0,0.0,0.01
2010-03-25,1161.51,1161.51,1161.51,1161.51,1.13,12.99,11659,97457461.0,0.0,0.01
2010-03-26,1149.07,1149.07,1149.07,1149.07,-1.07,-12.44,7339,60469810.0,0.0,0.0
2010-03-29,1129.04,1129.04,1129.04,1129.04,-1.74,-20.03,10595,86186660.0,0.0,0.01
2010-03-30,1138.57,1138.57,1138.57,1138.57,0.84,9.53,5342,44156227.0,0.0,0.0
2010-03-31,1174.36,1174.36,1174.36,1174.36,3.14,35.79,11153,93323272.0,0.0,0.01
2010-04-01,1206.13,1206.13,1206.13,1206.13,2.71,31.77,14902,131412741.0,0.0,0.01
2010-04-02,1194.53,1194.53,1194.53,1194.53,-0.96,-11.6,6590,57368221.0,0.0,0.0
2010-04-06,1239.02,1239.02,1239.02,1239.02,3.72,44.49,8023,71367287.0,0.0,0.0
2010-04-07,1243.16,1243.16,1243.16,1243.16,0.33,4.14,6531,58335763.0,0.0,0.0
2010-04-08,1223.82,1223.82,1223.82,1223.82,-1.56,-19.34,9170,82601335.0,0.0,0.01
2010-04-09,1258.08,1258.08,1258.08,1258.08,2.8,34.26,9553,85285562.0,0.0,0.01
2010-04-12,1279.08,1279.08,1279.08,1279.08,1.67,21.0,10404,95862179.0,0.0,0.01
2010-04-13,1185.41,1185.41,1185.41,1185.41,-7.32,-93.67,12577,110418545.0,0.0,0.01
2010-04-14,1195.5,1195.5,1195.5,1195.5,0.85,10.09,6769,58755503.0,0.0,0.0
2010-04-15,1129.46,1129.46,1129.46,1129.46,-5.52,-66.04,10512,87669501.0,0.0,0.01
2010-04-16,1151.01,1151.01,1151.01,1151.01,1.91,21.55,8713,71831666.0,0.0,0.0
2010-04-19,1151.15,1151.15,1151.15,1151.15,0.01,0.14,8844,74284889.0,0.0,0.0
2010-04-20,1167.31,1167.31,1167.31,1167.31,1.4,16.16,6327,52179235.0,0.0,0.0
2010-04-21,1204.75,1204.75,1204.75,1204.75,3.21,37.44,9363,80952952.0,0.0,0.01
2010-04-23,1188.17,1188.17,1188.17,1188.17,-1.38,-16.58,10442,92251370.0,0.0,0.01
2010-04-26,1160.54,1160.54,1160.54,1160.54,-2.33,-27.63,6296,53301253.0,0.0,0.0
2010-04-27,1139.82,1139.82,1139.82,1139.82,-1.79,-20.72,6328,51797544.0,0.0,0.0
2010-04-28,1137.05,1137.05,1137.05,1137.05,-0.24,-2.77,4894,40021740.0,0.0,0.0
2010-04-29,1099.48,1099.48,1099.48,1099.48,-3.3,-37.57,5707,46770321.0,0.0,0.0
2010-04-30,1099.75,1099.75,1099.75,1099.75,0.02,0.27,7109,54517576.0,0.0,0.0
2010-05-04,1123.24,1123.24,1123.24,1123.24,2.14,23.49,5496,44626610.0,0.0,0.0
2010-05-05,1146.73,1146.73,1146.73,1146.73,2.09,23.49,8221,67590370.0,0.0,0.0
2010-05-06,1094.36,1094.36,1094.36,1094.36,-4.57,-52.37,11395,93983412.0,0.0,0.01
2010-05-07,1099.79,1099.79,1099.79,1099.79,0.5,5.43,11334,44125298.0,0.0,0.01
2010-05-10,1027.4,1027.4,1027.4,1027.4,-6.58,-72.39,10400,38887878.0,0.0,0.01
2010-05-11,956.4,956.4,956.4,956.4,-6.91,-71.0,15539,54913032.0,0.0,0.01
2010-05-12,968.37,968.37,968.37,968.37,1.25,11.97,11877,40597091.0,0.0,0.01
2010-05-13,1065.27,1065.27,1065.27,1065.27,10.01,96.9,32011,120036060.0,0.0,0.02
2010-05-14,1068.33,1068.33,1068.33,1068.33,0.29,3.06,32305,124103536.0,0.0,0.02
2010-05-17,1026.84,1026.84,1026.84,1026.84,-3.88,-41.49,10871,40866279.0,0.0,0.01
2010-05-18,1021.83,1021.83,1021.83,1021.83,-0.49,-5.01,14162,51423228.0,0.0,0.01
2010-05-19,1058.03,1058.03,1058.03,1058.03,3.54,36.2,12855,48481270.0,0.0,0.01
2010-05-20,1066.66,1066.66,1066.66,1066.66,0.82,8.63,14017,53685927.0,0.0,0.01
2010-05-21,1147.13,1147.13,1147.13,1147.13,7.54,80.47,26713,105766457.0,0.0,0.02
2010-05-24,1167.73,1167.73,1167.73,1167.73,1.8,20.6,38719,162371031.0,0.0,0.02
2010-05-25,1150.19,1150.19,1150.19,1150.19,-1.5,-17.54,12436,51358640.0,0.0,0.01
2010-05-26,1205.6,1205.6,1205.6,1205.6,4.82,55.41,22879,97075564.0,0.0,0.01
2010-05-27,1201.7,1201.7,1201.7,1201.7,-0.32,-3.9,25817,111147018.0,0.0,0.01
