日期,开盘,收盘,最高,最低,涨跌幅,涨跌额,成交量,成交额,振幅,换手率
2011-04-13,1019.38,1019.38,1019.38,1019.38,1.94,19.38,9905,77489284.0,0.0,0.02
2011-04-14,991.6,991.6,991.6,991.6,-2.73,-27.78,6492,49975276.0,0.0,0.01
2011-04-15,1037.34,1037.34,1037.34,1037.34,4.61,45.74,10227,81511525.0,0.0,0.02
2011-04-18,1059.43,1059.43,1059.43,1059.43,2.13,22.09,5641,46087997.0,0.0,0.01
2011-04-19,1040.05,1040.05,1040.05,1040.05,-1.83,-19.38,3387,27244511.0,0.0,0.01
2011-04-20,1033.59,1033.59,1033.59,1033.59,-0.62,-6.46,2749,22064382.0,0.0,0.01
2011-04-21,1014.21,1014.21,1014.21,1014.21,-1.88,-19.38,2442,19192135.0,0.0,0.01
2011-04-22,1021.96,1021.96,1021.96,1021.96,0.76,7.75,2380,18801456.0,0.0,0.0
2011-04-25,1014.08,1014.08,1014.08,1014.08,-0.77,-7.88,2413,18928177.0,0.0,0.01
2011-04-26,1007.75,1007.75,1007.75,1007.75,-0.62,-6.33,1025,7984172.0,0.0,0.0
2011-04-27,994.96,994.96,994.96,994.96,-1.27,-12.79,1968,15194963.0,0.0,0.0
2011-04-28,914.73,914.73,914.73,914.73,-8.06,-80.23,4050,29171465.0,0.0,0.01
2011-04-29,924.03,924.03,924.03,924.03,1.02,9.3,1228,8748600.0,0.0,0.0
2011-05-03,940.7,940.7,940.7,940.7,1.8,16.67,664,4767321.0,0.0,0.0
2011-05-04,927.65,927.65,927.65,927.65,-1.39,-13.05,688,4939296.0,0.0,0.0
2011-05-05,930.1,930.1,930.1,930.1,0.26,2.45,522,3727875.0,0.0,0.0
2011-05-06,928.94,928.94,928.94,928.94,-0.12,-1.16,344,2467074.0,0.0,0.0
2011-05-09,932.82,932.82,932.82,932.82,0.42,3.88,527,3812458.0,0.0,0.0
2011-05-10,940.83,940.83,940.83,940.83,0.86,8.01,469,3403602.0,0.0,0.0
2011-05-11,953.49,953.49,953.49,953.49,1.35,12.66,1077,7909763.0,0.0,0.0
2011-05-12,965.12,965.12,965.12,965.12,1.22,11.63,1302,9773121.0,0.0,0.0
2011-05-16,968.99,968.99,968.99,968.99,0.4,3.87,582,4343173.0,0.0,0.0
2011-05-17,976.62,976.62,976.62,976.62,0.79,7.63,823,6247775.0,0.0,0.0
2011-05-18,980.23,980.23,980.23,980.23,0.37,3.61,415,3143606.0,0.0,0.0
2011-05-19,956.98,956.98,956.98,956.98,-2.37,-23.25,467,3486355.0,0.0,0.0
2011-05-20,957.24,957.24,957.24,957.24,0.03,0.26,340,2520598.0,0.0,0.0
2011-05-23,940.7,940.7,940.7,940.7,-1.73,-16.54,522,3820167.0,0.0,0.0
2011-05-24,950.78,950.78,950.78,950.78,1.07,10.08,593,4341444.0,0.0,0.0
2011-05-25,961.63,961.63,961.63,961.63,1.14,10.85,1072,8031183.0,0.0,0.0
2011-05-26,943.15,943.15,943.15,943.15,-1.92,-18.48,494,3634427.0,0.0,0.0
2011-05-27,935.4,935.4,935.4,935.4,-0.82,-7.75,783,5735290.0,0.0,0.0
2011-05-30,931.78,931.78,931.78,931.78,-0.39,-3.62,531,3835099.0,0.0,0.0
2011-05-31,957.36,957.36,957.36,957.36,2.75,25.58,830,6067156.0,0.0,0.0
2011-06-01,962.4,962.4,962.4,962.4,0.53,5.04,464,3452690.0,0.0,0.0
2011-06-02,989.79,989.79,989.79,989.79,2.85,27.39,2111,15956616.0,0.0,0.0
2011-06-03,988.89,988.89,988.89,988.89,-0.09,-0.9,1282,9873322.0,0.0,0.0
2011-06-07,975.45,975.45,975.45,975.45,-1.36,-13.44,596,4512063.0,0.0,0.0
2011-06-08,980.62,980.62,980.62,980.62,0.53,5.17,603,4550492.0,0.0,0.0
2011-06-09,963.95,963.95,963.95,963.95,-1.7,-16.67,545,4116116.0,0.0,0.0
2011-06-10,964.47,964.47,964.47,964.47,0.05,0.52,941,7087266.0,0.0,0.0
2011-06-13,956.07,956.07,956.07,956.07,-0.87,-8.4,1220,9052014.0,0.0,0.0
2011-06-14,957.11,957.11,957.11,957.11,0.11,1.04,395,2948499.0,0.0,0.0
