日期,开盘,收盘,最高,最低,涨跌幅,涨跌额,成交量,成交额,振幅,换手率
2017-07-17,1099.95,1099.95,1099.95,1029.89,10.0,99.95,81604,377557984.0,7.01,1.08
2017-07-18,1050.91,1041.57,1088.04,1037.37,-5.31,-58.38,72420,328675376.0,4.61,0.95
2017-07-19,1045.31,989.02,1045.31,971.98,-5.05,-52.55,59940,255594180.0,7.04,0.79
2017-07-20,975.01,950.49,1010.74,941.85,-3.9,-38.53,54721,228818595.0,6.97,0.72
2017-07-21,934.14,933.44,949.56,922.47,-1.79,-17.05,32550,130016863.0,2.85,0.43
2017-07-24,918.96,946.99,959.37,918.96,1.45,13.55,29267,118269446.0,4.33,0.39
2017-07-25,951.66,933.44,951.66,928.54,-1.43,-13.55,19103,76566170.0,2.44,0.25
2017-07-26,931.81,908.45,945.35,904.72,-2.68,-24.99,24200,95715300.0,4.35,0.32
2017-07-27,905.19,952.13,968.01,900.05,4.81,43.68,38369,154994732.0,7.48,0.51
2017-07-28,942.55,925.5,957.96,920.6,-2.8,-26.63,22405,90210529.0,3.92,0.3
2017-07-31,931.81,927.84,943.25,915.46,0.25,2.34,15506,61779005.0,3.0,0.2
2017-08-01,923.63,921.53,935.31,904.95,-0.68,-6.31,19911,78538188.0,3.27,0.26
2017-08-02,927.14,925.97,946.75,919.2,0.48,4.44,19740,78980262.0,2.99,0.26
2017-08-03,923.87,920.36,938.35,898.88,-0.61,-5.61,17299,68056543.0,4.26,0.23
2017-08-04,922.47,897.95,922.47,896.31,-2.43,-22.41,18039,69936675.0,2.84,0.24
2017-08-07,905.65,901.92,916.63,893.98,0.44,3.97,12252,47383019.0,2.52,0.16
2017-08-08,901.68,890.01,901.68,880.43,-1.32,-11.91,14310,54512076.0,2.36,0.19
2017-08-09,890.94,889.07,895.61,884.17,-0.11,-0.94,8913,33976285.0,1.29,0.12
2017-08-10,890.01,875.76,892.11,866.18,-1.5,-13.31,14249,53508258.0,2.92,0.19
2017-08-11,868.29,863.85,874.36,851.24,-1.36,-11.91,16525,60903702.0,2.64,0.22
2017-08-14,861.75,870.15,873.19,861.51,0.73,6.3,10524,39113231.0,1.35,0.14
2017-08-15,865.25,879.26,879.26,860.81,1.05,9.11,14314,53328250.0,2.12,0.19
2017-08-16,875.53,901.92,916.63,870.62,2.58,22.66,24016,92537107.0,5.23,0.32
2017-08-17,901.92,898.41,906.59,891.64,-0.39,-3.51,10517,40451873.0,1.66,0.14
2017-08-18,886.04,883.0,887.67,879.73,-1.72,-15.41,9791,37043019.0,0.88,0.13
2017-08-21,883.23,901.68,901.68,883.23,2.12,18.68,18941,72361367.0,2.09,0.25
2017-08-22,907.75,901.68,928.07,899.81,0.0,0.0,26487,103495683.0,3.13,0.35
2017-08-23,897.95,903.78,910.79,874.12,0.23,2.1,22530,85919443.0,4.07,0.3
2017-08-24,903.55,912.42,944.42,899.11,0.96,8.64,35466,139812763.0,5.01,0.47
2017-08-25,900.98,951.66,961.7,900.98,4.3,39.24,39208,157075348.0,6.65,0.52
2017-08-28,957.5,984.59,999.07,957.5,3.46,32.93,40043,167461495.0,4.37,0.53
2017-08-29,975.01,972.68,1044.61,962.17,-1.21,-11.91,55977,238491856.0,8.37,0.74
2017-08-30,966.84,978.52,992.06,952.83,0.6,5.84,33789,140552645.0,4.03,0.45
2017-08-31,977.35,1015.88,1017.05,977.35,3.82,37.36,33108,142340221.0,4.06,0.44
2017-09-01,1015.88,998.37,1021.02,997.67,-1.72,-17.51,24849,107139621.0,2.3,0.33
2017-09-04,997.2,960.07,999.77,953.99,-3.84,-38.3,25903,108291304.0,4.59,0.34
2017-09-05,984.87,940.9,984.87,934.5,-2.0,-19.17,139590,641916805.0,5.25,1.84
2017-09-06,911.78,906.16,927.3,897.48,-3.69,-34.74,104038,443935609.0,3.17,1.37
2017-09-07,902.49,901.1,935.05,899.27,-0.56,-5.06,85177,363053405.0,3.95,1.12
2017-09-08,899.0,887.23,903.53,875.83,-1.54,-13.87,73454,301218986.0,3.07,0.97
2017-09-11,883.43,910.81,912.45,883.43,2.66,23.58,57166,236784086.0,3.27,0.75
2017-09-12,907.87,908.71,939.95,901.76,-0.23,-2.1,83017,352672053.0,4.19,1.09
2017-09-13,896.54,925.23,925.23,895.89,1.82,16.52,64472,272741214.0,3.23,0.85
2017-09-14,922.74,920.96,937.97,912.5,-0.46,-4.27,58216,249617238.0,2.75,0.77
2017-09-15,911.94,884.58,914.88,880.45,-3.95,-36.38,56314,232348365.0,3.74,0.74
2017-09-18,867.74,871.87,874.58,857.96,-1.44,-12.71,39742,157461133.0,1.88,0.52
2017-09-19,872.35,866.49,880.11,863.03,-0.62,-5.38,29178,116777601.0,1.96,0.38
2017-09-20,864.89,892.75,896.28,862.24,3.03,26.26,45161,183676883.0,3.93,0.6
2017-09-21,888.36,907.07,924.59,888.36,1.6,14.32,70896,299563838.0,4.06,0.93
2017-09-22,900.81,910.81,915.66,882.96,0.41,3.74,64496,271012101.0,3.61,0.85
2017-09-25,913.34,919.9,929.53,907.58,1.0,9.09,62288,268088665.0,2.41,0.82
2017-09-26,913.99,869.56,913.99,862.69,-5.47,-50.34,66551,271009419.0,5.58,0.88
2017-09-27,865.8,869.17,875.21,857.78,-0.04,-0.39,33351,135278269.0,2.0,0.44
2017-09-28,864.64,869.39,885.08,864.64,0.03,0.22,30189,121350475.0,2.35,0.4
2017-09-29,872.77,864.58,874.6,864.42,-0.55,-4.81,23136,92367514.0,1.17,0.31
2017-10-09,880.54,880.37,881.76,867.48,1.83,15.79,23226,94646034.0,1.65,0.31
2017-10-10,879.35,911.47,911.54,879.35,3.53,31.1,40010,166179748.0,3.66,0.53
2017-10-11,912.5,914.44,930.17,909.84,0.33,2.97,51281,213411625.0,2.23,0.68
2017-10-12,908.79,929.79,931.74,903.73,1.68,15.35,40926,173712977.0,3.06,0.54
2017-10-13,930.53,939.84,958.21,925.64,1.08,10.05,49232,214987115.0,3.5,0.65
2017-10-16,936.3,903.13,937.0,900.35,-3.91,-36.71,38759,163900950.0,3.9,0.51
2017-10-17,903.13,911.58,926.54,903.12,0.94,8.45,25636,107860768.0,2.59,0.34
2017-10-18,917.05,902.88,925.06,895.49,-0.95,-8.7,32198,134497959.0,3.24,0.42
2017-10-19,895.88,914.0,922.47,889.38,1.23,11.12,33929,145315475.0,3.66,0.45
2017-10-20,911.12,943.9,946.16,911.12,3.27,29.9,34731,154259484.0,3.83,0.46
2017-10-23,941.99,970.65,971.29,939.02,2.83,26.75,54505,234305287.0,3.42,0.72
2017-10-24,960.56,960.14,969.15,938.27,-1.08,-10.51,37099,159322087.0,3.18,0.49
2017-10-25,952.56,981.18,981.18,948.11,2.19,21.04,52542,232263552.0,3.44,0.69
2017-10-26,978.25,963.88,984.67,963.88,-1.76,-17.3,37261,165477074.0,2.12,0.49
2017-10-27,963.52,961.69,968.65,952.9,-0.23,-2.19,30712,135107311.0,1.63,0.4
2017-10-30,955.7,913.38,955.7,912.11,-5.02,-48.31,41133,176413319.0,4.53,0.54
2017-10-31,909.66,931.21,935.06,909.66,1.95,17.83,27494,117018187.0,2.78,0.36
2017-11-01,932.08,962.73,965.71,929.6,3.38,31.52,41417,179149326.0,3.88,0.55
2017-11-02,964.07,976.91,995.1,955.56,1.47,14.18,58424,255940650.0,4.11,0.77
2017-11-03,968.21,990.65,993.21,956.5,1.41,13.74,52376,228703966.0,3.76,0.69
2017-11-06,996.53,994.16,1027.27,989.2,0.35,3.51,66539,300853612.0,3.84,0.88
