日期,开盘,收盘,最高,最低,涨跌幅,涨跌额,成交量,成交额,振幅,换手率
2021-02-09,998.86,1046.7,1057.54,994.82,4.67,46.7,11892851,15294187666.0,6.27,5.25
2021-02-10,1053.46,1069.75,1084.19,1035.29,2.2,23.05,13835506,20013977987.0,4.67,6.11
2021-02-18,1117.02,1120.54,1142.57,1097.15,4.75,50.79,19028906,25788081968.0,4.25,8.4
2021-02-19,1122.07,1145.04,1158.03,1096.52,2.19,24.5,20246518,26978240075.0,5.49,8.94
2021-02-22,1169.22,1209.54,1255.54,1160.8,5.63,64.5,27900511,38968819406.0,8.27,12.32
2021-02-23,1190.42,1208.08,1245.62,1165.14,-0.12,-1.46,25520804,37303378756.0,6.65,11.27
2021-02-24,1202.43,1189.69,1233.84,1160.67,-1.52,-18.39,23052435,31169538235.0,6.06,10.18
2021-02-25,1215.42,1171.25,1231.77,1150.7,-1.55,-18.44,19570477,26131253993.0,6.81,8.64
2021-02-26,1132.47,1151.65,1190.17,1119.8,-1.67,-19.6,17713624,22808013598.0,6.01,7.82
2021-03-01,1155.01,1216.07,1227.85,1141.15,5.59,64.42,20670267,30647638339.0,7.53,9.13
2021-03-02,1215.58,1205.07,1253.15,1177.15,-0.9,-11.0,23165693,35556150216.0,6.25,10.23
2021-03-03,1197.84,1251.22,1266.35,1188.28,3.83,46.15,19560047,30285700814.0,6.48,8.64
2021-03-04,1237.75,1256.41,1306.39,1218.95,0.41,5.19,24526207,39024453191.0,6.99,10.83
2021-03-05,1228.62,1220.28,1260.48,1191.96,-2.88,-36.13,18915522,27797299156.0,5.45,8.35
2021-03-08,1236.09,1197.89,1268.34,1185.4,-1.83,-22.39,17915546,27609873827.0,6.8,7.91
2021-03-09,1182.96,1136.9,1196.56,1115.55,-5.09,-60.99,16704358,23239538496.0,6.76,7.37
2021-03-10,1148.1,1136.63,1168.97,1116.24,-0.02,-0.27,13383243,18042137649.0,4.64,5.91
2021-03-11,1143.25,1182.99,1195.04,1120.83,4.08,46.36,17141738,22423839356.0,6.53,7.57
2021-03-12,1179.48,1171.49,1202.81,1149.66,-0.97,-11.5,15979973,21697185793.0,4.49,7.06
