日期,开盘,收盘,最高,最低,涨跌幅,涨跌额,成交量,成交额,振幅,换手率
2010-01-04,1001.09,1001.09,1001.09,1001.09,0.11,1.09,3526420,5983367590.0,0.0,0.22
2010-01-05,1033.62,1033.62,1033.62,1033.62,3.25,32.53,5848346,10583151619.0,0.0,0.37
2010-01-06,1037.47,1037.47,1037.47,1037.47,0.37,3.85,6111605,12029819431.0,0.0,0.39
2010-01-07,1027.32,1027.32,1027.32,1027.32,-0.98,-10.15,7008893,13403090284.0,0.0,0.44
2010-01-08,1018.8,1018.8,1018.8,1018.8,-0.83,-8.52,4272886,7675157588.0,0.0,0.27
2010-01-11,1023.86,1023.86,1023.86,1023.86,0.5,5.06,3771219,6526070404.0,0.0,0.24
2010-01-12,1037.38,1037.38,1037.38,1037.38,1.32,13.52,4174385,7170578228.0,0.0,0.26
2010-01-13,995.19,995.19,995.19,995.19,-4.07,-42.19,5726358,10546031584.0,0.0,0.36
2010-01-14,1008.63,1008.63,1008.63,1008.63,1.35,13.44,3829908,6777496504.0,0.0,0.24
2010-01-15,1013.83,1013.83,1013.83,1013.83,0.52,5.2,3344958,5626251720.0,0.0,0.21
2010-01-18,1016.35,1016.35,1016.35,1016.35,0.25,2.52,3513404,5745291357.0,0.0,0.22
2010-01-19,1030.29,1030.29,1030.29,1030.29,1.37,13.94,4297743,7120748114.0,0.0,0.27
2010-01-20,989.44,989.44,989.44,989.44,-3.96,-40.85,4636180,7964443842.0,0.0,0.29
2010-01-21,980.93,980.93,980.93,980.93,-0.86,-8.51,3621990,6107887800.0,0.0,0.23
2010-01-22,947.03,947.03,947.03,947.03,-3.46,-33.9,4448251,7090750706.0,0.0,0.28
2010-01-25,940.59,940.59,940.59,940.59,-0.68,-6.44,2147918,3439465694.0,0.0,0.14
2010-01-26,901.96,901.96,901.96,901.96,-4.11,-38.63,2745852,4272908715.0,0.0,0.17
2010-01-27,888.37,888.37,888.37,888.37,-1.51,-13.59,2461450,3939415581.0,0.0,0.16
2010-01-28,888.71,888.71,888.71,888.71,0.04,0.34,2597320,4157538649.0,0.0,0.16
2010-01-29,885.92,885.92,885.92,885.92,-0.31,-2.79,2581764,3972916832.0,0.0,0.16
2010-02-01,860.07,860.07,860.07,860.07,-2.92,-25.85,2705480,3965536025.0,0.0,0.17
2010-02-02,865.71,865.71,865.71,865.71,0.66,5.64,3929506,5437888228.0,0.0,0.25
2010-02-03,900.67,900.67,900.67,900.67,4.04,34.96,3460822,5149930962.0,0.0,0.22
2010-02-04,894.26,894.26,894.26,894.26,-0.71,-6.41,2914863,4695185608.0,0.0,0.18
2010-02-05,864.54,864.54,864.54,864.54,-3.32,-29.72,2808420,4251664299.0,0.0,0.18
2010-02-08,868.43,868.43,868.43,868.43,0.45,3.89,1480317,2231827001.0,0.0,0.09
2010-02-09,878.05,878.05,878.05,878.05,1.11,9.62,1688472,2629004212.0,0.0,0.11
2010-02-10,890.15,890.15,890.15,890.15,1.38,12.1,1826403,3107915837.0,0.0,0.12
2010-02-11,891.96,891.96,891.96,891.96,0.2,1.81,1621237,2635254708.0,0.0,0.1
2010-02-12,905.69,905.69,905.69,905.69,1.54,13.73,2076566,3364728753.0,0.0,0.13
2010-02-22,905.38,905.38,905.38,905.38,-0.03,-0.31,2067401,3367980954.0,0.0,0.13
2010-02-23,895.04,895.04,895.04,895.04,-1.14,-10.34,1877620,3059503287.0,0.0,0.12
2010-02-24,909.25,909.25,909.25,909.25,1.59,14.21,1906016,2977855434.0,0.0,0.12
2010-02-25,926.02,926.02,926.02,926.02,1.84,16.77,3096255,4822979660.0,0.0,0.2
2010-02-26,915.21,915.21,915.21,915.21,-1.17,-10.81,2374789,3538467268.0,0.0,0.15
2010-03-01,947.39,947.39,947.39,947.39,3.52,32.18,5476036,9800667977.0,0.0,0.35
2010-03-02,932.01,932.01,932.01,932.01,-1.62,-15.38,3560875,6211065888.0,0.0,0.22
2010-03-03,935.83,935.83,935.83,935.83,0.41,3.82,2947156,4247558374.0,0.0,0.19
