日期,开盘,收盘,最高,最低,涨跌幅,涨跌额,成交量,成交额,振幅,换手率
2010-01-04,1003.49,1003.49,1003.49,1003.49,0.35,3.49,115012,78473504.0,0.0,0.07
2010-01-05,1014.75,1014.75,1014.75,1014.75,1.12,11.26,201807,138636809.0,0.0,0.13
2010-01-06,1005.02,1005.02,1005.02,1005.02,-0.96,-9.73,154285,106696798.0,0.0,0.1
2010-01-07,965.37,965.37,965.37,965.37,-3.95,-39.65,159912,107839990.0,0.0,0.1
2010-01-08,982.46,982.46,982.46,982.46,1.77,17.09,132294,87911290.0,0.0,0.08
2010-01-11,997.29,997.29,997.29,997.29,1.51,14.83,256499,174437295.0,0.0,0.16
2010-01-12,1019.19,1019.19,1019.19,1019.19,2.2,21.9,255488,177426289.0,0.0,0.16
2010-01-13,1023.06,1023.06,1023.06,1023.06,0.38,3.87,271238,190331985.0,0.0,0.17
2010-01-14,1051.53,1051.53,1051.53,1051.53,2.78,28.47,312177,224370159.0,0.0,0.2
2010-01-15,1057.64,1057.64,1057.64,1057.64,0.58,6.11,292488,210279259.0,0.0,0.19
2010-01-18,1063.51,1063.51,1063.51,1063.51,0.56,5.87,209270,151961793.0,0.0,0.13
2010-01-19,1058.34,1058.34,1058.34,1058.34,-0.49,-5.17,213662,154270721.0,0.0,0.14
2010-01-20,1025.22,1025.22,1025.22,1025.22,-3.13,-33.12,319010,232438860.0,0.0,0.2
2010-01-21,1028.99,1028.99,1028.99,1028.99,0.37,3.77,122109,86394340.0,0.0,0.08
2010-01-22,992.29,992.29,992.29,992.29,-3.57,-36.7,148910,102199206.0,0.0,0.09
2010-01-25,998.77,998.77,998.77,998.77,0.65,6.48,109250,75260089.0,0.0,0.07
2010-01-26,955.8,955.8,955.8,955.8,-4.3,-42.97,138420,93737856.0,0.0,0.09
2010-01-27,948.27,948.27,948.27,948.27,-0.79,-7.53,106512,69925296.0,0.0,0.07
2010-01-28,954.4,954.4,954.4,954.4,0.65,6.13,86789,57074745.0,0.0,0.06
2010-01-29,945.74,945.74,945.74,945.74,-0.91,-8.66,113619,74723078.0,0.0,0.07
2010-02-01,900.89,900.89,900.89,900.89,-4.74,-44.85,162980,100999318.0,0.0,0.1
2010-02-02,900.89,900.89,900.89,900.89,0.0,0.0,105168,64975028.0,0.0,0.07
2010-02-03,916.97,916.97,916.97,916.97,1.78,16.08,121874,74259499.0,0.0,0.08
2010-02-04,929.4,929.4,929.4,929.4,1.36,12.43,133254,84496169.0,0.0,0.08
2010-02-05,915.55,915.55,915.55,915.55,-1.49,-13.85,93031,57979346.0,0.0,0.06
2010-02-08,964.82,964.82,964.82,964.82,5.38,49.27,237147,156801341.0,0.0,0.15
2010-02-09,960.26,960.26,960.26,960.26,-0.47,-4.56,25230,15991500.0,0.0,0.02
2010-02-10,948.5,948.5,948.5,948.5,-1.22,-11.76,144765,95178909.0,0.0,0.09
2010-02-11,943.37,943.37,943.37,943.37,-0.54,-5.13,65082,42515312.0,0.0,0.04
2010-02-12,947.01,947.01,947.01,947.01,0.39,3.64,75318,49184912.0,0.0,0.05
2010-02-22,962.8,962.8,962.8,962.8,1.67,15.79,142879,97046760.0,0.0,0.09
2010-02-23,976.95,976.95,976.95,976.95,1.47,14.15,123585,83097882.0,0.0,0.08
2010-02-24,998.29,998.29,998.29,998.29,2.18,21.34,187305,131507931.0,0.0,0.12
2010-02-25,1017.56,1017.56,1017.56,1017.56,1.93,19.27,219436,152180958.0,0.0,0.14
2010-02-26,1020.56,1020.56,1020.56,1020.56,0.29,3.0,112518,77065251.0,0.0,0.07
2010-03-01,1046.52,1046.52,1046.52,1046.52,2.54,25.96,281482,199554868.0,0.0,0.18
2010-03-02,1046.87,1046.87,1046.87,1046.87,0.03,0.35,223317,160501305.0,0.0,0.14
2010-03-03,1046.38,1046.38,1046.38,1046.38,-0.05,-0.49,211828,151425941.0,0.0,0.13
2010-03-04,1010.91,1010.91,1010.91,1010.91,-3.39,-35.47,217331,154752409.0,0.0,0.14
2010-03-05,1026.17,1026.17,1026.17,1026.17,1.51,15.26,159448,112240797.0,0.0,0.1
2010-03-08,1034.03,1034.03,1034.03,1034.03,0.77,7.86,158005,115257004.0,0.0,0.1
2010-03-09,1027.46,1027.46,1027.46,1027.46,-0.64,-6.57,116668,83417956.0,0.0,0.07
2010-03-10,1038.99,1038.99,1038.99,1038.99,1.12,11.53,262337,194865783.0,0.0,0.17
2010-03-11,1037.05,1037.05,1037.05,1037.05,-0.19,-1.94,209886,157351853.0,0.0,0.13
2010-03-12,1009.56,1009.56,1009.56,1009.56,-2.65,-27.49,128646,92943187.0,0.0,0.08
2010-03-15,990.37,990.37,990.37,990.37,-1.9,-19.19,102765,71462483.0,0.0,0.07
2010-03-16,1010.24,1010.24,1010.24,1010.24,2.01,19.87,103382,71381785.0,0.0,0.07
2010-03-17,1040.58,1040.58,1040.58,1040.58,3.0,30.34,161442,115951563.0,0.0,0.1
2010-03-18,1060.58,1060.58,1060.58,1060.58,1.92,20.0,304778,228267049.0,0.0,0.19
2010-03-19,1086.25,1086.25,1086.25,1086.25,2.42,25.67,336366,259378006.0,0.0,0.21
2010-03-22,1105.92,1105.92,1105.92,1105.92,1.81,19.67,380917,302205119.0,0.0,0.24
