日期,开盘,收盘,最高,最低,涨跌幅,涨跌额,成交量,成交额,振幅,换手率
2010-01-04,1005.27,1005.27,1005.27,1005.27,0.53,5.27,1962883,3421088768.0,0.0,0.25
2010-01-05,1017.75,1017.75,1017.75,1017.75,1.24,12.48,2319872,3912666702.0,0.0,0.3
2010-01-06,1019.16,1019.16,1019.16,1019.16,0.14,1.41,2323523,3951540656.0,0.0,0.3
2010-01-07,999.59,999.59,999.59,999.59,-1.92,-19.57,2490434,4312598815.0,0.0,0.32
2010-01-08,1014.4,1014.4,1014.4,1014.4,1.48,14.81,2010498,3602108698.0,0.0,0.26
2010-01-11,1020.58,1020.58,1020.58,1020.58,0.61,6.18,2738135,5195213600.0,0.0,0.35
2010-01-12,1043.69,1043.69,1043.69,1043.69,2.26,23.11,2948569,5141871632.0,0.0,0.38
2010-01-13,1029.99,1029.99,1029.99,1029.99,-1.31,-13.7,2807538,5047012541.0,0.0,0.36
2010-01-14,1047.74,1047.74,1047.74,1047.74,1.72,17.75,2623559,4736267734.0,0.0,0.34
2010-01-15,1061.92,1061.92,1061.92,1061.92,1.35,14.18,2711254,4721549119.0,0.0,0.35
2010-01-18,1078.71,1078.71,1078.71,1078.71,1.58,16.79,2700063,4691380707.0,0.0,0.35
2010-01-19,1078.23,1078.23,1078.23,1078.23,-0.04,-0.48,3012604,5200996870.0,0.0,0.39
2010-01-20,1034.08,1034.08,1034.08,1034.08,-4.09,-44.15,3452923,5923788278.0,0.0,0.44
2010-01-21,1042.46,1042.46,1042.46,1042.46,0.81,8.38,2331525,3775566789.0,0.0,0.3
2010-01-22,1008.19,1008.19,1008.19,1008.19,-3.29,-34.27,2528107,4127139981.0,0.0,0.33
2010-01-25,995.09,995.09,995.09,995.09,-1.3,-13.1,1608971,2598541845.0,0.0,0.21
2010-01-26,963.95,963.95,963.95,963.95,-3.13,-31.14,2010384,3113507302.0,0.0,0.26
2010-01-27,956.32,956.32,956.32,956.32,-0.79,-7.63,1643959,2643179842.0,0.0,0.21
2010-01-28,966.6,966.6,966.6,966.6,1.07,10.28,1463566,2376469054.0,0.0,0.19
2010-01-29,988.8,988.8,988.8,988.8,2.3,22.2,2556755,3966317242.0,0.0,0.33
2010-02-01,976.8,976.8,976.8,976.8,-1.21,-12.0,3405793,4936551337.0,0.0,0.44
2010-02-02,962.95,962.95,962.95,962.95,-1.42,-13.85,2640157,3726741063.0,0.0,0.34
2010-02-03,975.14,975.14,975.14,975.14,1.27,12.19,2933289,4405288049.0,0.0,0.38
2010-02-04,996.14,996.14,996.14,996.14,2.15,21.0,3890919,5953953796.0,0.0,0.5
2010-02-05,962.72,962.72,962.72,962.72,-3.35,-33.42,3526379,5483846744.0,0.0,0.45
2010-02-08,956.92,956.92,956.92,956.92,-0.6,-5.8,1771533,2688383865.0,0.0,0.23
2010-02-09,964.12,964.12,964.12,964.12,0.75,7.2,1606492,2405930960.0,0.0,0.21
2010-02-10,977.4,977.4,977.4,977.4,1.38,13.28,1484219,2446885789.0,0.0,0.19
2010-02-11,970.31,970.31,970.31,970.31,-0.73,-7.09,1523096,2291992575.0,0.0,0.2
2010-02-12,985.15,985.15,985.15,985.15,1.53,14.84,1189949,1905211272.0,0.0,0.15
2010-02-22,997.73,997.73,997.73,997.73,1.28,12.58,2265134,3118057030.0,0.0,0.29
2010-02-23,1009.41,1009.41,1009.41,1009.41,1.17,11.68,2743242,4131143620.0,0.0,0.35
