日期,开盘,收盘,最高,最低,涨跌幅,涨跌额,成交量,成交额,振幅,换手率
2000-01-04,1004.59,1034.35,1044.05,990.29,3.44,34.35,766028,938803000.0,5.38,0.04
2000-01-05,1036.22,1032.05,1063.44,1015.58,-0.22,-2.3,1302956,1676774000.0,4.63,0.07
2000-01-06,1028.53,1069.54,1076.6,1014.88,3.63,37.49,1301776,1659140000.0,5.98,0.07
2000-01-07,1079.04,1110.57,1121.28,1064.82,3.84,41.03,2591470,3231829000.0,5.28,0.13
2000-01-10,1156.61,1183.84,1199.34,1130.29,6.6,73.27,2631142,3216364000.0,6.22,0.14
2000-01-11,1187.48,1125.85,1198.1,1111.97,-4.9,-57.99,1964461,2408554000.0,7.28,0.1
2000-01-12,1122.22,1097.58,1146.47,1083.78,-2.51,-28.27,1589377,1933427000.0,5.57,0.08
2000-01-13,1090.95,1090.65,1117.52,1075.09,-0.63,-6.93,1606948,1855148000.0,3.87,0.08
2000-01-14,1096.89,1073.78,1110.09,1064.94,-1.55,-16.87,1014879,1164207000.0,4.14,0.05
2000-01-17,1068.53,1092.98,1103.48,1052.12,1.79,19.2,991164,1047354000.0,4.78,0.05
2000-01-18,1096.72,1089.68,1117.46,1073.68,-0.3,-3.3,1371054,1505879000.0,4.01,0.07
2000-01-19,1089.97,1100.03,1116.32,1077.44,0.95,10.35,1008521,1223746000.0,3.57,0.05
2000-01-20,1102.49,1119.94,1133.05,1089.58,1.81,19.91,1384608,1702221000.0,3.95,0.07
2000-01-21,1124.04,1113.31,1148.14,1096.84,-0.59,-6.63,2116463,2802502000.0,4.58,0.11
2000-01-24,1113.49,1122.21,1140.16,1081.75,0.8,8.9,2169691,2760827000.0,5.25,0.11
2000-01-25,1125.16,1132.35,1167.53,1101.92,0.9,10.14,1977039,2514516000.0,5.85,0.1
2000-01-26,1132.85,1140.72,1163.17,1115.37,0.74,8.37,1288929,1616638000.0,4.22,0.07
2000-01-27,1151.26,1149.94,1178.2,1126.46,0.81,9.22,2619870,3583887000.0,4.54,0.14
2000-01-28,1156.54,1182.6,1202.6,1135.28,2.84,32.66,3016128,4066846000.0,5.85,0.16
2000-02-14,1227.4,1291.2,1295.1,1208.93,9.18,108.6,3205237,4319846000.0,7.29,0.17
2000-02-15,1314.8,1286.13,1370.73,1257.25,-0.39,-5.07,4982635,7191167000.0,8.79,0.26
2000-02-16,1286.18,1308.32,1336.71,1240.61,1.73,22.19,5530966,7950751000.0,7.47,0.29
2000-02-17,1334.42,1298.8,1404.46,1248.02,-0.73,-9.52,7517338,11587334000.0,11.96,0.39
2000-02-18,1296.98,1316.92,1346.83,1226.73,1.4,18.12,4303255,7061723000.0,9.25,0.22
2000-02-21,1334.97,1364.85,1398.87,1292.88,3.64,47.93,5119352,8044409000.0,8.05,0.27
2000-02-22,1382.84,1306.02,1423.09,1287.31,-4.31,-58.83,4656375,7575502000.0,9.95,0.24
2000-02-23,1311.8,1295.95,1344.82,1258.53,-0.77,-10.07,3323363,5350122000.0,6.61,0.17
2000-02-24,1293.36,1319.05,1337.56,1270.79,1.78,23.1,2677451,4448557000.0,5.15,0.14
2000-02-25,1319.11,1315.71,1352.8,1283.15,-0.25,-3.34,3166004,5777227000.0,5.28,0.16
2000-02-28,1321.0,1370.99,1394.11,1304.98,4.2,55.28,3653869,6145672000.0,6.77,0.19
2000-02-29,1386.45,1397.89,1440.64,1337.65,1.96,26.9,4579656,7623680000.0,7.51,0.24
2000-03-01,1410.56,1417.91,1462.93,1366.8,1.43,20.02,4691569,7095431000.0,6.88,0.24
2000-03-02,1417.43,1428.24,1469.74,1383.73,0.73,10.33,4136257,6077477000.0,6.07,0.21
