日期,开盘,收盘,最高,最低,涨跌幅,涨跌额,成交量,成交额,振幅,换手率
2021-11-29,986.49,999.44,999.9,985.14,-0.06,-0.56,1664523,1040382384.0,1.48,1.24
2021-11-30,1002.38,1004.65,1010.5,998.52,0.52,5.21,1740846,1260186064.0,1.2,1.3
2021-12-01,1007.13,1017.64,1018.51,1002.31,1.29,12.99,1919841,1457087504.0,1.61,1.43
2021-12-02,1018.29,1023.8,1025.3,1011.9,0.61,6.16,1368481,880648496.0,1.32,1.02
2021-12-03,1022.81,1021.5,1025.0,1014.34,-0.22,-2.3,1515618,925557600.0,1.04,1.13
2021-12-06,1027.09,1016.23,1032.87,1014.34,-0.52,-5.27,1875003,1267162128.0,1.81,1.4
2021-12-07,1028.71,1038.16,1038.83,1021.06,2.16,21.93,2478681,1548347392.0,1.75,1.85
2021-12-08,1030.92,1030.27,1036.05,1025.62,-0.76,-7.89,1661193,1141421520.0,1.0,1.24
2021-12-09,1027.59,1034.87,1038.64,1025.24,0.45,4.6,2019073,1204453504.0,1.3,1.51
2021-12-10,1030.38,1032.33,1036.51,1024.74,-0.25,-2.54,1892604,1070613648.0,1.14,1.41
2021-12-13,1035.34,1026.19,1035.37,1020.61,-0.59,-6.14,1915824,990043104.0,1.43,1.43
2021-12-14,1023.53,1023.24,1025.24,1014.6,-0.29,-2.95,2641137,1363813376.0,1.04,1.97
2021-12-15,1022.78,1021.2,1032.05,1018.07,-0.2,-2.04,2522298,1244909584.0,1.37,1.88
2021-12-16,1018.28,1015.56,1023.14,1010.6,-0.55,-5.64,2105017,1025549696.0,1.23,1.57
2021-12-17,1014.33,1021.5,1028.37,1009.72,0.58,5.94,2247266,1040086640.0,1.84,1.68
2021-12-20,1019.62,1025.16,1039.33,1018.9,0.36,3.66,3165593,1434852176.0,2.0,2.36
2021-12-21,1029.38,1096.99,1097.72,1029.3,7.01,71.83,6155590,3034302592.0,6.67,4.59
2021-12-22,1097.76,1081.57,1104.36,1072.88,-1.41,-15.42,5137445,2772993968.0,2.87,3.83
2021-12-23,1072.05,1057.37,1081.26,1055.28,-2.24,-24.2,2902663,1561845872.0,2.4,2.17
2021-12-24,1060.89,1043.63,1062.55,1039.77,-1.3,-13.74,2158565,1141239680.0,2.15,1.61
2021-12-27,1046.27,1048.93,1060.23,1045.85,0.51,5.3,1858022,1135880496.0,1.38,1.39
2021-12-28,1051.09,1050.34,1053.73,1041.23,0.13,1.41,1628839,983744256.0,1.19,1.22
2021-12-29,1051.32,1052.64,1060.23,1049.11,0.22,2.3,1764216,970626256.0,1.06,1.32
2021-12-30,1055.18,1065.35,1070.08,1055.18,1.21,12.71,2078358,1274181168.0,1.42,1.55
2021-12-31,1062.86,1084.11,1086.85,1062.86,1.76,18.76,1931912,1275397744.0,2.25,1.44
2022-01-04,1085.25,1107.53,1107.89,1077.42,2.16,23.42,2773679,1590423456.0,2.81,2.07
2022-01-05,1109.39,1115.85,1122.43,1103.34,0.75,8.32,2780388,1746334320.0,1.72,2.08
2022-01-06,1115.28,1131.31,1140.65,1113.32,1.39,15.46,3460575,1822317648.0,2.45,2.58
2022-01-07,1133.68,1141.62,1161.34,1133.68,0.91,10.31,5534981,2719999728.0,2.44,4.13
2022-01-10,1132.27,1145.47,1149.82,1120.91,0.34,3.85,4204987,2241086720.0,2.53,3.14
2022-01-11,1141.62,1142.77,1159.24,1135.6,-0.24,-2.7,3853090,2062701488.0,2.06,2.88
2022-01-12,1142.25,1146.15,1146.15,1131.22,0.3,3.38,2996465,1753722544.0,1.31,2.24
