日期,开盘,收盘,最高,最低,涨跌幅,涨跌额,成交量,成交额,振幅,换手率
2010-01-05,962.88,962.88,962.88,962.88,-3.71,-37.12,45446,57480869.0,0.0,0.28
2010-01-06,946.21,946.21,946.21,946.21,-1.73,-16.67,27552,34689524.0,0.0,0.17
2010-01-07,934.09,934.09,934.09,934.09,-1.28,-12.12,27765,34383326.0,0.0,0.17
2010-01-08,954.55,954.55,954.55,954.55,2.19,20.46,19486,24266821.0,0.0,0.12
2010-01-11,1003.03,1003.03,1003.03,1003.03,5.08,48.48,101787,135751255.0,0.0,0.64
2010-01-12,1021.97,1021.97,1021.97,1021.97,1.89,18.94,60606,81243043.0,0.0,0.38
2010-01-13,973.49,973.49,973.49,973.49,-4.74,-48.48,61403,80266930.0,0.0,0.38
2010-01-14,978.79,978.79,978.79,978.79,0.54,5.3,45813,58533924.0,0.0,0.29
2010-01-15,996.97,996.97,996.97,996.97,1.86,18.18,46436,61076385.0,0.0,0.29
2010-01-18,1011.36,1011.36,1011.36,1011.36,1.44,14.39,37774,50128511.0,0.0,0.24
2010-01-19,1000.76,1000.76,1000.76,1000.76,-1.05,-10.6,29791,39352609.0,0.0,0.19
2010-01-20,1013.64,1013.64,1013.64,1013.64,1.29,12.88,84253,113533589.0,0.0,0.53
2010-01-21,1045.45,1045.45,1045.45,1045.45,3.14,31.81,91244,124965781.0,0.0,0.57
2010-01-22,971.97,971.97,971.97,971.97,-7.03,-73.48,77791,101504543.0,0.0,0.49
2010-01-25,931.82,931.82,931.82,931.82,-4.13,-40.15,42313,52523428.0,0.0,0.26
2010-01-26,859.09,859.09,859.09,859.09,-7.81,-72.73,40604,47459398.0,0.0,0.25
2010-01-27,845.46,845.46,845.46,845.46,-1.59,-13.63,29401,32877163.0,0.0,0.18
2010-01-28,856.82,856.82,856.82,856.82,1.34,11.36,20147,22468856.0,0.0,0.13
2010-01-29,839.39,839.39,839.39,839.39,-2.03,-17.43,21536,24155807.0,0.0,0.13
2010-02-01,846.97,846.97,846.97,846.97,0.9,7.58,26431,28993693.0,0.0,0.17
2010-02-02,848.49,848.49,848.49,848.49,0.18,1.52,29639,33700794.0,0.0,0.19
2010-02-03,872.73,872.73,872.73,872.73,2.86,24.24,24513,27657640.0,0.0,0.15
