日期,开盘,收盘,最高,最低,涨跌幅,涨跌额,成交量,成交额,振幅,换手率
2010-01-04,1020.37,1020.37,1020.37,1020.37,2.04,20.37,201522,296470789.0,0.0,0.73
2010-01-05,1031.75,1031.75,1031.75,1031.75,1.12,11.38,171389,284314954.0,0.0,0.62
2010-01-06,1019.92,1019.92,1019.92,1019.92,-1.15,-11.83,155599,241701699.0,0.0,0.56
2010-01-07,987.43,987.43,987.43,987.43,-3.19,-32.49,163309,246877446.0,0.0,0.59
2010-01-08,978.09,978.09,978.09,978.09,-0.95,-9.34,119668,180527330.0,0.0,0.43
2010-01-11,999.88,999.88,999.88,999.88,2.23,21.79,142746,223602793.0,0.0,0.52
2010-01-12,1022.69,1022.69,1022.69,1022.69,2.28,22.81,189133,288485400.0,0.0,0.69
2010-01-13,1033.42,1033.42,1033.42,1033.42,1.05,10.73,248434,417670474.0,0.0,0.9
2010-01-14,1095.35,1095.35,1095.35,1095.35,5.99,61.93,304512,502543534.0,0.0,1.1
2010-01-15,1083.51,1083.51,1083.51,1083.51,-1.08,-11.84,188447,291755593.0,0.0,0.68
2010-01-18,1085.68,1085.68,1085.68,1085.68,0.2,2.17,189798,268072598.0,0.0,0.69
2010-01-19,1063.22,1063.22,1063.22,1063.22,-2.07,-22.46,159944,267736375.0,0.0,0.58
2010-01-20,1026.12,1026.12,1026.12,1026.12,-3.49,-37.1,165687,204829251.0,0.0,0.6
2010-01-21,1016.91,1016.91,1016.91,1016.91,-0.9,-9.21,116903,180326344.0,0.0,0.42
2010-01-22,1001.93,1001.93,1001.93,1001.93,-1.47,-14.98,198083,270375450.0,0.0,0.72
2010-01-25,977.21,977.21,977.21,977.21,-2.47,-24.72,128506,210628708.0,0.0,0.47
2010-01-26,946.03,946.03,946.03,946.03,-3.19,-31.18,153875,250901484.0,0.0,0.56
2010-01-27,925.22,925.22,925.22,925.22,-2.2,-20.81,92632,157308548.0,0.0,0.34
2010-01-28,927.02,927.02,927.02,927.02,0.19,1.8,83407,132403208.0,0.0,0.3
2010-01-29,925.82,925.82,925.82,925.82,-0.13,-1.2,77292,114608328.0,0.0,0.28
2010-02-01,879.52,879.52,879.52,879.52,-5.0,-46.3,142997,239156763.0,0.0,0.52
2010-02-02,878.78,878.78,878.78,878.78,-0.08,-0.74,94673,147975145.0,0.0,0.34
2010-02-03,872.41,872.41,872.41,872.41,-0.72,-6.37,127670,215242999.0,0.0,0.46
2010-02-04,878.01,878.01,878.01,878.01,0.64,5.6,118333,184592428.0,0.0,0.43
2010-02-05,867.04,867.04,867.04,867.04,-1.25,-10.97,94206,141419556.0,0.0,0.34
2010-02-08,877.58,877.58,877.58,877.58,1.22,10.54,75751,110267906.0,0.0,0.27
2010-02-09,888.08,888.08,888.08,888.08,1.2,10.5,124469,137767877.0,0.0,0.45
2010-02-10,910.97,910.97,910.97,910.97,2.58,22.89,89410,126305844.0,0.0,0.32
2010-02-11,904.33,904.33,904.33,904.33,-0.73,-6.64,63841,105482195.0,0.0,0.23
2010-02-12,919.12,919.12,919.12,919.12,1.64,14.79,63375,109746205.0,0.0,0.23
2010-02-22,907.47,907.47,907.47,907.47,-1.27,-11.65,60977,98775498.0,0.0,0.22
2010-02-23,911.02,911.02,911.02,911.02,0.39,3.55,79472,97020260.0,0.0,0.29
2010-02-24,977.82,977.82,977.82,977.82,7.33,66.8,219541,291077839.0,0.0,0.8
2010-02-25,987.62,987.62,987.62,987.62,1.0,9.8,216452,335747248.0,0.0,0.79
2010-02-26,995.09,995.09,995.09,995.09,0.76,7.47,159532,227004197.0,0.0,0.58
2010-03-01,1001.63,1001.63,1001.63,1001.63,0.66,6.54,121973,168520508.0,0.0,0.44
2010-03-02,1008.89,1008.89,1008.89,1008.89,0.72,7.26,278463,356913038.0,0.0,1.01
2010-03-03,1003.17,1003.17,1003.17,1003.17,-0.57,-5.72,225797,292332737.0,0.0,0.82
2010-03-04,952.1,952.1,952.1,952.1,-5.09,-51.07,229868,289803135.0,0.0,0.83
2010-03-05,965.89,965.89,965.89,965.89,1.45,13.79,125773,165156063.0,0.0,0.46
2010-03-08,981.04,981.04,981.04,981.04,1.57,15.15,132790,181236454.0,0.0,0.48
2010-03-09,984.13,984.13,984.13,984.13,0.31,3.09,269079,303767364.0,0.0,0.98
2010-03-10,978.28,978.28,978.28,978.28,-0.59,-5.85,230330,309028629.0,0.0,0.84
2010-03-11,979.97,979.97,979.97,979.97,0.17,1.69,125358,168257948.0,0.0,0.45
2010-03-12,966.54,966.54,966.54,966.54,-1.37,-13.43,110100,178256939.0,0.0,0.4
2010-03-15,975.01,975.01,975.01,975.01,0.88,8.47,103595,197034905.0,0.0,0.38
2010-03-16,978.72,978.72,978.72,978.72,0.38,3.71,101842,176891085.0,0.0,0.37
2010-03-17,1000.25,1000.25,1000.25,1000.25,2.2,21.53,114650,167360698.0,0.0,0.42
2010-03-18,1011.06,1011.06,1011.06,1011.06,1.08,10.81,123084,196846419.0,0.0,0.45
2010-03-19,1012.55,1012.55,1012.55,1012.55,0.15,1.49,176594,229156110.0,0.0,0.64
2010-03-22,1014.11,1014.11,1014.11,1014.11,0.15,1.56,133077,182717573.0,0.0,0.48
2010-03-23,993.25,993.25,993.25,993.25,-2.06,-20.86,117274,185571830.0,0.0,0.43
2010-03-24,1029.87,1029.87,1029.87,1029.87,3.69,36.62,131265,286925037.0,0.0,0.48
2010-03-25,1022.7,1022.7,1022.7,1022.7,-0.7,-7.17,162148,316416235.0,0.0,0.59
2010-03-26,1020.26,1020.26,1020.26,1020.26,-0.24,-2.44,119677,222905692.0,0.0,0.43
2010-03-29,1036.57,1036.57,1036.57,1036.57,1.6,16.31,118521,174980564.0,0.0,0.43
2010-03-30,1045.73,1045.73,1045.73,1045.73,0.88,9.16,135324,243520315.0,0.0,0.49
2010-03-31,1060.26,1060.26,1060.26,1060.26,1.39,14.53,132764,265200641.0,0.0,0.48
2010-04-01,1075.85,1075.85,1075.85,1075.85,1.47,15.59,260041,391204530.0,0.0,0.94
2010-04-02,1064.02,1064.02,1064.02,1064.02,-1.1,-11.83,155299,264991227.0,0.0,0.56
2010-04-06,1073.55,1073.55,1073.55,1073.55,0.9,9.53,134123,243116230.0,0.0,0.49
2010-04-07,1083.86,1083.86,1083.86,1083.86,0.96,10.31,141524,291178968.0,0.0,0.51
2010-04-08,1093.6,1093.6,1093.6,1093.6,0.9,9.74,211634,448734495.0,0.0,0.77
2010-04-09,1125.92,1125.92,1125.92,1125.92,2.96,32.32,225082,459874147.0,0.0,0.82
2010-04-12,1149.16,1149.16,1149.16,1149.16,2.06,23.24,295204,609526967.0,0.0,1.07
2010-04-13,1092.91,1092.91,1092.91,1092.91,-4.89,-56.25,213358,393505197.0,0.0,0.77
2010-04-14,1090.4,1090.4,1090.4,1090.4,-0.23,-2.51,102471,198751793.0,0.0,0.37
2010-04-15,1052.98,1052.98,1052.98,1052.98,-3.43,-37.42,143214,259032519.0,0.0,0.52
2010-04-16,1063.08,1063.08,1063.08,1063.08,0.96,10.1,108533,196129789.0,0.0,0.39
2010-04-19,1021.13,1021.13,1021.13,1021.13,-3.95,-41.95,148609,262845308.0,0.0,0.54
2010-04-20,1038.48,1038.48,1038.48,1038.48,1.7,17.35,124900,223819708.0,0.0,0.45
2010-04-21,1052.33,1052.33,1052.33,1052.33,1.33,13.85,113374,208171300.0,0.0,0.41
2010-04-22,1086.1,1086.1,1086.1,1086.1,3.21,33.77,141645,286037584.0,0.0,0.51
2010-04-23,1060.49,1060.49,1060.49,1060.49,-2.36,-25.61,97696,138332889.0,0.0,0.35
2010-04-26,1044.49,1044.49,1044.49,1044.49,-1.51,-16.0,97073,191226620.0,0.0,0.35
2010-04-27,1017.74,1017.74,1017.74,1017.74,-2.56,-26.75,129486,231141534.0,0.0,0.47
2010-04-28,1009.37,1009.37,1009.37,1009.37,-0.82,-8.37,76957,142292481.0,0.0,0.28
2010-04-29,978.9,978.9,978.9,978.9,-3.02,-30.47,84780,141173287.0,0.0,0.31
2010-04-30,959.04,959.04,959.04,959.04,-2.03,-19.86,86868,151835161.0,0.0,0.32
2010-05-04,946.81,946.81,946.81,946.81,-1.28,-12.23,50747,84127606.0,0.0,0.18
2010-05-05,961.97,961.97,961.97,961.97,1.6,15.16,103893,186455410.0,0.0,0.38
2010-05-06,939.46,939.46,939.46,939.46,-2.34,-22.51,101648,175349326.0,0.0,0.37
2010-05-07,943.31,943.31,943.31,943.31,0.41,3.85,116979,173685792.0,0.0,0.42
2010-05-10,923.78,923.78,923.78,923.78,-2.07,-19.53,227091,280897468.0,0.0,0.82
2010-05-11,894.35,894.35,894.35,894.35,-3.19,-29.43,111237,135365463.0,0.0,0.4
2010-05-12,873.96,873.96,873.96,873.96,-2.28,-20.39,111915,137328949.0,0.0,0.41
2010-05-13,886.61,886.61,886.61,886.61,1.45,12.65,78086,95436325.0,0.0,0.28
2010-05-14,889.7,889.7,889.7,889.7,0.35,3.09,70376,84681391.0,0.0,0.26
2010-05-17,828.9,828.9,828.9,828.9,-6.83,-60.8,81070,92114846.0,0.0,0.29
2010-05-18,835.4,835.4,835.4,835.4,0.78,6.5,71614,80263084.0,0.0,0.26
2010-05-19,836.97,836.97,836.97,836.97,0.19,1.57,70098,84227372.0,0.0,0.25
2010-05-20,816.76,816.76,816.76,816.76,-2.41,-20.21,64700,77362832.0,0.0,0.23
2010-05-21,830.11,830.11,830.11,830.11,1.63,13.35,75009,85859448.0,0.0,0.27
2010-05-24,875.3,875.3,875.3,875.3,5.44,45.19,110709,128182953.0,0.0,0.4
2010-05-25,881.72,881.72,881.72,881.72,0.73,6.42,117468,128791104.0,0.0,0.43
2010-05-26,877.92,877.92,877.92,877.92,-0.43,-3.8,62007,69925126.0,0.0,0.22
2010-05-27,903.9,903.9,903.9,903.9,2.96,25.98,125022,134096270.0,0.0,0.45
2010-05-28,914.56,914.56,914.56,914.56,1.18,10.66,122429,170161256.0,0.0,0.44
2010-05-31,880.58,880.58,880.58,880.58,-3.72,-33.98,78776,92636322.0,0.0,0.29
2010-06-01,864.85,864.85,864.85,864.85,-1.79,-15.73,69363,81290691.0,0.0,0.25
2010-06-02,892.86,892.86,892.86,892.86,3.24,28.01,92992,98081598.0,0.0,0.34
2010-06-03,879.02,879.02,879.02,879.02,-1.55,-13.84,122331,169320869.0,0.0,0.44
2010-06-04,911.16,911.16,911.16,911.16,3.66,32.14,156252,172968855.0,0.0,0.57
2010-06-07,950.54,950.54,950.54,950.54,4.32,39.38,258854,304245265.0,0.0,0.94
2010-06-08,947.49,947.49,947.49,947.49,-0.32,-3.05,162128,229626848.0,0.0,0.59
2010-06-09,952.34,952.34,952.34,952.34,0.51,4.85,156412,218898949.0,0.0,0.57
2010-06-10,980.1,980.1,980.1,980.1,2.91,27.76,86120,167025572.0,0.0,0.31
2010-06-11,965.8,965.8,965.8,965.8,-1.46,-14.3,129320,196364841.0,0.0,0.47
2010-06-17,954.8,954.8,954.8,954.8,-1.14,-11.0,54309,68894493.0,0.0,0.2
2010-06-18,900.87,900.87,900.87,900.87,-5.65,-53.93,102844,141293216.0,0.0,0.37
2010-06-21,917.63,917.63,917.63,917.63,1.86,16.76,88231,126666352.0,0.0,0.32
2010-06-22,908.57,908.57,908.57,908.57,-0.99,-9.06,78063,103409252.0,0.0,0.28
2010-06-23,917.8,917.8,917.8,917.8,1.02,9.23,88246,98639449.0,0.0,0.32
2010-06-24,914.81,914.81,914.81,914.81,-0.33,-2.99,72674,93446629.0,0.0,0.26
2010-06-25,893.25,893.25,893.25,893.25,-2.36,-21.56,75790,95650100.0,0.0,0.27
2010-06-28,868.97,868.97,868.97,868.97,-2.72,-24.28,78764,84928418.0,0.0,0.29
2010-06-29,826.71,826.71,826.71,826.71,-4.86,-42.26,65855,106061670.0,0.0,0.24
2010-06-30,812.95,812.95,812.95,812.95,-1.66,-13.76,100097,113768307.0,0.0,0.36
2010-07-01,774.94,774.94,774.94,774.94,-4.68,-38.01,63838,69827201.0,0.0,0.23
2010-07-02,782.78,782.78,782.78,782.78,1.01,7.84,67016,76491775.0,0.0,0.24
