日期,开盘,收盘,最高,最低,涨跌幅,涨跌额,成交量,成交额,振幅,换手率
2010-01-04,1027.86,1027.86,1027.86,1027.86,2.79,27.86,32001,121015226.0,0.0,0.04
2010-01-05,1034.62,1034.62,1034.62,1034.62,0.66,6.76,29677,114556438.0,0.0,0.04
2010-01-06,1035.22,1035.22,1035.22,1035.22,0.06,0.6,189451,236692248.0,0.0,0.25
2010-01-07,994.07,994.07,994.07,994.07,-3.98,-41.15,147865,172367758.0,0.0,0.19
2010-01-08,993.81,993.81,993.81,993.81,-0.03,-0.26,75917,99664225.0,0.0,0.1
2010-01-11,1022.46,1022.46,1022.46,1022.46,2.88,28.65,68872,131585244.0,0.0,0.09
2010-01-12,1013.58,1013.58,1013.58,1013.58,-0.87,-8.88,66196,114941999.0,0.0,0.09
2010-01-13,1039.55,1039.55,1039.55,1039.55,2.56,25.97,90711,151997851.0,0.0,0.12
2010-01-14,1075.06,1075.06,1075.06,1075.06,3.42,35.51,74403,124671434.0,0.0,0.1
2010-01-15,1069.03,1069.03,1069.03,1069.03,-0.56,-6.03,56762,81518803.0,0.0,0.07
2010-01-18,1079.59,1079.59,1079.59,1079.59,0.99,10.56,54768,71144490.0,0.0,0.07
2010-01-19,1058.76,1058.76,1058.76,1058.76,-1.93,-20.83,61263,81434340.0,0.0,0.08
2010-01-20,984.29,984.29,984.29,984.29,-7.03,-74.47,85624,133649449.0,0.0,0.11
2010-01-21,980.93,980.93,980.93,980.93,-0.34,-3.36,53137,86763271.0,0.0,0.07
2010-01-22,972.92,972.92,972.92,972.92,-0.82,-8.01,53087,74443956.0,0.0,0.07
2010-01-25,972.13,972.13,972.13,972.13,-0.08,-0.79,30639,53559003.0,0.0,0.04
2010-01-26,951.97,951.97,951.97,951.97,-2.07,-20.16,45435,60358294.0,0.0,0.06
2010-01-27,951.87,951.87,951.87,951.87,-0.01,-0.1,62871,75517837.0,0.0,0.08
2010-01-28,954.13,954.13,954.13,954.13,0.24,2.26,44361,57763138.0,0.0,0.06
2010-01-29,956.22,956.22,956.22,956.22,0.22,2.09,45368,70804543.0,0.0,0.06
2010-02-01,906.29,906.29,906.29,906.29,-5.22,-49.93,43653,66538876.0,0.0,0.06
2010-02-02,896.43,896.43,896.43,896.43,-1.09,-9.86,32598,44427599.0,0.0,0.04
2010-02-03,889.22,889.22,889.22,889.22,-0.8,-7.21,44359,65541424.0,0.0,0.06
2010-02-04,891.32,891.32,891.32,891.32,0.24,2.1,42019,50974586.0,0.0,0.06
2010-02-05,884.08,884.08,884.08,884.08,-0.81,-7.24,47731,53430856.0,0.0,0.06
2010-02-08,890.29,890.29,890.29,890.29,0.7,6.21,20739,25668464.0,0.0,0.03
2010-02-09,909.03,909.03,909.03,909.03,2.1,18.74,33251,36546189.0,0.0,0.04
2010-02-10,937.55,937.55,937.55,937.55,3.14,28.52,82259,75885392.0,0.0,0.11
2010-02-11,937.75,937.75,937.75,937.75,0.02,0.2,40344,44567052.0,0.0,0.05
2010-02-12,987.69,987.69,987.69,987.69,5.33,49.94,117628,107115529.0,0.0,0.15
2010-02-22,971.75,971.75,971.75,971.75,-1.61,-15.94,240136,223048588.0,0.0,0.32
2010-02-23,963.54,963.54,963.54,963.54,-0.84,-8.21,106386,99072225.0,0.0,0.14
2010-02-24,995.8,995.8,995.8,995.8,3.35,32.26,85871,96788065.0,0.0,0.11
2010-02-25,1013.13,1013.13,1013.13,1013.13,1.74,17.33,125460,131014048.0,0.0,0.17
2010-02-26,1020.53,1020.53,1020.53,1020.53,0.73,7.4,6162,22733855.0,0.0,0.01
2010-03-01,1019.55,1019.55,1019.55,1019.55,-0.1,-0.98,83663,93442839.0,0.0,0.11
2010-03-02,1046.08,1046.08,1046.08,1046.08,2.6,26.53,192495,186322831.0,0.0,0.25
2010-03-03,1036.67,1036.67,1036.67,1036.67,-0.9,-9.41,120131,129144972.0,0.0,0.16
2010-03-04,1012.54,1012.54,1012.54,1012.54,-2.33,-24.13,184247,191311902.0,0.0,0.24
2010-03-05,1031.91,1031.91,1031.91,1031.91,1.91,19.37,129433,155357760.0,0.0,0.17
2010-03-08,1057.41,1057.41,1057.41,1057.41,2.47,25.5,103093,130288883.0,0.0,0.14
2010-03-09,1056.44,1056.44,1056.44,1056.44,-0.09,-0.97,75283,88698144.0,0.0,0.1
2010-03-10,1018.83,1018.83,1018.83,1018.83,-3.56,-37.61,111759,113215635.0,0.0,0.15
2010-03-11,1024.86,1024.86,1024.86,1024.86,0.59,6.03,45990,53433962.0,0.0,0.06
2010-03-12,1010.75,1010.75,1010.75,1010.75,-1.38,-14.11,58108,81224857.0,0.0,0.08
2010-03-15,1005.54,1005.54,1005.54,1005.54,-0.52,-5.21,33337,46217931.0,0.0,0.04
2010-03-16,1024.16,1024.16,1024.16,1024.16,1.85,18.62,30642,41299334.0,0.0,0.04
2010-03-17,1047.68,1047.68,1047.68,1047.68,2.3,23.52,60413,85193421.0,0.0,0.08
2010-03-18,1045.33,1045.33,1045.33,1045.33,-0.22,-2.35,45195,61032616.0,0.0,0.06
2010-03-19,1059.32,1059.32,1059.32,1059.32,1.34,13.99,56867,92547687.0,0.0,0.07
2010-03-22,1063.9,1063.9,1063.9,1063.9,0.43,4.58,58650,80247663.0,0.0,0.08
