日期,开盘,收盘,最高,最低,涨跌幅,涨跌额,成交量,成交额,振幅,换手率
2010-01-04,1003.21,1003.21,1003.21,1003.21,0.32,3.21,32066,46951055.0,0.0,0.13
2010-01-05,1008.5,1008.5,1008.5,1008.5,0.53,5.29,28703,44365540.0,0.0,0.12
2010-01-06,1013.92,1013.92,1013.92,1013.92,0.54,5.42,40773,55842726.0,0.0,0.17
2010-01-07,1024.3,1024.3,1024.3,1024.3,1.02,10.38,42343,77064015.0,0.0,0.18
2010-01-08,1020.94,1020.94,1020.94,1020.94,-0.33,-3.36,26882,51355080.0,0.0,0.11
2010-01-11,1037.75,1037.75,1037.75,1037.75,1.65,16.81,25658,52312114.0,0.0,0.11
2010-01-12,1054.17,1054.17,1054.17,1054.17,1.58,16.42,37991,65213028.0,0.0,0.16
2010-01-13,1049.29,1049.29,1049.29,1049.29,-0.46,-4.88,29973,49726924.0,0.0,0.13
2010-01-14,1074.88,1074.88,1074.88,1074.88,2.44,25.59,37712,64392702.0,0.0,0.16
2010-01-15,1089.67,1089.67,1089.67,1089.67,1.38,14.79,61982,83566550.0,0.0,0.26
2010-01-18,1097.12,1097.12,1097.12,1097.12,0.68,7.45,33588,61021406.0,0.0,0.14
2010-01-19,1070.85,1070.85,1070.85,1070.85,-2.39,-26.27,30788,53475377.0,0.0,0.13
2010-01-20,1017.12,1017.12,1017.12,1017.12,-5.02,-53.73,42802,74659073.0,0.0,0.18
2010-01-21,996.44,996.44,996.44,996.44,-2.03,-20.68,51053,124877372.0,0.0,0.21
2010-01-22,969.85,969.85,969.85,969.85,-2.67,-26.59,39330,79880789.0,0.0,0.17
2010-01-25,975.71,975.71,975.71,975.71,0.6,5.86,30341,58193224.0,0.0,0.13
2010-01-26,938.52,938.52,938.52,938.52,-3.81,-37.19,26569,51330539.0,0.0,0.11
2010-01-27,939.46,939.46,939.46,939.46,0.1,0.94,18728,34496979.0,0.0,0.08
2010-01-28,949.35,949.35,949.35,949.35,1.05,9.89,19135,30406581.0,0.0,0.08
2010-01-29,949.2,949.2,949.2,949.2,-0.02,-0.15,18883,32514090.0,0.0,0.08
2010-02-01,928.88,928.88,928.88,928.88,-2.14,-20.32,20154,34365548.0,0.0,0.08
2010-02-02,934.16,934.16,934.16,934.16,0.57,5.28,18493,25183422.0,0.0,0.08
2010-02-03,949.94,949.94,949.94,949.94,1.69,15.78,23218,39021583.0,0.0,0.1
2010-02-04,961.27,961.27,961.27,961.27,1.19,11.33,27372,36602569.0,0.0,0.11
2010-02-05,937.16,937.16,937.16,937.16,-2.51,-24.11,21838,34563986.0,0.0,0.09
2010-02-08,939.0,939.0,939.0,939.0,0.2,1.84,8000,11558601.0,0.0,0.03
2010-02-09,944.18,944.18,944.18,944.18,0.55,5.18,8510,14949999.0,0.0,0.04
2010-02-10,953.25,953.25,953.25,953.25,0.96,9.07,10702,15895230.0,0.0,0.04
2010-02-11,945.92,945.92,945.92,945.92,-0.77,-7.33,14599,19796776.0,0.0,0.06
2010-02-12,947.02,947.02,947.02,947.02,0.12,1.1,11124,14815341.0,0.0,0.05
2010-02-22,933.17,933.17,933.17,933.17,-1.46,-13.85,12979,24059022.0,0.0,0.05
2010-02-23,937.37,937.37,937.37,937.37,0.45,4.2,15964,26361011.0,0.0,0.07
2010-02-24,964.63,964.63,964.63,964.63,2.91,27.26,16702,16290141.0,0.0,0.07
2010-02-25,1000.8,1000.8,1000.8,1000.8,3.75,36.17,40456,72209055.0,0.0,0.17
2010-02-26,996.85,996.85,996.85,996.85,-0.39,-3.95,25945,39559401.0,0.0,0.11
2010-03-01,1006.04,1006.04,1006.04,1006.04,0.92,9.19,31259,50191104.0,0.0,0.13
2010-03-02,1004.48,1004.48,1004.48,1004.48,-0.16,-1.56,31295,57923832.0,0.0,0.13
2010-03-03,1012.75,1012.75,1012.75,1012.75,0.82,8.27,34085,51432080.0,0.0,0.14
2010-03-04,975.59,975.59,975.59,975.59,-3.67,-37.16,32407,47678235.0,0.0,0.14
2010-03-05,971.37,971.37,971.37,971.37,-0.43,-4.22,18748,29974998.0,0.0,0.08
2010-03-08,985.32,985.32,985.32,985.32,1.44,13.95,17839,28414453.0,0.0,0.07
2010-03-09,997.13,997.13,997.13,997.13,1.2,11.81,23350,43090687.0,0.0,0.1
2010-03-10,989.21,989.21,989.21,989.21,-0.79,-7.92,22898,39221387.0,0.0,0.1
