日期,开盘,收盘,最高,最低,涨跌幅,涨跌额,成交量,成交额,振幅,换手率
2010-01-04,998.81,998.81,998.81,998.81,-0.12,-1.19,599768,728635702.0,0.0,0.42
2010-01-05,1011.74,1011.74,1011.74,1011.74,1.29,12.93,691175,862114819.0,0.0,0.48
2010-01-06,1008.96,1008.96,1008.96,1008.96,-0.27,-2.78,679059,888837040.0,0.0,0.47
2010-01-07,1000.35,1000.35,1000.35,1000.35,-0.85,-8.61,1059805,1288774080.0,0.0,0.74
2010-01-08,1010.19,1010.19,1010.19,1010.19,0.98,9.84,656501,783437646.0,0.0,0.46
2010-01-11,1030.2,1030.2,1030.2,1030.2,1.98,20.01,1089374,1262549826.0,0.0,0.76
2010-01-12,1052.43,1052.43,1052.43,1052.43,2.16,22.23,1277347,1598338466.0,0.0,0.89
2010-01-13,1052.1,1052.1,1052.1,1052.1,-0.03,-0.33,1247155,1645158051.0,0.0,0.87
2010-01-14,1070.13,1070.13,1070.13,1070.13,1.71,18.03,1163193,1385500128.0,0.0,0.81
2010-01-15,1080.43,1080.43,1080.43,1080.43,0.96,10.3,952486,1206157666.0,0.0,0.66
2010-01-18,1111.79,1111.79,1111.79,1111.79,2.9,31.36,1210056,1477775337.0,0.0,0.84
2010-01-19,1112.48,1112.48,1112.48,1112.48,0.06,0.69,1011848,1328658404.0,0.0,0.7
2010-01-20,1071.9,1071.9,1071.9,1071.9,-3.65,-40.58,1120562,1445972295.0,0.0,0.78
2010-01-21,1091.08,1091.08,1091.08,1091.08,1.79,19.18,785992,897454772.0,0.0,0.55
2010-01-22,1061.54,1061.54,1061.54,1061.54,-2.71,-29.54,1036916,1267028299.0,0.0,0.72
2010-01-25,1051.37,1051.37,1051.37,1051.37,-0.96,-10.17,860065,984032806.0,0.0,0.6
2010-01-26,1003.31,1003.31,1003.31,1003.31,-4.57,-48.06,782128,874553816.0,0.0,0.54
2010-01-27,1001.13,1001.13,1001.13,1001.13,-0.22,-2.18,638359,724422665.0,0.0,0.44
2010-01-28,1027.62,1027.62,1027.62,1027.62,2.65,26.49,587395,759086591.0,0.0,0.41
2010-01-29,1041.72,1041.72,1041.72,1041.72,1.37,14.1,747218,894683430.0,0.0,0.52
2010-02-01,1044.17,1044.17,1044.17,1044.17,0.24,2.45,705228,870951211.0,0.0,0.49
2010-02-02,1029.46,1029.46,1029.46,1029.46,-1.41,-14.71,548602,685284323.0,0.0,0.38
2010-02-03,1047.68,1047.68,1047.68,1047.68,1.77,18.22,915167,1112171451.0,0.0,0.64
2010-02-04,1084.32,1084.32,1084.32,1084.32,3.5,36.64,1242181,1540967303.0,0.0,0.86
2010-02-05,1073.19,1073.19,1073.19,1073.19,-1.03,-11.13,2018987,2396971408.0,0.0,1.41
2010-02-08,1075.76,1075.76,1075.76,1075.76,0.24,2.57,1192488,1378190396.0,0.0,0.83
2010-02-09,1056.41,1056.41,1056.41,1056.41,-1.8,-19.35,785649,931483556.0,0.0,0.55
2010-02-10,1069.39,1069.39,1069.39,1069.39,1.23,12.98,659414,779591942.0,0.0,0.46
2010-02-11,1060.11,1060.11,1060.11,1060.11,-0.87,-9.28,671739,798745910.0,0.0,0.47
2010-02-12,1080.18,1080.18,1080.18,1080.18,1.89,20.07,540938,637587334.0,0.0,0.38
2010-02-22,1081.73,1081.73,1081.73,1081.73,0.14,1.55,788906,940836024.0,0.0,0.55
2010-02-23,1093.8,1093.8,1093.8,1093.8,1.12,12.07,1103154,1237911696.0,0.0,0.77
2010-02-24,1109.08,1109.08,1109.08,1109.08,1.4,15.28,870450,1033230660.0,0.0,0.61
2010-02-25,1131.66,1131.66,1131.66,1131.66,2.04,22.58,1206823,1504144073.0,0.0,0.84
2010-02-26,1131.2,1131.2,1131.2,1131.2,-0.04,-0.46,1040299,1244960073.0,0.0,0.72
2010-03-01,1152.85,1152.85,1152.85,1152.85,1.91,21.65,1319953,1650351587.0,0.0,0.92
2010-03-02,1146.51,1146.51,1146.51,1146.51,-0.55,-6.34,1193509,1412297587.0,0.0,0.83
2010-03-03,1148.13,1148.13,1148.13,1148.13,0.14,1.62,906094,1086110625.0,0.0,0.63
2010-03-04,1114.64,1114.64,1114.64,1114.64,-2.92,-33.49,1051764,1240310901.0,0.0,0.73
2010-03-05,1121.28,1121.28,1121.28,1121.28,0.6,6.64,749362,889330459.0,0.0,0.52
2010-03-08,1127.81,1127.81,1127.81,1127.81,0.58,6.53,594106,739841542.0,0.0,0.41
2010-03-09,1122.34,1122.34,1122.34,1122.34,-0.49,-5.47,558190,672183851.0,0.0,0.39
2010-03-10,1112.37,1112.37,1112.37,1112.37,-0.89,-9.97,520439,623001051.0,0.0,0.36
2010-03-11,1099.71,1099.71,1099.71,1099.71,-1.14,-12.66,551605,646343079.0,0.0,0.38
2010-03-12,1081.71,1081.71,1081.71,1081.71,-1.64,-18.0,514290,603001194.0,0.0,0.36
2010-03-15,1073.07,1073.07,1073.07,1073.07,-0.8,-8.64,396117,484639398.0,0.0,0.28
2010-03-16,1086.35,1086.35,1086.35,1086.35,1.24,13.28,387280,425888413.0,0.0,0.27
2010-03-17,1110.57,1110.57,1110.57,1110.57,2.23,24.22,553178,638001336.0,0.0,0.39
2010-03-18,1109.85,1109.85,1109.85,1109.85,-0.06,-0.72,461740,558168475.0,0.0,0.32
2010-03-19,1122.25,1122.25,1122.25,1122.25,1.12,12.4,524615,652115722.0,0.0,0.37
2010-03-22,1137.8,1137.8,1137.8,1137.8,1.39,15.55,831242,1006131404.0,0.0,0.58
2010-03-23,1138.15,1138.15,1138.15,1138.15,0.03,0.35,853935,1067814837.0,0.0,0.59
2010-03-24,1132.83,1132.83,1132.83,1132.83,-0.47,-5.32,699993,868754099.0,0.0,0.49
2010-03-25,1115.76,1115.76,1115.76,1115.76,-1.51,-17.07,633525,807269661.0,0.0,0.44
2010-03-26,1141.56,1141.56,1141.56,1141.56,2.31,25.8,739282,1005967631.0,0.0,0.51
2010-03-29,1139.93,1139.93,1139.93,1139.93,-0.14,-1.63,587272,772732743.0,0.0,0.41
2010-03-30,1146.38,1146.38,1146.38,1146.38,0.57,6.45,593094,773017881.0,0.0,0.41
2010-03-31,1151.36,1151.36,1151.36,1151.36,0.43,4.98,528812,740359908.0,0.0,0.37
2010-04-01,1162.25,1162.25,1162.25,1162.25,0.95,10.89,710366,945534989.0,0.0,0.49
2010-04-02,1161.26,1161.26,1161.26,1161.26,-0.09,-0.99,636186,847976076.0,0.0,0.44
2010-04-06,1166.05,1166.05,1166.05,1166.05,0.41,4.79,640116,853586339.0,0.0,0.45
2010-04-07,1167.76,1167.76,1167.76,1167.76,0.15,1.71,598220,769184135.0,0.0,0.42
2010-04-08,1165.61,1165.61,1165.61,1165.61,-0.18,-2.15,833208,1069925508.0,0.0,0.58
2010-04-09,1191.75,1191.75,1191.75,1191.75,2.24,26.14,969321,1419606675.0,0.0,0.67
2010-04-12,1213.38,1213.38,1213.38,1213.38,1.81,21.63,1243664,1786403605.0,0.0,0.87
2010-04-13,1187.46,1187.46,1187.46,1187.46,-2.14,-25.92,998204,1377764569.0,0.0,0.69
2010-04-14,1218.83,1218.83,1218.83,1218.83,2.64,31.37,1069878,1515578227.0,0.0,0.74
2010-04-15,1198.88,1198.88,1198.88,1198.88,-1.64,-19.95,802414,1104344572.0,0.0,0.56
2010-04-16,1201.26,1201.26,1201.26,1201.26,0.2,2.38,504779,758899248.0,0.0,0.35
2010-04-19,1152.32,1152.32,1152.32,1152.32,-4.07,-48.94,854722,1338304754.0,0.0,0.6
2010-04-20,1173.51,1173.51,1173.51,1173.51,1.84,21.19,648402,988440781.0,0.0,0.45
2010-04-21,1211.99,1211.99,1211.99,1211.99,3.28,38.48,740644,1154944077.0,0.0,0.52
2010-04-22,1233.36,1233.36,1233.36,1233.36,1.76,21.37,1089397,1722933325.0,0.0,0.76
2010-04-23,1227.31,1227.31,1227.31,1227.31,-0.49,-6.05,843866,1277504252.0,0.0,0.59
2010-04-26,1240.35,1240.35,1240.35,1240.35,1.06,13.04,765112,1232860136.0,0.0,0.53
2010-04-27,1205.66,1205.66,1205.66,1205.66,-2.8,-34.69,726904,1064378203.0,0.0,0.51
2010-04-28,1210.39,1210.39,1210.39,1210.39,0.39,4.73,635146,977084566.0,0.0,0.44
2010-04-29,1152.23,1152.23,1152.23,1152.23,-4.81,-58.16,940993,1426467193.0,0.0,0.66
2010-04-30,1112.17,1112.17,1112.17,1112.17,-3.48,-40.06,660782,883268288.0,0.0,0.46
2010-05-04,1103.65,1103.65,1103.65,1103.65,-0.77,-8.52,373718,514272287.0,0.0,0.26
2010-05-05,1124.55,1124.55,1124.55,1124.55,1.89,20.9,498328,693915766.0,0.0,0.35
2010-05-06,1085.31,1085.31,1085.31,1085.31,-3.49,-39.24,539475,768781171.0,0.0,0.38
2010-05-07,1066.28,1066.28,1066.28,1066.28,-1.75,-19.03,503656,688691962.0,0.0,0.35
2010-05-10,1045.57,1045.57,1045.57,1045.57,-1.94,-20.71,384146,494695071.0,0.0,0.27
2010-05-11,1006.3,1006.3,1006.3,1006.3,-3.76,-39.27,421158,513525524.0,0.0,0.29
2010-05-12,971.6,971.6,971.6,971.6,-3.45,-34.7,423427,497580083.0,0.0,0.29
2010-05-13,1008.42,1008.42,1008.42,1008.42,3.79,36.82,485487,584081353.0,0.0,0.34
2010-05-14,1008.08,1008.08,1008.08,1008.08,-0.03,-0.34,399872,466269811.0,0.0,0.28
2010-05-17,948.64,948.64,948.64,948.64,-5.9,-59.44,450037,499641830.0,0.0,0.31
2010-05-18,959.69,959.69,959.69,959.69,1.16,11.05,390575,456708149.0,0.0,0.27
2010-05-19,963.67,963.67,963.67,963.67,0.41,3.98,426420,483624447.0,0.0,0.3
2010-05-20,948.19,948.19,948.19,948.19,-1.61,-15.48,409684,425521282.0,0.0,0.29
2010-05-21,964.0,964.0,964.0,964.0,1.67,15.81,628536,639257336.0,0.0,0.44
2010-05-24,1003.32,1003.32,1003.32,1003.32,4.08,39.32,772619,860626797.0,0.0,0.54
2010-05-25,991.77,991.77,991.77,991.77,-1.15,-11.55,533762,607295770.0,0.0,0.37
2010-05-26,991.62,991.62,991.62,991.62,-0.02,-0.15,485935,594910182.0,0.0,0.34
2010-05-27,1004.67,1004.67,1004.67,1004.67,1.32,13.05,479790,546758116.0,0.0,0.33
2010-05-28,1013.95,1013.95,1013.95,1013.95,0.92,9.28,408350,512248157.0,0.0,0.28
2010-05-31,998.81,998.81,998.81,998.81,-1.49,-15.14,476979,584070179.0,0.0,0.33
2010-06-01,986.66,986.66,986.66,986.66,-1.22,-12.15,462482,521267547.0,0.0,0.32
2010-06-02,1004.18,1004.18,1004.18,1004.18,1.78,17.52,496311,632839852.0,0.0,0.35
2010-06-03,1007.03,1007.03,1007.03,1007.03,0.28,2.85,542016,710514858.0,0.0,0.38
2010-06-04,1009.41,1009.41,1009.41,1009.41,0.24,2.38,431100,551811904.0,0.0,0.3
2010-06-07,1009.11,1009.11,1009.11,1009.11,-0.03,-0.3,354786,416500757.0,0.0,0.25
2010-06-08,1019.14,1019.14,1019.14,1019.14,0.99,10.03,412315,491788320.0,0.0,0.29
2010-06-09,1045.1,1045.1,1045.1,1045.1,2.55,25.96,618713,747911507.0,0.0,0.43
2010-06-10,1042.74,1042.74,1042.74,1042.74,-0.23,-2.36,520882,610351145.0,0.0,0.36
2010-06-11,1037.34,1037.34,1037.34,1037.34,-0.52,-5.4,394711,501268880.0,0.0,0.27
2010-06-17,1025.44,1025.44,1025.44,1025.44,-1.15,-11.9,357294,445037870.0,0.0,0.25
2010-06-18,977.74,977.74,977.74,977.74,-4.65,-47.7,383497,459074379.0,0.0,0.27
2010-06-21,1008.44,1008.44,1008.44,1008.44,3.14,30.7,337438,382252097.0,0.0,0.23
2010-06-22,1025.01,1025.01,1025.01,1025.01,1.64,16.57,494389,562326874.0,0.0,0.34
2010-06-23,1015.18,1015.18,1015.18,1015.18,-0.96,-9.83,400671,449643148.0,0.0,0.28
2010-06-24,1024.33,1024.33,1024.33,1024.33,0.9,9.15,324185,341373775.0,0.0,0.23
2010-06-25,1011.87,1011.87,1011.87,1011.87,-1.22,-12.46,327414,380859781.0,0.0,0.23
2010-06-28,997.8,997.8,997.8,997.8,-1.39,-14.07,247064,302483196.0,0.0,0.17
2010-06-29,941.0,941.0,941.0,941.0,-5.69,-56.8,424968,490235456.0,0.0,0.3
2010-06-30,919.83,919.83,919.83,919.83,-2.25,-21.17,292630,312538809.0,0.0,0.2
2010-07-01,906.45,906.45,906.45,906.45,-1.45,-13.38,231163,251661439.0,0.0,0.16
2010-07-02,903.95,903.95,903.95,903.95,-0.28,-2.5,338847,359802389.0,0.0,0.24
2010-07-05,913.28,913.28,913.28,913.28,1.03,9.33,416135,446970441.0,0.0,0.29
2010-07-06,934.46,934.46,934.46,934.46,2.32,21.18,376626,399871161.0,0.0,0.26
2010-07-07,940.75,940.75,940.75,940.75,0.67,6.29,293547,324493071.0,0.0,0.2
2010-07-08,946.42,946.42,946.42,946.42,0.6,5.67,427700,409090360.0,0.0,0.3
2010-07-09,971.18,971.18,971.18,971.18,2.62,24.76,549761,562729076.0,0.0,0.38
2010-07-12,976.25,976.25,976.25,976.25,0.52,5.07,505497,541146091.0,0.0,0.35
2010-07-13,963.26,963.26,963.26,963.26,-1.33,-12.99,385227,399196660.0,0.0,0.27
2010-07-14,970.84,970.84,970.84,970.84,0.79,7.58,376448,406649362.0,0.0,0.26
2010-07-15,953.66,953.66,953.66,953.66,-1.77,-17.18,498393,522921141.0,0.0,0.35
2010-07-16,960.08,960.08,960.08,960.08,0.67,6.42,397362,424053737.0,0.0,0.28
2010-07-19,975.73,975.73,975.73,975.73,1.63,15.65,469940,536999446.0,0.0,0.33
2010-07-20,996.05,996.05,996.05,996.05,2.08,20.32,745553,886006650.0,0.0,0.52
2010-07-21,1002.95,1002.95,1002.95,1002.95,0.69,6.9,725230,825843428.0,0.0,0.5
2010-07-22,1011.86,1011.86,1011.86,1011.86,0.89,8.91,504311,579928766.0,0.0,0.35
2010-07-23,1012.66,1012.66,1012.66,1012.66,0.08,0.8,520706,629163127.0,0.0,0.36
2010-07-26,1022.42,1022.42,1022.42,1022.42,0.96,9.76,532593,620982672.0,0.0,0.37
2010-07-27,1041.04,1041.04,1041.04,1041.04,1.82,18.62,994440,1168651904.0,0.0,0.69
2010-07-28,1052.29,1052.29,1052.29,1052.29,1.08,11.25,759434,879201433.0,0.0,0.53
2010-07-29,1058.53,1058.53,1058.53,1058.53,0.59,6.24,737639,875264981.0,0.0,0.51
2010-07-30,1067.78,1067.78,1067.78,1067.78,0.87,9.25,687183,824751823.0,0.0,0.48
2010-08-02,1083.16,1083.16,1083.16,1083.16,1.44,15.38,790128,957524197.0,0.0,0.55
2010-08-03,1062.36,1062.36,1062.36,1062.36,-1.92,-20.8,788139,974052345.0,0.0,0.55
2010-08-04,1077.77,1077.77,1077.77,1077.77,1.45,15.41,809894,958814698.0,0.0,0.56
