日期,开盘,收盘,最高,最低,涨跌幅,涨跌额,成交量,成交额,振幅,换手率
2010-01-04,1007.25,1007.25,1007.25,1007.25,0.73,7.25,242681,463752188.0,0.0,0.63
2010-01-05,988.76,988.76,988.76,988.76,-1.84,-18.49,257445,468510180.0,0.0,0.67
2010-01-06,958.84,958.84,958.84,958.84,-3.03,-29.92,204143,327649917.0,0.0,0.53
2010-01-07,974.02,974.02,974.02,974.02,1.58,15.18,283015,539691998.0,0.0,0.74
2010-01-08,971.24,971.24,971.24,971.24,-0.29,-2.78,133963,239812030.0,0.0,0.35
2010-01-11,951.51,951.51,951.51,951.51,-2.03,-19.73,152450,260186139.0,0.0,0.4
2010-01-12,972.19,972.19,972.19,972.19,2.17,20.68,132115,232797141.0,0.0,0.34
2010-01-13,948.92,948.92,948.92,948.92,-2.39,-23.27,152892,266375543.0,0.0,0.4
2010-01-14,967.63,967.63,967.63,967.63,1.97,18.71,153466,268933073.0,0.0,0.4
2010-01-15,975.68,975.68,975.68,975.68,0.83,8.05,341761,616245995.0,0.0,0.89
2010-01-18,1002.08,1002.08,1002.08,1002.08,2.71,26.4,277710,508012947.0,0.0,0.72
2010-01-19,1003.31,1003.31,1003.31,1003.31,0.12,1.23,232550,434696115.0,0.0,0.61
2010-01-20,957.56,957.56,957.56,957.56,-4.56,-45.75,211009,374004150.0,0.0,0.55
2010-01-21,954.47,954.47,954.47,954.47,-0.32,-3.09,140072,248683779.0,0.0,0.37
2010-01-22,944.98,944.98,944.98,944.98,-0.99,-9.49,179424,298745302.0,0.0,0.47
2010-01-25,950.02,950.02,950.02,950.02,0.53,5.04,139566,210745954.0,0.0,0.36
2010-01-26,915.73,915.73,915.73,915.73,-3.61,-34.29,126371,199635713.0,0.0,0.33
2010-01-27,918.26,918.26,918.26,918.26,0.28,2.53,107985,175615455.0,0.0,0.28
2010-01-28,937.69,937.69,937.69,937.69,2.12,19.43,91086,152573705.0,0.0,0.24
2010-01-29,954.2,954.2,954.2,954.2,1.76,16.51,126748,203659286.0,0.0,0.33
2010-02-01,987.76,987.76,987.76,987.76,3.52,33.56,104111,198779554.0,0.0,0.27
2010-02-02,976.41,976.41,976.41,976.41,-1.15,-11.35,177425,286259421.0,0.0,0.46
2010-02-03,968.32,968.32,968.32,968.32,-0.83,-8.09,271476,436596094.0,0.0,0.71
2010-02-04,991.25,991.25,991.25,991.25,2.37,22.93,293301,530128743.0,0.0,0.76
2010-02-05,960.7,960.7,960.7,960.7,-3.08,-30.55,190590,335548848.0,0.0,0.5
2010-02-08,973.59,973.59,973.59,973.59,1.34,12.89,114537,177607587.0,0.0,0.3
2010-02-09,964.38,964.38,964.38,964.38,-0.95,-9.21,95625,154263215.0,0.0,0.25
2010-02-10,986.77,986.77,986.77,986.77,2.32,22.39,137618,205333877.0,0.0,0.36
2010-02-11,971.07,971.07,971.07,971.07,-1.59,-15.7,39524,73848619.0,0.0,0.1
2010-02-12,942.07,942.07,942.07,942.07,-2.99,-29.0,209142,287391343.0,0.0,0.54
2010-02-22,905.19,905.19,905.19,905.19,-3.91,-36.88,205260,301082083.0,0.0,0.53
2010-02-23,894.95,894.95,894.95,894.95,-1.13,-10.24,143926,201280660.0,0.0,0.38
2010-02-24,904.45,904.45,904.45,904.45,1.06,9.5,123582,179910375.0,0.0,0.32
2010-02-25,943.17,943.17,943.17,943.17,4.28,38.72,290354,413132688.0,0.0,0.76
2010-02-26,938.89,938.89,938.89,938.89,-0.45,-4.28,190817,282029705.0,0.0,0.5
2010-03-01,939.35,939.35,939.35,939.35,0.05,0.46,193203,315878854.0,0.0,0.5
2010-03-02,947.79,947.79,947.79,947.79,0.9,8.44,110846,211470443.0,0.0,0.29
2010-03-03,934.27,934.27,934.27,934.27,-1.43,-13.52,195349,295636752.0,0.0,0.51
2010-03-04,900.51,900.51,900.51,900.51,-3.61,-33.76,179384,283296086.0,0.0,0.47
2010-03-05,911.94,911.94,911.94,911.94,1.27,11.43,105039,165562555.0,0.0,0.27
2010-03-08,919.07,919.07,919.07,919.07,0.78,7.13,102037,161443581.0,0.0,0.27
2010-03-09,943.66,943.66,943.66,943.66,2.68,24.59,179148,258553968.0,0.0,0.47
2010-03-10,929.91,929.91,929.91,929.91,-1.46,-13.75,95657,142880316.0,0.0,0.25
2010-03-11,914.21,914.21,914.21,914.21,-1.69,-15.7,77825,123891743.0,0.0,0.2
2010-03-12,890.02,890.02,890.02,890.02,-2.65,-24.19,92608,145372047.0,0.0,0.24
2010-03-15,867.06,867.06,867.06,867.06,-2.58,-22.96,111509,169155136.0,0.0,0.29
2010-03-16,878.67,878.67,878.67,878.67,1.34,11.61,53272,80970787.0,0.0,0.14
2010-03-17,901.2,901.2,901.2,901.2,2.56,22.53,76647,113913628.0,0.0,0.2
2010-03-18,914.54,914.54,914.54,914.54,1.48,13.34,134080,182325945.0,0.0,0.35
2010-03-19,929.49,929.49,929.49,929.49,1.63,14.95,169114,237511549.0,0.0,0.44
2010-03-22,942.08,942.08,942.08,942.08,1.35,12.59,111849,160740857.0,0.0,0.29
2010-03-23,925.58,925.58,925.58,925.58,-1.75,-16.5,91139,134510289.0,0.0,0.24
2010-03-24,913.85,913.85,913.85,913.85,-1.27,-11.73,83187,121620037.0,0.0,0.22
2010-03-25,911.1,911.1,911.1,911.1,-0.3,-2.75,94672,138874530.0,0.0,0.25
2010-03-26,933.07,933.07,933.07,933.07,2.41,21.97,123451,203578863.0,0.0,0.32
2010-03-29,941.68,941.68,941.68,941.68,0.92,8.61,129648,203256523.0,0.0,0.34
2010-03-30,939.82,939.82,939.82,939.82,-0.2,-1.86,139435,210472883.0,0.0,0.36
2010-03-31,957.71,957.71,957.71,957.71,1.9,17.89,153121,229620041.0,0.0,0.4
2010-04-01,986.34,986.34,986.34,986.34,2.99,28.63,234410,362596351.0,0.0,0.61
2010-04-02,989.02,989.02,989.02,989.02,0.27,2.68,172260,274207067.0,0.0,0.45
2010-04-06,972.3,972.3,972.3,972.3,-1.69,-16.72,145909,225118346.0,0.0,0.38
2010-04-07,980.17,980.17,980.17,980.17,0.81,7.87,122537,189500591.0,0.0,0.32
2010-04-08,978.6,978.6,978.6,978.6,-0.16,-1.57,111139,181329599.0,0.0,0.29
2010-04-09,980.82,980.82,980.82,980.82,0.23,2.22,127271,219876278.0,0.0,0.33
2010-04-12,964.95,964.95,964.95,964.95,-1.62,-15.87,196214,316119949.0,0.0,0.51
2010-04-13,958.44,958.44,958.44,958.44,-0.67,-6.51,196576,312868674.0,0.0,0.51
2010-04-14,956.87,956.87,956.87,956.87,-0.16,-1.57,122538,213064153.0,0.0,0.32
2010-04-15,938.1,938.1,938.1,938.1,-1.96,-18.77,118176,192472925.0,0.0,0.31
2010-04-16,942.65,942.65,942.65,942.65,0.49,4.55,82442,131304201.0,0.0,0.21
