日期,开盘,收盘,最高,最低,涨跌幅,涨跌额,成交量,成交额,振幅,换手率
2010-01-04,1008.18,1008.18,1008.18,1008.18,0.82,8.18,31489,77590658.0,0.0,0.06
2010-01-05,1017.85,1017.85,1017.85,1017.85,0.96,9.67,40450,81702434.0,0.0,0.08
2010-01-06,1006.99,1006.99,1006.99,1006.99,-1.07,-10.86,30522,72498749.0,0.0,0.06
2010-01-07,973.59,973.59,973.59,973.59,-3.32,-33.4,35898,72402527.0,0.0,0.07
2010-01-08,970.44,970.44,970.44,970.44,-0.32,-3.15,25494,56404064.0,0.0,0.05
2010-01-11,957.08,957.08,957.08,957.08,-1.38,-13.36,60127,206213896.0,0.0,0.11
2010-01-12,994.7,994.7,994.7,994.7,3.93,37.62,92336,234311048.0,0.0,0.18
2010-01-13,999.69,999.69,999.69,999.69,0.5,4.99,71538,231856235.0,0.0,0.14
2010-01-14,1021.97,1021.97,1021.97,1021.97,2.23,22.28,63390,214404469.0,0.0,0.12
2010-01-15,1010.97,1010.97,1010.97,1010.97,-1.08,-11.0,58574,171843660.0,0.0,0.11
2010-01-18,1017.14,1017.14,1017.14,1017.14,0.61,6.17,48832,135246710.0,0.0,0.09
2010-01-19,994.93,994.93,994.93,994.93,-2.18,-22.21,52133,132741271.0,0.0,0.1
2010-01-20,932.56,932.56,932.56,932.56,-6.27,-62.37,58184,169459158.0,0.0,0.11
2010-01-21,944.42,944.42,944.42,944.42,1.27,11.86,11869,50160164.0,0.0,0.02
2010-01-22,903.89,903.89,903.89,903.89,-4.29,-40.53,39484,101172500.0,0.0,0.07
2010-01-25,897.36,897.36,897.36,897.36,-0.72,-6.53,25084,71610290.0,0.0,0.05
2010-01-26,879.65,879.65,879.65,879.65,-1.97,-17.71,27043,73129992.0,0.0,0.05
2010-01-27,862.18,862.18,862.18,862.18,-1.99,-17.47,23350,64817198.0,0.0,0.04
2010-01-28,847.86,847.86,847.86,847.86,-1.66,-14.32,23479,70896811.0,0.0,0.04
2010-01-29,853.1,853.1,853.1,853.1,0.62,5.24,22364,61200427.0,0.0,0.04
2010-02-01,830.73,830.73,830.73,830.73,-2.62,-22.37,42395,130827819.0,0.0,0.08
2010-02-02,827.07,827.07,827.07,827.07,-0.44,-3.66,24943,69494089.0,0.0,0.05
2010-02-03,846.93,846.93,846.93,846.93,2.4,19.86,31495,89520216.0,0.0,0.06
2010-02-04,852.57,852.57,852.57,852.57,0.67,5.64,27798,82151602.0,0.0,0.05
2010-02-05,863.06,863.06,863.06,863.06,1.23,10.49,30395,95136181.0,0.0,0.06
2010-02-08,874.45,874.45,874.45,874.45,1.32,11.39,23555,82956800.0,0.0,0.04
2010-02-09,870.92,870.92,870.92,870.92,-0.4,-3.53,6187,15035008.0,0.0,0.01
2010-02-10,917.76,917.76,917.76,917.76,5.38,46.84,55524,212604210.0,0.0,0.11
2010-02-11,926.1,926.1,926.1,926.1,0.91,8.34,56707,243800016.0,0.0,0.11
2010-02-12,957.37,957.37,957.37,957.37,3.38,31.27,40267,167599064.0,0.0,0.08
2010-02-22,946.06,946.06,946.06,946.06,-1.18,-11.31,33495,131166927.0,0.0,0.06
2010-02-23,956.57,956.57,956.57,956.57,1.11,10.51,39545,135777525.0,0.0,0.08
2010-02-24,976.45,976.45,976.45,976.45,2.08,19.88,54004,174869335.0,0.0,0.1
2010-02-25,984.12,984.12,984.12,984.12,0.79,7.67,65836,210052706.0,0.0,0.12
2010-02-26,971.77,971.77,971.77,971.77,-1.25,-12.35,42347,143806910.0,0.0,0.08
2010-03-01,977.6,977.6,977.6,977.6,0.6,5.83,48453,133028534.0,0.0,0.09
2010-03-02,987.75,987.75,987.75,987.75,1.04,10.15,66125,190397601.0,0.0,0.13
2010-03-03,981.74,981.74,981.74,981.74,-0.61,-6.01,61092,167020698.0,0.0,0.12
2010-03-04,941.98,941.98,941.98,941.98,-4.05,-39.76,54512,166602827.0,0.0,0.1
2010-03-05,953.14,953.14,953.14,953.14,1.18,11.16,37311,107515958.0,0.0,0.07
2010-03-08,969.54,969.54,969.54,969.54,1.72,16.4,39002,108388691.0,0.0,0.07
2010-03-09,971.48,971.48,971.48,971.48,0.2,1.94,27419,82517696.0,0.0,0.05
2010-03-10,962.05,962.05,962.05,962.05,-0.97,-9.43,31628,103733704.0,0.0,0.06
2010-03-11,984.7,984.7,984.7,984.7,2.35,22.65,56909,206912345.0,0.0,0.11
2010-03-12,975.82,975.82,975.82,975.82,-0.9,-8.88,59687,252500781.0,0.0,0.11
2010-03-15,971.27,971.27,971.27,971.27,-0.47,-4.55,29178,109223393.0,0.0,0.06
2010-03-16,957.82,957.82,957.82,957.82,-1.38,-13.45,25676,96356905.0,0.0,0.05
2010-03-17,981.56,981.56,981.56,981.56,2.48,23.74,26431,89298400.0,0.0,0.05
2010-03-18,980.88,980.88,980.88,980.88,-0.07,-0.68,27550,75693953.0,0.0,0.05
2010-03-19,984.98,984.98,984.98,984.98,0.42,4.1,22952,69666575.0,0.0,0.04
2010-03-22,995.93,995.93,995.93,995.93,1.11,10.95,29066,93709253.0,0.0,0.06
2010-03-23,996.88,996.88,996.88,996.88,0.1,0.95,36610,141046962.0,0.0,0.07
2010-03-24,1011.18,1011.18,1011.18,1011.18,1.43,14.3,40456,173051634.0,0.0,0.08
2010-03-25,1030.72,1030.72,1030.72,1030.72,1.93,19.54,55734,207228197.0,0.0,0.11
2010-03-26,1010.67,1010.67,1010.67,1010.67,-1.95,-20.05,49234,162251647.0,0.0,0.09
2010-03-29,1000.09,1000.09,1000.09,1000.09,-1.05,-10.58,18632,90303234.0,0.0,0.04
2010-03-30,1017.38,1017.38,1017.38,1017.38,1.73,17.29,40048,120541408.0,0.0,0.08
2010-03-31,1027.68,1027.68,1027.68,1027.68,1.01,10.3,39308,145133841.0,0.0,0.07
2010-04-01,1038.53,1038.53,1038.53,1038.53,1.06,10.85,68768,253568392.0,0.0,0.13
