日期,开盘,收盘,最高,最低,涨跌幅,涨跌额,成交量,成交额,振幅,换手率
2010-01-04,1001.36,1001.36,1001.36,1001.36,0.14,1.36,892800,1406884558.0,0.0,0.22
2010-01-05,1015.58,1015.58,1015.58,1015.58,1.42,14.22,904781,1426555473.0,0.0,0.22
2010-01-06,1022.36,1022.36,1022.36,1022.36,0.67,6.78,1024925,1765106575.0,0.0,0.25
2010-01-07,1002.64,1002.64,1002.64,1002.64,-1.93,-19.72,967672,1548848776.0,0.0,0.24
2010-01-08,1002.86,1002.86,1002.86,1002.86,0.02,0.22,730454,1129784962.0,0.0,0.18
2010-01-11,1027.59,1027.59,1027.59,1027.59,2.47,24.73,1048740,1698769357.0,0.0,0.26
2010-01-12,1055.96,1055.96,1055.96,1055.96,2.76,28.37,1153940,1729620542.0,0.0,0.29
2010-01-13,1049.76,1049.76,1049.76,1049.76,-0.59,-6.2,958716,1357234738.0,0.0,0.24
2010-01-14,1075.2,1075.2,1075.2,1075.2,2.42,25.44,1126086,1427080001.0,0.0,0.28
2010-01-15,1084.76,1084.76,1084.76,1084.76,0.89,9.56,1065988,1510397093.0,0.0,0.26
2010-01-18,1092.2,1092.2,1092.2,1092.2,0.69,7.44,1014979,1406398809.0,0.0,0.25
2010-01-19,1075.86,1075.86,1075.86,1075.86,-1.5,-16.34,973666,1423262071.0,0.0,0.24
2010-01-20,1039.08,1039.08,1039.08,1039.08,-3.42,-36.78,1219212,1707026735.0,0.0,0.3
2010-01-21,1055.77,1055.77,1055.77,1055.77,1.61,16.69,920279,1274614965.0,0.0,0.23
2010-01-22,1023.94,1023.94,1023.94,1023.94,-3.01,-31.83,991340,1405919746.0,0.0,0.24
2010-01-25,1000.68,1000.68,1000.68,1000.68,-2.27,-23.26,553220,764424204.0,0.0,0.14
2010-01-26,963.1,963.1,963.1,963.1,-3.76,-37.58,590840,800099130.0,0.0,0.15
2010-01-27,963.71,963.71,963.71,963.71,0.06,0.61,458616,601336643.0,0.0,0.11
2010-01-28,974.8,974.8,974.8,974.8,1.15,11.09,443779,625786994.0,0.0,0.11
2010-01-29,989.15,989.15,989.15,989.15,1.47,14.35,545119,784522588.0,0.0,0.13
