日期,开盘,收盘,最高,最低,涨跌幅,涨跌额,成交量,成交额,振幅,换手率
2010-01-04,1000.1,1000.1,1000.1,1000.1,0.01,0.1,61853,98960448.0,0.0,0.08
2010-01-05,1012.07,1012.07,1012.07,1012.07,1.2,11.97,87015,137936816.0,0.0,0.12
2010-01-06,993.81,993.81,993.81,993.81,-1.8,-18.26,70230,112288656.0,0.0,0.1
2010-01-07,957.98,957.98,957.98,957.98,-3.61,-35.83,93160,119386293.0,0.0,0.13
2010-01-08,961.66,961.66,961.66,961.66,0.38,3.68,56400,43848152.0,0.0,0.08
2010-01-11,963.35,963.35,963.35,963.35,0.18,1.69,60731,90596623.0,0.0,0.08
2010-01-12,986.92,986.92,986.92,986.92,2.45,23.57,83578,101158787.0,0.0,0.11
2010-01-13,979.89,979.89,979.89,979.89,-0.71,-7.03,77684,100762926.0,0.0,0.11
2010-01-14,1008.76,1008.76,1008.76,1008.76,2.95,28.87,83431,129848878.0,0.0,0.11
2010-01-15,1013.5,1013.5,1013.5,1013.5,0.47,4.74,88777,104977466.0,0.0,0.12
2010-01-18,1020.52,1020.52,1020.52,1020.52,0.69,7.02,103615,114110261.0,0.0,0.14
2010-01-19,1004.57,1004.57,1004.57,1004.57,-1.56,-15.95,76456,94161876.0,0.0,0.1
2010-01-20,980.93,980.93,980.93,980.93,-2.35,-23.64,175301,197119604.0,0.0,0.24
2010-01-21,993.99,993.99,993.99,993.99,1.33,13.06,113315,112184874.0,0.0,0.15
2010-01-22,954.85,954.85,954.85,954.85,-3.94,-39.14,113736,130803275.0,0.0,0.16
2010-01-25,924.53,924.53,924.53,924.53,-3.18,-30.32,62897,73869105.0,0.0,0.09
2010-01-26,909.39,909.39,909.39,909.39,-1.64,-15.14,70802,80816706.0,0.0,0.1
2010-01-27,910.31,910.31,910.31,910.31,0.1,0.92,43938,54140739.0,0.0,0.06
2010-01-28,899.94,899.94,899.94,899.94,-1.14,-10.37,39429,58172173.0,0.0,0.05
2010-01-29,902.37,902.37,902.37,902.37,0.27,2.43,58035,68945823.0,0.0,0.08
2010-02-01,887.97,887.97,887.97,887.97,-1.6,-14.4,121862,233806333.0,0.0,0.17
2010-02-02,879.7,879.7,879.7,879.7,-0.93,-8.27,99535,126877302.0,0.0,0.14
2010-02-03,880.16,880.16,880.16,880.16,0.05,0.46,62504,94575998.0,0.0,0.09
2010-02-04,893.44,893.44,893.44,893.44,1.51,13.28,94197,107246181.0,0.0,0.13
2010-02-05,908.87,908.87,908.87,908.87,1.73,15.43,150927,165764976.0,0.0,0.21
2010-02-08,920.87,920.87,920.87,920.87,1.32,12.0,64205,99614088.0,0.0,0.09
2010-02-09,917.37,917.37,917.37,917.37,-0.38,-3.5,57974,74456914.0,0.0,0.08
2010-02-10,944.71,944.71,944.71,944.71,2.98,27.34,42591,91433320.0,0.0,0.06
2010-02-11,960.35,960.35,960.35,960.35,1.66,15.64,44501,105881967.0,0.0,0.06
2010-02-12,1011.85,1011.85,1011.85,1011.85,5.36,51.5,55878,141379504.0,0.0,0.08
2010-02-22,1008.14,1008.14,1008.14,1008.14,-0.37,-3.71,60397,138149228.0,0.0,0.08
2010-02-23,1063.58,1063.58,1063.58,1063.58,5.5,55.44,162439,258614658.0,0.0,0.22
2010-02-24,1096.81,1096.81,1096.81,1096.81,3.12,33.23,136997,277329713.0,0.0,0.19
2010-02-25,1103.29,1103.29,1103.29,1103.29,0.59,6.48,125326,106825427.0,0.0,0.17
2010-02-26,1098.58,1098.58,1098.58,1098.58,-0.43,-4.71,135822,475392753.0,0.0,0.19
2010-03-01,1106.8,1106.8,1106.8,1106.8,0.75,8.22,123084,240332327.0,0.0,0.17
2010-03-02,1105.46,1105.46,1105.46,1105.46,-0.12,-1.34,111474,232502237.0,0.0,0.15
2010-03-03,1152.87,1152.87,1152.87,1152.87,4.29,47.41,329113,402236296.0,0.0,0.45
2010-03-04,1096.0,1096.0,1096.0,1096.0,-4.93,-56.87,487504,544812286.0,0.0,0.66
2010-03-05,1104.92,1104.92,1104.92,1104.92,0.81,8.92,193204,252548715.0,0.0,0.26
2010-03-08,1139.89,1139.89,1139.89,1139.89,3.16,34.97,146240,252739623.0,0.0,0.2
2010-03-09,1126.76,1126.76,1126.76,1126.76,-1.15,-13.13,111133,154348975.0,0.0,0.15
2010-03-10,1108.58,1108.58,1108.58,1108.58,-1.61,-18.18,96024,144638581.0,0.0,0.13
2010-03-11,1142.41,1142.41,1142.41,1142.41,3.05,33.83,106199,262385748.0,0.0,0.14
2010-03-12,1111.09,1111.09,1111.09,1111.09,-2.74,-31.32,97711,257912380.0,0.0,0.13
2010-03-15,1117.02,1117.02,1117.02,1117.02,0.53,5.93,54637,112123705.0,0.0,0.07
2010-03-16,1106.97,1106.97,1106.97,1106.97,-0.9,-10.05,63373,137191814.0,0.0,0.09
2010-03-17,1130.47,1130.47,1130.47,1130.47,2.12,23.5,75099,137139760.0,0.0,0.1
2010-03-18,1127.42,1127.42,1127.42,1127.42,-0.27,-3.05,82398,121042592.0,0.0,0.11
2010-03-19,1141.34,1141.34,1141.34,1141.34,1.23,13.92,87534,132628701.0,0.0,0.12
2010-03-22,1173.46,1173.46,1173.46,1173.46,2.81,32.12,105790,206697195.0,0.0,0.14
2010-03-23,1184.21,1184.21,1184.21,1184.21,0.92,10.75,88573,230316622.0,0.0,0.12
2010-03-24,1193.23,1193.23,1193.23,1193.23,0.76,9.02,118161,216194049.0,0.0,0.16
2010-03-25,1207.95,1207.95,1207.95,1207.95,1.23,14.72,88241,216577497.0,0.0,0.12
2010-03-26,1190.96,1190.96,1190.96,1190.96,-1.41,-16.99,74739,202556537.0,0.0,0.1
2010-03-29,1205.24,1205.24,1205.24,1205.24,1.2,14.28,97239,197553140.0,0.0,0.13
2010-03-30,1233.81,1233.81,1233.81,1233.81,2.37,28.57,137906,250473915.0,0.0,0.19
2010-03-31,1234.64,1234.64,1234.64,1234.64,0.07,0.83,76402,165041320.0,0.0,0.1
2010-04-01,1233.81,1233.81,1233.81,1233.81,-0.07,-0.83,120990,275597712.0,0.0,0.16
2010-04-02,1231.04,1231.04,1231.04,1231.04,-0.22,-2.77,84032,74598936.0,0.0,0.11
2010-04-06,1270.93,1270.93,1270.93,1270.93,3.24,39.89,101807,224281113.0,0.0,0.14
2010-04-07,1281.51,1281.51,1281.51,1281.51,0.83,10.58,73102,204138984.0,0.0,0.1
2010-04-08,1250.01,1250.01,1250.01,1250.01,-2.46,-31.5,110955,228110431.0,0.0,0.15
2010-04-09,1319.74,1319.74,1319.74,1319.74,5.58,69.73,86817,262973563.0,0.0,0.12
2010-04-12,1348.13,1348.13,1348.13,1348.13,2.15,28.39,113535,356624557.0,0.0,0.15
2010-04-13,1268.96,1268.96,1268.96,1268.96,-5.87,-79.17,116977,377253146.0,0.0,0.16
2010-04-14,1318.34,1318.34,1318.34,1318.34,3.89,49.38,79568,265336449.0,0.0,0.11
2010-04-15,1243.07,1243.07,1243.07,1243.07,-5.71,-75.27,90913,337122016.0,0.0,0.12
2010-04-16,1267.86,1267.86,1267.86,1267.86,1.99,24.79,89356,251847019.0,0.0,0.12
2010-04-19,1206.06,1206.06,1206.06,1206.06,-4.87,-61.8,108631,239629544.0,0.0,0.15
2010-04-20,1155.42,1155.42,1155.42,1155.42,-4.2,-50.64,97469,232739761.0,0.0,0.13
2010-04-21,1179.49,1179.49,1179.49,1179.49,2.08,24.07,102998,201983257.0,0.0,0.14
2010-04-22,1179.75,1179.75,1179.75,1179.75,0.02,0.26,173127,294556533.0,0.0,0.24
2010-04-23,1126.56,1126.56,1126.56,1126.56,-4.51,-53.19,124712,228789050.0,0.0,0.17
2010-04-26,1105.64,1105.64,1105.64,1105.64,-1.86,-20.92,70093,135634245.0,0.0,0.1
2010-04-27,1094.36,1094.36,1094.36,1094.36,-1.02,-11.28,89556,150486987.0,0.0,0.12
2010-04-28,1078.23,1078.23,1078.23,1078.23,-1.47,-16.13,92659,157475341.0,0.0,0.13
2010-04-29,1077.0,1077.0,1077.0,1077.0,-0.11,-1.23,77164,143475846.0,0.0,0.11
2010-04-30,1104.25,1104.25,1104.25,1104.25,2.53,27.25,106746,220150020.0,0.0,0.15
2010-05-04,1128.77,1128.77,1128.77,1128.77,2.22,24.52,83044,239666696.0,0.0,0.11
2010-05-05,1157.21,1157.21,1157.21,1157.21,2.52,28.44,90571,219715661.0,0.0,0.12
2010-05-06,1093.94,1093.94,1093.94,1093.94,-5.47,-63.27,105589,229714189.0,0.0,0.14
2010-05-07,1095.83,1095.83,1095.83,1095.83,0.17,1.89,104830,193986243.0,0.0,0.14
2010-05-10,1046.02,1046.02,1046.02,1046.02,-4.55,-49.81,77351,165859489.0,0.0,0.11
2010-05-11,1037.94,1037.94,1037.94,1037.94,-0.77,-8.08,74393,133576525.0,0.0,0.1
2010-05-12,1031.09,1031.09,1031.09,1031.09,-0.66,-6.85,79113,145576127.0,0.0,0.11
2010-05-13,1038.55,1038.55,1038.55,1038.55,0.72,7.46,65313,127789808.0,0.0,0.09
