日期,开盘,收盘,最高,最低,涨跌幅,涨跌额,成交量,成交额,振幅,换手率
2010-01-04,991.97,991.97,991.97,991.97,-0.8,-8.03,230846,572464751.0,0.0,0.24
2010-01-05,992.63,992.63,992.63,992.63,0.07,0.66,245747,499331058.0,0.0,0.25
2010-01-06,993.5,993.5,993.5,993.5,0.09,0.87,288669,485504875.0,0.0,0.3
2010-01-07,966.88,966.88,966.88,966.88,-2.68,-26.62,243711,436225126.0,0.0,0.25
2010-01-08,969.31,969.31,969.31,969.31,0.25,2.43,189321,318707226.0,0.0,0.2
2010-01-11,970.85,970.85,970.85,970.85,0.16,1.54,210397,407077282.0,0.0,0.22
2010-01-12,991.77,991.77,991.77,991.77,2.15,20.92,266672,489298473.0,0.0,0.28
2010-01-13,967.06,967.06,967.06,967.06,-2.49,-24.71,246467,494056599.0,0.0,0.26
2010-01-14,992.91,992.91,992.91,992.91,2.67,25.85,228550,428521337.0,0.0,0.24
2010-01-15,1016.43,1016.43,1016.43,1016.43,2.37,23.52,419925,634597602.0,0.0,0.44
2010-01-18,1028.78,1028.78,1028.78,1028.78,1.22,12.35,316994,547129794.0,0.0,0.33
2010-01-19,1011.01,1011.01,1011.01,1011.01,-1.73,-17.77,274774,473830563.0,0.0,0.28
2010-01-20,985.12,985.12,985.12,985.12,-2.56,-25.89,291858,469267185.0,0.0,0.3
2010-01-21,965.29,965.29,965.29,965.29,-2.01,-19.83,232685,427735307.0,0.0,0.24
2010-01-22,924.47,924.47,924.47,924.47,-4.23,-40.82,230448,386193424.0,0.0,0.24
2010-01-25,922.44,922.44,922.44,922.44,-0.22,-2.03,115483,194330108.0,0.0,0.12
2010-01-26,883.1,883.1,883.1,883.1,-4.26,-39.34,195193,301554464.0,0.0,0.2
2010-01-27,884.93,884.93,884.93,884.93,0.21,1.83,112253,183573721.0,0.0,0.12
2010-01-28,890.86,890.86,890.86,890.86,0.67,5.93,98122,162610812.0,0.0,0.1
2010-01-29,898.42,898.42,898.42,898.42,0.85,7.56,116468,220009592.0,0.0,0.12
2010-02-01,871.46,871.46,871.46,871.46,-3.0,-26.96,131166,214887896.0,0.0,0.14
2010-02-02,860.65,860.65,860.65,860.65,-1.24,-10.81,109766,170150775.0,0.0,0.11
2010-02-03,875.27,875.27,875.27,875.27,1.7,14.62,116514,200636144.0,0.0,0.12
