日期,开盘,收盘,最高,最低,涨跌幅,涨跌额,成交量,成交额,振幅,换手率
2010-01-04,987.09,987.09,987.09,987.09,-1.29,-12.91,144071,147517672.0,0.0,0.2
2010-01-05,986.42,986.42,986.42,986.42,-0.07,-0.67,134676,136756572.0,0.0,0.19
2010-01-06,989.87,989.87,989.87,989.87,0.35,3.45,208295,201004891.0,0.0,0.29
2010-01-07,962.91,962.91,962.91,962.91,-2.72,-26.96,157931,156926665.0,0.0,0.22
2010-01-08,970.48,970.48,970.48,970.48,0.79,7.57,96097,88575731.0,0.0,0.14
2010-01-11,963.97,963.97,963.97,963.97,-0.67,-6.51,117901,123778931.0,0.0,0.17
2010-01-12,992.18,992.18,992.18,992.18,2.93,28.21,159001,155837154.0,0.0,0.23
2010-01-13,974.68,974.68,974.68,974.68,-1.76,-17.5,140557,141904448.0,0.0,0.2
2010-01-14,1007.55,1007.55,1007.55,1007.55,3.37,32.87,217755,219768673.0,0.0,0.31
2010-01-15,1007.94,1007.94,1007.94,1007.94,0.04,0.39,199159,192711779.0,0.0,0.28
2010-01-18,1027.15,1027.15,1027.15,1027.15,1.91,19.21,328272,359563809.0,0.0,0.46
2010-01-19,1014.33,1014.33,1014.33,1014.33,-1.25,-12.82,237338,243911413.0,0.0,0.34
2010-01-20,1002.55,1002.55,1002.55,1002.55,-1.16,-11.78,334154,337196582.0,0.0,0.47
2010-01-21,1018.69,1018.69,1018.69,1018.69,1.61,16.14,320956,327673992.0,0.0,0.45
2010-01-22,1022.38,1022.38,1022.38,1022.38,0.36,3.69,503140,464167064.0,0.0,0.71
2010-01-25,987.23,987.23,987.23,987.23,-3.44,-35.15,467737,449154995.0,0.0,0.66
2010-01-26,936.12,936.12,936.12,936.12,-5.18,-51.11,269801,235708919.0,0.0,0.38
2010-01-27,929.03,929.03,929.03,929.03,-0.76,-7.09,151347,127671605.0,0.0,0.21
2010-01-28,928.91,928.91,928.91,928.91,-0.01,-0.12,99663,86184029.0,0.0,0.14
2010-01-29,932.68,932.68,932.68,932.68,0.41,3.77,121399,101006092.0,0.0,0.17
2010-02-01,891.23,891.23,891.23,891.23,-4.44,-41.45,131862,104860906.0,0.0,0.19
2010-02-02,877.52,877.52,877.52,877.52,-1.54,-13.71,124299,97066388.0,0.0,0.18
2010-02-03,894.48,894.48,894.48,894.48,1.93,16.96,134366,102628116.0,0.0,0.19
2010-02-04,902.84,902.84,902.84,902.84,0.93,8.36,155067,130752800.0,0.0,0.22
2010-02-05,880.54,880.54,880.54,880.54,-2.47,-22.3,112752,88559705.0,0.0,0.16
2010-02-08,890.29,890.29,890.29,890.29,1.11,9.75,92695,71604032.0,0.0,0.13
2010-02-09,888.71,888.71,888.71,888.71,-0.18,-1.58,90514,83765389.0,0.0,0.13
2010-02-10,893.68,893.68,893.68,893.68,0.56,4.97,75542,69076403.0,0.0,0.11
2010-02-11,899.82,899.82,899.82,899.82,0.69,6.14,121336,104460221.0,0.0,0.17
2010-02-12,906.75,906.75,906.75,906.75,0.77,6.93,93978,80466298.0,0.0,0.13
2010-02-22,901.6,901.6,901.6,901.6,-0.57,-5.15,103287,95604941.0,0.0,0.15
2010-02-23,901.43,901.43,901.43,901.43,-0.02,-0.17,199214,179370044.0,0.0,0.28
2010-02-24,915.52,915.52,915.52,915.52,1.56,14.09,142504,124368378.0,0.0,0.2
2010-02-25,932.87,932.87,932.87,932.87,1.9,17.35,188067,172284031.0,0.0,0.27
2010-02-26,933.1,933.1,933.1,933.1,0.02,0.23,137475,129642616.0,0.0,0.19
2010-03-01,937.04,937.04,937.04,937.04,0.42,3.94,148064,137650518.0,0.0,0.21
2010-03-02,926.69,926.69,926.69,926.69,-1.1,-10.35,140341,131394828.0,0.0,0.2
2010-03-03,954.89,954.89,954.89,954.89,3.04,28.2,278688,297904756.0,0.0,0.39
2010-03-04,929.94,929.94,929.94,929.94,-2.61,-24.95,237902,233675824.0,0.0,0.34
2010-03-05,946.58,946.58,946.58,946.58,1.79,16.64,199944,179819190.0,0.0,0.28
2010-03-08,966.09,966.09,966.09,966.09,2.06,19.51,297717,275487126.0,0.0,0.42
2010-03-09,962.79,962.79,962.79,962.79,-0.34,-3.3,204047,184859406.0,0.0,0.29
2010-03-10,952.84,952.84,952.84,952.84,-1.03,-9.95,141226,130901831.0,0.0,0.2
2010-03-11,961.72,961.72,961.72,961.72,0.93,8.88,570386,506959502.0,0.0,0.81
2010-03-12,941.63,941.63,941.63,941.63,-2.09,-20.09,245176,213313934.0,0.0,0.35
2010-03-15,906.31,906.31,906.31,906.31,-3.75,-35.32,235957,407894522.0,0.0,0.33
2010-03-16,921.88,921.88,921.88,921.88,1.72,15.57,205988,386602662.0,0.0,0.29
2010-03-17,942.31,942.31,942.31,942.31,2.22,20.43,255848,439855036.0,0.0,0.36
2010-03-18,932.55,932.55,932.55,932.55,-1.04,-9.76,179069,306088695.0,0.0,0.25
2010-03-19,933.22,933.22,933.22,933.22,0.07,0.67,178651,268854210.0,0.0,0.25
2010-03-22,950.79,950.79,950.79,950.79,1.88,17.57,248854,373974158.0,0.0,0.35
2010-03-23,945.44,945.44,945.44,945.44,-0.56,-5.35,188100,305062832.0,0.0,0.27
2010-03-24,953.9,953.9,953.9,953.9,0.89,8.46,203282,363157468.0,0.0,0.29
2010-03-25,942.07,942.07,942.07,942.07,-1.24,-11.83,194211,345082469.0,0.0,0.27
2010-03-26,945.55,945.55,945.55,945.55,0.37,3.48,142737,219040258.0,0.0,0.2
2010-03-29,952.92,952.92,952.92,952.92,0.78,7.37,187244,244565167.0,0.0,0.27
2010-03-30,968.6,968.6,968.6,968.6,1.65,15.68,204132,308748992.0,0.0,0.29
