日期,开盘,收盘,最高,最低,涨跌幅,涨跌额,成交量,成交额,振幅,换手率
2010-01-04,1003.94,1003.94,1003.94,1003.94,0.39,3.94,624995,917170710.0,0.0,0.28
2010-01-05,1021.35,1021.35,1021.35,1021.35,1.73,17.41,655180,1086014115.0,0.0,0.29
2010-01-06,1002.69,1002.69,1002.69,1002.69,-1.83,-18.66,541767,866739751.0,0.0,0.24
2010-01-07,973.63,973.63,973.63,973.63,-2.9,-29.06,506944,756372446.0,0.0,0.22
2010-01-08,979.33,979.33,979.33,979.33,0.59,5.7,503165,745953324.0,0.0,0.22
2010-01-11,999.49,999.49,999.49,999.49,2.06,20.16,684334,1086955546.0,0.0,0.3
2010-01-12,1009.21,1009.21,1009.21,1009.21,0.97,9.72,465079,816500911.0,0.0,0.2
2010-01-13,1034.17,1034.17,1034.17,1034.17,2.47,24.96,563672,1234424377.0,0.0,0.25
2010-01-14,1070.68,1070.68,1070.68,1070.68,3.53,36.51,546639,1142995950.0,0.0,0.24
2010-01-15,1057.84,1057.84,1057.84,1057.84,-1.2,-12.84,430080,801763714.0,0.0,0.19
2010-01-18,1057.25,1057.25,1057.25,1057.25,-0.06,-0.59,378079,668383348.0,0.0,0.17
2010-01-19,1058.77,1058.77,1058.77,1058.77,0.14,1.52,588316,970941403.0,0.0,0.26
2010-01-20,1006.75,1006.75,1006.75,1006.75,-4.91,-52.02,475141,873392434.0,0.0,0.21
2010-01-21,1011.09,1011.09,1011.09,1011.09,0.43,4.34,228836,417786546.0,0.0,0.1
2010-01-22,982.4,982.4,982.4,982.4,-2.84,-28.69,386537,634543160.0,0.0,0.17
2010-01-25,959.25,959.25,959.25,959.25,-2.36,-23.15,190718,331073114.0,0.0,0.08
2010-01-26,935.92,935.92,935.92,935.92,-2.43,-23.33,228017,388999720.0,0.0,0.1
2010-01-27,933.93,933.93,933.93,933.93,-0.21,-1.99,200553,351051379.0,0.0,0.09
2010-01-28,941.85,941.85,941.85,941.85,0.85,7.92,200072,331538712.0,0.0,0.09
2010-01-29,947.27,947.27,947.27,947.27,0.58,5.42,221846,352217863.0,0.0,0.1
2010-02-01,942.78,942.78,942.78,942.78,-0.47,-4.49,332009,511283031.0,0.0,0.15
2010-02-02,922.55,922.55,922.55,922.55,-2.15,-20.23,194603,329412711.0,0.0,0.09
2010-02-03,925.34,925.34,925.34,925.34,0.3,2.79,320403,429762625.0,0.0,0.14
2010-02-04,933.0,933.0,933.0,933.0,0.83,7.66,243370,346015149.0,0.0,0.11
2010-02-05,919.53,919.53,919.53,919.53,-1.44,-13.47,299321,425406368.0,0.0,0.13
2010-02-08,921.73,921.73,921.73,921.73,0.24,2.2,382944,469391582.0,0.0,0.17
2010-02-09,916.62,916.62,916.62,916.62,-0.55,-5.11,360133,427881099.0,0.0,0.16
2010-02-10,939.62,939.62,939.62,939.62,2.51,23.0,241956,326384795.0,0.0,0.11
2010-02-11,928.17,928.17,928.17,928.17,-1.22,-11.45,221783,293059773.0,0.0,0.1
2010-02-12,935.76,935.76,935.76,935.76,0.82,7.59,245338,316298906.0,0.0,0.11
2010-02-22,927.18,927.18,927.18,927.18,-0.92,-8.58,296289,358140154.0,0.0,0.13
2010-02-23,923.6,923.6,923.6,923.6,-0.39,-3.58,286186,341251482.0,0.0,0.13
2010-02-24,945.31,945.31,945.31,945.31,2.35,21.71,227645,326949347.0,0.0,0.1
2010-02-25,966.38,966.38,966.38,966.38,2.23,21.07,262169,373228636.0,0.0,0.12
2010-02-26,968.43,968.43,968.43,968.43,0.21,2.05,227090,347367842.0,0.0,0.1
2010-03-01,993.87,993.87,993.87,993.87,2.63,25.44,527651,639866141.0,0.0,0.23
2010-03-02,995.55,995.55,995.55,995.55,0.17,1.68,580099,756342138.0,0.0,0.26
2010-03-03,1004.78,1004.78,1004.78,1004.78,0.93,9.23,440414,608550535.0,0.0,0.19
2010-03-04,984.33,984.33,984.33,984.33,-2.04,-20.45,712420,995262472.0,0.0,0.31
2010-03-05,985.34,985.34,985.34,985.34,0.1,1.01,685511,914290448.0,0.0,0.3
2010-03-08,996.72,996.72,996.72,996.72,1.15,11.38,340931,482005451.0,0.0,0.15
2010-03-09,1007.56,1007.56,1007.56,1007.56,1.09,10.84,285249,406022864.0,0.0,0.13
2010-03-10,990.15,990.15,990.15,990.15,-1.73,-17.41,285998,388299569.0,0.0,0.13
2010-03-11,998.73,998.73,998.73,998.73,0.87,8.58,248521,331474230.0,0.0,0.11
2010-03-12,982.07,982.07,982.07,982.07,-1.67,-16.66,195388,332130931.0,0.0,0.09
2010-03-15,978.99,978.99,978.99,978.99,-0.31,-3.08,168973,282784052.0,0.0,0.07
