日期,开盘,收盘,最高,最低,涨跌幅,涨跌额,成交量,成交额,振幅,换手率
2010-01-04,986.36,986.36,986.36,986.36,-1.36,-13.64,59020,153571242.0,0.0,0.06
2010-01-05,993.55,993.55,993.55,993.55,0.73,7.19,44302,120863995.0,0.0,0.04
2010-01-06,979.25,979.25,979.25,979.25,-1.44,-14.3,52303,142671479.0,0.0,0.05
2010-01-07,946.58,946.58,946.58,946.58,-3.34,-32.67,52619,149426460.0,0.0,0.05
2010-01-08,961.76,961.76,961.76,961.76,1.6,15.18,35032,90700748.0,0.0,0.04
2010-01-11,967.45,967.45,967.45,967.45,0.59,5.69,45020,118745349.0,0.0,0.05
2010-01-12,984.35,984.35,984.35,984.35,1.75,16.9,63240,148252735.0,0.0,0.06
2010-01-13,971.81,971.81,971.81,971.81,-1.27,-12.54,50893,129900681.0,0.0,0.05
2010-01-14,1016.04,1016.04,1016.04,1016.04,4.55,44.23,81390,191455972.0,0.0,0.08
2010-01-15,1034.97,1034.97,1034.97,1034.97,1.86,18.93,85782,210527966.0,0.0,0.09
2010-01-18,1052.89,1052.89,1052.89,1052.89,1.73,17.92,77116,186399542.0,0.0,0.08
2010-01-19,1020.72,1020.72,1020.72,1020.72,-3.06,-32.17,95076,252310972.0,0.0,0.1
2010-01-20,961.83,961.83,961.83,961.83,-5.77,-58.89,89151,218848557.0,0.0,0.09
2010-01-21,962.26,962.26,962.26,962.26,0.04,0.43,35559,88257887.0,0.0,0.04
2010-01-22,944.27,944.27,944.27,944.27,-1.87,-17.99,33877,89965316.0,0.0,0.03
2010-01-25,953.53,953.53,953.53,953.53,0.98,9.26,28795,81599931.0,0.0,0.03
2010-01-26,906.69,906.69,906.69,906.69,-4.91,-46.84,33231,81157457.0,0.0,0.03
2010-01-27,896.73,896.73,896.73,896.73,-1.1,-9.96,28971,77417626.0,0.0,0.03
2010-01-28,906.27,906.27,906.27,906.27,1.06,9.54,21466,52971958.0,0.0,0.02
