日期,开盘,收盘,最高,最低,涨跌幅,涨跌额,成交量,成交额,振幅,换手率
2010-01-04,1003.01,1003.01,1003.01,1003.01,0.3,3.01,439382,649497634.0,0.0,0.49
2010-01-05,1016.29,1016.29,1016.29,1016.29,1.32,13.28,369324,530250430.0,0.0,0.41
2010-01-06,1015.66,1015.66,1015.66,1015.66,-0.06,-0.63,395001,554128063.0,0.0,0.44
2010-01-07,976.9,976.9,976.9,976.9,-3.82,-38.76,428532,590109765.0,0.0,0.48
2010-01-08,987.4,987.4,987.4,987.4,1.07,10.5,360386,506120659.0,0.0,0.4
2010-01-11,978.17,978.17,978.17,978.17,-0.93,-9.23,321424,450615189.0,0.0,0.36
2010-01-12,1021.21,1021.21,1021.21,1021.21,4.4,43.04,690735,1066144969.0,0.0,0.77
2010-01-13,1036.07,1036.07,1036.07,1036.07,1.46,14.86,820367,1135768712.0,0.0,0.92
2010-01-14,1056.42,1056.42,1056.42,1056.42,1.96,20.35,556436,762480495.0,0.0,0.62
2010-01-15,1042.8,1042.8,1042.8,1042.8,-1.29,-13.62,462951,656071609.0,0.0,0.52
2010-01-18,1081.45,1081.45,1081.45,1081.45,3.71,38.65,574283,836437890.0,0.0,0.64
2010-01-19,1074.28,1074.28,1074.28,1074.28,-0.66,-7.17,475517,717135905.0,0.0,0.53
2010-01-20,1028.82,1028.82,1028.82,1028.82,-4.23,-45.46,540317,775109395.0,0.0,0.6
2010-01-21,1035.52,1035.52,1035.52,1035.52,0.65,6.7,429347,615531195.0,0.0,0.48
2010-01-22,985.42,985.42,985.42,985.42,-4.84,-50.1,495878,762231885.0,0.0,0.55
2010-01-25,972.43,972.43,972.43,972.43,-1.32,-12.99,328920,501382602.0,0.0,0.37
2010-01-26,937.1,937.1,937.1,937.1,-3.63,-35.33,372453,502445396.0,0.0,0.42
2010-01-27,941.76,941.76,941.76,941.76,0.5,4.66,283533,388922640.0,0.0,0.32
2010-01-28,956.03,956.03,956.03,956.03,1.52,14.27,308571,459813394.0,0.0,0.35
2010-01-29,962.24,962.24,962.24,962.24,0.65,6.21,288655,410693604.0,0.0,0.32
2010-02-01,941.03,941.03,941.03,941.03,-2.2,-21.21,324158,438414016.0,0.0,0.36
2010-02-02,948.61,948.61,948.61,948.61,0.81,7.58,360202,486143654.0,0.0,0.4
2010-02-03,955.72,955.72,955.72,955.72,0.75,7.11,378030,461050105.0,0.0,0.42
2010-02-04,944.85,944.85,944.85,944.85,-1.14,-10.87,321264,426122644.0,0.0,0.36
2010-02-05,919.8,919.8,919.8,919.8,-2.65,-25.05,363292,531634139.0,0.0,0.41
2010-02-08,913.33,913.33,913.33,913.33,-0.7,-6.47,210578,301807930.0,0.0,0.24
2010-02-09,922.28,922.28,922.28,922.28,0.98,8.95,263931,370297436.0,0.0,0.3
2010-02-10,933.66,933.66,933.66,933.66,1.23,11.38,183707,251843666.0,0.0,0.21
2010-02-11,939.81,939.81,939.81,939.81,0.66,6.15,257136,377972398.0,0.0,0.29
2010-02-12,949.94,949.94,949.94,949.94,1.08,10.13,189421,256037228.0,0.0,0.21
2010-02-22,949.66,949.66,949.66,949.66,-0.03,-0.28,257137,353691823.0,0.0,0.29
2010-02-23,951.75,951.75,951.75,951.75,0.22,2.09,256815,334062956.0,0.0,0.29
2010-02-24,967.51,967.51,967.51,967.51,1.66,15.76,295732,411532527.0,0.0,0.33
2010-02-25,990.18,990.18,990.18,990.18,2.34,22.67,314725,373680534.0,0.0,0.35
2010-02-26,1005.57,1005.57,1005.57,1005.57,1.55,15.39,538142,713991210.0,0.0,0.6
2010-03-01,1009.77,1009.77,1009.77,1009.77,0.42,4.2,693863,852719806.0,0.0,0.78
2010-03-02,1011.07,1011.07,1011.07,1011.07,0.13,1.3,247668,329797319.0,0.0,0.28
2010-03-03,1023.65,1023.65,1023.65,1023.65,1.24,12.58,529542,698650737.0,0.0,0.59
2010-03-04,979.47,979.47,979.47,979.47,-4.32,-44.18,466048,685448339.0,0.0,0.52
2010-03-05,977.76,977.76,977.76,977.76,-0.17,-1.71,199585,327446722.0,0.0,0.22
2010-03-08,990.68,990.68,990.68,990.68,1.32,12.92,500595,650567140.0,0.0,0.56
2010-03-09,980.26,980.26,980.26,980.26,-1.05,-10.42,373526,519757661.0,0.0,0.42
2010-03-10,958.1,958.1,958.1,958.1,-2.26,-22.16,426494,608051096.0,0.0,0.48
2010-03-11,950.7,950.7,950.7,950.7,-0.77,-7.4,454034,655365312.0,0.0,0.51
2010-03-12,952.49,952.49,952.49,952.49,0.19,1.79,498438,685920435.0,0.0,0.56
2010-03-15,940.11,940.11,940.11,940.11,-1.3,-12.38,817117,1097883336.0,0.0,0.91
2010-03-16,946.23,946.23,946.23,946.23,0.65,6.12,337685,459291901.0,0.0,0.38
2010-03-17,967.85,967.85,967.85,967.85,2.28,21.62,482460,686906347.0,0.0,0.54
2010-03-18,971.66,971.66,971.66,971.66,0.39,3.81,414620,585692816.0,0.0,0.46
2010-03-19,980.56,980.56,980.56,980.56,0.92,8.9,543845,746924285.0,0.0,0.61
2010-03-22,992.02,992.02,992.02,992.02,1.17,11.46,565839,854619216.0,0.0,0.63
2010-03-23,984.98,984.98,984.98,984.98,-0.71,-7.04,650081,990420977.0,0.0,0.73
2010-03-24,979.5,979.5,979.5,979.5,-0.56,-5.48,464392,676878942.0,0.0,0.52
2010-03-25,983.89,983.89,983.89,983.89,0.45,4.39,802787,1164304572.0,0.0,0.9
2010-03-26,986.02,986.02,986.02,986.02,0.22,2.13,621246,915758688.0,0.0,0.69
2010-03-29,982.32,982.32,982.32,982.32,-0.38,-3.7,633147,963129409.0,0.0,0.71
2010-03-30,987.18,987.18,987.18,987.18,0.49,4.86,627258,950570051.0,0.0,0.7
2010-03-31,983.8,983.8,983.8,983.8,-0.34,-3.38,531822,836345176.0,0.0,0.59
2010-04-01,996.22,996.22,996.22,996.22,1.26,12.42,915625,1356484163.0,0.0,1.02
2010-04-02,1011.85,1011.85,1011.85,1011.85,1.57,15.63,1000041,1613773724.0,0.0,1.12
2010-04-06,1014.71,1014.71,1014.71,1014.71,0.28,2.86,960301,1497250213.0,0.0,1.07
2010-04-07,1012.5,1012.5,1012.5,1012.5,-0.22,-2.21,1087166,1586857592.0,0.0,1.22
2010-04-08,1018.53,1018.53,1018.53,1018.53,0.6,6.03,942662,1462256816.0,0.0,1.05
2010-04-09,1028.4,1028.4,1028.4,1028.4,0.97,9.87,902660,1484459776.0,0.0,1.01
2010-04-12,1033.29,1033.29,1033.29,1033.29,0.48,4.89,717862,950275634.0,0.0,0.8
2010-04-13,1023.5,1023.5,1023.5,1023.5,-0.95,-9.79,675188,883030552.0,0.0,0.75
2010-04-14,1036.75,1036.75,1036.75,1036.75,1.29,13.25,536346,773850584.0,0.0,0.6
2010-04-15,1026.42,1026.42,1026.42,1026.42,-1.0,-10.33,1000241,1600752655.0,0.0,1.12
2010-04-16,1024.71,1024.71,1024.71,1024.71,-0.17,-1.71,319593,460818299.0,0.0,0.36
2010-04-19,977.63,977.63,977.63,977.63,-4.59,-47.08,757484,1043672885.0,0.0,0.85
2010-04-20,980.61,980.61,980.61,980.61,0.3,2.98,749587,1190931255.0,0.0,0.84
2010-04-21,1002.57,1002.57,1002.57,1002.57,2.24,21.96,462289,633386356.0,0.0,0.52
2010-04-22,983.22,983.22,983.22,983.22,-1.93,-19.35,788077,1184411778.0,0.0,0.88
2010-04-23,972.74,972.74,972.74,972.74,-1.07,-10.48,527941,780836276.0,0.0,0.59
2010-04-26,961.01,961.01,961.01,961.01,-1.21,-11.73,431865,631710397.0,0.0,0.48
2010-04-27,924.27,924.27,924.27,924.27,-3.82,-36.74,433666,606777262.0,0.0,0.48
2010-04-28,893.53,893.53,893.53,893.53,-3.33,-30.74,483714,741386829.0,0.0,0.54
2010-04-29,867.06,867.06,867.06,867.06,-2.96,-26.47,397810,556937104.0,0.0,0.44
2010-04-30,839.95,839.95,839.95,839.95,-3.13,-27.11,402614,525955755.0,0.0,0.45
2010-05-04,830.85,830.85,830.85,830.85,-1.08,-9.1,297779,367539027.0,0.0,0.33
2010-05-05,837.85,837.85,837.85,837.85,0.84,7.0,501850,657949764.0,0.0,0.56
2010-05-06,812.35,812.35,812.35,812.35,-3.04,-25.5,495207,664995513.0,0.0,0.55
2010-05-07,789.5,789.5,789.5,789.5,-2.81,-22.85,451847,604365308.0,0.0,0.51
2010-05-10,784.09,784.09,784.09,784.09,-0.69,-5.41,394976,498077465.0,0.0,0.44
2010-05-11,760.48,760.48,760.48,760.48,-3.01,-23.61,367352,449365190.0,0.0,0.41
2010-05-12,762.75,762.75,762.75,762.75,0.3,2.27,328094,345309987.0,0.0,0.37
2010-05-13,778.65,778.65,778.65,778.65,2.08,15.9,420651,406294924.0,0.0,0.47
2010-05-14,783.46,783.46,783.46,783.46,0.62,4.81,372478,391773162.0,0.0,0.42
2010-05-17,726.41,726.41,726.41,726.41,-7.28,-57.05,417408,389472411.0,0.0,0.47
2010-05-18,730.43,730.43,730.43,730.43,0.55,4.02,440294,382241063.0,0.0,0.49
2010-05-19,732.39,732.39,732.39,732.39,0.27,1.96,350819,335238560.0,0.0,0.39
2010-05-20,722.27,722.27,722.27,722.27,-1.38,-10.12,392298,401583202.0,0.0,0.44
2010-05-21,740.27,740.27,740.27,740.27,2.49,18.0,475559,478386377.0,0.0,0.53
2010-05-24,766.57,766.57,766.57,766.57,3.55,26.3,652492,679415362.0,0.0,0.73
2010-05-25,753.23,753.23,753.23,753.23,-1.74,-13.34,548224,584313469.0,0.0,0.61
2010-05-26,756.9,756.9,756.9,756.9,0.49,3.67,425203,466450517.0,0.0,0.48
2010-05-27,764.05,764.05,764.05,764.05,0.94,7.15,390448,303028719.0,0.0,0.44
2010-05-28,773.99,773.99,773.99,773.99,1.3,9.94,609460,717203640.0,0.0,0.68
2010-05-31,750.25,750.25,750.25,750.25,-3.07,-23.74,482264,486382623.0,0.0,0.54
2010-06-01,730.6,730.6,730.6,730.6,-2.62,-19.65,458048,477956913.0,0.0,0.51
2010-06-02,736.53,736.53,736.53,736.53,0.81,5.93,361365,355671672.0,0.0,0.4
2010-06-03,728.74,728.74,728.74,728.74,-1.06,-7.79,423500,406042946.0,0.0,0.47
2010-06-04,724.49,724.49,724.49,724.49,-0.58,-4.25,273843,279240188.0,0.0,0.31
2010-06-07,706.91,706.91,706.91,706.91,-2.43,-17.58,284516,294108301.0,0.0,0.32
2010-06-08,717.14,717.14,717.14,717.14,1.45,10.23,290463,300651623.0,0.0,0.32
2010-06-09,733.79,733.79,733.79,733.79,2.32,16.65,606344,627998505.0,0.0,0.68
2010-06-10,734.36,734.36,734.36,734.36,0.08,0.57,489853,539682785.0,0.0,0.55
2010-06-11,733.5,733.5,733.5,733.5,-0.12,-0.86,402041,463533791.0,0.0,0.45
2010-06-17,735.58,735.58,735.58,735.58,0.28,2.08,291403,316431266.0,0.0,0.33
2010-06-18,720.16,720.16,720.16,720.16,-2.1,-15.42,338816,338405929.0,0.0,0.38
2010-06-21,733.84,733.84,733.84,733.84,1.9,13.68,368891,374117405.0,0.0,0.41
2010-06-22,738.31,738.31,738.31,738.31,0.61,4.47,341843,329546663.0,0.0,0.38
2010-06-23,726.53,726.53,726.53,726.53,-1.6,-11.78,311637,302380227.0,0.0,0.35
2010-06-24,723.53,723.53,723.53,723.53,-0.41,-3.0,389763,475777212.0,0.0,0.44
2010-06-25,699.9,699.9,699.9,699.9,-3.27,-23.63,438838,495534070.0,0.0,0.49
2010-06-28,689.97,689.97,689.97,689.97,-1.42,-9.93,268804,282838978.0,0.0,0.3
2010-06-29,653.75,653.75,653.75,653.75,-5.25,-36.22,245686,179346944.0,0.0,0.27
2010-06-30,617.79,617.79,617.79,617.79,-5.5,-35.96,398141,370551753.0,0.0,0.45
2010-07-01,615.01,615.01,615.01,615.01,-0.45,-2.78,411051,410759627.0,0.0,0.46
2010-07-02,617.76,617.76,617.76,617.76,0.45,2.75,385529,377091818.0,0.0,0.43
2010-07-05,614.34,614.34,614.34,614.34,-0.55,-3.42,369454,333170421.0,0.0,0.41
2010-07-06,632.5,632.5,632.5,632.5,2.96,18.16,519192,474983030.0,0.0,0.58
2010-07-07,634.27,634.27,634.27,634.27,0.28,1.77,341910,329173609.0,0.0,0.38
2010-07-08,628.12,628.12,628.12,628.12,-0.97,-6.15,321210,312586757.0,0.0,0.36
2010-07-09,651.34,651.34,651.34,651.34,3.7,23.22,616224,660959020.0,0.0,0.69
2010-07-12,657.59,657.59,657.59,657.59,0.96,6.25,497800,460829828.0,0.0,0.56
2010-07-13,642.75,642.75,642.75,642.75,-2.26,-14.84,350598,347302254.0,0.0,0.39
2010-07-14,649.27,649.27,649.27,649.27,1.01,6.52,336595,313709477.0,0.0,0.38
2010-07-15,634.0,634.0,634.0,634.0,-2.35,-15.27,241351,175644288.0,0.0,0.27
2010-07-16,637.99,637.99,637.99,637.99,0.63,3.99,280086,283406984.0,0.0,0.31
2010-07-19,652.43,652.43,652.43,652.43,2.26,14.44,431942,446997427.0,0.0,0.48
2010-07-20,679.59,679.59,679.59,679.59,4.16,27.16,769129,794602011.0,0.0,0.86
2010-07-21,685.19,685.19,685.19,685.19,0.82,5.6,955977,980378254.0,0.0,1.07
2010-07-22,695.41,695.41,695.41,695.41,1.49,10.22,682914,601459640.0,0.0,0.76
2010-07-23,692.11,692.11,692.11,692.11,-0.47,-3.3,804592,892430583.0,0.0,0.9
2010-07-26,704.86,704.86,704.86,704.86,1.84,12.75,561930,558380308.0,0.0,0.63
2010-07-27,710.63,710.63,710.63,710.63,0.82,5.77,618503,508054505.0,0.0,0.69
2010-07-28,725.4,725.4,725.4,725.4,2.08,14.77,911244,972764190.0,0.0,1.02
2010-07-29,731.39,731.39,731.39,731.39,0.83,5.99,872236,875040534.0,0.0,0.98
2010-07-30,736.82,736.82,736.82,736.82,0.74,5.43,847234,935292472.0,0.0,0.95
2010-08-02,755.95,755.95,755.95,755.95,2.6,19.13,979409,943482495.0,0.0,1.1
2010-08-03,741.53,741.53,741.53,741.53,-1.91,-14.42,892152,876002376.0,0.0,1.0
2010-08-04,752.82,752.82,752.82,752.82,1.52,11.29,790039,803804706.0,0.0,0.88
2010-08-05,756.28,756.28,756.28,756.28,0.46,3.46,823044,818460155.0,0.0,0.92
2010-08-06,787.77,787.77,787.77,787.77,4.16,31.49,1508563,1526792503.0,0.0,1.69
2010-08-09,803.22,803.22,803.22,803.22,1.96,15.45,1317926,1349633320.0,0.0,1.47
2010-08-10,763.23,763.23,763.23,763.23,-4.98,-39.99,995358,1003965115.0,0.0,1.11
2010-08-11,773.76,773.76,773.76,773.76,1.38,10.53,572924,609719435.0,0.0,0.64
2010-08-12,754.96,754.96,754.96,754.96,-2.43,-18.8,580130,578063500.0,0.0,0.65
2010-08-13,767.91,767.91,767.91,767.91,1.72,12.95,557348,628485925.0,0.0,0.62
2010-08-16,787.16,787.16,787.16,787.16,2.51,19.25,745078,805082403.0,0.0,0.83
2010-08-17,787.01,787.01,787.01,787.01,-0.02,-0.15,725180,706343669.0,0.0,0.81
2010-08-18,795.82,795.82,795.82,795.82,1.12,8.81,704458,813372051.0,0.0,0.79
2010-08-19,792.35,792.35,792.35,792.35,-0.44,-3.47,791789,772011330.0,0.0,0.89
2010-08-20,788.11,788.11,788.11,788.11,-0.54,-4.24,1141834,1072051965.0,0.0,1.28
2010-08-23,789.15,789.15,789.15,789.15,0.13,1.04,841937,728655592.0,0.0,0.94
2010-08-24,798.07,798.07,798.07,798.07,1.13,8.92,583051,466775456.0,0.0,0.65
2010-08-25,792.17,792.17,792.17,792.17,-0.74,-5.9,957841,857086627.0,0.0,1.07
2010-08-26,790.61,790.61,790.61,790.61,-0.2,-1.56,610552,595168189.0,0.0,0.68
2010-08-27,788.76,788.76,788.76,788.76,-0.23,-1.85,411389,392753421.0,0.0,0.46
2010-08-30,811.0,811.0,811.0,811.0,2.82,22.24,657276,666268079.0,0.0,0.73
2010-08-31,810.81,810.81,810.81,810.81,-0.02,-0.19,746866,769584579.0,0.0,0.84
2010-09-01,799.06,799.06,799.06,799.06,-1.45,-11.75,582010,712759235.0,0.0,0.65
