日期,开盘,收盘,最高,最低,涨跌幅,涨跌额,成交量,成交额,振幅,换手率
2010-01-04,1003.96,1003.96,1003.96,1003.96,0.4,3.96,30014,85318084.0,0.0,0.06
2010-01-05,1007.5,1007.5,1007.5,1007.5,0.35,3.54,20811,58931086.0,0.0,0.04
2010-01-06,1034.63,1034.63,1034.63,1034.63,2.69,27.13,43058,123597775.0,0.0,0.08
2010-01-07,1001.06,1001.06,1001.06,1001.06,-3.24,-33.57,30720,86961709.0,0.0,0.06
2010-01-08,1064.24,1064.24,1064.24,1064.24,6.31,63.18,68892,214815042.0,0.0,0.13
2010-01-11,1083.13,1083.13,1083.13,1083.13,1.77,18.89,76450,242354680.0,0.0,0.14
2010-01-12,1082.83,1082.83,1082.83,1082.83,-0.03,-0.3,46095,142789655.0,0.0,0.09
2010-01-13,1057.28,1057.28,1057.28,1057.28,-2.36,-25.55,40151,122923758.0,0.0,0.08
2010-01-14,1097.76,1097.76,1097.76,1097.76,3.83,40.48,47894,152373879.0,0.0,0.09
2010-01-15,1107.86,1107.86,1107.86,1107.86,0.92,10.1,46225,153242292.0,0.0,0.09
2010-01-18,1114.72,1114.72,1114.72,1114.72,0.62,6.86,38965,130399350.0,0.0,0.07
2010-01-19,1081.8,1081.8,1081.8,1081.8,-2.95,-32.92,36945,119015110.0,0.0,0.07
2010-01-20,1010.76,1010.76,1010.76,1010.76,-6.57,-71.04,43779,131445672.0,0.0,0.08
2010-01-21,1027.61,1027.61,1027.61,1027.61,1.67,16.85,25565,71454559.0,0.0,0.05
2010-01-22,1020.89,1020.89,1020.89,1020.89,-0.65,-6.72,35667,97191687.0,0.0,0.07
2010-01-25,1025.53,1025.53,1025.53,1025.53,0.45,4.64,42350,98956746.0,0.0,0.08
2010-01-26,956.98,956.98,956.98,956.98,-6.68,-68.55,31084,76895453.0,0.0,0.06
2010-01-27,926.22,926.22,926.22,926.22,-3.21,-30.76,18971,46021205.0,0.0,0.04
2010-01-28,957.29,957.29,957.29,957.29,3.35,31.07,22374,62497284.0,0.0,0.04
2010-01-29,960.46,960.46,960.46,960.46,0.33,3.17,19307,53512822.0,0.0,0.04
2010-02-01,935.86,935.86,935.86,935.86,-2.56,-24.6,17368,45877397.0,0.0,0.03
2010-02-02,927.62,927.62,927.62,927.62,-0.88,-8.24,15292,40875006.0,0.0,0.03
2010-02-03,980.07,980.07,980.07,980.07,5.65,52.45,96549,262089147.0,0.0,0.18
2010-02-04,1008.0,1008.0,1008.0,1008.0,2.85,27.93,75261,219813897.0,0.0,0.14
2010-02-05,980.84,980.84,980.84,980.84,-2.69,-27.16,77875,224009499.0,0.0,0.15
2010-02-08,950.53,950.53,950.53,950.53,-3.09,-30.31,28315,76093114.0,0.0,0.05
2010-02-09,955.49,955.49,955.49,955.49,0.52,4.96,28124,74010986.0,0.0,0.05
2010-02-10,954.29,954.29,954.29,954.29,-0.13,-1.2,17474,47013870.0,0.0,0.03
2010-02-11,939.85,939.85,939.85,939.85,-1.51,-14.44,18312,50149702.0,0.0,0.03
2010-02-12,942.28,942.28,942.28,942.28,0.26,2.43,3356,6489070.0,0.0,0.01
2010-02-22,965.56,965.56,965.56,965.56,2.47,23.28,38487,107059046.0,0.0,0.07
2010-02-23,999.06,999.06,999.06,999.06,3.47,33.5,52774,149790215.0,0.0,0.1
2010-02-24,1006.27,1006.27,1006.27,1006.27,0.72,7.21,34732,96520757.0,0.0,0.07
2010-02-25,1028.96,1028.96,1028.96,1028.96,2.25,22.69,32403,104616357.0,0.0,0.06
2010-02-26,1029.14,1029.14,1029.14,1029.14,0.02,0.18,38248,105260462.0,0.0,0.07
2010-03-01,1035.54,1035.54,1035.54,1035.54,0.62,6.4,38652,113024495.0,0.0,0.07
2010-03-02,1047.12,1047.12,1047.12,1047.12,1.12,11.58,48919,129283271.0,0.0,0.09
2010-03-03,1070.41,1070.41,1070.41,1070.41,2.22,23.29,69728,180177749.0,0.0,0.13
2010-03-04,1029.89,1029.89,1029.89,1029.89,-3.79,-40.52,59222,161733405.0,0.0,0.11
2010-03-05,1032.31,1032.31,1032.31,1032.31,0.23,2.42,35103,93509022.0,0.0,0.07
2010-03-08,1029.22,1029.22,1029.22,1029.22,-0.3,-3.09,25823,71780226.0,0.0,0.05
2010-03-09,1044.37,1044.37,1044.37,1044.37,1.47,15.15,36210,106984659.0,0.0,0.07
2010-03-10,1022.59,1022.59,1022.59,1022.59,-2.09,-21.78,36722,107486547.0,0.0,0.07
2010-03-11,1000.2,1000.2,1000.2,1000.2,-2.19,-22.39,28300,79900804.0,0.0,0.05
2010-03-12,1004.78,1004.78,1004.78,1004.78,0.46,4.58,33795,101272360.0,0.0,0.06
2010-03-15,976.17,976.17,976.17,976.17,-2.85,-28.61,24030,69100938.0,0.0,0.05
2010-03-16,979.89,979.89,979.89,979.89,0.38,3.72,14554,40457073.0,0.0,0.03
2010-03-17,1001.84,1001.84,1001.84,1001.84,2.24,21.95,22981,63901868.0,0.0,0.04
