日期,开盘,收盘,最高,最低,涨跌幅,涨跌额,成交量,成交额,振幅,换手率
2000-01-04,1000.56,1024.78,1033.95,985.24,2.48,24.78,286169,240101000.0,4.87,0.02
2000-01-05,1026.18,1023.3,1051.36,1008.18,-0.14,-1.48,413584,322881000.0,4.21,0.03
2000-01-06,1020.38,1063.05,1067.16,1009.9,3.88,39.75,588039,486598000.0,5.6,0.04
2000-01-07,1071.6,1097.07,1112.18,1061.82,3.2,34.02,1153242,967835000.0,4.74,0.08
2000-01-10,1104.87,1109.83,1130.05,1080.43,1.16,12.76,1083049,946777000.0,4.52,0.08
2000-01-11,1112.88,1066.88,1131.01,1054.34,-3.87,-42.95,1106525,935933000.0,6.91,0.08
2000-01-12,1060.48,1042.01,1080.19,1027.42,-2.33,-24.87,848195,676868000.0,4.95,0.06
2000-01-13,1040.31,1031.41,1053.18,1020.89,-1.02,-10.6,602563,514926000.0,3.1,0.04
2000-01-14,1034.5,1022.24,1052.04,1010.24,-0.89,-9.17,429480,385489000.0,4.05,0.03
2000-01-17,1024.01,1033.27,1046.82,1007.52,1.08,11.03,355060,314581000.0,3.84,0.03
2000-01-18,1035.78,1034.33,1052.5,1017.54,0.1,1.06,396592,378302000.0,3.38,0.03
2000-01-19,1030.95,1049.08,1065.13,1025.15,1.43,14.75,462799,459866000.0,3.87,0.03
2000-01-20,1049.19,1053.41,1064.05,1031.43,0.41,4.33,493312,456973000.0,3.11,0.03
2000-01-21,1054.93,1031.28,1062.46,1023.17,-2.1,-22.13,652685,567967000.0,3.73,0.05
2000-01-24,1030.58,1025.56,1046.11,999.33,-0.55,-5.72,678005,584833000.0,4.54,0.05
2000-01-25,1029.42,1057.98,1079.92,1015.8,3.16,32.42,827301,749870000.0,6.25,0.06
2000-01-26,1069.23,1060.47,1089.01,1040.59,0.24,2.49,758669,688948000.0,4.58,0.05
2000-01-27,1066.19,1057.45,1081.64,1037.49,-0.28,-3.02,799447,726990000.0,4.16,0.06
2000-01-28,1064.12,1070.07,1090.51,1035.67,1.19,12.62,1095322,990482000.0,5.19,0.08
2000-02-14,1104.59,1165.79,1169.33,1090.22,8.95,95.72,1682946,1694044000.0,7.39,0.12
2000-02-15,1183.33,1126.5,1206.7,1109.46,-3.37,-39.29,2082578,2028188000.0,8.34,0.15
2000-02-16,1122.9,1115.94,1146.16,1081.14,-0.94,-10.56,1517743,1394633000.0,5.77,0.11
2000-02-17,1124.27,1118.52,1189.71,1074.26,0.23,2.58,2265520,1851767000.0,10.35,0.16
2000-02-18,1125.61,1104.34,1154.29,1076.23,-1.27,-14.18,1234427,1098618000.0,6.98,0.09
2000-02-21,1109.48,1133.55,1159.21,1085.27,2.65,29.21,1642375,1498278000.0,6.7,0.12
2000-02-22,1143.83,1107.55,1167.52,1097.79,-2.29,-26.0,1498113,1345293000.0,6.15,0.11
2000-02-23,1100.8,1091.8,1124.04,1077.04,-1.42,-15.75,860017,754428000.0,4.24,0.06
2000-02-24,1094.62,1105.48,1118.36,1082.3,1.25,13.68,793421,743556000.0,3.3,0.06
2000-02-25,1108.15,1099.28,1124.93,1082.58,-0.56,-6.2,848781,847733000.0,3.83,0.06
2000-02-28,1102.97,1126.04,1139.22,1087.67,2.43,26.76,981701,944369000.0,4.69,0.07
2000-02-29,1142.1,1140.87,1172.4,1110.26,1.32,14.83,1189803,1107634000.0,5.52,0.08
2000-03-01,1150.44,1143.1,1175.51,1125.5,0.2,2.23,1390141,1300839000.0,4.38,0.1
2000-03-02,1146.01,1139.72,1170.2,1116.96,-0.3,-3.38,1178023,1066881000.0,4.66,0.08
2000-03-03,1146.73,1155.98,1176.83,1132.09,1.43,16.26,1259374,1202365000.0,3.93,0.09
2000-03-06,1167.29,1146.56,1205.8,1135.64,-0.81,-9.42,1522147,1286528000.0,6.07,0.11
2000-03-07,1140.79,1179.56,1196.67,1123.94,2.88,33.0,1580444,1150386000.0,6.34,0.11
2000-03-08,1181.07,1170.78,1195.31,1148.51,-0.74,-8.78,1010741,880254000.0,3.97,0.07
2000-03-09,1171.66,1164.19,1191.35,1146.49,-0.56,-6.59,927067,856551000.0,3.83,0.07
2000-03-10,1164.36,1137.7,1175.95,1127.95,-2.28,-26.49,792166,681174000.0,4.12,0.06
2000-03-13,1137.83,1158.06,1171.83,1129.59,1.79,20.36,769335,740277000.0,3.71,0.05
2000-03-14,1150.89,1138.31,1161.5,1105.08,-1.71,-19.75,1031586,868730000.0,4.87,0.07
2000-03-15,1141.23,1151.91,1173.65,1130.77,1.19,13.6,988221,935023000.0,3.77,0.07
2000-03-16,1143.67,1109.79,1155.25,1099.87,-3.66,-42.12,745005,655452000.0,4.81,0.05
2000-03-17,1108.09,1134.55,1143.28,1104.35,2.23,24.76,674595,627169000.0,3.51,0.05
2000-03-20,1128.96,1168.43,1182.08,1119.51,2.99,33.88,970119,954056000.0,5.51,0.07
2000-03-21,1173.32,1181.92,1201.91,1154.33,1.15,13.49,1239241,1230891000.0,4.07,0.09
2000-03-22,1182.39,1179.79,1207.09,1158.34,-0.18,-2.13,1373796,1314795000.0,4.12,0.1
2000-03-23,1183.87,1206.66,1219.9,1171.35,2.28,26.87,1420433,1296863000.0,4.12,0.1
