日期,开盘,收盘,最高,最低,涨跌幅,涨跌额,成交量,成交额,振幅,换手率
2010-01-04,1017.95,1017.95,1017.95,1017.95,1.8,17.95,435053,767329553.0,0.0,1.83
2010-01-05,1042.03,1042.03,1042.03,1042.03,2.37,24.08,447781,817298833.0,0.0,1.88
2010-01-06,1033.12,1033.12,1033.12,1033.12,-0.86,-8.91,305896,487290222.0,0.0,1.29
2010-01-07,1016.12,1016.12,1016.12,1016.12,-1.65,-17.0,351875,558393632.0,0.0,1.48
2010-01-08,1026.91,1026.91,1026.91,1026.91,1.06,10.79,513728,988091020.0,0.0,2.16
2010-01-11,1051.73,1051.73,1051.73,1051.73,2.42,24.82,774478,1041381422.0,0.0,3.26
2010-01-12,1062.01,1062.01,1062.01,1062.01,0.98,10.28,294557,503264572.0,0.0,1.24
2010-01-13,1007.09,1007.09,1007.09,1007.09,-5.17,-54.92,872853,1195718375.0,0.0,3.67
2010-01-14,1021.36,1021.36,1021.36,1021.36,1.42,14.27,486734,610908691.0,0.0,2.05
2010-01-15,1052.5,1052.5,1052.5,1052.5,3.05,31.14,546881,901073329.0,0.0,2.3
2010-01-18,1059.6,1059.6,1059.6,1059.6,0.67,7.1,353841,552208416.0,0.0,1.49
2010-01-19,1058.59,1058.59,1058.59,1058.59,-0.1,-1.01,431049,662634567.0,0.0,1.81
2010-01-20,1010.36,1010.36,1010.36,1010.36,-4.56,-48.23,463543,733743877.0,0.0,1.95
2010-01-21,1013.92,1013.92,1013.92,1013.92,0.35,3.56,277562,472106330.0,0.0,1.17
2010-01-22,971.64,971.64,971.64,971.64,-4.17,-42.28,336088,567972634.0,0.0,1.41
2010-01-25,957.38,957.38,957.38,957.38,-1.47,-14.26,190712,334592667.0,0.0,0.8
2010-01-26,924.0,924.0,924.0,924.0,-3.49,-33.38,215055,336754814.0,0.0,0.9
2010-01-27,922.93,922.93,922.93,922.93,-0.12,-1.07,205628,338338417.0,0.0,0.86
2010-01-28,946.0,946.0,946.0,946.0,2.5,23.07,246141,469477360.0,0.0,1.04
2010-01-29,942.17,942.17,942.17,942.17,-0.4,-3.83,180714,298494252.0,0.0,0.76
2010-02-01,917.28,917.28,917.28,917.28,-2.64,-24.89,179498,275299800.0,0.0,0.76
2010-02-02,925.96,925.96,925.96,925.96,0.95,8.68,206954,371559587.0,0.0,0.87
2010-02-03,957.26,957.26,957.26,957.26,3.38,31.3,273773,457857632.0,0.0,1.15
2010-02-04,967.98,967.98,967.98,967.98,1.12,10.72,269473,462667790.0,0.0,1.13
2010-02-05,962.06,962.06,962.06,962.06,-0.61,-5.92,354148,645013440.0,0.0,1.49
2010-02-08,960.56,960.56,960.56,960.56,-0.16,-1.5,190135,359704147.0,0.0,0.8
2010-02-09,959.32,959.32,959.32,959.32,-0.13,-1.24,127860,208472912.0,0.0,0.54
2010-02-10,974.68,974.68,974.68,974.68,1.6,15.36,150593,256812582.0,0.0,0.63
2010-02-11,975.36,975.36,975.36,975.36,0.07,0.68,137757,200059287.0,0.0,0.58
2010-02-12,981.68,981.68,981.68,981.68,0.65,6.32,126001,194404653.0,0.0,0.53
2010-02-22,988.29,988.29,988.29,988.29,0.67,6.61,219304,413022457.0,0.0,0.92
2010-02-23,1007.15,1007.15,1007.15,1007.15,1.91,18.86,232533,436434336.0,0.0,0.98
2010-02-24,1022.6,1022.6,1022.6,1022.6,1.53,15.45,278801,437869669.0,0.0,1.17
2010-02-25,1035.63,1035.63,1035.63,1035.63,1.27,13.03,306108,515552401.0,0.0,1.29
2010-02-26,1044.84,1044.84,1044.84,1044.84,0.89,9.21,379829,823601109.0,0.0,1.6
2010-03-01,1057.18,1057.18,1057.18,1057.18,1.18,12.34,199324,214931764.0,0.0,0.84
2010-03-02,1047.34,1047.34,1047.34,1047.34,-0.93,-9.84,258666,447449107.0,0.0,1.09
2010-03-03,1051.3,1051.3,1051.3,1051.3,0.38,3.96,251113,374441628.0,0.0,1.06
2010-03-04,1027.91,1027.91,1027.91,1027.91,-2.22,-23.39,408775,526410934.0,0.0,1.72
2010-03-05,1030.98,1030.98,1030.98,1030.98,0.3,3.07,232642,358841702.0,0.0,0.98
2010-03-08,1046.45,1046.45,1046.45,1046.45,1.5,15.47,245154,339927176.0,0.0,1.03
2010-03-09,1066.65,1066.65,1066.65,1066.65,1.93,20.2,463209,535155622.0,0.0,1.95
2010-03-10,1039.23,1039.23,1039.23,1039.23,-2.57,-27.42,336442,527311788.0,0.0,1.42
2010-03-11,1022.48,1022.48,1022.48,1022.48,-1.61,-16.75,235498,375687760.0,0.0,0.99
2010-03-12,1009.85,1009.85,1009.85,1009.85,-1.24,-12.63,264194,409652209.0,0.0,1.11
2010-03-15,1015.32,1015.32,1015.32,1015.32,0.54,5.47,240960,313960024.0,0.0,1.01
2010-03-16,1017.56,1017.56,1017.56,1017.56,0.22,2.24,153078,208837395.0,0.0,0.64
2010-03-17,1056.49,1056.49,1056.49,1056.49,3.83,38.93,463676,498949094.0,0.0,1.95
