日期,开盘,收盘,最高,最低,涨跌幅,涨跌额,成交量,成交额,振幅,换手率
2021-03-01,1004.94,1028.59,1037.95,996.48,2.86,28.59,9327786,19788770685.0,4.15,1.15
2021-03-02,1029.4,1020.39,1041.14,1006.9,-0.8,-8.2,9105425,21885568645.0,3.33,1.12
2021-03-03,1017.97,1032.24,1042.0,1004.78,1.16,11.85,7620334,17251852766.0,3.65,0.94
2021-03-04,1026.64,1017.54,1044.4,1005.94,-1.42,-14.7,8661906,19236679324.0,3.73,1.07
2021-03-05,1012.26,1033.89,1046.49,1003.06,1.61,16.35,8527151,18873876985.0,4.27,1.05
2021-03-08,1039.99,1020.34,1059.84,1013.42,-1.31,-13.55,8878699,19470301398.0,4.49,1.1
2021-03-09,1017.01,983.47,1030.34,964.84,-3.61,-36.87,9668058,20058323180.0,6.42,1.19
2021-03-10,991.2,965.17,1004.25,955.44,-1.86,-18.3,7813298,16708940014.0,4.96,0.96
2021-03-11,967.3,979.28,991.43,946.24,1.46,14.11,9571148,22419674749.0,4.68,1.18
2021-03-12,979.09,966.37,988.25,954.41,-1.32,-12.91,7733313,17786096549.0,3.46,0.95
2021-03-15,964.35,952.41,975.69,939.0,-1.44,-13.96,7702380,17485607845.0,3.8,0.95
2021-03-16,954.63,964.77,977.38,942.76,1.3,12.36,6744899,14333807932.0,3.63,0.83
2021-03-17,963.91,979.97,992.84,950.37,1.58,15.2,7393554,15688706059.0,4.4,0.91
2021-03-18,980.09,976.04,994.04,965.03,-0.4,-3.93,6595820,13485678948.0,2.96,0.81
2021-03-19,968.4,975.81,994.77,957.0,-0.02,-0.23,7719891,16907034106.0,3.87,0.95
2021-03-22,977.98,994.04,1001.75,968.47,1.87,18.23,7804939,17063616924.0,3.41,0.96
2021-03-23,991.75,985.96,1008.82,973.18,-0.81,-8.08,8309017,16003710737.0,3.59,1.03
2021-03-24,981.8,974.56,997.1,962.4,-1.16,-11.4,7111966,14506489628.0,3.52,0.88
2021-03-25,971.87,975.18,992.18,959.7,0.06,0.62,6288837,12666898792.0,3.33,0.78
2021-03-26,976.32,985.81,996.11,966.66,1.09,10.63,7768109,15826625466.0,3.02,0.96
2021-03-29,987.62,980.48,1002.09,969.72,-0.54,-5.33,7758221,15364489208.0,3.28,0.96
2021-03-30,977.71,972.52,992.7,960.02,-0.81,-7.96,8060114,14970796107.0,3.33,1.0
2021-03-31,975.1,981.75,995.88,961.63,0.95,9.23,6660575,12357035336.0,3.52,0.82
2021-04-01,983.14,982.5,1000.36,965.31,0.08,0.75,7524700,13814323588.0,3.57,0.93
2021-04-02,980.13,995.11,1006.56,969.65,1.28,12.61,7887408,16516867538.0,3.76,0.97
2021-04-06,995.57,1001.96,1016.46,981.45,0.69,6.85,7531559,14578633405.0,3.52,0.93
2021-04-07,998.66,1002.59,1016.91,983.94,0.06,0.63,7029938,14186188397.0,3.29,0.87
2021-04-08,1001.71,991.4,1018.26,982.6,-1.12,-11.19,6095797,12897811230.0,3.56,0.75
2021-04-09,989.2,991.61,1007.53,974.26,0.02,0.21,5428943,12116634740.0,3.36,0.67
2021-04-12,991.39,972.81,1003.35,962.61,-1.9,-18.8,6434496,12394787873.0,4.11,0.79
2021-04-13,973.84,978.51,999.8,959.14,0.59,5.7,8161206,16321309526.0,4.18,1.01
2021-04-14,977.97,990.19,1002.84,965.92,1.19,11.68,7343265,14550404910.0,3.77,0.91
2021-04-15,984.99,979.85,1002.06,964.39,-1.04,-10.34,6863478,12772011984.0,3.8,0.85
2021-04-16,980.73,994.14,1004.1,970.05,1.46,14.29,6619505,12345061136.0,3.48,0.82
2021-04-19,997.05,1023.34,1035.54,989.51,2.94,29.2,11080687,23512469020.0,4.63,1.37
2021-04-20,1023.04,1015.03,1041.51,1004.48,-0.81,-8.31,10155496,21886811922.0,3.62,1.25
2021-04-21,1009.72,1010.01,1027.13,993.73,-0.49,-5.02,7824123,17410461537.0,3.29,0.97
2021-04-22,1011.56,1024.01,1039.16,1000.71,1.39,14.0,10881962,26800410418.0,3.81,1.34
2021-04-23,1019.68,1011.38,1033.73,996.93,-1.23,-12.63,8667184,19978276828.0,3.59,1.07
2021-04-26,1011.88,1001.83,1028.84,991.19,-0.94,-9.55,8929092,20910316313.0,3.72,1.1
2021-04-27,997.95,986.45,1011.97,968.58,-1.54,-15.38,8588151,21557492792.0,4.33,1.06
2021-04-28,984.67,981.68,1001.68,961.6,-0.48,-4.77,8096523,19053330368.0,4.06,1.0
2021-04-29,979.05,971.34,996.01,961.64,-1.05,-10.34,7093831,15569065700.0,3.5,0.88
2021-04-30,971.02,955.0,983.42,940.08,-1.68,-16.34,7909867,16543698317.0,4.46,0.98
2021-05-06,953.7,954.71,972.66,938.88,-0.03,-0.29,6482318,14199341007.0,3.54,0.8
2021-05-07,955.32,939.52,966.28,931.3,-1.59,-15.19,7274774,15922249609.0,3.66,0.9
2021-05-10,939.35,935.99,953.55,917.62,-0.38,-3.53,6967867,13621342639.0,3.82,0.86
2021-05-11,932.58,944.46,956.45,920.93,0.9,8.47,6000588,12299677873.0,3.79,0.74
2021-05-12,941.26,948.17,957.65,928.1,0.39,3.71,5576381,11013457705.0,3.13,0.69
2021-05-13,942.15,946.39,963.55,932.12,-0.19,-1.78,6114550,11927964880.0,3.31,0.76
2021-05-14,949.24,956.83,966.79,938.12,1.1,10.44,6413427,13176490577.0,3.03,0.79
2021-05-17,956.49,951.25,974.15,937.22,-0.58,-5.58,7502922,16043773872.0,3.86,0.93
2021-05-18,948.79,950.13,963.84,931.52,-0.12,-1.12,6032865,11584342296.0,3.4,0.74
2021-05-19,947.9,956.6,972.32,935.99,0.68,6.47,8294782,17507814109.0,3.82,1.02
2021-05-20,952.72,958.4,972.69,939.45,0.19,1.8,7277759,15302776037.0,3.47,0.9
2021-05-21,960.13,955.62,975.02,946.78,-0.29,-2.78,6794305,13558002307.0,2.95,0.84
2021-05-24,954.48,961.84,972.15,941.94,0.65,6.22,7663119,17956416251.0,3.16,0.95
2021-05-25,961.39,969.9,979.41,949.36,0.84,8.06,9287339,22806686320.0,3.12,1.15
2021-05-26,968.71,972.02,987.72,957.62,0.22,2.12,8460349,19000527195.0,3.1,1.04
2021-05-27,971.12,988.9,1000.69,965.43,1.74,16.88,9726465,20658373058.0,3.63,1.2
2021-05-28,987.93,978.08,1002.61,967.62,-1.09,-10.82,8941541,19015046713.0,3.54,1.1
2021-05-31,979.06,990.62,1001.4,969.09,1.28,12.54,7566302,16066286022.0,3.3,0.93
2021-06-01,989.14,1001.94,1015.88,978.37,1.14,11.32,9673269,20063849156.0,3.79,1.19
