日期,开盘,收盘,最高,最低,涨跌幅,涨跌额,成交量,成交额,振幅,换手率
2010-01-04,1018.62,1018.62,1018.62,1018.62,1.86,18.62,962916,1099076018.0,0.0,0.13
2010-01-05,1044.35,1044.35,1044.35,1044.35,2.53,25.73,1247892,1533495606.0,0.0,0.16
2010-01-06,1045.93,1045.93,1045.93,1045.93,0.15,1.58,978761,1199471752.0,0.0,0.13
2010-01-07,1023.48,1023.48,1023.48,1023.48,-2.15,-22.45,939350,1178920778.0,0.0,0.12
2010-01-08,1047.19,1047.19,1047.19,1047.19,2.32,23.71,906517,1112062101.0,0.0,0.12
2010-01-11,1074.94,1074.94,1074.94,1074.94,2.65,27.75,1308623,1435000858.0,0.0,0.17
2010-01-12,1084.41,1084.41,1084.41,1084.41,0.88,9.47,1056500,1249250198.0,0.0,0.14
2010-01-13,1067.1,1067.1,1067.1,1067.1,-1.6,-17.31,893729,1086148476.0,0.0,0.12
2010-01-14,1106.93,1106.93,1106.93,1106.93,3.73,39.83,1204082,1294051695.0,0.0,0.16
2010-01-15,1105.4,1105.4,1105.4,1105.4,-0.14,-1.53,839209,1021875583.0,0.0,0.11
2010-01-18,1108.96,1108.96,1108.96,1108.96,0.32,3.56,821138,988549535.0,0.0,0.11
2010-01-19,1088.91,1088.91,1088.91,1088.91,-1.81,-20.05,722264,903285874.0,0.0,0.09
2010-01-20,1030.58,1030.58,1030.58,1030.58,-5.36,-58.33,884070,1047151285.0,0.0,0.12
2010-01-21,1028.53,1028.53,1028.53,1028.53,-0.2,-2.05,532197,638318626.0,0.0,0.07
2010-01-22,993.1,993.1,993.1,993.1,-3.44,-35.43,646165,727698542.0,0.0,0.08
2010-01-25,991.6,991.6,991.6,991.6,-0.15,-1.5,383414,468095489.0,0.0,0.05
2010-01-26,946.24,946.24,946.24,946.24,-4.57,-45.36,513643,563012835.0,0.0,0.07
2010-01-27,934.46,934.46,934.46,934.46,-1.24,-11.78,384056,423199467.0,0.0,0.05
2010-01-28,946.86,946.86,946.86,946.86,1.33,12.4,326499,364506845.0,0.0,0.04
2010-01-29,959.83,959.83,959.83,959.83,1.37,12.97,441645,529934454.0,0.0,0.06
2010-02-01,922.81,922.81,922.81,922.81,-3.86,-37.02,460616,486707119.0,0.0,0.06
2010-02-02,925.54,925.54,925.54,925.54,0.3,2.73,475606,463315598.0,0.0,0.06
2010-02-03,947.12,947.12,947.12,947.12,2.33,21.58,679953,663589103.0,0.0,0.09
2010-02-04,949.19,949.19,949.19,949.19,0.22,2.07,415974,455403611.0,0.0,0.05
2010-02-05,933.75,933.75,933.75,933.75,-1.63,-15.44,327578,369719420.0,0.0,0.04
2010-02-08,930.38,930.38,930.38,930.38,-0.36,-3.37,177549,192794653.0,0.0,0.02
2010-02-09,931.43,931.43,931.43,931.43,0.11,1.05,192585,181676240.0,0.0,0.03
2010-02-10,951.57,951.57,951.57,951.57,2.16,20.14,222492,279727880.0,0.0,0.03
2010-02-11,951.96,951.96,951.96,951.96,0.04,0.39,187937,223841956.0,0.0,0.02
2010-02-12,960.31,960.31,960.31,960.31,0.88,8.35,184783,217509041.0,0.0,0.02
2010-02-22,953.22,953.22,953.22,953.22,-0.74,-7.09,202113,214059085.0,0.0,0.03
2010-02-23,966.17,966.17,966.17,966.17,1.36,12.95,267285,283433166.0,0.0,0.03
2010-02-24,1006.87,1006.87,1006.87,1006.87,4.21,40.7,450572,520426345.0,0.0,0.06
2010-02-25,1009.92,1009.92,1009.92,1009.92,0.3,3.05,440424,560276544.0,0.0,0.06
2010-02-26,1014.02,1014.02,1014.02,1014.02,0.41,4.1,331866,361091205.0,0.0,0.04
2010-03-01,1021.92,1021.92,1021.92,1021.92,0.78,7.9,354979,458135891.0,0.0,0.05
2010-03-02,1042.3,1042.3,1042.3,1042.3,1.99,20.38,666198,847443360.0,0.0,0.09
2010-03-03,1061.51,1061.51,1061.51,1061.51,1.84,19.21,819500,962476187.0,0.0,0.11
2010-03-04,1007.46,1007.46,1007.46,1007.46,-5.09,-54.05,682425,834435764.0,0.0,0.09
2010-03-05,1020.03,1020.03,1020.03,1020.03,1.25,12.57,381547,462908439.0,0.0,0.05
2010-03-08,1036.33,1036.33,1036.33,1036.33,1.6,16.3,270223,343927771.0,0.0,0.04
2010-03-09,1041.35,1041.35,1041.35,1041.35,0.48,5.02,348467,446132573.0,0.0,0.05
2010-03-10,1029.56,1029.56,1029.56,1029.56,-1.13,-11.79,323625,411026472.0,0.0,0.04
2010-03-11,1027.1,1027.1,1027.1,1027.1,-0.24,-2.46,321576,418204614.0,0.0,0.04
2010-03-12,1019.88,1019.88,1019.88,1019.88,-0.7,-7.22,361000,559410906.0,0.0,0.05
2010-03-15,1013.79,1013.79,1013.79,1013.79,-0.6,-6.09,337399,436584828.0,0.0,0.04
2010-03-16,1032.32,1032.32,1032.32,1032.32,1.83,18.53,349160,464314983.0,0.0,0.05
2010-03-17,1072.81,1072.81,1072.81,1072.81,3.92,40.49,668837,1055056032.0,0.0,0.09
2010-03-18,1076.71,1076.71,1076.71,1076.71,0.36,3.9,761453,1154353450.0,0.0,0.1
2010-03-19,1091.46,1091.46,1091.46,1091.46,1.37,14.75,1402564,1722978341.0,0.0,0.18
2010-03-22,1110.65,1110.65,1110.65,1110.65,1.76,19.19,1183322,1449610803.0,0.0,0.15
2010-03-23,1107.85,1107.85,1107.85,1107.85,-0.25,-2.8,905789,1187492058.0,0.0,0.12
2010-03-24,1128.03,1128.03,1128.03,1128.03,1.82,20.18,973794,1396455555.0,0.0,0.13
2010-03-25,1119.34,1119.34,1119.34,1119.34,-0.77,-8.69,855777,1293409087.0,0.0,0.11
2010-03-26,1120.6,1120.6,1120.6,1120.6,0.11,1.26,638688,925705094.0,0.0,0.08
2010-03-29,1115.96,1115.96,1115.96,1115.96,-0.41,-4.64,631918,851765327.0,0.0,0.08
2010-03-30,1137.83,1137.83,1137.83,1137.83,1.96,21.87,608377,904522702.0,0.0,0.08
2010-03-31,1165.62,1165.62,1165.62,1165.62,2.44,27.79,868612,1226566538.0,0.0,0.11
2010-04-01,1185.03,1185.03,1185.03,1185.03,1.67,19.41,1078552,1610082531.0,0.0,0.14
2010-04-02,1185.67,1185.67,1185.67,1185.67,0.05,0.64,930831,1186072193.0,0.0,0.12
2010-04-06,1204.27,1204.27,1204.27,1204.27,1.57,18.6,757902,1078592702.0,0.0,0.1
2010-04-07,1227.74,1227.74,1227.74,1227.74,1.95,23.47,776812,1156156366.0,0.0,0.1
2010-04-08,1227.46,1227.46,1227.46,1227.46,-0.02,-0.28,1179020,1655272104.0,0.0,0.15
2010-04-09,1255.45,1255.45,1255.45,1255.45,2.28,27.99,1292484,1533506592.0,0.0,0.17
2010-04-12,1277.46,1277.46,1277.46,1277.46,1.75,22.01,1089310,1335430060.0,0.0,0.14
2010-04-13,1214.86,1214.86,1214.86,1214.86,-4.9,-62.6,1241485,1743714258.0,0.0,0.16
2010-04-14,1226.58,1226.58,1226.58,1226.58,0.96,11.72,791634,1026439422.0,0.0,0.1
2010-04-15,1202.43,1202.43,1202.43,1202.43,-1.97,-24.15,946013,1172362505.0,0.0,0.12
2010-04-16,1208.51,1208.51,1208.51,1208.51,0.51,6.08,559524,729117616.0,0.0,0.07
2010-04-19,1179.07,1179.07,1179.07,1179.07,-2.44,-29.44,766580,958144437.0,0.0,0.1
2010-04-20,1216.01,1216.01,1216.01,1216.01,3.13,36.94,727387,856201236.0,0.0,0.09
2010-04-21,1273.57,1273.57,1273.57,1273.57,4.73,57.56,1205773,1588230490.0,0.0,0.16
2010-04-22,1284.14,1284.14,1284.14,1284.14,0.83,10.57,1001783,1429483544.0,0.0,0.13
2010-04-23,1269.92,1269.92,1269.92,1269.92,-1.11,-14.22,839572,1160858831.0,0.0,0.11
2010-04-26,1262.53,1262.53,1262.53,1262.53,-0.58,-7.39,770080,1064278096.0,0.0,0.1
2010-04-27,1236.79,1236.79,1236.79,1236.79,-2.04,-25.74,897951,1139947689.0,0.0,0.12
2010-04-28,1224.56,1224.56,1224.56,1224.56,-0.99,-12.23,555406,703690959.0,0.0,0.07
2010-04-29,1204.74,1204.74,1204.74,1204.74,-1.62,-19.82,1546350,1964174684.0,0.0,0.2
2010-04-30,1153.66,1153.66,1153.66,1153.66,-4.24,-51.08,1008147,1248226571.0,0.0,0.13
2010-05-04,1154.69,1154.69,1154.69,1154.69,0.09,1.03,708486,818310624.0,0.0,0.09
2010-05-05,1199.12,1199.12,1199.12,1199.12,3.85,44.43,732285,977879777.0,0.0,0.1
2010-05-06,1190.2,1190.2,1190.2,1190.2,-0.74,-8.92,722328,993757622.0,0.0,0.09
2010-05-07,1147.72,1147.72,1147.72,1147.72,-3.57,-42.48,683455,1003837757.0,0.0,0.09
2010-05-10,1094.84,1094.84,1094.84,1094.84,-4.61,-52.88,605644,801400520.0,0.0,0.08
2010-05-11,1052.76,1052.76,1052.76,1052.76,-3.84,-42.08,534894,657834257.0,0.0,0.07
2010-05-12,1022.19,1022.19,1022.19,1022.19,-2.9,-30.57,471246,570432227.0,0.0,0.06
2010-05-13,1049.69,1049.69,1049.69,1049.69,2.69,27.5,495595,549988894.0,0.0,0.06
2010-05-14,1064.58,1064.58,1064.58,1064.58,1.42,14.89,373945,426553540.0,0.0,0.05
2010-05-17,1013.42,1013.42,1013.42,1013.42,-4.81,-51.16,560755,644538430.0,0.0,0.07
2010-05-18,1044.2,1044.2,1044.2,1044.2,3.04,30.78,390094,513992503.0,0.0,0.05
2010-05-19,1060.22,1060.22,1060.22,1060.22,1.53,16.02,500927,609444550.0,0.0,0.07
2010-05-20,1037.78,1037.78,1037.78,1037.78,-2.12,-22.44,494858,601889377.0,0.0,0.06
2010-05-21,1065.46,1065.46,1065.46,1065.46,2.67,27.68,523507,618075215.0,0.0,0.07
2010-05-24,1104.35,1104.35,1104.35,1104.35,3.65,38.89,626163,826961338.0,0.0,0.08
2010-05-25,1108.6,1108.6,1108.6,1108.6,0.38,4.25,643096,823780622.0,0.0,0.08
2010-05-26,1102.89,1102.89,1102.89,1102.89,-0.52,-5.71,537855,728142308.0,0.0,0.07
2010-05-27,1126.04,1126.04,1126.04,1126.04,2.1,23.15,579134,718245030.0,0.0,0.08
2010-05-28,1138.64,1138.64,1138.64,1138.64,1.12,12.6,717363,937409894.0,0.0,0.09
2010-05-31,1105.09,1105.09,1105.09,1105.09,-2.95,-33.55,620109,787185113.0,0.0,0.08
2010-06-01,1078.93,1078.93,1078.93,1078.93,-2.37,-26.16,623334,750966416.0,0.0,0.08
2010-06-02,1103.1,1103.1,1103.1,1103.1,2.24,24.17,349389,440891352.0,0.0,0.05
2010-06-03,1106.22,1106.22,1106.22,1106.22,0.28,3.12,689863,949605251.0,0.0,0.09
2010-06-04,1126.67,1126.67,1126.67,1126.67,1.85,20.45,461772,638114916.0,0.0,0.06
2010-06-07,1147.2,1147.2,1147.2,1147.2,1.82,20.53,687792,1086681543.0,0.0,0.09
2010-06-08,1174.24,1174.24,1174.24,1174.24,2.36,27.04,688474,979726412.0,0.0,0.09
