日期,开盘,收盘,最高,最低,涨跌幅,涨跌额,成交量,成交额,振幅,换手率
2011-11-03,950.2,950.2,950.2,950.2,-4.98,-49.8,147155,358851584.0,0.0,0.43
2011-11-04,948.21,948.21,948.21,948.21,-0.21,-1.99,88599,211951075.0,0.0,0.26
2011-11-07,943.83,943.83,943.83,943.83,-0.46,-4.38,72628,169091447.0,0.0,0.21
2011-11-08,1010.36,1010.36,1010.36,1010.36,7.05,66.53,154230,387872544.0,0.0,0.45
2011-11-09,1031.87,1031.87,1031.87,1031.87,2.13,21.51,123072,314385728.0,0.0,0.36
2011-11-10,1002.79,1002.79,1002.79,1002.79,-2.82,-29.08,107276,276990512.0,0.0,0.31
2011-11-11,965.34,965.34,965.34,965.34,-3.73,-37.45,66645,161905259.0,0.0,0.19
2011-11-14,994.42,994.42,994.42,994.42,3.01,29.08,63310,158180996.0,0.0,0.18
2011-11-15,1006.77,1006.77,1006.77,1006.77,1.24,12.35,67206,168938711.0,0.0,0.2
2011-11-16,961.36,961.36,961.36,961.36,-4.51,-45.41,49642,121908323.0,0.0,0.14
2011-11-17,998.01,998.01,998.01,998.01,3.81,36.65,66477,166426777.0,0.0,0.19
2011-11-18,968.13,968.13,968.13,968.13,-2.99,-29.88,38843,94372654.0,0.0,0.11
2011-11-21,924.3,924.3,924.3,924.3,-4.53,-43.83,45790,104895129.0,0.0,0.13
2011-11-22,913.55,913.55,913.55,913.55,-1.16,-10.75,22451,51046639.0,0.0,0.07
2011-11-23,901.2,901.2,901.2,901.2,-1.35,-12.35,17147,39115784.0,0.0,0.05
2011-11-24,885.66,885.66,885.66,885.66,-1.72,-15.54,25393,56370591.0,0.0,0.07
2011-11-25,869.72,869.72,869.72,869.72,-1.8,-15.94,19833,43761212.0,0.0,0.06
2011-11-28,882.07,882.07,882.07,882.07,1.42,12.35,20455,45375905.0,0.0,0.06
2011-11-29,887.25,887.25,887.25,887.25,0.59,5.18,20527,45551110.0,0.0,0.06
2011-11-30,821.51,821.51,821.51,821.51,-7.41,-65.74,31547,68092767.0,0.0,0.09
2011-12-01,852.59,852.59,852.59,852.59,3.78,31.08,37337,79874193.0,0.0,0.11
2011-12-02,810.36,810.36,810.36,810.36,-4.95,-42.23,25700,53407524.0,0.0,0.07
2011-12-05,745.02,745.02,745.02,745.02,-8.06,-65.34,24763,47225983.0,0.0,0.07
2011-12-06,768.13,768.13,768.13,768.13,3.1,23.11,28947,55160956.0,0.0,0.08
2011-12-07,756.97,756.97,756.97,756.97,-1.45,-11.16,21559,41221103.0,0.0,0.06
2011-12-08,767.33,767.33,767.33,767.33,1.37,10.36,32370,61217408.0,0.0,0.09
2011-12-09,800.8,800.8,800.8,800.8,4.36,33.47,48306,94954351.0,0.0,0.14
2011-12-12,783.67,783.67,783.67,783.67,-2.14,-17.13,26735,53196667.0,0.0,0.08
2011-12-13,750.6,750.6,750.6,750.6,-4.22,-33.07,22574,42684346.0,0.0,0.07
2011-12-14,726.3,726.3,726.3,726.3,-3.24,-24.3,18406,34278124.0,0.0,0.05
2011-12-15,683.27,683.27,683.27,683.27,-5.92,-43.03,22202,39357512.0,0.0,0.06
2011-12-16,720.32,720.32,720.32,720.32,5.42,37.05,33954,58921545.0,0.0,0.1
2011-12-19,735.46,735.46,735.46,735.46,2.1,15.14,33911,61226902.0,0.0,0.1
