日期,开盘,收盘,最高,最低,涨跌幅,涨跌额,成交量,成交额,振幅,换手率
2010-01-04,1020.68,1020.68,1020.68,1020.68,2.07,20.68,635551,703993594.0,0.0,1.41
2010-01-05,1030.57,1030.57,1030.57,1030.57,0.97,9.89,423968,513165254.0,0.0,0.94
2010-01-06,1012.37,1012.37,1012.37,1012.37,-1.77,-18.2,292636,350867650.0,0.0,0.65
2010-01-07,984.39,984.39,984.39,984.39,-2.76,-27.98,425400,482220622.0,0.0,0.94
2010-01-08,990.12,990.12,990.12,990.12,0.58,5.73,240554,286310849.0,0.0,0.53
2010-01-11,992.44,992.44,992.44,992.44,0.23,2.32,377439,393294344.0,0.0,0.84
2010-01-12,1026.94,1026.94,1026.94,1026.94,3.48,34.5,599399,639667413.0,0.0,1.33
2010-01-13,1020.4,1020.4,1020.4,1020.4,-0.64,-6.54,608768,645769724.0,0.0,1.35
2010-01-14,1050.87,1050.87,1050.87,1050.87,2.99,30.47,556098,635814521.0,0.0,1.24
2010-01-15,1054.48,1054.48,1054.48,1054.48,0.34,3.61,423491,462427949.0,0.0,0.94
2010-01-18,1072.23,1072.23,1072.23,1072.23,1.68,17.75,624882,768744878.0,0.0,1.39
2010-01-19,1074.41,1074.41,1074.41,1074.41,0.2,2.18,572043,725685717.0,0.0,1.27
2010-01-20,1037.56,1037.56,1037.56,1037.56,-3.43,-36.85,544831,663845785.0,0.0,1.21
2010-01-21,1045.25,1045.25,1045.25,1045.25,0.74,7.69,295684,350411126.0,0.0,0.66
2010-01-22,1017.97,1017.97,1017.97,1017.97,-2.61,-27.28,420148,472628409.0,0.0,0.93
2010-01-25,1020.71,1020.71,1020.71,1020.71,0.27,2.74,329388,348827933.0,0.0,0.73
2010-01-26,978.89,978.89,978.89,978.89,-4.1,-41.82,336193,346609739.0,0.0,0.75
2010-01-27,978.07,978.07,978.07,978.07,-0.08,-0.82,281816,300038971.0,0.0,0.63
2010-01-28,982.31,982.31,982.31,982.31,0.43,4.24,184544,204798154.0,0.0,0.41
2010-01-29,992.62,992.62,992.62,992.62,1.05,10.31,299864,336648449.0,0.0,0.67
2010-02-01,983.08,983.08,983.08,983.08,-0.96,-9.54,311266,360496634.0,0.0,0.69
2010-02-02,963.09,963.09,963.09,963.09,-2.03,-19.99,249497,278853786.0,0.0,0.55
2010-02-03,961.3,961.3,961.3,961.3,-0.19,-1.79,280681,303786097.0,0.0,0.62
2010-02-04,967.85,967.85,967.85,967.85,0.68,6.55,281939,305518579.0,0.0,0.63
2010-02-05,948.92,948.92,948.92,948.92,-1.96,-18.93,249762,290313254.0,0.0,0.55
2010-02-08,967.56,967.56,967.56,967.56,1.96,18.64,239170,310532379.0,0.0,0.53
2010-02-09,962.39,962.39,962.39,962.39,-0.53,-5.17,166898,207383880.0,0.0,0.37
2010-02-10,969.4,969.4,969.4,969.4,0.73,7.01,115082,159105949.0,0.0,0.26
2010-02-11,971.57,971.57,971.57,971.57,0.22,2.17,140419,232147707.0,0.0,0.31
2010-02-12,981.67,981.67,981.67,981.67,1.04,10.1,164870,240549044.0,0.0,0.37
2010-02-22,993.19,993.19,993.19,993.19,1.17,11.52,221442,356541133.0,0.0,0.49
2010-02-23,1020.37,1020.37,1020.37,1020.37,2.74,27.18,414659,1006976263.0,0.0,0.92
2010-02-24,1033.64,1033.64,1033.64,1033.64,1.3,13.27,439937,813788138.0,0.0,0.98
2010-02-25,1044.62,1044.62,1044.62,1044.62,1.06,10.98,439903,718888847.0,0.0,0.98
2010-02-26,1040.75,1040.75,1040.75,1040.75,-0.37,-3.87,419818,623202588.0,0.0,0.93
2010-03-01,1048.47,1048.47,1048.47,1048.47,0.74,7.72,432794,591145040.0,0.0,0.96
2010-03-02,1049.16,1049.16,1049.16,1049.16,0.07,0.69,383883,574061545.0,0.0,0.85
2010-03-03,1086.69,1086.69,1086.69,1086.69,3.58,37.53,890012,1124207969.0,0.0,1.98
2010-03-04,1039.55,1039.55,1039.55,1039.55,-4.34,-47.14,667423,859429144.0,0.0,1.48
2010-03-05,1036.69,1036.69,1036.69,1036.69,-0.28,-2.86,398372,538354038.0,0.0,0.88
2010-03-08,1034.5,1034.5,1034.5,1034.5,-0.21,-2.19,298618,370901936.0,0.0,0.66
2010-03-09,1040.35,1040.35,1040.35,1040.35,0.57,5.85,337134,356348924.0,0.0,0.75
2010-03-10,1026.37,1026.37,1026.37,1026.37,-1.34,-13.98,314810,389782327.0,0.0,0.7
2010-03-11,1024.38,1024.38,1024.38,1024.38,-0.19,-1.99,254443,303285266.0,0.0,0.57
2010-03-12,1011.17,1011.17,1011.17,1011.17,-1.29,-13.21,226411,276342201.0,0.0,0.5
2010-03-15,1003.75,1003.75,1003.75,1003.75,-0.73,-7.42,305366,331709772.0,0.0,0.68
2010-03-16,1016.67,1016.67,1016.67,1016.67,1.29,12.92,434675,424362830.0,0.0,0.97
2010-03-17,1034.28,1034.28,1034.28,1034.28,1.73,17.61,549347,596761593.0,0.0,1.22
2010-03-18,1042.76,1042.76,1042.76,1042.76,0.82,8.48,507313,507671589.0,0.0,1.13
2010-03-19,1045.49,1045.49,1045.49,1045.49,0.26,2.73,366352,436435105.0,0.0,0.81
2010-03-22,1043.9,1043.9,1043.9,1043.9,-0.15,-1.59,376644,431451555.0,0.0,0.84
2010-03-23,1049.18,1049.18,1049.18,1049.18,0.51,5.28,377533,339169229.0,0.0,0.84
2010-03-24,1073.74,1073.74,1073.74,1073.74,2.34,24.56,550036,929009156.0,0.0,1.22
2010-03-25,1051.79,1051.79,1051.79,1051.79,-2.04,-21.95,452979,879747490.0,0.0,1.01
2010-03-26,1056.94,1056.94,1056.94,1056.94,0.49,5.15,274470,476002802.0,0.0,0.61
2010-03-29,1059.74,1059.74,1059.74,1059.74,0.26,2.8,313989,532736867.0,0.0,0.7
2010-03-30,1062.94,1062.94,1062.94,1062.94,0.3,3.2,293912,435309455.0,0.0,0.65
2010-03-31,1060.1,1060.1,1060.1,1060.1,-0.27,-2.84,292025,461282491.0,0.0,0.65
2010-04-01,1071.88,1071.88,1071.88,1071.88,1.11,11.78,388469,510814589.0,0.0,0.86
2010-04-02,1084.64,1084.64,1084.64,1084.64,1.19,12.76,469644,547416627.0,0.0,1.04
2010-04-06,1109.15,1109.15,1109.15,1109.15,2.26,24.51,825679,993269296.0,0.0,1.83
2010-04-07,1100.95,1100.95,1100.95,1100.95,-0.74,-8.2,479948,675351524.0,0.0,1.07
2010-04-08,1102.33,1102.33,1102.33,1102.33,0.13,1.38,380009,511325003.0,0.0,0.84
2010-04-09,1137.47,1137.47,1137.47,1137.47,3.19,35.14,726241,1207773679.0,0.0,1.61
2010-04-12,1134.79,1134.79,1134.79,1134.79,-0.24,-2.68,615764,969259128.0,0.0,1.37
2010-04-13,1124.57,1124.57,1124.57,1124.57,-0.9,-10.22,584272,926089799.0,0.0,1.3
2010-04-14,1141.94,1141.94,1141.94,1141.94,1.54,17.37,457594,788178346.0,0.0,1.02
2010-04-15,1151.69,1151.69,1151.69,1151.69,0.85,9.75,524552,1084881440.0,0.0,1.16
2010-04-16,1154.65,1154.65,1154.65,1154.65,0.26,2.96,788391,1208437088.0,0.0,1.75
2010-04-19,1101.94,1101.94,1101.94,1101.94,-4.57,-52.71,758687,1029850290.0,0.0,1.68
2010-04-20,1116.99,1116.99,1116.99,1116.99,1.37,15.05,730615,1037185077.0,0.0,1.62
2010-04-21,1161.6,1161.6,1161.6,1161.6,3.99,44.61,708690,1059445920.0,0.0,1.57
2010-04-22,1167.67,1167.67,1167.67,1167.67,0.52,6.07,724629,1054062703.0,0.0,1.61
2010-04-23,1151.47,1151.47,1151.47,1151.47,-1.39,-16.2,593122,854762219.0,0.0,1.32
2010-04-26,1158.81,1158.81,1158.81,1158.81,0.64,7.34,421557,561937650.0,0.0,0.94
2010-04-27,1120.33,1120.33,1120.33,1120.33,-3.32,-38.48,317671,481570462.0,0.0,0.71
2010-04-28,1137.1,1137.1,1137.1,1137.1,1.5,16.77,477536,577158356.0,0.0,1.06
2010-04-29,1100.75,1100.75,1100.75,1100.75,-3.2,-36.35,438796,593080689.0,0.0,0.97
2010-04-30,1056.34,1056.34,1056.34,1056.34,-4.03,-44.41,419667,541855181.0,0.0,0.93
2010-05-04,1060.83,1060.83,1060.83,1060.83,0.43,4.49,261861,342120904.0,0.0,0.58
2010-05-05,1109.13,1109.13,1109.13,1109.13,4.55,48.3,368672,344915092.0,0.0,0.82
2010-05-06,1094.27,1094.27,1094.27,1094.27,-1.34,-14.86,465778,683025273.0,0.0,1.03
2010-05-07,1108.22,1108.22,1108.22,1108.22,1.27,13.95,576871,713481151.0,0.0,1.28
2010-05-10,1105.52,1105.52,1105.52,1105.52,-0.24,-2.7,362168,488116292.0,0.0,0.8
2010-05-11,1060.31,1060.31,1060.31,1060.31,-4.09,-45.21,479282,590959314.0,0.0,1.06
2010-05-12,1010.74,1010.74,1010.74,1010.74,-4.68,-49.57,364752,475544493.0,0.0,0.81
2010-05-13,1036.88,1036.88,1036.88,1036.88,2.59,26.14,298594,417823095.0,0.0,0.66
2010-05-14,1032.41,1032.41,1032.41,1032.41,-0.43,-4.47,252616,339204194.0,0.0,0.56
2010-05-17,964.08,964.08,964.08,964.08,-6.62,-68.33,288360,339504384.0,0.0,0.64
