日期,开盘,收盘,最高,最低,涨跌幅,涨跌额,成交量,成交额,振幅,换手率
2010-01-04,1001.33,1001.33,1001.33,1001.33,0.13,1.33,1713856,2149007398.0,0.0,0.06
2010-01-05,1016.3,1016.3,1016.3,1016.3,1.5,14.97,2311723,2931474288.0,0.0,0.08
2010-01-06,1002.8,1002.8,1002.8,1002.8,-1.33,-13.5,2078277,2599198428.0,0.0,0.07
2010-01-07,977.84,977.84,977.84,977.84,-2.49,-24.96,2465485,3092047530.0,0.0,0.08
2010-01-08,987.0,987.0,987.0,987.0,0.94,9.16,1943138,2458245140.0,0.0,0.07
2010-01-11,990.78,990.78,990.78,990.78,0.38,3.78,2814042,3566879406.0,0.0,0.1
2010-01-12,1025.61,1025.61,1025.61,1025.61,3.52,34.83,3693128,4755606752.0,0.0,0.13
2010-01-13,1012.18,1012.18,1012.18,1012.18,-1.31,-13.43,3556783,4465729214.0,0.0,0.12
2010-01-14,1027.34,1027.34,1027.34,1027.34,1.5,15.16,2094902,2552127607.0,0.0,0.07
2010-01-15,1032.54,1032.54,1032.54,1032.54,0.51,5.2,1914070,2359407607.0,0.0,0.07
2010-01-18,1039.12,1039.12,1039.12,1039.12,0.64,6.58,2183462,2669880723.0,0.0,0.07
2010-01-19,1034.36,1034.36,1034.36,1034.36,-0.46,-4.76,2395603,3015013558.0,0.0,0.08
2010-01-20,992.06,992.06,992.06,992.06,-4.09,-42.3,2941300,3597877847.0,0.0,0.1
2010-01-21,993.04,993.04,993.04,993.04,0.1,0.98,2150506,2614759463.0,0.0,0.07
2010-01-22,980.2,980.2,980.2,980.2,-1.29,-12.84,2011148,2363253219.0,0.0,0.07
2010-01-25,970.23,970.23,970.23,970.23,-1.02,-9.97,1055141,1195705417.0,0.0,0.04
2010-01-26,948.08,948.08,948.08,948.08,-2.28,-22.15,1796349,2001637860.0,0.0,0.06
2010-01-27,927.06,927.06,927.06,927.06,-2.22,-21.02,1498089,1578649357.0,0.0,0.05
2010-01-28,923.95,923.95,923.95,923.95,-0.34,-3.11,1253360,1374539420.0,0.0,0.04
2010-01-29,923.66,923.66,923.66,923.66,-0.03,-0.29,1264661,1381602139.0,0.0,0.04
2010-02-01,906.94,906.94,906.94,906.94,-1.81,-16.72,1221987,1318712192.0,0.0,0.04
2010-02-02,903.68,903.68,903.68,903.68,-0.36,-3.26,1099620,1184533006.0,0.0,0.04
2010-02-03,919.28,919.28,919.28,919.28,1.73,15.6,1452908,1554865849.0,0.0,0.05
2010-02-04,922.11,922.11,922.11,922.11,0.31,2.83,1146658,1260324670.0,0.0,0.04
2010-02-05,917.35,917.35,917.35,917.35,-0.52,-4.76,1564165,1652855388.0,0.0,0.05
2010-02-08,932.78,932.78,932.78,932.78,1.68,15.43,1381748,1405087773.0,0.0,0.05
2010-02-09,925.54,925.54,925.54,925.54,-0.78,-7.24,1152728,1130397425.0,0.0,0.04
2010-02-10,930.63,930.63,930.63,930.63,0.55,5.09,1128866,1180130715.0,0.0,0.04
2010-02-11,940.85,940.85,940.85,940.85,1.1,10.22,1030247,1104064676.0,0.0,0.04
2010-02-12,959.76,959.76,959.76,959.76,2.01,18.91,1113788,1229026466.0,0.0,0.04
2010-02-22,979.54,979.54,979.54,979.54,2.06,19.78,1189459,1322922611.0,0.0,0.04
2010-02-23,1001.88,1001.88,1001.88,1001.88,2.28,22.34,1314124,1451757497.0,0.0,0.04
2010-02-24,1026.05,1026.05,1026.05,1026.05,2.41,24.17,1783557,2127832184.0,0.0,0.06
2010-02-25,1049.29,1049.29,1049.29,1049.29,2.26,23.24,2138484,2518897791.0,0.0,0.07
2010-02-26,1062.32,1062.32,1062.32,1062.32,1.24,13.03,1628717,2062370618.0,0.0,0.06
2010-03-01,1070.04,1070.04,1070.04,1070.04,0.73,7.72,1626276,2039206150.0,0.0,0.06
2010-03-02,1063.79,1063.79,1063.79,1063.79,-0.58,-6.25,1506812,1805339307.0,0.0,0.05
2010-03-03,1074.62,1074.62,1074.62,1074.62,1.02,10.83,1421071,1687592943.0,0.0,0.05
2010-03-04,1047.11,1047.11,1047.11,1047.11,-2.56,-27.51,1720809,2075720819.0,0.0,0.06
2010-03-05,1052.21,1052.21,1052.21,1052.21,0.49,5.1,918924,1004294892.0,0.0,0.03
2010-03-08,1067.99,1067.99,1067.99,1067.99,1.5,15.78,1004940,1247567196.0,0.0,0.03
2010-03-09,1073.51,1073.51,1073.51,1073.51,0.52,5.52,1226865,1454937413.0,0.0,0.04
2010-03-10,1055.92,1055.92,1055.92,1055.92,-1.64,-17.59,1414900,1659442273.0,0.0,0.05
2010-03-11,1057.11,1057.11,1057.11,1057.11,0.11,1.19,1664283,1931643080.0,0.0,0.06
2010-03-12,1038.31,1038.31,1038.31,1038.31,-1.78,-18.8,1386534,1632050168.0,0.0,0.05
2010-03-15,1034.94,1034.94,1034.94,1034.94,-0.32,-3.37,1352191,1352503278.0,0.0,0.05
2010-03-16,1045.61,1045.61,1045.61,1045.61,1.03,10.67,1003093,1043821177.0,0.0,0.03
2010-03-17,1060.57,1060.57,1060.57,1060.57,1.43,14.96,1245408,1358437788.0,0.0,0.04
2010-03-18,1077.92,1077.92,1077.92,1077.92,1.64,17.35,1740553,1792750458.0,0.0,0.06
2010-03-19,1087.92,1087.92,1087.92,1087.92,0.93,10.0,1517780,1612287745.0,0.0,0.05
2010-03-22,1107.74,1107.74,1107.74,1107.74,1.82,19.82,1320088,1469085386.0,0.0,0.04
2010-03-23,1097.24,1097.24,1097.24,1097.24,-0.95,-10.5,1499235,1662911373.0,0.0,0.05
2010-03-24,1094.0,1094.0,1094.0,1094.0,-0.3,-3.24,1055879,1169424210.0,0.0,0.04
2010-03-25,1078.09,1078.09,1078.09,1078.09,-1.45,-15.91,1103620,1232279374.0,0.0,0.04
2010-03-26,1105.2,1105.2,1105.2,1105.2,2.51,27.11,1595066,1774329630.0,0.0,0.05
2010-03-29,1109.12,1109.12,1109.12,1109.12,0.35,3.92,2214791,2602714481.0,0.0,0.08
2010-03-30,1111.65,1111.65,1111.65,1111.65,0.23,2.53,1273319,1464247669.0,0.0,0.04
2010-03-31,1102.57,1102.57,1102.57,1102.57,-0.82,-9.08,1299011,1467815768.0,0.0,0.04
2010-04-01,1113.23,1113.23,1113.23,1113.23,0.97,10.66,1382001,1553401146.0,0.0,0.05
2010-04-02,1122.31,1122.31,1122.31,1122.31,0.82,9.08,1793167,2041146360.0,0.0,0.06
2010-04-06,1138.19,1138.19,1138.19,1138.19,1.41,15.88,1951918,2192729246.0,0.0,0.07
2010-04-07,1127.03,1127.03,1127.03,1127.03,-0.98,-11.16,1740138,1937614170.0,0.0,0.06
2010-04-08,1114.24,1114.24,1114.24,1114.24,-1.13,-12.79,1467196,1635289971.0,0.0,0.05
2010-04-09,1122.84,1122.84,1122.84,1122.84,0.77,8.6,1417076,1626732364.0,0.0,0.05
2010-04-12,1131.03,1131.03,1131.03,1131.03,0.73,8.19,1436811,1611761380.0,0.0,0.05
2010-04-13,1123.09,1123.09,1123.09,1123.09,-0.7,-7.94,2437438,2787379448.0,0.0,0.08
2010-04-14,1130.41,1130.41,1130.41,1130.41,0.65,7.32,2133295,2347601102.0,0.0,0.07
2010-04-15,1129.85,1129.85,1129.85,1129.85,-0.05,-0.56,2325237,2713521580.0,0.0,0.08
2010-04-16,1121.08,1121.08,1121.08,1121.08,-0.78,-8.77,1292327,1422591641.0,0.0,0.04
2010-04-19,1061.48,1061.48,1061.48,1061.48,-5.32,-59.6,2008396,2227498820.0,0.0,0.07
2010-04-20,1058.92,1058.92,1058.92,1058.92,-0.24,-2.56,1744315,1835931050.0,0.0,0.06
2010-04-21,1096.14,1096.14,1096.14,1096.14,3.51,37.22,2318719,2165159088.0,0.0,0.08
2010-04-22,1092.94,1092.94,1092.94,1092.94,-0.29,-3.2,2208424,2113236692.0,0.0,0.08
2010-04-23,1082.7,1082.7,1082.7,1082.7,-0.94,-10.24,2021503,1952140062.0,0.0,0.07
