日期,开盘,收盘,最高,最低,涨跌幅,涨跌额,成交量,成交额,振幅,换手率
2010-01-04,996.75,996.75,996.75,996.75,-0.33,-3.25,353855,364362345.0,0.0,0.25
2010-01-05,996.14,996.14,996.14,996.14,-0.06,-0.61,504042,509098424.0,0.0,0.36
2010-01-06,994.59,994.59,994.59,994.59,-0.16,-1.55,424127,424476651.0,0.0,0.3
2010-01-07,983.21,983.21,983.21,983.21,-1.14,-11.38,505458,535229649.0,0.0,0.36
2010-01-08,995.16,995.16,995.16,995.16,1.22,11.95,558395,529237547.0,0.0,0.39
2010-01-11,1001.09,1001.09,1001.09,1001.09,0.6,5.93,555361,523042378.0,0.0,0.39
2010-01-12,1015.59,1015.59,1015.59,1015.59,1.45,14.5,564364,548286671.0,0.0,0.4
2010-01-13,993.53,993.53,993.53,993.53,-2.17,-22.06,597742,547513069.0,0.0,0.42
2010-01-14,1014.39,1014.39,1014.39,1014.39,2.1,20.86,667264,643466523.0,0.0,0.47
2010-01-15,1020.85,1020.85,1020.85,1020.85,0.64,6.46,609595,593039008.0,0.0,0.43
2010-01-18,1040.22,1040.22,1040.22,1040.22,1.9,19.37,686159,652047952.0,0.0,0.48
2010-01-19,1034.47,1034.47,1034.47,1034.47,-0.55,-5.75,581619,547982039.0,0.0,0.41
2010-01-20,1008.75,1008.75,1008.75,1008.75,-2.49,-25.72,766050,719076065.0,0.0,0.54
2010-01-21,1021.66,1021.66,1021.66,1021.66,1.28,12.91,519204,521935042.0,0.0,0.37
2010-01-22,995.09,995.09,995.09,995.09,-2.6,-26.57,584049,549171627.0,0.0,0.41
2010-01-25,980.48,980.48,980.48,980.48,-1.47,-14.61,374777,347335430.0,0.0,0.26
2010-01-26,939.95,939.95,939.95,939.95,-4.13,-40.53,441484,394516148.0,0.0,0.31
2010-01-27,938.94,938.94,938.94,938.94,-0.11,-1.01,319068,273073803.0,0.0,0.23
2010-01-28,956.71,956.71,956.71,956.71,1.89,17.77,330599,296302884.0,0.0,0.23
2010-01-29,950.96,950.96,950.96,950.96,-0.6,-5.75,429543,367553634.0,0.0,0.3
2010-02-01,936.12,936.12,936.12,936.12,-1.56,-14.84,420984,382494996.0,0.0,0.3
2010-02-02,921.79,921.79,921.79,921.79,-1.53,-14.33,349247,280786926.0,0.0,0.25
2010-02-03,934.93,934.93,934.93,934.93,1.43,13.14,287344,237325176.0,0.0,0.2
2010-02-04,944.1,944.1,944.1,944.1,0.98,9.17,328420,285251272.0,0.0,0.23
2010-02-05,924.76,924.76,924.76,924.76,-2.05,-19.34,209497,191907398.0,0.0,0.15
2010-02-08,924.02,924.02,924.02,924.02,-0.08,-0.74,222298,173567456.0,0.0,0.16
2010-02-09,934.74,934.74,934.74,934.74,1.16,10.72,280915,253169554.0,0.0,0.2
2010-02-10,936.14,936.14,936.14,936.14,0.15,1.4,205053,176472375.0,0.0,0.14
2010-02-11,929.65,929.65,929.65,929.65,-0.69,-6.49,188251,161962026.0,0.0,0.13
2010-02-12,936.38,936.38,936.38,936.38,0.72,6.73,176034,159811708.0,0.0,0.12
2010-02-22,940.99,940.99,940.99,940.99,0.49,4.61,213629,192549456.0,0.0,0.15
2010-02-23,946.26,946.26,946.26,946.26,0.56,5.27,233159,207543471.0,0.0,0.16
2010-02-24,972.9,972.9,972.9,972.9,2.82,26.64,450335,436717385.0,0.0,0.32
2010-02-25,986.92,986.92,986.92,986.92,1.44,14.02,509710,502930189.0,0.0,0.36
2010-02-26,989.33,989.33,989.33,989.33,0.24,2.41,484476,507867890.0,0.0,0.34
2010-03-01,1005.97,1005.97,1005.97,1005.97,1.68,16.64,557620,572233757.0,0.0,0.39
2010-03-02,1003.27,1003.27,1003.27,1003.27,-0.27,-2.7,480979,516315205.0,0.0,0.34
2010-03-03,1018.79,1018.79,1018.79,1018.79,1.55,15.52,638551,708799247.0,0.0,0.45
2010-03-04,974.19,974.19,974.19,974.19,-4.38,-44.6,626502,637735357.0,0.0,0.44
2010-03-05,978.06,978.06,978.06,978.06,0.4,3.87,307509,293314382.0,0.0,0.22
2010-03-08,990.39,990.39,990.39,990.39,1.26,12.33,294830,293491146.0,0.0,0.21
2010-03-09,997.51,997.51,997.51,997.51,0.72,7.12,426266,389130693.0,0.0,0.3
2010-03-10,989.98,989.98,989.98,989.98,-0.75,-7.53,356555,316053291.0,0.0,0.25
2010-03-11,996.6,996.6,996.6,996.6,0.67,6.62,388180,368401752.0,0.0,0.27
2010-03-12,979.11,979.11,979.11,979.11,-1.75,-17.49,409591,384215108.0,0.0,0.29
2010-03-15,964.62,964.62,964.62,964.62,-1.48,-14.49,257103,232253041.0,0.0,0.18
2010-03-16,973.59,973.59,973.59,973.59,0.93,8.97,225856,209345321.0,0.0,0.16
2010-03-17,999.38,999.38,999.38,999.38,2.65,25.79,465782,482721438.0,0.0,0.33
