日期,开盘,收盘,最高,最低,涨跌幅,涨跌额,成交量,成交额,振幅,换手率
2010-01-04,991.95,991.95,991.95,991.95,-0.81,-8.05,1601345,4270358068.0,0.0,0.16
2010-01-05,1025.24,1025.24,1025.24,1025.24,3.36,33.29,3399554,9354339018.0,0.0,0.35
2010-01-06,1026.02,1026.02,1026.02,1026.02,0.08,0.78,3371496,9481727022.0,0.0,0.35
2010-01-07,1007.27,1007.27,1007.27,1007.27,-1.83,-18.75,3031711,7906710183.0,0.0,0.31
2010-01-08,1000.37,1000.37,1000.37,1000.37,-0.69,-6.9,2375256,6461003537.0,0.0,0.24
2010-01-11,991.33,991.33,991.33,991.33,-0.9,-9.04,2267045,6305738667.0,0.0,0.23
2010-01-12,1005.89,1005.89,1005.89,1005.89,1.47,14.56,3197130,9182247952.0,0.0,0.33
2010-01-13,958.8,958.8,958.8,958.8,-4.68,-47.09,4438184,13125785725.0,0.0,0.46
2010-01-14,971.78,971.78,971.78,971.78,1.35,12.98,2776497,7987364586.0,0.0,0.29
2010-01-15,969.45,969.45,969.45,969.45,-0.24,-2.33,2226190,6023933802.0,0.0,0.23
2010-01-18,974.44,974.44,974.44,974.44,0.51,4.99,2307103,6050282117.0,0.0,0.24
2010-01-19,983.77,983.77,983.77,983.77,0.96,9.33,2939143,8113766361.0,0.0,0.3
2010-01-20,943.05,943.05,943.05,943.05,-4.14,-40.72,3198728,8100128900.0,0.0,0.33
2010-01-21,922.89,922.89,922.89,922.89,-2.14,-20.16,2932677,8211048596.0,0.0,0.3
2010-01-22,894.35,894.35,894.35,894.35,-3.09,-28.54,3112286,8090736144.0,0.0,0.32
2010-01-25,885.81,885.81,885.81,885.81,-0.95,-8.54,1275362,3240483218.0,0.0,0.13
2010-01-26,848.09,848.09,848.09,848.09,-4.26,-37.72,1942461,4897775625.0,0.0,0.2
2010-01-27,849.91,849.91,849.91,849.91,0.21,1.82,2037227,5236393751.0,0.0,0.21
2010-01-28,858.53,858.53,858.53,858.53,1.01,8.62,1611159,4127902815.0,0.0,0.17
2010-01-29,853.39,853.39,853.39,853.39,-0.6,-5.14,1613050,3878783349.0,0.0,0.17
2010-02-01,818.94,818.94,818.94,818.94,-4.04,-34.45,2094232,4741388026.0,0.0,0.22
2010-02-02,822.41,822.41,822.41,822.41,0.42,3.47,1644201,3926163662.0,0.0,0.17
2010-02-03,881.03,881.03,881.03,881.03,7.13,58.62,3799800,8891905797.0,0.0,0.39
2010-02-04,871.84,871.84,871.84,871.84,-1.04,-9.19,3149309,6354644244.0,0.0,0.32
2010-02-05,837.98,837.98,837.98,837.98,-3.88,-33.86,2887738,5886609668.0,0.0,0.3
2010-02-08,852.04,852.04,852.04,852.04,1.68,14.06,1926319,3988428541.0,0.0,0.2
2010-02-09,854.3,854.3,854.3,854.3,0.27,2.26,1501087,3475696738.0,0.0,0.15
2010-02-10,868.72,868.72,868.72,868.72,1.69,14.42,1632266,4086758906.0,0.0,0.17
2010-02-11,867.45,867.45,867.45,867.45,-0.15,-1.27,1218680,2811746141.0,0.0,0.13
2010-02-12,883.17,883.17,883.17,883.17,1.81,15.72,1437969,3610840866.0,0.0,0.15
2010-02-22,877.67,877.67,877.67,877.67,-0.62,-5.5,1416594,3418664812.0,0.0,0.15
2010-02-23,866.55,866.55,866.55,866.55,-1.27,-11.12,1682196,3963638901.0,0.0,0.17
2010-02-24,877.33,877.33,877.33,877.33,1.24,10.78,1566343,3534081377.0,0.0,0.16
2010-02-25,896.91,896.91,896.91,896.91,2.23,19.58,2127947,4890949894.0,0.0,0.22
2010-02-26,891.81,891.81,891.81,891.81,-0.57,-5.1,1644882,3922091464.0,0.0,0.17
2010-03-01,906.59,906.59,906.59,906.59,1.66,14.78,2050230,4650880014.0,0.0,0.21
2010-03-02,889.66,889.66,889.66,889.66,-1.87,-16.93,2064997,4884058015.0,0.0,0.21
2010-03-03,904.1,904.1,904.1,904.1,1.62,14.44,2061793,4317707406.0,0.0,0.21
