日期,开盘,收盘,最高,最低,涨跌幅,涨跌额,成交量,成交额,振幅,换手率
2010-01-04,1002.18,1002.18,1002.18,1002.18,0.22,2.18,147301,182147863.0,0.0,0.24
2010-01-05,1015.3,1015.3,1015.3,1015.3,1.31,13.12,168288,216503409.0,0.0,0.28
2010-01-06,1005.88,1005.88,1005.88,1005.88,-0.93,-9.42,126283,159087042.0,0.0,0.21
2010-01-07,1000.39,1000.39,1000.39,1000.39,-0.55,-5.49,115340,142586465.0,0.0,0.19
2010-01-08,1022.91,1022.91,1022.91,1022.91,2.25,22.52,110058,123659643.0,0.0,0.18
2010-01-11,1018.28,1018.28,1018.28,1018.28,-0.45,-4.63,86531,123535307.0,0.0,0.14
2010-01-12,1029.42,1029.42,1029.42,1029.42,1.09,11.14,66299,95508520.0,0.0,0.11
2010-01-13,1011.03,1011.03,1011.03,1011.03,-1.79,-18.39,67102,95254567.0,0.0,0.11
2010-01-14,1037.57,1037.57,1037.57,1037.57,2.63,26.54,170780,209244638.0,0.0,0.28
2010-01-15,1040.74,1040.74,1040.74,1040.74,0.31,3.17,122783,152870934.0,0.0,0.2
2010-01-18,1062.11,1062.11,1062.11,1062.11,2.05,21.37,155999,200732933.0,0.0,0.26
2010-01-19,1056.24,1056.24,1056.24,1056.24,-0.55,-5.87,131780,168230513.0,0.0,0.22
2010-01-20,1016.37,1016.37,1016.37,1016.37,-3.77,-39.87,149245,187348438.0,0.0,0.25
2010-01-21,1034.4,1034.4,1034.4,1034.4,1.77,18.03,91840,106206472.0,0.0,0.15
2010-01-22,1013.74,1013.74,1013.74,1013.74,-2.0,-20.66,110366,129945808.0,0.0,0.18
2010-01-25,1000.93,1000.93,1000.93,1000.93,-1.26,-12.81,55197,61606082.0,0.0,0.09
2010-01-26,957.9,957.9,957.9,957.9,-4.3,-43.03,75606,85831105.0,0.0,0.13
2010-01-27,952.63,952.63,952.63,952.63,-0.55,-5.27,57368,64933709.0,0.0,0.09
2010-01-28,961.83,961.83,961.83,961.83,0.97,9.2,50377,57890033.0,0.0,0.08
2010-01-29,969.44,969.44,969.44,969.44,0.79,7.61,73867,82948912.0,0.0,0.12
2010-02-01,987.09,987.09,987.09,987.09,1.82,17.65,98527,106619200.0,0.0,0.16
2010-02-02,978.54,978.54,978.54,978.54,-0.87,-8.55,82609,93172083.0,0.0,0.14
2010-02-03,1044.05,1044.05,1044.05,1044.05,6.69,65.51,160898,184742492.0,0.0,0.27
2010-02-04,1048.99,1048.99,1048.99,1048.99,0.47,4.94,142548,167356732.0,0.0,0.24
2010-02-05,1014.46,1014.46,1014.46,1014.46,-3.29,-34.53,83154,96876510.0,0.0,0.14
2010-02-08,1036.93,1036.93,1036.93,1036.93,2.21,22.47,68010,80497485.0,0.0,0.11
2010-02-09,1041.52,1041.52,1041.52,1041.52,0.44,4.59,55704,67253005.0,0.0,0.09
2010-02-10,1042.1,1042.1,1042.1,1042.1,0.06,0.58,78627,93376409.0,0.0,0.13
2010-02-11,1030.12,1030.12,1030.12,1030.12,-1.15,-11.98,68720,82947667.0,0.0,0.11
2010-02-12,1034.32,1034.32,1034.32,1034.32,0.41,4.2,49039,57727129.0,0.0,0.08
2010-02-22,1036.12,1036.12,1036.12,1036.12,0.17,1.8,58133,69480255.0,0.0,0.1
2010-02-23,1051.82,1051.82,1051.82,1051.82,1.52,15.7,68640,83689285.0,0.0,0.11
2010-02-24,1065.95,1065.95,1065.95,1065.95,1.34,14.13,66806,83625575.0,0.0,0.11
2010-02-25,1095.45,1095.45,1095.45,1095.45,2.77,29.5,103264,129616590.0,0.0,0.17
2010-02-26,1085.2,1085.2,1085.2,1085.2,-0.94,-10.25,82257,104122531.0,0.0,0.14
2010-03-01,1092.31,1092.31,1092.31,1092.31,0.66,7.11,98494,128999166.0,0.0,0.16
2010-03-02,1079.9,1079.9,1079.9,1079.9,-1.14,-12.41,126358,163001591.0,0.0,0.21
2010-03-03,1073.99,1073.99,1073.99,1073.99,-0.55,-5.91,58285,71975197.0,0.0,0.1
2010-03-04,1031.62,1031.62,1031.62,1031.62,-3.95,-42.37,112815,142240174.0,0.0,0.19
2010-03-05,1024.74,1024.74,1024.74,1024.74,-0.67,-6.88,97117,113272321.0,0.0,0.16
2010-03-08,1033.09,1033.09,1033.09,1033.09,0.81,8.35,80466,93318282.0,0.0,0.13
2010-03-09,1043.1,1043.1,1043.1,1043.1,0.97,10.01,91036,113023190.0,0.0,0.15
2010-03-10,1033.81,1033.81,1033.81,1033.81,-0.89,-9.29,55045,66612412.0,0.0,0.09
