日期,开盘,收盘,最高,最低,涨跌幅,涨跌额,成交量,成交额,振幅,换手率
2015-12-09,988.67,969.49,994.67,962.83,-3.05,-30.51,3086560,6192410624.0,3.18,0.33
2015-12-10,967.91,967.26,975.61,964.46,-0.23,-2.23,2368579,4690549504.0,1.15,0.25
2015-12-11,965.21,957.32,965.46,950.19,-1.03,-9.94,2158084,4348783872.0,1.58,0.23
2015-12-14,953.67,984.38,984.38,951.46,2.83,27.06,2381785,4839452416.0,3.44,0.26
2015-12-15,992.51,994.52,1002.84,990.59,1.03,10.14,2547515,6074655232.0,1.24,0.27
2015-12-16,1000.01,1009.3,1015.78,996.97,1.49,14.78,3052307,7098431744.0,1.89,0.33
2015-12-17,1015.16,1033.19,1033.19,1015.09,2.37,23.89,3721769,7892229632.0,1.79,0.4
2015-12-18,1033.11,1022.22,1037.1,1016.6,-1.06,-10.97,3157350,6557986560.0,1.98,0.34
2015-12-21,1019.84,1025.54,1025.75,1014.05,0.32,3.32,2605520,5600660992.0,1.14,0.28
2015-12-22,1029.59,1033.55,1034.59,1021.9,0.78,8.01,2525533,5280134912.0,1.24,0.27
2015-12-23,1035.03,1021.11,1037.13,1018.38,-1.2,-12.44,3140050,7057715200.0,1.81,0.34
2015-12-24,1017.58,1017.56,1022.26,1002.66,-0.35,-3.55,2433474,5335511552.0,1.92,0.26
2015-12-25,1021.14,1022.84,1028.2,1014.27,0.52,5.28,2378022,5896730880.0,1.37,0.25
2015-12-28,1026.86,1010.94,1038.58,1010.94,-1.16,-11.9,3259944,7186940160.0,2.7,0.35
2015-12-29,1010.05,1015.1,1015.1,1000.91,0.41,4.16,2105457,4556052992.0,1.4,0.23
2015-12-30,1019.09,1025.95,1025.95,1011.02,1.07,10.85,2536023,5453734144.0,1.47,0.27
2015-12-31,1028.48,1014.74,1033.53,1013.01,-1.09,-11.21,2836198,6298702592.0,2.0,0.3
2016-01-04,1014.5,934.96,1014.5,934.96,-7.86,-79.78,2262239,4688748032.0,7.84,0.24
2016-01-05,895.22,910.43,930.57,881.27,-2.62,-24.53,3152056,6106761216.0,5.27,0.34
2016-01-06,914.32,928.18,928.18,906.06,1.95,17.75,2251199,4431863296.0,2.43,0.24
2016-01-07,912.26,856.61,912.26,856.04,-7.71,-71.57,628605,1225124864.0,6.06,0.07
2016-01-08,875.04,857.36,882.82,822.86,0.09,0.75,2734817,5273530368.0,7.0,0.29
2016-01-11,839.44,796.96,846.07,796.57,-7.04,-60.4,2653568,6017237248.0,5.77,0.28
2016-01-12,801.02,807.78,814.91,787.72,1.36,10.82,2308636,4618206720.0,3.41,0.25
2016-01-13,813.08,784.08,819.83,783.44,-2.93,-23.7,2083753,4232131088.0,4.5,0.22
2016-01-14,760.41,815.54,816.88,759.94,4.01,31.46,2201171,4227473888.0,7.26,0.24
2016-01-15,810.77,788.42,816.27,783.12,-3.33,-27.12,2277131,4337173504.0,4.06,0.24
2016-01-18,773.89,803.16,813.54,773.23,1.87,14.74,2095005,3850027088.0,5.11,0.22
2016-01-19,804.74,829.48,830.7,803.38,3.28,26.32,2246399,4324381440.0,3.4,0.24
2016-01-20,828.05,831.12,844.88,824.62,0.2,1.64,3006342,5171732736.0,2.44,0.32
2016-01-21,815.69,793.95,836.79,793.51,-4.47,-37.17,2352795,4190623360.0,5.21,0.25
2016-01-22,801.19,806.66,811.33,782.74,1.6,12.71,1937358,3558562096.0,3.6,0.21
2016-01-25,813.83,813.67,821.01,805.93,0.87,7.01,1693596,3086818480.0,1.87,0.18
2016-01-26,807.25,756.76,807.47,755.84,-6.99,-56.91,2271605,3991203888.0,6.35,0.24
2016-01-27,760.59,749.58,763.75,716.51,-0.95,-7.18,2560250,4148392416.0,6.24,0.27
2016-01-28,739.8,718.88,749.63,716.33,-4.1,-30.7,1887046,3035864032.0,4.44,0.2
2016-01-29,718.64,747.93,753.05,718.37,4.04,29.05,1986067,3329003824.0,4.82,0.21
2016-02-01,747.19,746.54,753.62,733.93,-0.19,-1.39,1751243,3011585936.0,2.63,0.19
2016-02-02,747.09,771.03,773.92,746.97,3.28,24.49,1801650,3043001856.0,3.61,0.19
2016-02-03,762.95,775.46,778.79,758.09,0.57,4.43,1654969,2776450288.0,2.68,0.18
2016-02-04,777.01,785.09,790.36,777.01,1.24,9.63,1826722,3235233760.0,1.72,0.2
2016-02-05,786.57,779.53,789.82,779.32,-0.71,-5.56,1365229,2402746992.0,1.34,0.15
2016-02-15,751.23,774.93,781.22,750.97,-0.59,-4.6,1454879,2361017360.0,3.88,0.16
