日期,开盘,收盘,最高,最低,涨跌幅,涨跌额,成交量,成交额,振幅,换手率
2010-01-04,1000.84,1000.84,1000.84,1000.84,0.08,0.84,569148,628520267.0,0.0,0.49
2010-01-05,1007.88,1007.88,1007.88,1007.88,0.7,7.04,613146,637653409.0,0.0,0.53
2010-01-06,995.16,995.16,995.16,995.16,-1.26,-12.72,558172,627879213.0,0.0,0.48
2010-01-07,966.92,966.92,966.92,966.92,-2.84,-28.24,505571,567163095.0,0.0,0.43
2010-01-08,975.29,975.29,975.29,975.29,0.87,8.37,396208,432785591.0,0.0,0.34
2010-01-11,971.51,971.51,971.51,971.51,-0.39,-3.78,407963,469234570.0,0.0,0.35
2010-01-12,987.44,987.44,987.44,987.44,1.64,15.93,432740,520323122.0,0.0,0.37
2010-01-13,975.12,975.12,975.12,975.12,-1.25,-12.32,534093,609114687.0,0.0,0.46
2010-01-14,1018.38,1018.38,1018.38,1018.38,4.44,43.26,721970,774831741.0,0.0,0.62
2010-01-15,1026.04,1026.04,1026.04,1026.04,0.75,7.66,948744,859102817.0,0.0,0.81
2010-01-18,1037.97,1037.97,1037.97,1037.97,1.16,11.93,679983,746955691.0,0.0,0.58
2010-01-19,1034.55,1034.55,1034.55,1034.55,-0.33,-3.42,564759,616354752.0,0.0,0.48
2010-01-20,998.65,998.65,998.65,998.65,-3.47,-35.9,734260,849733949.0,0.0,0.63
2010-01-21,1007.13,1007.13,1007.13,1007.13,0.85,8.48,489440,561998140.0,0.0,0.42
2010-01-22,985.05,985.05,985.05,985.05,-2.19,-22.08,519634,601739483.0,0.0,0.45
2010-01-25,974.33,974.33,974.33,974.33,-1.09,-10.72,262988,293720159.0,0.0,0.23
2010-01-26,921.91,921.91,921.91,921.91,-5.38,-52.42,411449,439636786.0,0.0,0.35
2010-01-27,909.46,909.46,909.46,909.46,-1.35,-12.45,307844,386634591.0,0.0,0.26
2010-01-28,922.88,922.88,922.88,922.88,1.48,13.42,256937,339381092.0,0.0,0.22
2010-01-29,935.0,935.0,935.0,935.0,1.31,12.12,357533,416478409.0,0.0,0.31
2010-02-01,914.32,914.32,914.32,914.32,-2.21,-20.68,444707,474139947.0,0.0,0.38
2010-02-02,909.64,909.64,909.64,909.64,-0.51,-4.68,305452,319033197.0,0.0,0.26
2010-02-03,932.64,932.64,932.64,932.64,2.53,23.0,370271,367760714.0,0.0,0.32
2010-02-04,946.9,946.9,946.9,946.9,1.53,14.26,417532,414475690.0,0.0,0.36
2010-02-05,950.82,950.82,950.82,950.82,0.41,3.92,418193,498607746.0,0.0,0.36
2010-02-08,955.65,955.65,955.65,955.65,0.51,4.83,251683,249209240.0,0.0,0.22
2010-02-09,985.36,985.36,985.36,985.36,3.11,29.71,376681,521547666.0,0.0,0.32
2010-02-10,985.21,985.21,985.21,985.21,-0.02,-0.15,327802,443542011.0,0.0,0.28
2010-02-11,975.4,975.4,975.4,975.4,-1.0,-9.81,272014,385221751.0,0.0,0.23
2010-02-12,977.06,977.06,977.06,977.06,0.17,1.66,227348,274591537.0,0.0,0.19
2010-02-22,977.87,977.87,977.87,977.87,0.08,0.81,233179,287205858.0,0.0,0.2
2010-02-23,994.04,994.04,994.04,994.04,1.65,16.17,342301,409629458.0,0.0,0.29
2010-02-24,1016.93,1016.93,1016.93,1016.93,2.3,22.89,501227,686616066.0,0.0,0.43
2010-02-25,1036.99,1036.99,1036.99,1036.99,1.97,20.06,506946,753010761.0,0.0,0.43
2010-02-26,1033.01,1033.01,1033.01,1033.01,-0.38,-3.98,398665,565860631.0,0.0,0.34
2010-03-01,1056.49,1056.49,1056.49,1056.49,2.27,23.48,555899,777958895.0,0.0,0.48
2010-03-02,1067.25,1067.25,1067.25,1067.25,1.02,10.76,598536,735573647.0,0.0,0.51
2010-03-03,1082.48,1082.48,1082.48,1082.48,1.43,15.23,624257,752544464.0,0.0,0.54
2010-03-04,1046.14,1046.14,1046.14,1046.14,-3.36,-36.34,699402,845446012.0,0.0,0.6
2010-03-05,1049.38,1049.38,1049.38,1049.38,0.31,3.24,424600,459778909.0,0.0,0.36
2010-03-08,1062.86,1062.86,1062.86,1062.86,1.28,13.48,461290,442022020.0,0.0,0.4
2010-03-09,1050.66,1050.66,1050.66,1050.66,-1.15,-12.2,444529,465738875.0,0.0,0.38
2010-03-10,1050.71,1050.71,1050.71,1050.71,0.0,0.05,434619,442215620.0,0.0,0.37
2010-03-11,1052.63,1052.63,1052.63,1052.63,0.18,1.92,459771,486473301.0,0.0,0.39
2010-03-12,1034.84,1034.84,1034.84,1034.84,-1.69,-17.79,365342,378771450.0,0.0,0.31
