日期,开盘,收盘,最高,最低,涨跌幅,涨跌额,成交量,成交额,振幅,换手率
2010-01-04,997.76,997.76,997.76,997.76,-0.22,-2.24,64564,126163904.0,0.0,0.07
2010-01-05,1044.93,1044.93,1044.93,1044.93,4.73,47.17,230111,470157070.0,0.0,0.24
2010-01-06,1041.47,1041.47,1041.47,1041.47,-0.33,-3.46,159509,326490082.0,0.0,0.17
2010-01-07,1036.98,1036.98,1036.98,1036.98,-0.43,-4.49,131777,289374443.0,0.0,0.14
2010-01-08,1052.71,1052.71,1052.71,1052.71,1.52,15.73,216185,469522452.0,0.0,0.22
2010-01-11,1083.7,1083.7,1083.7,1083.7,2.94,30.99,228977,483849706.0,0.0,0.24
2010-01-12,1084.82,1084.82,1084.82,1084.82,0.1,1.12,159986,355771907.0,0.0,0.17
2010-01-13,1087.6,1087.6,1087.6,1087.6,0.26,2.78,171727,388848325.0,0.0,0.18
2010-01-14,1093.47,1093.47,1093.47,1093.47,0.54,5.87,169636,384286545.0,0.0,0.18
2010-01-15,1079.62,1079.62,1079.62,1079.62,-1.27,-13.85,182686,399634975.0,0.0,0.19
2010-01-18,1091.18,1091.18,1091.18,1091.18,1.07,11.56,158014,339742902.0,0.0,0.16
2010-01-19,1107.37,1107.37,1107.37,1107.37,1.48,16.19,144165,335624392.0,0.0,0.15
2010-01-20,1057.91,1057.91,1057.91,1057.91,-4.47,-49.46,158959,367494214.0,0.0,0.17
2010-01-21,1048.16,1048.16,1048.16,1048.16,-0.92,-9.75,89483,198988528.0,0.0,0.09
2010-01-22,1003.51,1003.51,1003.51,1003.51,-4.26,-44.65,98090,227173790.0,0.0,0.1
2010-01-25,992.7,992.7,992.7,992.7,-1.08,-10.81,62502,133492974.0,0.0,0.06
2010-01-26,961.68,961.68,961.68,961.68,-3.12,-31.02,86442,175507677.0,0.0,0.09
2010-01-27,945.61,945.61,945.61,945.61,-1.67,-16.07,94826,178590442.0,0.0,0.1
2010-01-28,948.34,948.34,948.34,948.34,0.29,2.73,63670,128939861.0,0.0,0.07
2010-01-29,957.84,957.84,957.84,957.84,1.0,9.5,80774,151327309.0,0.0,0.08
2010-02-01,912.71,912.71,912.71,912.71,-4.71,-45.13,87914,160185841.0,0.0,0.09
2010-02-02,913.38,913.38,913.38,913.38,0.07,0.67,60853,108374852.0,0.0,0.06
2010-02-03,945.32,945.32,945.32,945.32,3.5,31.94,51115,101396067.0,0.0,0.05
2010-02-04,943.92,943.92,943.92,943.92,-0.15,-1.4,75702,135704934.0,0.0,0.08
2010-02-05,912.89,912.89,912.89,912.89,-3.29,-31.03,64309,111337672.0,0.0,0.07
2010-02-08,905.02,905.02,905.02,905.02,-0.86,-7.87,36150,62767928.0,0.0,0.04
2010-02-09,918.49,918.49,918.49,918.49,1.49,13.47,46815,78422942.0,0.0,0.05
2010-02-10,935.39,935.39,935.39,935.39,1.84,16.9,42729,74627134.0,0.0,0.04
2010-02-11,940.16,940.16,940.16,940.16,0.51,4.77,50798,93609743.0,0.0,0.05
2010-02-12,955.33,955.33,955.33,955.33,1.61,15.17,55949,103127796.0,0.0,0.06
2010-02-22,958.89,958.89,958.89,958.89,0.37,3.56,71328,133725388.0,0.0,0.07
2010-02-23,958.83,958.83,958.83,958.83,-0.01,-0.06,72797,136261647.0,0.0,0.08
2010-02-24,987.43,987.43,987.43,987.43,2.98,28.6,103710,197460658.0,0.0,0.11
2010-02-25,987.3,987.3,987.3,987.3,-0.01,-0.13,89547,184149819.0,0.0,0.09
2010-02-26,991.74,991.74,991.74,991.74,0.45,4.44,123706,254574619.0,0.0,0.13
2010-03-01,987.29,987.29,987.29,987.29,-0.45,-4.45,112555,224600957.0,0.0,0.12
2010-03-02,1021.61,1021.61,1021.61,1021.61,3.48,34.32,201299,405893923.0,0.0,0.21
2010-03-03,1033.07,1033.07,1033.07,1033.07,1.12,11.46,115333,261557047.0,0.0,0.12
2010-03-04,1024.91,1024.91,1024.91,1024.91,-0.79,-8.16,187361,442784504.0,0.0,0.19
2010-03-05,1032.82,1032.82,1032.82,1032.82,0.77,7.91,88483,216535814.0,0.0,0.09
2010-03-08,1039.42,1039.42,1039.42,1039.42,0.64,6.6,26627,74212719.0,0.0,0.03
2010-03-09,1020.05,1020.05,1020.05,1020.05,-1.86,-19.37,17314,43168425.0,0.0,0.02
2010-03-10,1002.46,1002.46,1002.46,1002.46,-1.72,-17.59,18288,40888797.0,0.0,0.02
2010-03-11,1013.78,1013.78,1013.78,1013.78,1.13,11.32,25664,59306364.0,0.0,0.03
2010-03-12,993.97,993.97,993.97,993.97,-1.95,-19.81,38614,69596665.0,0.0,0.04
2010-03-15,985.99,985.99,985.99,985.99,-0.8,-7.98,23221,50230293.0,0.0,0.02
2010-03-16,980.0,980.0,980.0,980.0,-0.61,-5.99,16771,37621264.0,0.0,0.02
2010-03-17,1000.61,1000.61,1000.61,1000.61,2.1,20.61,21148,44839547.0,0.0,0.02
2010-03-18,1003.29,1003.29,1003.29,1003.29,0.27,2.68,27447,57989618.0,0.0,0.03
2010-03-19,1003.21,1003.21,1003.21,1003.21,-0.01,-0.08,22907,52300456.0,0.0,0.02
2010-03-22,1021.43,1021.43,1021.43,1021.43,1.82,18.22,32767,72899668.0,0.0,0.03
2010-03-23,1022.0,1022.0,1022.0,1022.0,0.06,0.57,33025,62779549.0,0.0,0.03
2010-03-24,1027.33,1027.33,1027.33,1027.33,0.52,5.33,30471,61759005.0,0.0,0.03
2010-03-25,1009.85,1009.85,1009.85,1009.85,-1.7,-17.48,28139,59501485.0,0.0,0.03
2010-03-26,1026.08,1026.08,1026.08,1026.08,1.61,16.23,36319,65644079.0,0.0,0.04
2010-03-29,1030.9,1030.9,1030.9,1030.9,0.47,4.82,41292,74486536.0,0.0,0.04
2010-03-30,1047.69,1047.69,1047.69,1047.69,1.63,16.79,50153,95232883.0,0.0,0.05
2010-03-31,1052.46,1052.46,1052.46,1052.46,0.46,4.77,41349,84197929.0,0.0,0.04
2010-04-01,1057.16,1057.16,1057.16,1057.16,0.45,4.7,41977,85153110.0,0.0,0.04
2010-04-02,1049.85,1049.85,1049.85,1049.85,-0.69,-7.31,32513,64948029.0,0.0,0.03
2010-04-06,1073.24,1073.24,1073.24,1073.24,2.23,23.39,54894,102326354.0,0.0,0.06
2010-04-07,1079.54,1079.54,1079.54,1079.54,0.59,6.3,49930,113770586.0,0.0,0.05
2010-04-08,1114.05,1114.05,1114.05,1114.05,3.2,34.51,75019,172873972.0,0.0,0.08
2010-04-09,1110.62,1110.62,1110.62,1110.62,-0.31,-3.43,236430,500958004.0,0.0,0.25
2010-04-12,1122.49,1122.49,1122.49,1122.49,1.07,11.87,198525,495747189.0,0.0,0.21
2010-04-13,1117.43,1117.43,1117.43,1117.43,-0.45,-5.06,182108,485923495.0,0.0,0.19
2010-04-14,1113.24,1113.24,1113.24,1113.24,-0.37,-4.19,81445,199945031.0,0.0,0.08
2010-04-15,1109.77,1109.77,1109.77,1109.77,-0.31,-3.47,98012,225740783.0,0.0,0.1
2010-04-16,1131.0,1131.0,1131.0,1131.0,1.91,21.23,116974,267346592.0,0.0,0.12
2010-04-19,1087.26,1087.26,1087.26,1087.26,-3.87,-43.74,102811,248263301.0,0.0,0.11
2010-04-20,1090.98,1090.98,1090.98,1090.98,0.34,3.72,68462,194274461.0,0.0,0.07
2010-04-21,1136.42,1136.42,1136.42,1136.42,4.17,45.44,98954,248213430.0,0.0,0.1
2010-04-22,1131.66,1131.66,1131.66,1131.66,-0.42,-4.76,103656,266371442.0,0.0,0.11
2010-04-23,1150.38,1150.38,1150.38,1150.38,1.65,18.72,124252,346176686.0,0.0,0.13
