日期,开盘,收盘,最高,最低,涨跌幅,涨跌额,成交量,成交额,振幅,换手率
2010-01-04,1002.26,1002.26,1002.26,1002.26,0.23,2.26,4724665,7569033570.0,0.0,0.16
2010-01-05,1012.06,1012.06,1012.06,1012.06,0.98,9.8,5608743,8782182350.0,0.0,0.19
2010-01-06,1006.23,1006.23,1006.23,1006.23,-0.58,-5.83,5170365,8446642053.0,0.0,0.17
2010-01-07,993.08,993.08,993.08,993.08,-1.31,-13.15,6052414,10086221032.0,0.0,0.2
2010-01-08,997.29,997.29,997.29,997.29,0.42,4.21,4269097,6975473798.0,0.0,0.14
2010-01-11,1007.32,1007.32,1007.32,1007.32,1.01,10.03,5237301,8572954567.0,0.0,0.17
2010-01-12,1026.2,1026.2,1026.2,1026.2,1.87,18.88,5813024,9413881528.0,0.0,0.19
2010-01-13,1021.59,1021.59,1021.59,1021.59,-0.45,-4.61,6006827,9307696181.0,0.0,0.2
2010-01-14,1053.9,1053.9,1053.9,1053.9,3.16,32.31,7424241,12096897432.0,0.0,0.25
2010-01-15,1063.52,1063.52,1063.52,1063.52,0.91,9.62,6816866,11896289969.0,0.0,0.23
2010-01-18,1073.19,1073.19,1073.19,1073.19,0.91,9.67,6640218,11625702514.0,0.0,0.22
2010-01-19,1071.13,1071.13,1071.13,1071.13,-0.19,-2.06,5992822,10150798865.0,0.0,0.2
2010-01-20,1037.94,1037.94,1037.94,1037.94,-3.1,-33.19,8226393,14563536818.0,0.0,0.27
2010-01-21,1042.28,1042.28,1042.28,1042.28,0.42,4.34,5467970,10154935702.0,0.0,0.18
2010-01-22,1001.88,1001.88,1001.88,1001.88,-3.88,-40.4,5679999,9950918065.0,0.0,0.19
2010-01-25,988.81,988.81,988.81,988.81,-1.3,-13.07,3199795,6194586967.0,0.0,0.11
2010-01-26,957.92,957.92,957.92,957.92,-3.12,-30.89,4218305,8038392119.0,0.0,0.14
2010-01-27,950.9,950.9,950.9,950.9,-0.73,-7.02,3314741,6281270314.0,0.0,0.11
2010-01-28,956.9,956.9,956.9,956.9,0.63,6.0,3202499,6268772031.0,0.0,0.11
2010-01-29,966.2,966.2,966.2,966.2,0.97,9.3,4882899,7970469730.0,0.0,0.16
2010-02-01,940.66,940.66,940.66,940.66,-2.64,-25.54,4212157,7140778906.0,0.0,0.14
2010-02-02,933.71,933.71,933.71,933.71,-0.74,-6.95,4682047,7447535557.0,0.0,0.15
2010-02-03,941.86,941.86,941.86,941.86,0.87,8.15,4825332,7530247928.0,0.0,0.16
2010-02-04,945.02,945.02,945.02,945.02,0.34,3.16,4986188,7808965411.0,0.0,0.16
2010-02-05,925.28,925.28,925.28,925.28,-2.09,-19.74,4907735,8034746387.0,0.0,0.16
2010-02-08,928.09,928.09,928.09,928.09,0.3,2.81,3035391,4936297687.0,0.0,0.1
2010-02-09,931.13,931.13,931.13,931.13,0.33,3.04,2972026,4290704078.0,0.0,0.1
2010-02-10,946.34,946.34,946.34,946.34,1.63,15.21,2752896,4627782662.0,0.0,0.09
2010-02-11,947.64,947.64,947.64,947.64,0.14,1.3,3011858,5170273157.0,0.0,0.1
2010-02-12,960.99,960.99,960.99,960.99,1.41,13.35,2918679,5005339759.0,0.0,0.1
2010-02-22,961.63,961.63,961.63,961.63,0.07,0.64,3279005,5482772957.0,0.0,0.11
2010-02-23,969.56,969.56,969.56,969.56,0.82,7.93,4082697,6350569497.0,0.0,0.13
2010-02-24,998.43,998.43,998.43,998.43,2.98,28.87,4754962,7880259523.0,0.0,0.16
2010-02-25,1013.72,1013.72,1013.72,1013.72,1.53,15.29,6647914,10986358053.0,0.0,0.22
2010-02-26,1015.95,1015.95,1015.95,1015.95,0.22,2.23,5265547,8346710748.0,0.0,0.17
2010-03-01,1030.01,1030.01,1030.01,1030.01,1.38,14.06,5411724,9336558866.0,0.0,0.18
2010-03-02,1043.22,1043.22,1043.22,1043.22,1.28,13.21,5899027,9254595018.0,0.0,0.19
2010-03-03,1063.7,1063.7,1063.7,1063.7,1.96,20.48,8672905,14241993845.0,0.0,0.29
2010-03-04,1023.93,1023.93,1023.93,1023.93,-3.74,-39.77,9708512,16478299766.0,0.0,0.32
2010-03-05,1026.21,1026.21,1026.21,1026.21,0.22,2.28,5120703,8685745162.0,0.0,0.17
2010-03-08,1042.24,1042.24,1042.24,1042.24,1.56,16.03,4768402,8500402866.0,0.0,0.16
2010-03-09,1041.47,1041.47,1041.47,1041.47,-0.07,-0.77,4301245,7097987830.0,0.0,0.14
2010-03-10,1028.51,1028.51,1028.51,1028.51,-1.24,-12.96,4657122,7538687144.0,0.0,0.15
2010-03-11,1026.49,1026.49,1026.49,1026.49,-0.2,-2.02,4124328,7055609048.0,0.0,0.14
2010-03-12,1017.21,1017.21,1017.21,1017.21,-0.9,-9.28,3735069,6744438041.0,0.0,0.12
2010-03-15,1012.05,1012.05,1012.05,1012.05,-0.51,-5.16,3711911,6413956179.0,0.0,0.12
2010-03-16,1018.07,1018.07,1018.07,1018.07,0.59,6.02,2824124,5062671340.0,0.0,0.09
2010-03-17,1043.87,1043.87,1043.87,1043.87,2.53,25.8,4170382,6926263540.0,0.0,0.14
2010-03-18,1049.8,1049.8,1049.8,1049.8,0.57,5.93,5572909,8752872933.0,0.0,0.18
2010-03-19,1055.87,1055.87,1055.87,1055.87,0.58,6.07,4734236,7598815828.0,0.0,0.16
2010-03-22,1069.05,1069.05,1069.05,1069.05,1.25,13.18,5814456,9175182926.0,0.0,0.19
2010-03-23,1064.45,1064.45,1064.45,1064.45,-0.43,-4.6,4871640,8587368574.0,0.0,0.16
