日期,开盘,收盘,最高,最低,涨跌幅,涨跌额,成交量,成交额,振幅,换手率
2010-01-04,1020.82,1020.82,1020.82,1020.82,2.08,20.82,8324062,8253343248.0,0.0,0.23
2010-01-05,1049.71,1049.71,1049.71,1049.71,2.83,28.89,11579941,11535145246.0,0.0,0.32
2010-01-06,1045.85,1045.85,1045.85,1045.85,-0.37,-3.86,9944396,9453893867.0,0.0,0.28
2010-01-07,1021.31,1021.31,1021.31,1021.31,-2.35,-24.54,8185009,8247657396.0,0.0,0.23
2010-01-08,1042.41,1042.41,1042.41,1042.41,2.07,21.1,7698748,7119218267.0,0.0,0.22
2010-01-11,1065.26,1065.26,1065.26,1065.26,2.19,22.85,10787552,9917252647.0,0.0,0.3
2010-01-12,1085.47,1085.47,1085.47,1085.47,1.9,20.21,9104357,9336317249.0,0.0,0.25
2010-01-13,1077.89,1077.89,1077.89,1077.89,-0.7,-7.58,9106335,9318998822.0,0.0,0.25
2010-01-14,1111.5,1111.5,1111.5,1111.5,3.12,33.61,12446949,11302041136.0,0.0,0.35
2010-01-15,1111.38,1111.38,1111.38,1111.38,-0.01,-0.12,8973791,8458070921.0,0.0,0.25
2010-01-18,1130.66,1130.66,1130.66,1130.66,1.73,19.28,9247349,8932466539.0,0.0,0.26
2010-01-19,1128.45,1128.45,1128.45,1128.45,-0.2,-2.21,7969654,8183316511.0,0.0,0.22
2010-01-20,1069.56,1069.56,1069.56,1069.56,-5.22,-58.89,10886110,11275508357.0,0.0,0.3
2010-01-21,1066.51,1066.51,1066.51,1066.51,-0.29,-3.05,6120653,6277250169.0,0.0,0.17
2010-01-22,1032.54,1032.54,1032.54,1032.54,-3.19,-33.97,6452076,6542498883.0,0.0,0.18
2010-01-25,1021.39,1021.39,1021.39,1021.39,-1.08,-11.15,4113535,4357207266.0,0.0,0.12
2010-01-26,981.07,981.07,981.07,981.07,-3.95,-40.32,5344947,5146970461.0,0.0,0.15
2010-01-27,976.15,976.15,976.15,976.15,-0.5,-4.92,4133933,3892966396.0,0.0,0.12
2010-01-28,992.71,992.71,992.71,992.71,1.7,16.56,3291394,3396761848.0,0.0,0.09
2010-01-29,1005.74,1005.74,1005.74,1005.74,1.31,13.03,5140286,5258288323.0,0.0,0.14
2010-02-01,974.52,974.52,974.52,974.52,-3.1,-31.22,4891016,4580320285.0,0.0,0.14
2010-02-02,971.85,971.85,971.85,971.85,-0.27,-2.67,4514459,4409098154.0,0.0,0.13
2010-02-03,987.71,987.71,987.71,987.71,1.63,15.86,5226208,4799330214.0,0.0,0.15
2010-02-04,996.31,996.31,996.31,996.31,0.87,8.6,5277215,5139132695.0,0.0,0.15
2010-02-05,969.87,969.87,969.87,969.87,-2.65,-26.44,4420956,4352296378.0,0.0,0.12
2010-02-08,965.58,965.58,965.58,965.58,-0.44,-4.29,2829909,3072468483.0,0.0,0.08
2010-02-09,969.98,969.98,969.98,969.98,0.46,4.4,3689866,3353984654.0,0.0,0.1
2010-02-10,986.06,986.06,986.06,986.06,1.66,16.08,2528514,2718350663.0,0.0,0.07
2010-02-11,979.45,979.45,979.45,979.45,-0.67,-6.61,2536575,2517621541.0,0.0,0.07
2010-02-12,995.24,995.24,995.24,995.24,1.61,15.79,3254306,3372984536.0,0.0,0.09
2010-02-22,996.1,996.1,996.1,996.1,0.09,0.86,3187112,3321183274.0,0.0,0.09
2010-02-23,1010.57,1010.57,1010.57,1010.57,1.45,14.47,4608197,4516666736.0,0.0,0.13
2010-02-24,1040.52,1040.52,1040.52,1040.52,2.96,29.95,5263672,5569543463.0,0.0,0.15
2010-02-25,1051.89,1051.89,1051.89,1051.89,1.09,11.37,6004329,6334044927.0,0.0,0.17
2010-02-26,1051.13,1051.13,1051.13,1051.13,-0.07,-0.76,4268238,4529659260.0,0.0,0.12
2010-03-01,1064.22,1064.22,1064.22,1064.22,1.25,13.09,5347351,5501430325.0,0.0,0.15
2010-03-02,1080.21,1080.21,1080.21,1080.21,1.5,15.99,6900046,7131163971.0,0.0,0.19
2010-03-03,1096.4,1096.4,1096.4,1096.4,1.5,16.19,7081157,8207612508.0,0.0,0.2
2010-03-04,1050.99,1050.99,1050.99,1050.99,-4.14,-45.41,7613548,8288438515.0,0.0,0.21
2010-03-05,1051.17,1051.17,1051.17,1051.17,0.02,0.18,5063165,5146772135.0,0.0,0.14
2010-03-08,1070.33,1070.33,1070.33,1070.33,1.82,19.16,4291825,4481457741.0,0.0,0.12
2010-03-09,1077.17,1077.17,1077.17,1077.17,0.64,6.84,5755243,5784403350.0,0.0,0.16
2010-03-10,1064.87,1064.87,1064.87,1064.87,-1.14,-12.3,4925000,5393301037.0,0.0,0.14
2010-03-11,1058.94,1058.94,1058.94,1058.94,-0.56,-5.93,4184853,4481763543.0,0.0,0.12
2010-03-12,1048.75,1048.75,1048.75,1048.75,-0.96,-10.19,4450839,4997005212.0,0.0,0.12
2010-03-15,1038.27,1038.27,1038.27,1038.27,-1.0,-10.48,3963671,4311230706.0,0.0,0.11
2010-03-16,1051.98,1051.98,1051.98,1051.98,1.32,13.71,3760550,4166109295.0,0.0,0.11
2010-03-17,1089.83,1089.83,1089.83,1089.83,3.6,37.85,7332663,8667684041.0,0.0,0.21
2010-03-18,1101.39,1101.39,1101.39,1101.39,1.06,11.56,11583384,12698537015.0,0.0,0.32
2010-03-19,1118.13,1118.13,1118.13,1118.13,1.52,16.74,11039425,12674708599.0,0.0,0.31
2010-03-22,1133.4,1133.4,1133.4,1133.4,1.37,15.27,11471476,12259833657.0,0.0,0.32
2010-03-23,1123.58,1123.58,1123.58,1123.58,-0.87,-9.82,7777719,9012468543.0,0.0,0.22
2010-03-24,1137.08,1137.08,1137.08,1137.08,1.2,13.5,7457744,9658929223.0,0.0,0.21
2010-03-25,1123.21,1123.21,1123.21,1123.21,-1.22,-13.87,7234317,9297621381.0,0.0,0.2
2010-03-26,1136.87,1136.87,1136.87,1136.87,1.22,13.66,5889274,7451801705.0,0.0,0.16
2010-03-29,1136.57,1136.57,1136.57,1136.57,-0.03,-0.3,5470029,6534933653.0,0.0,0.15
2010-03-30,1156.75,1156.75,1156.75,1156.75,1.78,20.18,7001716,8677872199.0,0.0,0.2
2010-03-31,1177.1,1177.1,1177.1,1177.1,1.76,20.35,8825318,10895500404.0,0.0,0.25
2010-04-01,1197.1,1197.1,1197.1,1197.1,1.7,20.0,9746556,12317466860.0,0.0,0.27
2010-04-02,1206.49,1206.49,1206.49,1206.49,0.78,9.39,9954387,11511526000.0,0.0,0.28
2010-04-06,1212.68,1212.68,1212.68,1212.68,0.51,6.19,6854330,8342654039.0,0.0,0.19
2010-04-07,1219.69,1219.69,1219.69,1219.69,0.58,7.01,6172979,7818998451.0,0.0,0.17
2010-04-08,1222.65,1222.65,1222.65,1222.65,0.24,2.96,7863195,10021156921.0,0.0,0.22
2010-04-09,1254.96,1254.96,1254.96,1254.96,2.64,32.31,8756736,10711891288.0,0.0,0.24
2010-04-12,1276.27,1276.27,1276.27,1276.27,1.7,21.31,9562297,12960521570.0,0.0,0.27
2010-04-13,1226.74,1226.74,1226.74,1226.74,-3.88,-49.53,10499253,13806240869.0,0.0,0.29
2010-04-14,1240.85,1240.85,1240.85,1240.85,1.15,14.11,6900123,8994619728.0,0.0,0.19
2010-04-15,1225.26,1225.26,1225.26,1225.26,-1.26,-15.59,7408416,9607010067.0,0.0,0.21
2010-04-16,1226.44,1226.44,1226.44,1226.44,0.1,1.18,5615028,7642514633.0,0.0,0.16
2010-04-19,1184.62,1184.62,1184.62,1184.62,-3.41,-41.82,7663881,9325971867.0,0.0,0.21
2010-04-20,1213.88,1213.88,1213.88,1213.88,2.47,29.26,7229326,8906188291.0,0.0,0.2
2010-04-21,1261.13,1261.13,1261.13,1261.13,3.89,47.25,9140996,11938693362.0,0.0,0.26
2010-04-22,1278.18,1278.18,1278.18,1278.18,1.35,17.05,8781721,11818876573.0,0.0,0.25
2010-04-23,1258.98,1258.98,1258.98,1258.98,-1.5,-19.2,7162001,9704573931.0,0.0,0.2
2010-04-26,1259.54,1259.54,1259.54,1259.54,0.04,0.56,5966283,8268568360.0,0.0,0.17
2010-04-27,1220.19,1220.19,1220.19,1220.19,-3.12,-39.35,6477711,8253815255.0,0.0,0.18
2010-04-28,1210.61,1210.61,1210.61,1210.61,-0.79,-9.58,5366095,6965680136.0,0.0,0.15
2010-04-29,1179.06,1179.06,1179.06,1179.06,-2.61,-31.55,7478012,9579600041.0,0.0,0.21
2010-04-30,1134.58,1134.58,1134.58,1134.58,-3.77,-44.48,7035283,7984121441.0,0.0,0.2
2010-05-04,1140.72,1140.72,1140.72,1140.72,0.54,6.14,4675300,6595725086.0,0.0,0.13
2010-05-05,1186.07,1186.07,1186.07,1186.07,3.98,45.35,6155958,8465229992.0,0.0,0.17
2010-05-06,1150.9,1150.9,1150.9,1150.9,-2.97,-35.17,6077475,8461596177.0,0.0,0.17
2010-05-07,1134.73,1134.73,1134.73,1134.73,-1.4,-16.17,5929310,8320147766.0,0.0,0.17
2010-05-10,1084.85,1084.85,1084.85,1084.85,-4.4,-49.88,5365206,7132221863.0,0.0,0.15
2010-05-11,1048.29,1048.29,1048.29,1048.29,-3.37,-36.56,5881476,7109624340.0,0.0,0.16
2010-05-12,1022.83,1022.83,1022.83,1022.83,-2.43,-25.46,4584724,5573820903.0,0.0,0.13
2010-05-13,1050.61,1050.61,1050.61,1050.61,2.72,27.78,4616663,5609770337.0,0.0,0.13
2010-05-14,1060.18,1060.18,1060.18,1060.18,0.91,9.57,4811867,5899052173.0,0.0,0.13
2010-05-17,991.94,991.94,991.94,991.94,-6.44,-68.24,5849044,6301598513.0,0.0,0.16
2010-05-18,1010.44,1010.44,1010.44,1010.44,1.87,18.5,5347138,5847677502.0,0.0,0.15
2010-05-19,1021.09,1021.09,1021.09,1021.09,1.05,10.65,4928017,5941975043.0,0.0,0.14
2010-05-20,999.31,999.31,999.31,999.31,-2.13,-21.78,5254054,6231997880.0,0.0,0.15
2010-05-21,1026.09,1026.09,1026.09,1026.09,2.68,26.78,5798812,6885256514.0,0.0,0.16
2010-05-24,1073.75,1073.75,1073.75,1073.75,4.64,47.66,8061736,10251277180.0,0.0,0.23
2010-05-25,1069.3,1069.3,1069.3,1069.3,-0.41,-4.45,7101140,8584769752.0,0.0,0.2
2010-05-26,1062.69,1062.69,1062.69,1062.69,-0.62,-6.61,5862573,7045636226.0,0.0,0.16
2010-05-27,1087.28,1087.28,1087.28,1087.28,2.31,24.59,8280888,9474848322.0,0.0,0.23
2010-05-28,1097.03,1097.03,1097.03,1097.03,0.9,9.75,7985868,9223229532.0,0.0,0.22
2010-05-31,1053.64,1053.64,1053.64,1053.64,-3.96,-43.39,6676733,8032661651.0,0.0,0.19
2010-06-01,1029.7,1029.7,1029.7,1029.7,-2.27,-23.94,6647138,7964922919.0,0.0,0.19
