日期,开盘,收盘,最高,最低,涨跌幅,涨跌额,成交量,成交额,振幅,换手率
2021-03-01,1007.28,1025.77,1034.96,1000.06,2.58,25.77,949713,2238944685.0,3.49,0.66
2021-03-02,1030.74,1013.97,1044.18,1002.73,-1.15,-11.8,1191511,2707069252.0,4.04,0.83
2021-03-03,1012.46,1021.78,1033.03,1002.08,0.77,7.81,919763,2019758609.0,3.05,0.64
2021-03-04,1022.94,1017.22,1054.69,1004.99,-0.45,-4.56,1344097,3058413795.0,4.86,0.94
2021-03-05,1002.12,1031.29,1044.12,992.1,1.38,14.07,1255671,2666882016.0,5.11,0.88
2021-03-08,1034.35,1008.38,1048.62,1001.82,-2.22,-22.91,1172787,2430312554.0,4.54,0.82
2021-03-09,1007.44,976.93,1024.8,956.58,-3.12,-31.45,1369570,3035725497.0,6.77,0.96
2021-03-10,988.9,961.42,1003.91,948.23,-1.59,-15.51,1049486,2380271555.0,5.7,0.73
2021-03-11,962.4,986.71,1001.08,942.96,2.63,25.29,1172975,2908318643.0,6.05,0.82
2021-03-12,988.3,972.47,1003.26,963.37,-1.44,-14.24,941507,2570003032.0,4.04,0.66
2021-03-15,966.66,953.96,978.55,941.21,-1.9,-18.51,799301,1955144933.0,3.84,0.56
2021-03-16,956.43,961.51,973.25,942.36,0.79,7.55,773533,1624943148.0,3.24,0.54
2021-03-17,960.27,972.63,985.49,949.64,1.16,11.12,816078,1667810547.0,3.73,0.57
2021-03-18,972.75,965.7,985.03,955.71,-0.71,-6.93,777072,1610121409.0,3.01,0.54
2021-03-19,955.44,959.0,976.5,947.14,-0.69,-6.7,711227,1528683883.0,3.04,0.5
2021-03-22,959.74,966.3,978.13,950.46,0.76,7.3,747389,1653073840.0,2.89,0.52
2021-03-23,988.05,1011.29,1051.39,981.01,4.66,44.99,2460564,5997065724.0,7.28,1.72
2021-03-24,998.31,979.53,1015.63,967.89,-3.14,-31.76,1947368,4320619163.0,4.72,1.36
2021-03-25,973.92,973.6,997.24,956.48,-0.61,-5.93,1329748,2886463038.0,4.16,0.93
2021-03-26,974.43,996.74,1008.72,962.04,2.38,23.14,1407429,3146792335.0,4.79,0.99
2021-03-29,1000.62,1002.04,1023.52,985.48,0.53,5.3,1295923,2960581841.0,3.82,0.91
2021-03-30,998.72,979.25,1007.49,973.01,-2.27,-22.79,1171067,2547485136.0,3.44,0.82
2021-03-31,978.94,976.84,990.77,960.33,-0.25,-2.41,807836,1946408051.0,3.11,0.57
2021-04-01,978.32,994.2,1009.01,966.64,1.78,17.36,1104819,2797654427.0,4.34,0.77
2021-04-02,998.39,1019.93,1031.57,990.78,2.59,25.73,1390253,3699024212.0,4.1,0.97
2021-04-06,1025.69,1021.64,1042.68,1003.78,0.17,1.71,1135757,2708113793.0,3.81,0.79
2021-04-07,1018.91,1018.38,1028.54,1000.75,-0.32,-3.26,969549,2289797370.0,2.72,0.68
2021-04-08,1014.24,997.36,1024.35,989.81,-2.06,-21.02,1257663,2721397957.0,3.39,0.88
2021-04-09,997.71,997.95,1013.78,984.57,0.06,0.59,974407,2000334453.0,2.93,0.68
2021-04-12,991.64,966.2,1002.44,959.52,-3.18,-31.75,985049,1890495694.0,4.3,0.69
2021-04-13,964.18,966.22,980.77,952.45,0.0,0.02,796231,1391925307.0,2.93,0.56
2021-04-14,966.97,975.0,982.47,957.73,0.91,8.78,718305,1300608173.0,2.56,0.5
2021-04-15,972.97,968.57,980.51,952.17,-0.66,-6.43,757927,1384895896.0,2.91,0.53
2021-04-16,968.9,976.52,985.45,958.8,0.82,7.95,885105,1488110124.0,2.75,0.62
2021-04-19,975.44,995.63,1001.83,971.27,1.96,19.11,978726,1926241722.0,3.13,0.69
2021-04-20,990.79,983.99,1005.67,978.06,-1.17,-11.64,936898,1769220322.0,2.77,0.66
2021-04-21,980.25,982.29,995.24,967.49,-0.17,-1.7,945011,1554385817.0,2.82,0.66
2021-04-22,983.35,991.16,1005.7,976.27,0.9,8.87,953036,1955112091.0,3.0,0.67
2021-04-23,988.42,985.45,1002.28,971.42,-0.58,-5.71,881335,1861152963.0,3.11,0.62
2021-04-26,987.67,984.67,1012.16,970.7,-0.08,-0.78,1117333,2329843967.0,4.21,0.78
2021-04-27,982.33,976.92,999.01,955.97,-0.79,-7.75,1058028,2102407883.0,4.37,0.74
2021-04-28,973.81,977.71,994.23,958.17,0.08,0.79,1493666,2206751699.0,3.69,1.05
2021-04-29,969.28,961.9,992.51,951.75,-1.62,-15.81,1390788,2671391567.0,4.17,0.97
2021-04-30,960.6,951.75,974.22,937.56,-1.06,-10.15,1173018,2150586062.0,3.81,0.82
2021-05-06,953.01,949.46,966.23,937.71,-0.24,-2.29,895699,1597125265.0,3.0,0.63
2021-05-07,950.07,939.47,962.28,931.91,-1.05,-9.99,896628,1513995931.0,3.2,0.63
2021-05-10,939.93,927.72,951.21,913.24,-1.25,-11.75,971077,1648274075.0,4.04,0.68
2021-05-11,922.84,927.94,939.61,910.39,0.02,0.22,875711,1463857047.0,3.15,0.61
2021-05-12,926.14,949.04,957.37,919.69,2.27,21.1,1056939,1903524477.0,4.06,0.74
2021-05-13,940.64,952.15,975.52,932.51,0.33,3.11,1085877,2179169214.0,4.53,0.76
2021-05-14,957.35,958.26,966.42,943.79,0.64,6.11,902321,1667393470.0,2.38,0.63
2021-05-17,954.79,957.8,980.85,937.6,-0.05,-0.46,1288021,2277928030.0,4.51,0.9
2021-05-18,952.88,958.97,969.68,941.58,0.12,1.17,919542,1886980734.0,2.93,0.64
2021-05-19,958.47,966.49,979.32,951.08,0.78,7.52,1013913,1964438608.0,2.94,0.71
2021-05-20,965.85,958.86,976.54,948.67,-0.79,-7.63,1019256,1899116766.0,2.88,0.71
2021-05-21,962.39,949.9,973.73,944.34,-0.93,-8.96,768756,1477580841.0,3.07,0.54
2021-05-24,949.04,961.7,968.69,939.49,1.24,11.8,841696,1554072122.0,3.07,0.59
2021-05-25,962.45,975.27,981.72,954.24,1.41,13.57,1037701,2059136008.0,2.86,0.73
2021-05-26,975.17,974.64,990.87,964.83,-0.06,-0.63,943750,1815593342.0,2.67,0.66
2021-05-27,979.64,1050.38,1067.26,976.95,7.77,75.74,2875885,6377664894.0,9.27,2.01
2021-05-28,1053.23,1050.47,1075.39,1029.05,0.01,0.09,2554733,5761876047.0,4.41,1.79
2021-05-31,1055.37,1084.01,1103.04,1045.45,3.19,33.54,2546896,5939387347.0,5.48,1.78
2021-06-01,1083.06,1123.03,1147.57,1068.87,3.6,39.02,3203982,7778802234.0,7.26,2.24
2021-06-02,1120.39,1113.86,1154.64,1091.35,-0.82,-9.17,2735461,6799921809.0,5.64,1.91
2021-06-03,1111.6,1097.68,1128.84,1081.98,-1.45,-16.18,1914934,4484335584.0,4.21,1.34
2021-06-04,1095.77,1113.27,1139.25,1085.14,1.42,15.59,2201044,5229570981.0,4.93,1.54
2021-06-07,1134.3,1127.46,1167.11,1109.32,1.27,14.19,2687565,6564869148.0,5.19,1.88
2021-06-08,1124.71,1096.33,1139.91,1084.23,-2.76,-31.13,1968768,4727933011.0,4.94,1.38
2021-06-09,1095.09,1093.94,1124.78,1073.46,-0.22,-2.39,1883104,4428023498.0,4.68,1.32
2021-06-10,1090.94,1111.04,1124.57,1076.3,1.56,17.1,2100912,4996991776.0,4.41,1.47
2021-06-11,1109.3,1066.75,1116.27,1058.28,-3.99,-44.29,2097155,4755643453.0,5.22,1.47
2021-06-15,1068.37,1065.08,1096.34,1052.41,-0.16,-1.67,1441280,3583505608.0,4.12,1.01
2021-06-16,1067.19,1050.86,1097.07,1038.71,-1.34,-14.22,1577945,3796980590.0,5.48,1.1
2021-06-17,1045.91,1111.62,1128.87,1038.63,5.78,60.76,2955367,8065980568.0,8.59,2.07
2021-06-18,1111.65,1123.41,1143.41,1091.84,1.06,11.79,2490634,6691452067.0,4.64,1.74
2021-06-21,1117.48,1141.46,1161.53,1101.84,1.61,18.05,2506303,6757471017.0,5.31,1.75
2021-06-22,1137.5,1127.98,1155.77,1107.51,-1.18,-13.48,2019439,5225551197.0,4.23,1.41
2021-06-23,1129.31,1159.71,1193.24,1121.08,2.81,31.73,2981467,8172298218.0,6.4,2.09
2021-06-24,1151.05,1137.6,1169.78,1123.95,-1.91,-22.11,1998293,5137298430.0,3.95,1.4
2021-06-25,1139.69,1139.91,1168.96,1114.55,0.2,2.31,2087047,5159386076.0,4.78,1.46
2021-06-28,1143.48,1157.61,1181.39,1127.07,1.55,17.7,2243197,5563757694.0,4.77,1.57
2021-06-29,1152.88,1141.68,1173.56,1124.54,-1.38,-15.93,1901471,4684456976.0,4.23,1.33
2021-06-30,1145.05,1183.68,1204.63,1138.01,3.68,42.0,2506427,6911725103.0,5.84,1.75
2021-07-01,1190.77,1174.94,1230.09,1153.46,-0.74,-8.74,2747297,7987334899.0,6.47,1.92
2021-07-02,1164.64,1164.02,1194.27,1132.74,-0.93,-10.92,2188866,6200359886.0,5.24,1.53
2021-07-05,1169.44,1195.25,1207.59,1148.52,2.68,31.23,1925365,5467162979.0,5.07,1.35
2021-07-06,1189.01,1178.95,1217.78,1148.84,-1.36,-16.3,2075984,5862138558.0,5.77,1.45
2021-07-07,1165.52,1209.76,1218.83,1152.26,2.61,30.81,2028102,5120586070.0,5.65,1.42
2021-07-08,1210.09,1247.87,1280.86,1199.53,3.15,38.11,3444080,9274638113.0,6.72,2.41
2021-07-09,1238.86,1258.27,1285.53,1216.78,0.83,10.4,2889461,7593087238.0,5.51,2.02
2021-07-12,1261.2,1265.06,1290.47,1232.67,0.54,6.79,2837021,7758615750.0,4.59,1.99
2021-07-13,1259.86,1241.12,1279.54,1217.33,-1.89,-23.94,2489804,6753905338.0,4.92,1.74
2021-07-14,1238.65,1220.06,1264.38,1207.31,-1.7,-21.06,2072295,5217548806.0,4.6,1.45
2021-07-15,1216.38,1209.82,1238.55,1180.69,-0.84,-10.24,1878595,4529172133.0,4.74,1.31
2021-07-16,1213.45,1214.3,1251.82,1196.14,0.37,4.48,1867722,4796909473.0,4.6,1.31
2021-07-19,1208.02,1209.59,1235.77,1178.18,-0.39,-4.71,2043980,4764588604.0,4.74,1.43
2021-07-20,1199.32,1214.7,1228.88,1176.34,0.42,5.11,1628317,3938212877.0,4.34,1.14
2021-07-21,1223.19,1262.36,1283.09,1207.3,3.92,47.66,2565052,7014261745.0,6.24,1.8
2021-07-22,1264.44,1340.25,1368.61,1245.44,6.17,77.89,4861470,13829126026.0,9.76,3.4
2021-07-23,1339.9,1318.76,1370.2,1298.1,-1.6,-21.49,3787825,11667720138.0,5.38,2.65
2021-07-26,1317.93,1323.34,1365.62,1278.07,0.35,4.58,3213191,10004564455.0,6.64,2.25
2021-07-27,1329.7,1337.98,1424.53,1309.58,1.11,14.64,4934510,17087027813.0,8.69,3.45
2021-07-28,1318.28,1319.03,1375.35,1244.51,-1.42,-18.95,4172171,14404474169.0,9.78,2.92
2021-07-29,1346.41,1441.39,1459.36,1323.35,9.28,122.36,5235207,18769440110.0,10.31,3.66
2021-07-30,1444.24,1495.5,1534.44,1418.02,3.75,54.11,5594620,21387170715.0,8.08,3.92
2021-08-02,1480.88,1505.96,1549.56,1435.08,0.7,10.46,5314636,19565871391.0,7.65,3.72
2021-08-03,1492.8,1430.19,1522.92,1405.41,-5.03,-75.77,4714333,17142936828.0,7.8,3.3
2021-08-04,1429.95,1464.49,1489.07,1408.56,2.4,34.3,3696197,14269904371.0,5.63,2.59
2021-08-05,1449.84,1430.95,1469.61,1402.02,-2.29,-33.54,2820054,10160481701.0,4.62,1.97
2021-08-06,1444.71,1434.19,1472.63,1394.17,0.23,3.24,2766521,10294922429.0,5.48,1.94
2021-08-09,1426.31,1430.71,1459.12,1384.89,-0.24,-3.48,2653407,9396731914.0,5.18,1.86
2021-08-10,1427.84,1437.12,1472.4,1396.37,0.45,6.41,2827495,10156482617.0,5.31,1.98
2021-08-11,1429.18,1433.09,1457.95,1395.05,-0.28,-4.03,2641690,8898831462.0,4.38,1.85
2021-08-12,1429.39,1465.61,1496.95,1418.64,2.27,32.52,3119779,10524166340.0,5.46,2.18
2021-08-13,1455.61,1460.61,1499.72,1421.52,-0.34,-5.0,2872695,10045527643.0,5.34,2.01
2021-08-16,1458.56,1429.76,1487.27,1401.33,-2.11,-30.85,2480801,8070490563.0,5.88,1.74
2021-08-17,1427.29,1381.1,1456.91,1358.93,-3.4,-48.66,2545109,8247566744.0,6.85,1.78
2021-08-18,1382.47,1390.7,1427.5,1351.91,0.7,9.6,2210639,7266383995.0,5.47,1.55
2021-08-19,1382.47,1398.18,1435.51,1347.37,0.54,7.48,2317032,7138528332.0,6.34,1.62
2021-08-20,1398.7,1407.04,1440.46,1372.22,0.63,8.86,2316898,7213810847.0,4.88,1.62
2021-08-23,1404.99,1459.2,1474.38,1392.06,3.71,52.16,2634777,7739894397.0,5.85,1.84
2021-08-24,1462.66,1469.74,1526.18,1425.68,0.72,10.54,3746151,11089809372.0,6.89,2.62
2021-08-25,1467.13,1471.92,1502.78,1426.95,0.15,2.18,2758714,7940798066.0,5.16,1.93
2021-08-26,1465.49,1435.28,1508.36,1418.27,-2.49,-36.64,2809473,7902119049.0,6.12,1.97
2021-08-27,1418.78,1425.84,1464.53,1384.23,-0.66,-9.44,2609244,7691418416.0,5.59,1.83
2021-08-30,1410.51,1394.39,1448.38,1374.05,-2.21,-31.45,2428300,6822198971.0,5.21,1.7
2021-08-31,1389.68,1373.62,1411.65,1336.13,-1.49,-20.77,2193310,6362666244.0,5.42,1.54
2021-09-01,1371.01,1330.11,1386.46,1308.3,-3.17,-43.51,1979738,5687012517.0,5.69,1.39
2021-09-02,1324.52,1326.11,1351.71,1294.49,-0.3,-4.0,1693723,5280542840.0,4.3,1.19
2021-09-03,1327.74,1345.89,1389.4,1301.03,1.49,19.78,2385085,7632437571.0,6.66,1.67
2021-09-06,1339.21,1356.96,1374.5,1309.51,0.82,11.07,1671126,5316546675.0,4.83,1.17
2021-09-07,1353.99,1368.33,1386.65,1337.46,0.84,11.37,1645750,4857183696.0,3.63,1.15
2021-09-08,1369.78,1401.8,1429.08,1354.5,2.45,33.47,2263230,7969846697.0,5.45,1.58
2021-09-09,1384.99,1370.96,1408.17,1348.55,-2.2,-30.84,2038339,6721411870.0,4.25,1.43
2021-09-10,1376.03,1417.48,1451.86,1348.48,3.39,46.52,2665733,10227440007.0,7.54,1.87
2021-09-13,1408.89,1392.87,1445.83,1370.62,-1.74,-24.61,2100872,8389267059.0,5.31,1.47
2021-09-14,1388.52,1372.52,1424.04,1350.98,-1.46,-20.35,2067016,7206839562.0,5.25,1.45
2021-09-15,1365.12,1374.71,1396.46,1341.37,0.16,2.19,1648584,5039302531.0,4.01,1.15
2021-09-16,1375.33,1331.1,1396.86,1324.89,-3.17,-43.61,1816554,4955764412.0,5.24,1.27
2021-09-17,1332.48,1320.79,1361.08,1289.75,-0.77,-10.31,1708159,4584606854.0,5.36,1.2
2021-09-22,1306.86,1319.91,1345.61,1285.22,-0.07,-0.88,1368211,3813381095.0,4.57,0.96
2021-09-23,1327.94,1332.85,1366.76,1309.41,0.98,12.94,1883421,5323680506.0,4.34,1.32
2021-09-24,1328.97,1290.85,1347.32,1280.64,-3.15,-42.0,1750693,4651897377.0,5.0,1.23
2021-09-27,1292.13,1238.48,1314.85,1217.72,-4.06,-52.37,1745657,5084276441.0,7.52,1.22
2021-09-28,1240.54,1234.03,1261.24,1219.32,-0.36,-4.45,1056395,3099589517.0,3.38,0.74
2021-09-29,1222.5,1186.23,1237.66,1178.61,-3.87,-47.8,1232329,3335819401.0,4.79,0.86
2021-09-30,1197.65,1214.29,1226.62,1186.59,2.37,28.06,926263,2465839435.0,3.37,0.65
2021-10-08,1228.02,1231.74,1256.07,1212.45,1.44,17.45,962083,2569801178.0,3.59,0.67
2021-10-11,1236.98,1228.06,1253.39,1209.1,-0.3,-3.68,787394,2182708658.0,3.6,0.55
2021-10-12,1226.27,1198.12,1238.66,1180.3,-2.44,-29.94,912278,2421163227.0,4.75,0.64
2021-10-13,1203.12,1209.97,1218.74,1181.87,0.99,11.85,686130,1833451770.0,3.08,0.48
2021-10-14,1209.54,1219.54,1231.54,1192.35,0.79,9.57,717382,1951146594.0,3.24,0.5
2021-10-15,1219.91,1216.4,1242.05,1192.64,-0.26,-3.14,1144674,3373207370.0,4.05,0.8
2021-10-18,1212.84,1223.12,1238.37,1195.6,0.55,6.72,901012,2609249916.0,3.52,0.63
2021-10-19,1221.28,1225.1,1240.13,1210.83,0.16,1.98,770926,2246285936.0,2.4,0.54
2021-10-20,1223.82,1229.19,1245.47,1205.66,0.33,4.09,977275,3022703982.0,3.25,0.68
2021-10-21,1228.22,1209.02,1238.13,1197.39,-1.64,-20.17,985787,2868990899.0,3.31,0.69
2021-10-22,1210.91,1256.51,1283.73,1203.77,3.93,47.49,1897246,5978727285.0,6.61,1.33
2021-10-25,1263.44,1270.01,1287.47,1230.46,1.07,13.5,1648630,4811363356.0,4.54,1.15
2021-10-26,1264.15,1273.19,1306.91,1246.68,0.25,3.18,1787282,5129744065.0,4.74,1.25
2021-10-27,1271.83,1252.62,1287.89,1232.41,-1.62,-20.57,1489657,4312698044.0,4.36,1.04
2021-10-28,1246.72,1207.3,1273.03,1198.92,-3.62,-45.32,1497604,4638981248.0,5.92,1.05
2021-10-29,1206.57,1237.71,1258.14,1192.69,2.52,30.41,1487850,4297838793.0,5.42,1.04
2021-11-01,1237.23,1256.78,1273.95,1215.08,1.54,19.07,1368142,3883679714.0,4.76,0.96
2021-11-02,1256.79,1248.27,1289.17,1230.6,-0.68,-8.51,1580188,4577908476.0,4.66,1.11
2021-11-03,1247.63,1251.47,1274.38,1225.34,0.26,3.2,1378445,3720421041.0,3.93,0.96
2021-11-04,1249.94,1282.39,1295.38,1238.74,2.47,30.92,1654580,5037930529.0,4.53,1.16
2021-11-05,1286.43,1279.84,1314.85,1263.37,-0.2,-2.55,1434289,4388003159.0,4.01,1.0
2021-11-08,1285.91,1292.26,1313.24,1250.18,0.97,12.42,1402526,4848597940.0,4.93,0.98
2021-11-09,1293.11,1324.29,1340.29,1278.46,2.48,32.03,1582292,5393827568.0,4.78,1.11
2021-11-10,1320.55,1347.93,1360.27,1302.75,1.79,23.64,1706579,5492902550.0,4.34,1.19
2021-11-11,1339.94,1385.82,1420.69,1325.44,2.81,37.89,2370086,8812281018.0,7.07,1.66
2021-11-12,1374.27,1396.79,1421.47,1360.91,0.79,10.97,1873552,6671572824.0,4.37,1.31
2021-11-15,1406.05,1375.82,1425.26,1359.33,-1.5,-20.97,1715852,5688567515.0,4.72,1.2
2021-11-16,1379.38,1360.34,1406.0,1340.1,-1.13,-15.48,1844261,5739143474.0,4.79,1.29
2021-11-17,1367.4,1382.92,1402.96,1354.3,1.66,22.58,1570383,4680924386.0,3.58,1.1
2021-11-18,1383.2,1372.67,1408.83,1355.18,-0.74,-10.25,1617957,4594232447.0,3.88,1.13
2021-11-19,1378.5,1393.34,1421.87,1353.73,1.51,20.67,1927996,5096926734.0,4.96,1.35
2021-11-22,1397.39,1440.37,1458.13,1382.3,3.38,47.03,2685461,7481428711.0,5.44,1.88
2021-11-23,1440.23,1442.26,1483.15,1412.92,0.13,1.89,2679658,7521003010.0,4.88,1.88
2021-11-24,1442.8,1439.23,1463.0,1436.34,-0.21,-3.03,2223085,6388411136.0,1.85,1.56
2021-11-25,1434.51,1440.48,1458.32,1432.06,0.09,1.25,1809577,5349334784.0,1.82,1.27
2021-11-26,1440.14,1447.79,1448.46,1434.61,0.51,7.31,1800987,5175074560.0,0.96,1.26
2021-11-29,1434.65,1461.24,1461.91,1434.11,0.93,13.45,2206751,5894055936.0,1.92,1.54
2021-11-30,1465.27,1472.52,1481.84,1458.98,0.77,11.28,2089838,5558924544.0,1.56,1.46
2021-12-01,1476.77,1486.34,1488.96,1471.05,0.94,13.82,1986447,5642482688.0,1.22,1.39
2021-12-02,1486.03,1456.52,1490.44,1453.76,-2.01,-29.82,3391982,6510874624.0,2.47,2.37
2021-12-03,1456.59,1468.05,1468.66,1454.73,0.79,11.53,2902397,6205039616.0,0.96,2.03
2021-12-06,1472.35,1428.72,1474.09,1426.53,-2.68,-39.33,2546618,5753353472.0,3.24,1.78
2021-12-07,1435.14,1375.15,1438.57,1371.88,-3.75,-53.57,2329359,5701509376.0,4.67,1.63
2021-12-08,1381.93,1405.08,1408.91,1381.93,2.18,29.93,1747756,4398698240.0,1.96,1.22
2021-12-09,1405.9,1395.89,1406.44,1392.32,-0.65,-9.19,1562340,3923203776.0,1.0,1.09
2021-12-10,1391.83,1392.13,1394.89,1385.93,-0.27,-3.76,1417976,3394217792.0,0.64,0.99
2021-12-13,1391.68,1390.09,1396.17,1379.82,-0.15,-2.04,1482475,3694404560.0,1.17,1.04
2021-12-14,1388.46,1416.58,1416.58,1385.96,1.91,26.49,1711955,3827667136.0,2.2,1.2
2021-12-15,1416.22,1403.08,1424.29,1403.08,-0.95,-13.5,1761475,4104581616.0,1.5,1.23
2021-12-16,1407.09,1419.35,1424.5,1406.8,1.16,16.27,1474484,3702917440.0,1.26,1.03
