日期,开盘,收盘,最高,最低,涨跌幅,涨跌额,成交量,成交额,振幅,换手率
2010-01-04,1040.24,1040.24,1040.24,1040.24,4.02,40.24,64282,133520589.0,0.0,0.09
2010-01-05,1061.83,1061.83,1061.83,1061.83,2.08,21.59,79711,171524300.0,0.0,0.12
2010-01-06,1018.16,1018.16,1018.16,1018.16,-4.11,-43.67,59276,125153617.0,0.0,0.09
2010-01-07,998.04,998.04,998.04,998.04,-1.98,-20.12,61032,124855438.0,0.0,0.09
2010-01-08,995.58,995.58,995.58,995.58,-0.25,-2.46,35266,70608276.0,0.0,0.05
2010-01-11,980.86,980.86,980.86,980.86,-1.48,-14.72,38535,77552569.0,0.0,0.06
2010-01-12,1043.18,1043.18,1043.18,1043.18,6.35,62.32,61612,127884234.0,0.0,0.09
2010-01-13,1027.48,1027.48,1027.48,1027.48,-1.51,-15.7,55733,117291464.0,0.0,0.08
2010-01-14,1104.02,1104.02,1104.02,1104.02,7.45,76.54,131979,291237171.0,0.0,0.19
2010-01-15,1103.53,1103.53,1103.53,1103.53,-0.04,-0.49,106136,239972246.0,0.0,0.15
2010-01-18,1148.18,1148.18,1148.18,1148.18,4.05,44.65,93132,211558593.0,0.0,0.13
2010-01-19,1124.14,1124.14,1124.14,1124.14,-2.09,-24.04,54508,126091315.0,0.0,0.08
2010-01-20,1060.35,1060.35,1060.35,1060.35,-5.67,-63.79,60122,133476718.0,0.0,0.09
2010-01-21,1079.98,1079.98,1079.98,1079.98,1.85,19.63,42034,92190080.0,0.0,0.06
2010-01-22,1039.75,1039.75,1039.75,1039.75,-3.73,-40.23,35943,76778587.0,0.0,0.05
2010-01-25,1042.2,1042.2,1042.2,1042.2,0.24,2.45,27631,58978845.0,0.0,0.04
2010-01-26,993.13,993.13,993.13,993.13,-4.71,-49.07,29785,60929453.0,0.0,0.04
2010-01-27,973.01,973.01,973.01,973.01,-2.03,-20.12,21759,43525124.0,0.0,0.03
2010-01-28,961.24,961.24,961.24,961.24,-1.21,-11.77,32457,64189771.0,0.0,0.05
2010-01-29,1008.34,1008.34,1008.34,1008.34,4.9,47.1,46699,95342232.0,0.0,0.07
2010-02-01,1001.47,1001.47,1001.47,1001.47,-0.68,-6.87,28150,57304148.0,0.0,0.04
2010-02-02,1000.49,1000.49,1000.49,1000.49,-0.1,-0.98,37133,77359839.0,0.0,0.05
2010-02-03,995.09,995.09,995.09,995.09,-0.54,-5.4,36477,72968284.0,0.0,0.05
2010-02-04,988.71,988.71,988.71,988.71,-0.64,-6.38,26295,53291739.0,0.0,0.04
2010-02-05,1000.98,1000.98,1000.98,1000.98,1.24,12.27,32234,65393870.0,0.0,0.05
2010-02-08,991.17,991.17,991.17,991.17,-0.98,-9.81,15040,30481775.0,0.0,0.02
2010-02-09,979.39,979.39,979.39,979.39,-1.19,-11.78,11687,23420112.0,0.0,0.02
2010-02-10,999.51,999.51,999.51,999.51,2.05,20.12,12931,26246096.0,0.0,0.02
2010-02-11,1010.8,1010.8,1010.8,1010.8,1.13,11.29,21889,44960363.0,0.0,0.03
