日期,开盘,收盘,最高,最低,涨跌幅,涨跌额,成交量,成交额,振幅,换手率
2021-02-25,1004.4,982.09,1014.02,975.35,-1.79,-17.91,1805719,1476440197.0,3.87,1.57
2021-02-26,971.47,985.67,1000.77,959.37,0.36,3.58,1728248,1514162512.0,4.22,1.51
2021-03-01,990.54,1016.11,1025.01,983.16,3.09,30.44,1944965,1739596237.0,4.25,1.7
2021-03-02,1018.47,1010.32,1030.44,995.8,-0.57,-5.79,1827946,1581947584.0,3.41,1.59
2021-03-03,1009.09,1017.87,1026.41,997.28,0.75,7.55,2142684,1650535227.0,2.88,1.87
2021-03-04,1014.65,1006.35,1031.07,997.13,-1.13,-11.52,2491680,1909697542.0,3.33,2.17
2021-03-05,1000.87,1013.53,1024.48,992.03,0.71,7.18,2578873,1964703132.0,3.22,2.25
2021-03-08,1014.21,1000.03,1036.61,993.77,-1.33,-13.5,2381271,1999786554.0,4.23,2.08
2021-03-09,997.2,971.46,1009.86,949.28,-2.86,-28.57,2138446,1866188542.0,6.06,1.86
2021-03-10,980.08,965.24,994.67,951.08,-0.64,-6.22,2250572,1698110744.0,4.49,1.96
2021-03-11,966.58,982.67,993.39,954.27,1.81,17.43,2016432,1628453860.0,4.05,1.76
2021-03-12,983.56,989.85,1002.83,964.82,0.73,7.18,1838613,1570736143.0,3.87,1.6
2021-03-15,989.5,996.0,1010.61,974.51,0.62,6.15,2304056,1692201469.0,3.65,2.01
2021-03-16,993.58,1007.5,1015.55,986.08,1.15,11.5,1743522,1342322376.0,2.96,1.52
2021-03-17,1004.77,1007.09,1019.46,990.5,-0.04,-0.41,1700012,1279099800.0,2.87,1.48
2021-03-18,1008.58,1011.97,1024.78,998.94,0.48,4.88,1315576,1248239237.0,2.57,1.15
2021-03-19,1008.38,1016.34,1031.9,996.0,0.43,4.37,2099417,1760641207.0,3.55,1.83
2021-03-22,1022.28,1039.65,1048.97,1013.14,2.29,23.31,1929211,1752412150.0,3.53,1.68
2021-03-23,1042.74,1031.39,1058.77,1018.58,-0.79,-8.26,2212606,1986789738.0,3.87,1.93
2021-03-24,1024.83,1019.8,1047.55,1010.64,-1.12,-11.59,1605362,1433141132.0,3.58,1.4
2021-03-25,1014.04,1009.03,1028.01,994.6,-1.06,-10.77,1330617,1195592158.0,3.28,1.16
2021-03-26,1010.24,1030.38,1037.39,1004.26,2.12,21.35,1608948,1489653130.0,3.28,1.4
2021-03-29,1040.01,1042.18,1060.76,1023.92,1.15,11.8,1876975,1759752345.0,3.58,1.64
2021-03-30,1052.73,1045.11,1068.9,1031.15,0.28,2.93,1890142,1686092700.0,3.62,1.65
2021-03-31,1045.32,1052.33,1064.6,1034.16,0.69,7.22,1493385,1317742988.0,2.91,1.3
2021-04-01,1060.28,1048.28,1071.12,1035.56,-0.38,-4.05,1695158,1420310599.0,3.38,1.48
2021-04-02,1054.86,1056.99,1070.75,1040.04,0.83,8.71,1634174,1460901975.0,2.93,1.42
2021-04-06,1063.14,1073.48,1086.36,1050.56,1.56,16.49,1830148,1794757404.0,3.39,1.6
2021-04-07,1081.2,1080.63,1092.8,1062.8,0.67,7.15,1538469,1462369546.0,2.79,1.34
2021-04-08,1083.8,1069.98,1099.93,1059.97,-0.99,-10.65,1678015,2011098959.0,3.7,1.46
2021-04-09,1063.22,1065.18,1085.16,1048.82,-0.45,-4.8,2280937,2342510549.0,3.4,1.99
2021-04-12,1064.91,1057.16,1082.21,1041.53,-0.75,-8.02,1987810,2038456977.0,3.82,1.73
2021-04-13,1054.71,1032.49,1060.59,1025.19,-2.33,-24.67,1283800,1387137370.0,3.35,1.12
2021-04-14,1031.53,1040.05,1053.03,1019.44,0.73,7.56,1926507,1750180546.0,3.25,1.68
2021-04-15,1038.15,1031.13,1051.39,1016.25,-0.86,-8.92,1852492,1658720514.0,3.38,1.61
2021-04-16,1029.58,1051.35,1061.67,1021.44,1.96,20.22,2042544,1777819204.0,3.9,1.78
2021-04-19,1052.98,1073.22,1084.6,1044.92,2.08,21.87,2703065,2431710910.0,3.77,2.36
2021-04-20,1070.82,1057.89,1085.7,1051.17,-1.43,-15.33,2982878,2619997371.0,3.22,2.6
2021-04-21,1055.99,1056.44,1076.21,1041.69,-0.14,-1.45,2016315,1826457570.0,3.26,1.76
2021-04-22,1060.87,1069.1,1081.89,1049.1,1.2,12.66,1835515,1825429336.0,3.1,1.6
2021-04-23,1064.62,1053.21,1078.13,1038.16,-1.49,-15.89,2127794,1973926048.0,3.74,1.85
2021-04-26,1051.83,1048.24,1074.51,1033.85,-0.47,-4.97,2283732,2006697798.0,3.86,1.99
2021-04-27,1046.64,1037.03,1059.93,1016.98,-1.07,-11.21,2041395,1732172556.0,4.1,1.78
2021-04-28,1035.4,1048.24,1064.84,1020.01,1.08,11.21,2200607,1859499546.0,4.32,1.92
2021-04-29,1050.16,1056.21,1073.63,1034.15,0.76,7.97,1892619,1737046284.0,3.77,1.65
2021-04-30,1057.77,1065.44,1085.75,1035.93,0.87,9.23,3236233,2813274517.0,4.72,2.82
2021-05-06,1067.44,1074.01,1093.88,1049.33,0.8,8.57,3016487,2819090123.0,4.18,2.63
2021-05-07,1076.47,1061.29,1089.68,1053.58,-1.18,-12.72,4808074,4289061328.0,3.36,4.19
2021-05-10,1060.49,1067.81,1082.2,1040.44,0.61,6.52,4713944,3984260765.0,3.93,4.11
2021-05-11,1061.85,1068.96,1085.03,1045.22,0.11,1.15,3339493,2967376324.0,3.73,2.91
2021-05-12,1070.23,1085.33,1095.71,1054.88,1.53,16.37,3170511,2834968647.0,3.82,2.76
2021-05-13,1078.03,1076.85,1097.95,1061.23,-0.78,-8.48,3067273,2668647755.0,3.38,2.67
2021-05-14,1080.4,1085.41,1101.5,1062.43,0.79,8.56,3900543,3291030761.0,3.63,3.4
2021-05-17,1085.9,1081.64,1107.96,1064.88,-0.35,-3.77,4149256,3443619339.0,3.97,3.62
2021-05-18,1080.1,1092.3,1107.07,1065.52,0.99,10.66,3619361,3177676800.0,3.84,3.15
2021-05-19,1089.39,1097.61,1114.33,1074.35,0.49,5.31,3248965,3062008624.0,3.66,2.83
2021-05-20,1095.98,1106.72,1125.61,1079.77,0.83,9.11,3880660,3433760498.0,4.18,3.38
2021-05-21,1108.39,1099.24,1125.28,1089.76,-0.68,-7.48,3076840,2818949576.0,3.21,2.68
2021-05-24,1099.24,1104.01,1121.81,1084.25,0.43,4.77,2926303,2665916931.0,3.42,2.55
2021-05-25,1105.24,1108.4,1126.77,1086.65,0.4,4.39,3044397,2820256245.0,3.63,2.65
2021-05-26,1109.93,1113.74,1127.68,1096.01,0.48,5.34,2254271,2146997495.0,2.86,1.96
2021-05-27,1113.97,1122.75,1139.86,1102.6,0.81,9.01,2478631,2241142576.0,3.35,2.16
2021-05-28,1123.4,1113.08,1136.85,1104.97,-0.86,-9.67,2623736,2412997070.0,2.84,2.29
