日期,开盘,收盘,最高,最低,涨跌幅,涨跌额,成交量,成交额,振幅,换手率
2010-01-04,1001.81,1001.81,1001.81,1001.81,0.18,1.81,263710,425955787.0,0.0,0.08
2010-01-05,1009.13,1009.13,1009.13,1009.13,0.73,7.32,290673,450305210.0,0.0,0.09
2010-01-06,1012.3,1012.3,1012.3,1012.3,0.31,3.17,398016,654913687.0,0.0,0.12
2010-01-07,1003.02,1003.02,1003.02,1003.02,-0.92,-9.28,353581,567424935.0,0.0,0.11
2010-01-08,1003.79,1003.79,1003.79,1003.79,0.08,0.77,314424,461132375.0,0.0,0.1
2010-01-11,1013.39,1013.39,1013.39,1013.39,0.96,9.6,385194,643759251.0,0.0,0.12
2010-01-12,1022.09,1022.09,1022.09,1022.09,0.86,8.7,530606,841409809.0,0.0,0.17
2010-01-13,1011.4,1011.4,1011.4,1011.4,-1.05,-10.69,440495,726693836.0,0.0,0.14
2010-01-14,1038.14,1038.14,1038.14,1038.14,2.64,26.74,541097,963352633.0,0.0,0.17
2010-01-15,1046.86,1046.86,1046.86,1046.86,0.84,8.72,536604,989542359.0,0.0,0.17
2010-01-18,1053.58,1053.58,1053.58,1053.58,0.64,6.72,573020,1050940871.0,0.0,0.18
2010-01-19,1064.38,1064.38,1064.38,1064.38,1.03,10.8,548769,1015638407.0,0.0,0.17
2010-01-20,1030.45,1030.45,1030.45,1030.45,-3.19,-33.93,608420,1100980525.0,0.0,0.19
2010-01-21,1026.82,1026.82,1026.82,1026.82,-0.35,-3.63,334069,589799281.0,0.0,0.1
2010-01-22,971.26,971.26,971.26,971.26,-5.41,-55.56,376577,660069745.0,0.0,0.12
2010-01-25,956.46,956.46,956.46,956.46,-1.52,-14.8,274781,797417715.0,0.0,0.09
2010-01-26,938.41,938.41,938.41,938.41,-1.89,-18.05,295100,751800417.0,0.0,0.09
2010-01-27,948.33,948.33,948.33,948.33,1.06,9.92,244732,627711214.0,0.0,0.08
2010-01-28,954.95,954.95,954.95,954.95,0.7,6.62,238442,620545362.0,0.0,0.07
