日期,开盘,收盘,最高,最低,涨跌幅,涨跌额,成交量,成交额,振幅,换手率
2010-01-04,998.94,998.94,998.94,998.94,-0.11,-1.06,583116,677514017.0,0.0,0.28
2010-01-05,1027.88,1027.88,1027.88,1027.88,2.9,28.94,914312,1198879101.0,0.0,0.44
2010-01-06,1027.12,1027.12,1027.12,1027.12,-0.07,-0.76,830145,1164730469.0,0.0,0.4
2010-01-07,997.94,997.94,997.94,997.94,-2.84,-29.18,556187,718094960.0,0.0,0.27
2010-01-08,1036.14,1036.14,1036.14,1036.14,3.83,38.2,778659,1010767895.0,0.0,0.37
2010-01-11,1074.77,1074.77,1074.77,1074.77,3.73,38.63,1264149,1682846688.0,0.0,0.61
2010-01-12,1093.76,1093.76,1093.76,1093.76,1.77,18.99,1316290,1703044089.0,0.0,0.63
2010-01-13,1115.55,1115.55,1115.55,1115.55,1.99,21.79,1865582,2855850513.0,0.0,0.89
2010-01-14,1176.93,1176.93,1176.93,1176.93,5.5,61.38,2171690,3220052564.0,0.0,1.04
2010-01-15,1165.12,1165.12,1165.12,1165.12,-1.0,-11.81,1464251,1951486393.0,0.0,0.7
2010-01-18,1186.25,1186.25,1186.25,1186.25,1.81,21.13,1048958,1474379105.0,0.0,0.5
2010-01-19,1194.57,1194.57,1194.57,1194.57,0.7,8.32,1045492,1583263338.0,0.0,0.5
2010-01-20,1153.44,1153.44,1153.44,1153.44,-3.44,-41.13,1038647,1557056780.0,0.0,0.5
2010-01-21,1196.72,1196.72,1196.72,1196.72,3.75,43.28,955976,1416796799.0,0.0,0.46
2010-01-22,1156.95,1156.95,1156.95,1156.95,-3.32,-39.77,860776,1306547857.0,0.0,0.41
2010-01-25,1121.63,1121.63,1121.63,1121.63,-3.05,-35.32,557495,870705837.0,0.0,0.27
2010-01-26,1087.41,1087.41,1087.41,1087.41,-3.05,-34.22,708905,1042048543.0,0.0,0.34
2010-01-27,1090.51,1090.51,1090.51,1090.51,0.29,3.1,538545,797866448.0,0.0,0.26
2010-01-28,1135.99,1135.99,1135.99,1135.99,4.17,45.48,732965,1134978880.0,0.0,0.35
2010-01-29,1141.44,1141.44,1141.44,1141.44,0.48,5.45,716320,1134681827.0,0.0,0.34
2010-02-01,1114.31,1114.31,1114.31,1114.31,-2.38,-27.13,944602,1341334364.0,0.0,0.45
2010-02-02,1100.15,1100.15,1100.15,1100.15,-1.27,-14.16,755688,1147569716.0,0.0,0.36
2010-02-03,1069.07,1069.07,1069.07,1069.07,-2.83,-31.08,867844,1254092784.0,0.0,0.42
2010-02-04,1103.12,1103.12,1103.12,1103.12,3.19,34.05,1166765,1645602583.0,0.0,0.56
2010-02-05,1064.24,1064.24,1064.24,1064.24,-3.52,-38.88,927931,1250945271.0,0.0,0.44
2010-02-08,1072.61,1072.61,1072.61,1072.61,0.79,8.37,464827,637293228.0,0.0,0.22
