日期,开盘,收盘,最高,最低,涨跌幅,涨跌额,成交量,成交额,振幅,换手率
2010-01-04,999.57,999.57,999.57,999.57,-0.04,-0.43,291154,576328810.0,0.0,0.16
2010-01-05,1019.31,1019.31,1019.31,1019.31,1.97,19.74,604521,1090934168.0,0.0,0.34
2010-01-06,1026.18,1026.18,1026.18,1026.18,0.67,6.87,694251,1192430223.0,0.0,0.39
2010-01-07,1022.25,1022.25,1022.25,1022.25,-0.38,-3.93,627225,1154057211.0,0.0,0.35
2010-01-08,1021.11,1021.11,1021.11,1021.11,-0.11,-1.14,485797,856951976.0,0.0,0.27
2010-01-11,1027.55,1027.55,1027.55,1027.55,0.63,6.44,423169,771054230.0,0.0,0.24
2010-01-12,1074.62,1074.62,1074.62,1074.62,4.58,47.07,872568,1384175179.0,0.0,0.49
2010-01-13,1068.16,1068.16,1068.16,1068.16,-0.6,-6.46,1342082,2052866878.0,0.0,0.76
2010-01-14,1089.94,1089.94,1089.94,1089.94,2.04,21.78,939470,1426032415.0,0.0,0.53
2010-01-15,1096.73,1096.73,1096.73,1096.73,0.62,6.79,841614,1394372621.0,0.0,0.47
2010-01-18,1115.4,1115.4,1115.4,1115.4,1.7,18.67,633522,1016798815.0,0.0,0.36
2010-01-19,1112.62,1112.62,1112.62,1112.62,-0.25,-2.78,828241,1394456483.0,0.0,0.47
2010-01-20,1059.97,1059.97,1059.97,1059.97,-4.73,-52.65,819229,1350452799.0,0.0,0.46
2010-01-21,1055.44,1055.44,1055.44,1055.44,-0.43,-4.53,584195,944769977.0,0.0,0.33
2010-01-22,1025.4,1025.4,1025.4,1025.4,-2.85,-30.04,502989,763295826.0,0.0,0.28
2010-01-25,1006.69,1006.69,1006.69,1006.69,-1.82,-18.71,394414,669107765.0,0.0,0.22
2010-01-26,968.31,968.31,968.31,968.31,-3.81,-38.38,619734,914808722.0,0.0,0.35
2010-01-27,961.18,961.18,961.18,961.18,-0.74,-7.13,463432,700021177.0,0.0,0.26
2010-01-28,977.77,977.77,977.77,977.77,1.73,16.59,426188,612036036.0,0.0,0.24
2010-01-29,997.47,997.47,997.47,997.47,2.01,19.7,609323,829673762.0,0.0,0.34
2010-02-01,967.79,967.79,967.79,967.79,-2.98,-29.68,519018,736647240.0,0.0,0.29
2010-02-02,965.57,965.57,965.57,965.57,-0.23,-2.22,660177,898165189.0,0.0,0.37
2010-02-03,972.69,972.69,972.69,972.69,0.74,7.12,604298,834703742.0,0.0,0.34
2010-02-04,973.64,973.64,973.64,973.64,0.1,0.95,416552,590701617.0,0.0,0.23
2010-02-05,934.86,934.86,934.86,934.86,-3.98,-38.78,466454,650492251.0,0.0,0.26
2010-02-08,919.87,919.87,919.87,919.87,-1.6,-14.99,308840,425727869.0,0.0,0.17
2010-02-09,927.99,927.99,927.99,927.99,0.88,8.12,279823,386958500.0,0.0,0.16
2010-02-10,938.02,938.02,938.02,938.02,1.08,10.03,272491,396054941.0,0.0,0.15
2010-02-11,953.92,953.92,953.92,953.92,1.7,15.9,286749,417463436.0,0.0,0.16
2010-02-12,967.4,967.4,967.4,967.4,1.41,13.48,295309,438796058.0,0.0,0.17
2010-02-22,978.57,978.57,978.57,978.57,1.15,11.17,336544,495346158.0,0.0,0.19
2010-02-23,984.62,984.62,984.62,984.62,0.62,6.05,300807,427650568.0,0.0,0.17
2010-02-24,999.55,999.55,999.55,999.55,1.52,14.93,303209,458918998.0,0.0,0.17
2010-02-25,1007.44,1007.44,1007.44,1007.44,0.79,7.89,426921,670864095.0,0.0,0.24
2010-02-26,998.15,998.15,998.15,998.15,-0.92,-9.29,408019,643029801.0,0.0,0.23
2010-03-01,1014.16,1014.16,1014.16,1014.16,1.6,16.01,616540,953019234.0,0.0,0.35
2010-03-02,1001.46,1001.46,1001.46,1001.46,-1.25,-12.7,405203,643262521.0,0.0,0.23
2010-03-03,1019.87,1019.87,1019.87,1019.87,1.84,18.41,539952,883907502.0,0.0,0.3
2010-03-04,976.47,976.47,976.47,976.47,-4.26,-43.4,483237,780159887.0,0.0,0.27
2010-03-05,970.08,970.08,970.08,970.08,-0.65,-6.39,335997,511742742.0,0.0,0.19
2010-03-08,979.24,979.24,979.24,979.24,0.94,9.16,279279,471483798.0,0.0,0.16
2010-03-09,976.28,976.28,976.28,976.28,-0.3,-2.96,411739,636254764.0,0.0,0.23
2010-03-10,970.98,970.98,970.98,970.98,-0.54,-5.3,380162,618284711.0,0.0,0.21
2010-03-11,979.63,979.63,979.63,979.63,0.89,8.65,495375,821559948.0,0.0,0.28
2010-03-12,965.57,965.57,965.57,965.57,-1.44,-14.06,348554,571776019.0,0.0,0.2
2010-03-15,967.56,967.56,967.56,967.56,0.21,1.99,330815,549022170.0,0.0,0.19
2010-03-16,967.98,967.98,967.98,967.98,0.04,0.42,382157,602166646.0,0.0,0.22
2010-03-17,988.59,988.59,988.59,988.59,2.13,20.61,453438,702358056.0,0.0,0.26
2010-03-18,984.23,984.23,984.23,984.23,-0.44,-4.36,351857,555424849.0,0.0,0.2
2010-03-19,991.99,991.99,991.99,991.99,0.79,7.76,411046,627686967.0,0.0,0.23
2010-03-22,1005.57,1005.57,1005.57,1005.57,1.37,13.58,545113,842533611.0,0.0,0.31
2010-03-23,993.45,993.45,993.45,993.45,-1.21,-12.12,461754,757861870.0,0.0,0.26
2010-03-24,1000.71,1000.71,1000.71,1000.71,0.73,7.26,413904,621259056.0,0.0,0.23
2010-03-25,995.9,995.9,995.9,995.9,-0.48,-4.81,394628,597274263.0,0.0,0.22
2010-03-26,1003.34,1003.34,1003.34,1003.34,0.75,7.44,324539,478490684.0,0.0,0.18
2010-03-29,1012.14,1012.14,1012.14,1012.14,0.88,8.8,557399,850904286.0,0.0,0.31
2010-03-30,1012.52,1012.52,1012.52,1012.52,0.04,0.38,419794,683854388.0,0.0,0.24
2010-03-31,1011.43,1011.43,1011.43,1011.43,-0.11,-1.09,367921,619498375.0,0.0,0.21
2010-04-01,1028.21,1028.21,1028.21,1028.21,1.66,16.78,543705,874935918.0,0.0,0.31
2010-04-02,1060.65,1060.65,1060.65,1060.65,3.15,32.44,885373,1378710653.0,0.0,0.5
2010-04-06,1080.99,1080.99,1080.99,1080.99,1.92,20.34,1039443,1597161640.0,0.0,0.58
2010-04-07,1089.71,1089.71,1089.71,1089.71,0.81,8.72,682776,1071509436.0,0.0,0.38
2010-04-08,1073.19,1073.19,1073.19,1073.19,-1.52,-16.52,814661,1182255926.0,0.0,0.46
2010-04-09,1092.38,1092.38,1092.38,1092.38,1.79,19.19,715456,1122669538.0,0.0,0.4
2010-04-12,1113.91,1113.91,1113.91,1113.91,1.97,21.53,841893,1418671214.0,0.0,0.47
2010-04-13,1096.56,1096.56,1096.56,1096.56,-1.56,-17.35,786909,1419247222.0,0.0,0.44
2010-04-14,1107.25,1107.25,1107.25,1107.25,0.97,10.69,548248,962701453.0,0.0,0.31
2010-04-15,1081.59,1081.59,1081.59,1081.59,-2.32,-25.66,543654,933078246.0,0.0,0.31
2010-04-16,1077.91,1077.91,1077.91,1077.91,-0.34,-3.68,339614,582568936.0,0.0,0.19
2010-04-19,1039.2,1039.2,1039.2,1039.2,-3.59,-38.71,641883,1156518117.0,0.0,0.36
2010-04-20,1038.91,1038.91,1038.91,1038.91,-0.03,-0.29,426894,707072123.0,0.0,0.24
2010-04-21,1073.32,1073.32,1073.32,1073.32,3.31,34.41,538046,943527710.0,0.0,0.3
2010-04-22,1063.95,1063.95,1063.95,1063.95,-0.87,-9.37,690756,1200659040.0,0.0,0.39
2010-04-23,1046.89,1046.89,1046.89,1046.89,-1.6,-17.06,472391,813567107.0,0.0,0.27
2010-04-26,1045.07,1045.07,1045.07,1045.07,-0.17,-1.82,528728,822766467.0,0.0,0.3
2010-04-27,989.45,989.45,989.45,989.45,-5.32,-55.62,740698,1142592066.0,0.0,0.42
2010-04-28,988.11,988.11,988.11,988.11,-0.14,-1.34,431795,660187251.0,0.0,0.24
2010-04-29,955.39,955.39,955.39,955.39,-3.31,-32.72,349582,554576658.0,0.0,0.2
2010-04-30,929.92,929.92,929.92,929.92,-2.67,-25.47,408559,598023474.0,0.0,0.23
2010-05-04,916.39,916.39,916.39,916.39,-1.45,-13.53,250423,360694459.0,0.0,0.14
2010-05-05,934.67,934.67,934.67,934.67,1.99,18.28,422407,584870643.0,0.0,0.24
2010-05-06,893.92,893.92,893.92,893.92,-4.36,-40.75,420765,607859262.0,0.0,0.24
2010-05-07,860.78,860.78,860.78,860.78,-3.71,-33.14,769732,972796005.0,0.0,0.43
2010-05-10,853.41,853.41,853.41,853.41,-0.86,-7.37,511143,656995489.0,0.0,0.29
2010-05-11,845.39,845.39,845.39,845.39,-0.94,-8.02,507144,709589501.0,0.0,0.29
2010-05-12,828.91,828.91,828.91,828.91,-1.95,-16.48,365712,496021384.0,0.0,0.21
2010-05-13,851.33,851.33,851.33,851.33,2.7,22.42,374398,493189913.0,0.0,0.21
2010-05-14,863.57,863.57,863.57,863.57,1.44,12.24,375793,532770059.0,0.0,0.21
2010-05-17,832.6,832.6,832.6,832.6,-3.59,-30.97,622270,820200733.0,0.0,0.35
2010-05-18,835.1,835.1,835.1,835.1,0.3,2.5,329461,457176863.0,0.0,0.19
2010-05-19,844.11,844.11,844.11,844.11,1.08,9.01,781840,1030804144.0,0.0,0.44
2010-05-20,813.23,813.23,813.23,813.23,-3.66,-30.88,135849,222612206.0,0.0,0.08
2010-05-21,816.54,816.54,816.54,816.54,0.41,3.31,285390,334104814.0,0.0,0.16
2010-05-24,856.14,856.14,856.14,856.14,4.85,39.6,365517,471774057.0,0.0,0.21
2010-05-25,859.74,859.74,859.74,859.74,0.42,3.6,369777,466361652.0,0.0,0.21
2010-05-26,860.22,860.22,860.22,860.22,0.06,0.48,308624,412757432.0,0.0,0.17
2010-05-27,879.47,879.47,879.47,879.47,2.24,19.25,343248,423981459.0,0.0,0.19
2010-05-28,902.87,902.87,902.87,902.87,2.66,23.4,546135,718737562.0,0.0,0.31
2010-05-31,859.3,859.3,859.3,859.3,-4.83,-43.57,372936,496174664.0,0.0,0.21
2010-06-01,846.01,846.01,846.01,846.01,-1.55,-13.29,329466,425051707.0,0.0,0.19
2010-06-02,850.74,850.74,850.74,850.74,0.56,4.73,263833,350843885.0,0.0,0.15
2010-06-03,848.14,848.14,848.14,848.14,-0.31,-2.6,308899,418769671.0,0.0,0.17
2010-06-04,847.16,847.16,847.16,847.16,-0.12,-0.98,234203,338652999.0,0.0,0.13
2010-06-07,840.79,840.79,840.79,840.79,-0.75,-6.37,329038,452600087.0,0.0,0.19
2010-06-08,852.05,852.05,852.05,852.05,1.34,11.26,540507,732424682.0,0.0,0.3
2010-06-09,873.1,873.1,873.1,873.1,2.47,21.05,584188,786298027.0,0.0,0.33
2010-06-10,873.38,873.38,873.38,873.38,0.03,0.28,439825,599476500.0,0.0,0.25
2010-06-11,871.57,871.57,871.57,871.57,-0.21,-1.81,638999,758561695.0,0.0,0.36
