日期,开盘,收盘,最高,最低,涨跌幅,涨跌额,成交量,成交额,振幅,换手率
2010-01-04,1003.09,1003.09,1003.09,1003.09,0.31,3.09,2175165,2636563241.0,0.0,0.45
2010-01-05,1014.71,1014.71,1014.71,1014.71,1.16,11.62,2183653,2818967330.0,0.0,0.46
2010-01-06,1008.23,1008.23,1008.23,1008.23,-0.64,-6.48,1948699,2547671742.0,0.0,0.41
2010-01-07,995.1,995.1,995.1,995.1,-1.3,-13.13,3121501,3659086037.0,0.0,0.65
2010-01-08,1006.61,1006.61,1006.61,1006.61,1.16,11.51,2813111,3174752570.0,0.0,0.59
2010-01-11,1020.93,1020.93,1020.93,1020.93,1.42,14.32,3189910,3804169386.0,0.0,0.67
2010-01-12,1043.12,1043.12,1043.12,1043.12,2.17,22.19,3042659,3785623622.0,0.0,0.64
2010-01-13,1039.35,1039.35,1039.35,1039.35,-0.36,-3.77,3076478,3993904307.0,0.0,0.64
2010-01-14,1067.62,1067.62,1067.62,1067.62,2.72,28.27,3116195,3952422986.0,0.0,0.65
2010-01-15,1071.89,1071.89,1071.89,1071.89,0.4,4.27,2578092,3301824972.0,0.0,0.54
2010-01-18,1102.2,1102.2,1102.2,1102.2,2.83,30.31,3584111,4509910491.0,0.0,0.75
2010-01-19,1100.3,1100.3,1100.3,1100.3,-0.17,-1.9,3272433,4386301627.0,0.0,0.68
2010-01-20,1059.99,1059.99,1059.99,1059.99,-3.66,-40.31,3479638,4535153626.0,0.0,0.73
2010-01-21,1072.22,1072.22,1072.22,1072.22,1.15,12.23,2386299,2975394804.0,0.0,0.5
2010-01-22,1049.13,1049.13,1049.13,1049.13,-2.15,-23.09,2742277,3455920548.0,0.0,0.57
2010-01-25,1037.07,1037.07,1037.07,1037.07,-1.15,-12.06,2745382,3226211271.0,0.0,0.57
2010-01-26,991.69,991.69,991.69,991.69,-4.38,-45.38,2454242,2854777536.0,0.0,0.51
2010-01-27,984.57,984.57,984.57,984.57,-0.72,-7.12,1534403,1786219661.0,0.0,0.32
2010-01-28,1001.21,1001.21,1001.21,1001.21,1.69,16.64,1639223,1962253601.0,0.0,0.34
2010-01-29,1010.6,1010.6,1010.6,1010.6,0.94,9.39,2018958,2365068034.0,0.0,0.42
2010-02-01,1007.36,1007.36,1007.36,1007.36,-0.32,-3.24,2791023,3464803763.0,0.0,0.58
2010-02-02,997.17,997.17,997.17,997.17,-1.01,-10.19,2459277,3083969413.0,0.0,0.51
2010-02-03,1015.04,1015.04,1015.04,1015.04,1.79,17.87,2993852,3674039062.0,0.0,0.63
2010-02-04,1041.13,1041.13,1041.13,1041.13,2.57,26.09,3880394,4775748262.0,0.0,0.81
2010-02-05,1023.98,1023.98,1023.98,1023.98,-1.65,-17.15,4252775,5010288233.0,0.0,0.89
2010-02-08,1028.01,1028.01,1028.01,1028.01,0.39,4.03,2596435,3030076712.0,0.0,0.54
2010-02-09,1018.29,1018.29,1018.29,1018.29,-0.95,-9.72,2107220,2401704375.0,0.0,0.44
2010-02-10,1034.34,1034.34,1034.34,1034.34,1.58,16.05,1537091,1822511910.0,0.0,0.32
2010-02-11,1029.65,1029.65,1029.65,1029.65,-0.45,-4.69,1622273,2102263561.0,0.0,0.34
2010-02-12,1045.84,1045.84,1045.84,1045.84,1.57,16.19,1516936,1963480161.0,0.0,0.32
2010-02-22,1043.56,1043.56,1043.56,1043.56,-0.22,-2.28,1979059,2431588763.0,0.0,0.41
2010-02-23,1054.81,1054.81,1054.81,1054.81,1.08,11.25,2692957,3128002346.0,0.0,0.56
2010-02-24,1075.78,1075.78,1075.78,1075.78,1.99,20.97,2700434,3234010850.0,0.0,0.56
2010-02-25,1096.42,1096.42,1096.42,1096.42,1.92,20.64,3064253,3971987976.0,0.0,0.64
2010-02-26,1097.27,1097.27,1097.27,1097.27,0.08,0.85,3528524,4508217778.0,0.0,0.74
2010-03-01,1114.19,1114.19,1114.19,1114.19,1.54,16.92,3191883,4110408087.0,0.0,0.67
2010-03-02,1109.45,1109.45,1109.45,1109.45,-0.43,-4.74,3518523,4331519450.0,0.0,0.74
2010-03-03,1114.62,1114.62,1114.62,1114.62,0.47,5.17,2683521,3343502412.0,0.0,0.56
2010-03-04,1073.59,1073.59,1073.59,1073.59,-3.68,-41.03,2831814,3515804151.0,0.0,0.59
2010-03-05,1085.61,1085.61,1085.61,1085.61,1.12,12.02,2581870,3214479319.0,0.0,0.54
2010-03-08,1100.45,1100.45,1100.45,1100.45,1.37,14.84,2304611,2874504387.0,0.0,0.48
2010-03-09,1095.36,1095.36,1095.36,1095.36,-0.46,-5.09,2222660,2776894918.0,0.0,0.46
2010-03-10,1083.92,1083.92,1083.92,1083.92,-1.04,-11.44,1489990,1924374630.0,0.0,0.31
2010-03-11,1077.38,1077.38,1077.38,1077.38,-0.6,-6.54,1914906,2335536856.0,0.0,0.4
2010-03-12,1060.98,1060.98,1060.98,1060.98,-1.52,-16.4,1727710,2216730219.0,0.0,0.36
2010-03-15,1055.33,1055.33,1055.33,1055.33,-0.53,-5.65,1294909,1773584136.0,0.0,0.27
2010-03-16,1068.63,1068.63,1068.63,1068.63,1.26,13.3,1324328,1702576312.0,0.0,0.28
2010-03-17,1093.51,1093.51,1093.51,1093.51,2.33,24.88,1826051,2308882585.0,0.0,0.38
2010-03-18,1097.61,1097.61,1097.61,1097.61,0.37,4.1,1983596,2576361051.0,0.0,0.41
2010-03-19,1106.27,1106.27,1106.27,1106.27,0.79,8.66,1769319,2283112371.0,0.0,0.37
2010-03-22,1120.61,1120.61,1120.61,1120.61,1.3,14.34,2442548,3003198364.0,0.0,0.51
2010-03-23,1119.07,1119.07,1119.07,1119.07,-0.14,-1.54,2831988,3704426738.0,0.0,0.59
2010-03-24,1118.67,1118.67,1118.67,1118.67,-0.04,-0.4,2361371,3186203850.0,0.0,0.49
2010-03-25,1107.45,1107.45,1107.45,1107.45,-1.0,-11.22,2390024,3326919731.0,0.0,0.5
2010-03-26,1132.38,1132.38,1132.38,1132.38,2.25,24.93,2971738,4186936622.0,0.0,0.62
2010-03-29,1132.29,1132.29,1132.29,1132.29,-0.01,-0.09,2959084,3742851977.0,0.0,0.62
2010-03-30,1140.98,1140.98,1140.98,1140.98,0.77,8.69,2566832,3407386989.0,0.0,0.54
2010-03-31,1149.62,1149.62,1149.62,1149.62,0.76,8.64,2445493,3232955335.0,0.0,0.51
2010-04-01,1164.09,1164.09,1164.09,1164.09,1.26,14.47,3033027,4041713507.0,0.0,0.63
2010-04-02,1157.22,1157.22,1157.22,1157.22,-0.59,-6.87,2402993,3159846182.0,0.0,0.5
2010-04-06,1162.67,1162.67,1162.67,1162.67,0.47,5.45,2500719,3311380424.0,0.0,0.52
2010-04-07,1165.21,1165.21,1165.21,1165.21,0.22,2.54,1977260,2766227764.0,0.0,0.41
2010-04-08,1162.82,1162.82,1162.82,1162.82,-0.21,-2.39,2285676,3336307970.0,0.0,0.48
2010-04-09,1183.57,1183.57,1183.57,1183.57,1.78,20.75,2658018,3892491264.0,0.0,0.56
2010-04-12,1200.43,1200.43,1200.43,1200.43,1.42,16.86,3115298,4612249842.0,0.0,0.65
2010-04-13,1172.11,1172.11,1172.11,1172.11,-2.36,-28.32,3111689,4474765163.0,0.0,0.65
2010-04-14,1186.93,1186.93,1186.93,1186.93,1.26,14.82,2386643,3358303707.0,0.0,0.5
2010-04-15,1166.88,1166.88,1166.88,1166.88,-1.69,-20.05,2110394,3028894829.0,0.0,0.44
2010-04-16,1167.24,1167.24,1167.24,1167.24,0.03,0.36,1427986,2071502412.0,0.0,0.3
2010-04-19,1121.97,1121.97,1121.97,1121.97,-3.88,-45.27,2427101,3519096262.0,0.0,0.51
2010-04-20,1136.04,1136.04,1136.04,1136.04,1.25,14.07,1955652,2781683531.0,0.0,0.41
2010-04-21,1169.82,1169.82,1169.82,1169.82,2.97,33.78,2153869,3135244211.0,0.0,0.45
2010-04-22,1186.68,1186.68,1186.68,1186.68,1.44,16.86,2732627,4010054456.0,0.0,0.57
2010-04-23,1182.89,1182.89,1182.89,1182.89,-0.32,-3.79,2187805,3186714821.0,0.0,0.46
2010-04-26,1186.47,1186.47,1186.47,1186.47,0.3,3.58,1904184,2900093803.0,0.0,0.4
2010-04-27,1150.37,1150.37,1150.37,1150.37,-3.04,-36.1,2094010,2939562792.0,0.0,0.44
2010-04-28,1139.02,1139.02,1139.02,1139.02,-0.99,-11.35,1598954,2460244587.0,0.0,0.33
2010-04-29,1093.95,1093.95,1093.95,1093.95,-3.96,-45.07,2172901,3174051489.0,0.0,0.45
2010-04-30,1056.35,1056.35,1056.35,1056.35,-3.44,-37.6,1716935,2271424684.0,0.0,0.36
2010-05-04,1047.07,1047.07,1047.07,1047.07,-0.88,-9.28,1144017,1482211019.0,0.0,0.24
2010-05-05,1067.92,1067.92,1067.92,1067.92,1.99,20.85,1630021,2101316125.0,0.0,0.34
2010-05-06,1026.95,1026.95,1026.95,1026.95,-3.84,-40.97,1611403,2079305817.0,0.0,0.34
2010-05-07,1008.74,1008.74,1008.74,1008.74,-1.77,-18.21,1478307,1854546018.0,0.0,0.31
2010-05-10,995.9,995.9,995.9,995.9,-1.27,-12.84,1420100,1766185156.0,0.0,0.3
2010-05-11,964.38,964.38,964.38,964.38,-3.16,-31.52,1212884,1454640204.0,0.0,0.25
2010-05-12,942.31,942.31,942.31,942.31,-2.29,-22.07,1366246,1584118355.0,0.0,0.29
2010-05-13,967.67,967.67,967.67,967.67,2.69,25.36,1415276,1632825255.0,0.0,0.3
2010-05-14,967.36,967.36,967.36,967.36,-0.03,-0.31,1317355,1447728242.0,0.0,0.28
2010-05-17,903.24,903.24,903.24,903.24,-6.63,-64.12,1372363,1491125294.0,0.0,0.29
2010-05-18,911.63,911.63,911.63,911.63,0.93,8.39,1343524,1416883273.0,0.0,0.28
2010-05-19,911.99,911.99,911.99,911.99,0.04,0.36,1157802,1251718456.0,0.0,0.24
2010-05-20,897.23,897.23,897.23,897.23,-1.62,-14.76,1392843,1431701762.0,0.0,0.29
2010-05-21,910.67,910.67,910.67,910.67,1.5,13.44,1768233,1754643968.0,0.0,0.37
2010-05-24,950.06,950.06,950.06,950.06,4.33,39.39,2115666,2282958196.0,0.0,0.44
2010-05-25,940.09,940.09,940.09,940.09,-1.05,-9.97,1758628,1842527059.0,0.0,0.37
2010-05-26,942.51,942.51,942.51,942.51,0.26,2.42,1419558,1478178520.0,0.0,0.3
2010-05-27,961.0,961.0,961.0,961.0,1.96,18.49,1433400,1617184072.0,0.0,0.3
2010-05-28,967.26,967.26,967.26,967.26,0.65,6.26,1655895,1892322981.0,0.0,0.35
2010-05-31,945.83,945.83,945.83,945.83,-2.22,-21.43,1529228,1724834488.0,0.0,0.32
2010-06-01,927.58,927.58,927.58,927.58,-1.93,-18.25,1437744,1537898047.0,0.0,0.3
