日期,开盘,收盘,最高,最低,涨跌幅,涨跌额,成交量,成交额,振幅,换手率
2010-01-04,1031.37,1031.37,1031.37,1031.37,3.14,31.37,953253,1745240208.0,0.0,1.42
2010-01-05,1052.16,1052.16,1052.16,1052.16,2.02,20.79,604611,1104970934.0,0.0,0.9
2010-01-06,1030.31,1030.31,1030.31,1030.31,-2.08,-21.85,397904,717081840.0,0.0,0.59
2010-01-07,1000.71,1000.71,1000.71,1000.71,-2.87,-29.6,344912,609544150.0,0.0,0.51
2010-01-08,1013.0,1013.0,1013.0,1013.0,1.23,12.29,272966,474211788.0,0.0,0.41
2010-01-11,1008.36,1008.36,1008.36,1008.36,-0.46,-4.64,251236,439292496.0,0.0,0.37
2010-01-12,1054.78,1054.78,1054.78,1054.78,4.6,46.42,472709,846690032.0,0.0,0.7
2010-01-13,1043.6,1043.6,1043.6,1043.6,-1.06,-11.18,479660,882634522.0,0.0,0.71
2010-01-14,1065.1,1065.1,1065.1,1065.1,2.06,21.5,383503,700440642.0,0.0,0.57
2010-01-15,1069.94,1069.94,1069.94,1069.94,0.45,4.84,314709,554888193.0,0.0,0.47
2010-01-18,1090.94,1090.94,1090.94,1090.94,1.96,21.0,450882,831738901.0,0.0,0.67
2010-01-19,1080.27,1080.27,1080.27,1080.27,-0.98,-10.67,363250,651104350.0,0.0,0.54
2010-01-20,1031.48,1031.48,1031.48,1031.48,-4.52,-48.79,392267,696430419.0,0.0,0.58
2010-01-21,1043.56,1043.56,1043.56,1043.56,1.17,12.08,288002,500870273.0,0.0,0.43
2010-01-22,1030.51,1030.51,1030.51,1030.51,-1.25,-13.05,488808,883332558.0,0.0,0.73
2010-01-25,1012.93,1012.93,1012.93,1012.93,-1.71,-17.58,397828,705915830.0,0.0,0.59
2010-01-26,966.05,966.05,966.05,966.05,-4.63,-46.88,343464,574701852.0,0.0,0.51
2010-01-27,1005.26,1005.26,1005.26,1005.26,4.06,39.21,642177,1157901395.0,0.0,0.95
2010-01-28,1016.87,1016.87,1016.87,1016.87,1.15,11.61,704012,1355828195.0,0.0,1.05
2010-01-29,1063.0,1063.0,1063.0,1063.0,4.54,46.13,1004894,1926294863.0,0.0,1.49
2010-02-01,1051.29,1051.29,1051.29,1051.29,-1.1,-11.71,1086295,2129860794.0,0.0,1.61
2010-02-02,1056.35,1056.35,1056.35,1056.35,0.48,5.06,679783,1323666121.0,0.0,1.01
2010-02-03,1030.99,1030.99,1030.99,1030.99,-2.4,-25.36,609909,1149608457.0,0.0,0.91
2010-02-04,1040.69,1040.69,1040.69,1040.69,0.94,9.7,641537,1235325873.0,0.0,0.95
2010-02-05,1005.8,1005.8,1005.8,1005.8,-3.35,-34.89,479854,885050661.0,0.0,0.71
2010-02-08,1002.63,1002.63,1002.63,1002.63,-0.32,-3.17,280377,502809944.0,0.0,0.42
2010-02-09,1000.39,1000.39,1000.39,1000.39,-0.22,-2.24,123140,187408254.0,0.0,0.18
2010-02-10,1013.44,1013.44,1013.44,1013.44,1.3,13.05,273546,492649493.0,0.0,0.41
