日期,开盘,收盘,最高,最低,涨跌幅,涨跌额,成交量,成交额,振幅,换手率
2010-01-04,1021.71,1021.71,1021.71,1021.71,2.17,21.71,2261089,3200252251.0,0.0,1.19
2010-01-05,1041.02,1041.02,1041.02,1041.02,1.89,19.31,1384107,1968018083.0,0.0,0.73
2010-01-06,1027.4,1027.4,1027.4,1027.4,-1.31,-13.62,1157090,1596200861.0,0.0,0.61
2010-01-07,997.47,997.47,997.47,997.47,-2.91,-29.93,993136,1299152678.0,0.0,0.52
2010-01-08,1015.94,1015.94,1015.94,1015.94,1.85,18.47,728542,969648831.0,0.0,0.38
2010-01-11,1018.44,1018.44,1018.44,1018.44,0.25,2.5,817652,1076820163.0,0.0,0.43
2010-01-12,1054.59,1054.59,1054.59,1054.59,3.55,36.15,1232160,1711979254.0,0.0,0.65
2010-01-13,1035.4,1035.4,1035.4,1035.4,-1.82,-19.19,1142758,1637612994.0,0.0,0.6
2010-01-14,1063.26,1063.26,1063.26,1063.26,2.69,27.86,1014880,1400566081.0,0.0,0.54
2010-01-15,1064.46,1064.46,1064.46,1064.46,0.11,1.2,991835,1291344702.0,0.0,0.52
2010-01-18,1078.45,1078.45,1078.45,1078.45,1.31,13.99,1128669,1553904579.0,0.0,0.6
2010-01-19,1065.32,1065.32,1065.32,1065.32,-1.22,-13.13,1025820,1326535707.0,0.0,0.54
2010-01-20,1017.9,1017.9,1017.9,1017.9,-4.45,-47.42,1063867,1396777624.0,0.0,0.56
2010-01-21,1026.03,1026.03,1026.03,1026.03,0.8,8.13,1049900,1578140732.0,0.0,0.55
2010-01-22,999.38,999.38,999.38,999.38,-2.6,-26.65,1173436,1737076678.0,0.0,0.62
2010-01-25,987.6,987.6,987.6,987.6,-1.18,-11.78,1371541,1594163169.0,0.0,0.72
2010-01-26,947.07,947.07,947.07,947.07,-4.1,-40.53,1015279,1275238691.0,0.0,0.54
2010-01-27,975.82,975.82,975.82,975.82,3.04,28.75,1760506,2240649067.0,0.0,0.93
2010-01-28,987.82,987.82,987.82,987.82,1.23,12.0,1445010,2064470015.0,0.0,0.76
2010-01-29,1023.51,1023.51,1023.51,1023.51,3.61,35.69,1365194,2423939858.0,0.0,0.72
2010-02-01,1022.73,1022.73,1022.73,1022.73,-0.08,-0.78,2695355,3734050429.0,0.0,1.42
2010-02-02,1016.26,1016.26,1016.26,1016.26,-0.63,-6.47,1695057,2276563620.0,0.0,0.89
2010-02-03,997.9,997.9,997.9,997.9,-1.81,-18.36,1584427,2123584873.0,0.0,0.84
2010-02-04,1015.39,1015.39,1015.39,1015.39,1.75,17.49,3001188,3079837118.0,0.0,1.58
2010-02-05,992.47,992.47,992.47,992.47,-2.26,-22.92,2717897,2673720307.0,0.0,1.43
2010-02-08,980.83,980.83,980.83,980.83,-1.17,-11.64,1120430,1223893680.0,0.0,0.59
2010-02-09,977.15,977.15,977.15,977.15,-0.38,-3.68,976768,882795428.0,0.0,0.52
2010-02-10,985.93,985.93,985.93,985.93,0.9,8.78,837898,971827428.0,0.0,0.44
2010-02-11,973.12,973.12,973.12,973.12,-1.3,-12.81,1056267,1094105131.0,0.0,0.56
2010-02-12,992.37,992.37,992.37,992.37,1.98,19.25,798979,1007622234.0,0.0,0.42
2010-02-22,1020.29,1020.29,1020.29,1020.29,2.81,27.92,1633736,2179546716.0,0.0,0.86
2010-02-23,1036.8,1036.8,1036.8,1036.8,1.62,16.51,1555286,1884047619.0,0.0,0.82
2010-02-24,1047.03,1047.03,1047.03,1047.03,0.99,10.23,1683806,1960311855.0,0.0,0.89
2010-02-25,1060.92,1060.92,1060.92,1060.92,1.33,13.89,1729633,2168684408.0,0.0,0.91
2010-02-26,1065.97,1065.97,1065.97,1065.97,0.48,5.05,1556448,1925463439.0,0.0,0.82
2010-03-01,1078.99,1078.99,1078.99,1078.99,1.22,13.02,2045173,2537560458.0,0.0,1.08
2010-03-02,1075.34,1075.34,1075.34,1075.34,-0.34,-3.65,1528479,2010967971.0,0.0,0.81
2010-03-03,1141.36,1141.36,1141.36,1141.36,6.14,66.02,3116577,4113634199.0,0.0,1.64
2010-03-04,1080.24,1080.24,1080.24,1080.24,-5.36,-61.12,2726405,3810067358.0,0.0,1.44
2010-03-05,1061.34,1061.34,1061.34,1061.34,-1.75,-18.9,1325923,1728664937.0,0.0,0.7
2010-03-08,1068.38,1068.38,1068.38,1068.38,0.66,7.04,905234,1186274602.0,0.0,0.48
2010-03-09,1055.05,1055.05,1055.05,1055.05,-1.25,-13.33,899764,1175884510.0,0.0,0.47
2010-03-10,1037.46,1037.46,1037.46,1037.46,-1.67,-17.59,804455,1017996050.0,0.0,0.42
2010-03-11,1028.98,1028.98,1028.98,1028.98,-0.82,-8.48,783616,1031294718.0,0.0,0.41
2010-03-12,1016.87,1016.87,1016.87,1016.87,-1.18,-12.11,770228,978013304.0,0.0,0.41
2010-03-15,1029.29,1029.29,1029.29,1029.29,1.22,12.42,779078,1040581253.0,0.0,0.41
2010-03-16,1026.35,1026.35,1026.35,1026.35,-0.29,-2.94,576754,711954692.0,0.0,0.3
2010-03-17,1044.64,1044.64,1044.64,1044.64,1.78,18.29,771674,966544200.0,0.0,0.41
2010-03-18,1040.33,1040.33,1040.33,1040.33,-0.41,-4.31,732118,934915774.0,0.0,0.39
2010-03-19,1043.9,1043.9,1043.9,1043.9,0.34,3.57,998906,1375522693.0,0.0,0.53
2010-03-22,1044.87,1044.87,1044.87,1044.87,0.09,0.97,978084,1302520949.0,0.0,0.52
2010-03-23,1071.82,1071.82,1071.82,1071.82,2.58,26.95,2527951,3463704646.0,0.0,1.33
2010-03-24,1065.61,1065.61,1065.61,1065.61,-0.58,-6.21,1811110,2302521447.0,0.0,0.96
2010-03-25,1026.76,1026.76,1026.76,1026.76,-3.65,-38.85,1252537,1584714795.0,0.0,0.66
2010-03-26,1029.77,1029.77,1029.77,1029.77,0.29,3.01,822318,1077569197.0,0.0,0.43
2010-03-29,1036.17,1036.17,1036.17,1036.17,0.62,6.4,995595,1285181083.0,0.0,0.53
2010-03-30,1032.64,1032.64,1032.64,1032.64,-0.34,-3.53,757067,1042062439.0,0.0,0.4
2010-03-31,1022.99,1022.99,1022.99,1022.99,-0.93,-9.65,815957,1111410560.0,0.0,0.43
2010-04-01,1035.27,1035.27,1035.27,1035.27,1.2,12.28,1010776,1268026579.0,0.0,0.53
2010-04-02,1035.54,1035.54,1035.54,1035.54,0.03,0.27,815605,1073419388.0,0.0,0.43
2010-04-06,1052.52,1052.52,1052.52,1052.52,1.64,16.98,1252843,1604817288.0,0.0,0.66
2010-04-07,1057.31,1057.31,1057.31,1057.31,0.46,4.79,1011452,1418214718.0,0.0,0.53
2010-04-08,1047.94,1047.94,1047.94,1047.94,-0.89,-9.37,957288,1378628762.0,0.0,0.5
2010-04-09,1057.89,1057.89,1057.89,1057.89,0.95,9.95,853044,1137811328.0,0.0,0.45
2010-04-12,1065.98,1065.98,1065.98,1065.98,0.76,8.09,1087829,1444266335.0,0.0,0.57
2010-04-13,1062.09,1062.09,1062.09,1062.09,-0.36,-3.89,1407950,1985857464.0,0.0,0.74
2010-04-14,1086.15,1086.15,1086.15,1086.15,2.27,24.06,1265995,1946366907.0,0.0,0.67
2010-04-15,1088.14,1088.14,1088.14,1088.14,0.18,1.99,1331471,2150877955.0,0.0,0.7
2010-04-16,1074.22,1074.22,1074.22,1074.22,-1.28,-13.92,726162,1059685695.0,0.0,0.38
2010-04-19,1030.22,1030.22,1030.22,1030.22,-4.1,-44.0,1148313,1699225235.0,0.0,0.61
2010-04-20,1070.87,1070.87,1070.87,1070.87,3.95,40.65,1387254,2169715766.0,0.0,0.73
2010-04-21,1089.4,1089.4,1089.4,1089.4,1.73,18.53,1314864,2035131590.0,0.0,0.69
2010-04-22,1114.41,1114.41,1114.41,1114.41,2.3,25.01,1875348,2899582257.0,0.0,0.99
2010-04-23,1111.17,1111.17,1111.17,1111.17,-0.29,-3.24,1560521,2787314667.0,0.0,0.82
2010-04-26,1112.69,1112.69,1112.69,1112.69,0.14,1.52,1246423,2070156637.0,0.0,0.66
2010-04-27,1079.45,1079.45,1079.45,1079.45,-2.99,-33.24,1240377,1848577641.0,0.0,0.65
2010-04-28,1088.72,1088.72,1088.72,1088.72,0.86,9.27,901272,1237870510.0,0.0,0.48
2010-04-29,1073.21,1073.21,1073.21,1073.21,-1.42,-15.51,1486147,2493238878.0,0.0,0.78
2010-04-30,1029.17,1029.17,1029.17,1029.17,-4.1,-44.04,1091453,1619745486.0,0.0,0.58
2010-05-04,1058.76,1058.76,1058.76,1058.76,2.88,29.59,989489,1730620976.0,0.0,0.52
2010-05-05,1111.87,1111.87,1111.87,1111.87,5.02,53.11,1650158,2754396152.0,0.0,0.87
2010-05-06,1087.83,1087.83,1087.83,1087.83,-2.16,-24.04,1251303,2149715143.0,0.0,0.66
2010-05-07,1118.07,1118.07,1118.07,1118.07,2.78,30.24,2702146,3729942055.0,0.0,1.43
2010-05-10,1074.38,1074.38,1074.38,1074.38,-3.91,-43.69,2482890,3555684020.0,0.0,1.31
2010-05-11,1051.31,1051.31,1051.31,1051.31,-2.15,-23.07,1298234,1907281190.0,0.0,0.68
2010-05-12,978.98,978.98,978.98,978.98,-6.88,-72.33,1551931,2177776793.0,0.0,0.82
2010-05-13,999.11,999.11,999.11,999.11,2.06,20.13,1194183,1463871488.0,0.0,0.63
2010-05-14,1023.38,1023.38,1023.38,1023.38,2.43,24.27,1270544,1874270977.0,0.0,0.67
2010-05-17,969.16,969.16,969.16,969.16,-5.3,-54.22,1075980,1570479379.0,0.0,0.57
2010-05-18,990.36,990.36,990.36,990.36,2.19,21.2,868187,1239760635.0,0.0,0.46
2010-05-19,999.49,999.49,999.49,999.49,0.92,9.13,850106,1265509085.0,0.0,0.45
2010-05-20,972.38,972.38,972.38,972.38,-2.71,-27.11,992910,1338086631.0,0.0,0.52
2010-05-21,998.35,998.35,998.35,998.35,2.67,25.97,795265,1246977855.0,0.0,0.42
2010-05-24,1040.13,1040.13,1040.13,1040.13,4.18,41.78,1204052,1658920788.0,0.0,0.64
2010-05-25,1037.64,1037.64,1037.64,1037.64,-0.24,-2.49,1035501,1412496006.0,0.0,0.55
2010-05-26,1050.8,1050.8,1050.8,1050.8,1.27,13.16,921105,1361652493.0,0.0,0.49
2010-05-27,1068.84,1068.84,1068.84,1068.84,1.72,18.04,1159086,1726458866.0,0.0,0.61
2010-05-28,1059.18,1059.18,1059.18,1059.18,-0.9,-9.66,901839,1377123360.0,0.0,0.48
2010-05-31,1029.85,1029.85,1029.85,1029.85,-2.77,-29.33,745538,1142998745.0,0.0,0.39
2010-06-01,986.95,986.95,986.95,986.95,-4.17,-42.9,932639,1349221470.0,0.0,0.49
2010-06-02,993.37,993.37,993.37,993.37,0.65,6.42,589556,794081523.0,0.0,0.31
2010-06-03,1009.01,1009.01,1009.01,1009.01,1.57,15.64,1269605,1987144961.0,0.0,0.67
2010-06-04,1018.64,1018.64,1018.64,1018.64,0.95,9.63,926688,1260447393.0,0.0,0.49
2010-06-07,1021.23,1021.23,1021.23,1021.23,0.25,2.59,797885,1171124241.0,0.0,0.42
2010-06-08,1028.74,1028.74,1028.74,1028.74,0.74,7.51,650086,958965556.0,0.0,0.34
2010-06-09,1040.21,1040.21,1040.21,1040.21,1.11,11.47,792215,1101328745.0,0.0,0.42
2010-06-10,1061.77,1061.77,1061.77,1061.77,2.07,21.56,1092377,1695998312.0,0.0,0.58
2010-06-11,1049.57,1049.57,1049.57,1049.57,-1.15,-12.2,718147,1095212064.0,0.0,0.38
2010-06-17,1025.25,1025.25,1025.25,1025.25,-2.32,-24.32,474788,840334539.0,0.0,0.25
2010-06-18,982.68,982.68,982.68,982.68,-4.15,-42.57,500371,930720779.0,0.0,0.26
2010-06-21,1009.39,1009.39,1009.39,1009.39,2.72,26.71,600489,810912481.0,0.0,0.32
2010-06-22,1020.43,1020.43,1020.43,1020.43,1.09,11.04,688851,1040334889.0,0.0,0.36
2010-06-23,1015.53,1015.53,1015.53,1015.53,-0.48,-4.9,688203,975335521.0,0.0,0.36
2010-06-24,1019.48,1019.48,1019.48,1019.48,0.39,3.95,457851,663967032.0,0.0,0.24
2010-06-25,1001.13,1001.13,1001.13,1001.13,-1.8,-18.35,546689,790996223.0,0.0,0.29
2010-06-28,982.5,982.5,982.5,982.5,-1.86,-18.63,398472,594638278.0,0.0,0.21
2010-06-29,918.35,918.35,918.35,918.35,-6.53,-64.15,679887,898098887.0,0.0,0.36
2010-06-30,893.69,893.69,893.69,893.69,-2.69,-24.66,537471,706446472.0,0.0,0.28
2010-07-01,869.8,869.8,869.8,869.8,-2.67,-23.89,328219,418372927.0,0.0,0.17
2010-07-02,858.33,858.33,858.33,858.33,-1.32,-11.47,543869,670026727.0,0.0,0.29
2010-07-05,849.26,849.26,849.26,849.26,-1.06,-9.07,359824,438443352.0,0.0,0.19
2010-07-06,877.75,877.75,877.75,877.75,3.35,28.49,512004,642179555.0,0.0,0.27
2010-07-07,897.67,897.67,897.67,897.67,2.27,19.92,562150,701429420.0,0.0,0.3
2010-07-08,883.23,883.23,883.23,883.23,-1.61,-14.44,390665,472219369.0,0.0,0.21
2010-07-09,911.44,911.44,911.44,911.44,3.19,28.21,733790,878525804.0,0.0,0.39
2010-07-12,929.81,929.81,929.81,929.81,2.02,18.37,730889,842287175.0,0.0,0.39
2010-07-13,911.84,911.84,911.84,911.84,-1.93,-17.97,477601,555256836.0,0.0,0.25
2010-07-14,928.38,928.38,928.38,928.38,1.81,16.54,675835,815878080.0,0.0,0.36
2010-07-15,898.75,898.75,898.75,898.75,-3.19,-29.63,359862,517783059.0,0.0,0.19
2010-07-16,889.61,889.61,889.61,889.61,-1.02,-9.14,404099,607659908.0,0.0,0.21
2010-07-19,908.85,908.85,908.85,908.85,2.16,19.24,541585,652671061.0,0.0,0.29
2010-07-20,936.69,936.69,936.69,936.69,3.06,27.84,901522,1106453271.0,0.0,0.48
2010-07-21,939.63,939.63,939.63,939.63,0.31,2.94,867053,1059862970.0,0.0,0.46
2010-07-22,944.28,944.28,944.28,944.28,0.49,4.65,671670,836473378.0,0.0,0.35
2010-07-23,961.73,961.73,961.73,961.73,1.85,17.45,1109989,1518783183.0,0.0,0.59
2010-07-26,967.51,967.51,967.51,967.51,0.6,5.78,851512,1140661743.0,0.0,0.45
2010-07-27,961.16,961.16,961.16,961.16,-0.66,-6.35,773462,1018198992.0,0.0,0.41
2010-07-28,984.51,984.51,984.51,984.51,2.43,23.35,922378,1141811311.0,0.0,0.49
2010-07-29,992.68,992.68,992.68,992.68,0.83,8.17,1049044,1371859788.0,0.0,0.55
2010-07-30,1012.09,1012.09,1012.09,1012.09,1.96,19.41,1201505,1801045025.0,0.0,0.63
2010-08-02,1030.02,1030.02,1030.02,1030.02,1.77,17.93,1183781,1665473315.0,0.0,0.62
2010-08-03,1008.13,1008.13,1008.13,1008.13,-2.13,-21.89,1061257,1441711870.0,0.0,0.56
2010-08-04,1049.57,1049.57,1049.57,1049.57,4.11,41.44,1223456,1724865015.0,0.0,0.65
2010-08-05,1062.5,1062.5,1062.5,1062.5,1.23,12.93,1629574,2217112430.0,0.0,0.86
2010-08-06,1107.04,1107.04,1107.04,1107.04,4.19,44.54,2645712,3560046637.0,0.0,1.4
2010-08-09,1139.08,1139.08,1139.08,1139.08,2.89,32.04,3281136,3998924545.0,0.0,1.73
2010-08-10,1100.29,1100.29,1100.29,1100.29,-3.41,-38.79,1974472,2621215902.0,0.0,1.04
2010-08-11,1103.12,1103.12,1103.12,1103.12,0.26,2.83,1436183,1844195450.0,0.0,0.76
2010-08-12,1082.31,1082.31,1082.31,1082.31,-1.89,-20.81,1493448,1968963945.0,0.0,0.79
2010-08-13,1096.25,1096.25,1096.25,1096.25,1.29,13.94,1099731,1475716671.0,0.0,0.58
2010-08-16,1118.08,1118.08,1118.08,1118.08,1.99,21.83,1490487,1975206979.0,0.0,0.79
2010-08-17,1111.09,1111.09,1111.09,1111.09,-0.63,-6.99,1089836,1530882551.0,0.0,0.57
2010-08-18,1111.52,1111.52,1111.52,1111.52,0.04,0.43,1164753,1743373042.0,0.0,0.61
2010-08-19,1104.37,1104.37,1104.37,1104.37,-0.64,-7.15,1019042,1485271219.0,0.0,0.54
2010-08-20,1075.07,1075.07,1075.07,1075.07,-2.65,-29.3,940641,1343621208.0,0.0,0.5
2010-08-23,1086.8,1086.8,1086.8,1086.8,1.09,11.73,700882,1024997885.0,0.0,0.37
2010-08-24,1114.04,1114.04,1114.04,1114.04,2.51,27.24,1147702,1682180111.0,0.0,0.61
