日期,开盘,收盘,最高,最低,涨跌幅,涨跌额,成交量,成交额,振幅,换手率
2010-01-04,1009.73,1009.73,1009.73,1009.73,0.97,9.73,361106,815367354.0,0.0,0.53
2010-01-05,1025.64,1025.64,1025.64,1025.64,1.58,15.91,424982,896028374.0,0.0,0.63
2010-01-06,1025.0,1025.0,1025.0,1025.0,-0.06,-0.64,440017,781449893.0,0.0,0.65
2010-01-07,1002.48,1002.48,1002.48,1002.48,-2.2,-22.52,488610,838170360.0,0.0,0.72
2010-01-08,1005.35,1005.35,1005.35,1005.35,0.29,2.87,321211,581933875.0,0.0,0.47
2010-01-11,1009.77,1009.77,1009.77,1009.77,0.44,4.42,208973,368870460.0,0.0,0.31
2010-01-12,1021.74,1021.74,1021.74,1021.74,1.19,11.97,314053,654352472.0,0.0,0.46
2010-01-13,987.57,987.57,987.57,987.57,-3.34,-34.17,320762,567427091.0,0.0,0.47
2010-01-14,1013.1,1013.1,1013.1,1013.1,2.59,25.53,226711,446695869.0,0.0,0.34
2010-01-15,1028.94,1028.94,1028.94,1028.94,1.56,15.84,270565,593479503.0,0.0,0.4
2010-01-18,1029.86,1029.86,1029.86,1029.86,0.09,0.92,285336,584226483.0,0.0,0.42
2010-01-19,1039.34,1039.34,1039.34,1039.34,0.92,9.48,334204,617161107.0,0.0,0.49
2010-01-20,1006.56,1006.56,1006.56,1006.56,-3.15,-32.78,364088,703030761.0,0.0,0.54
2010-01-21,994.86,994.86,994.86,994.86,-1.16,-11.7,231697,464134666.0,0.0,0.34
2010-01-22,958.96,958.96,958.96,958.96,-3.61,-35.9,342314,685484377.0,0.0,0.51
2010-01-25,952.89,952.89,952.89,952.89,-0.63,-6.07,154755,307441171.0,0.0,0.23
2010-01-26,930.44,930.44,930.44,930.44,-2.36,-22.45,195537,351492668.0,0.0,0.29
2010-01-27,916.87,916.87,916.87,916.87,-1.46,-13.57,167175,310457352.0,0.0,0.25
2010-01-28,915.89,915.89,915.89,915.89,-0.11,-0.98,154832,284186396.0,0.0,0.23
2010-01-29,905.74,905.74,905.74,905.74,-1.11,-10.15,228666,328356466.0,0.0,0.34
2010-02-01,856.71,856.71,856.71,856.71,-5.41,-49.03,285183,446191310.0,0.0,0.42
2010-02-02,863.33,863.33,863.33,863.33,0.77,6.62,259547,426184941.0,0.0,0.38
2010-02-03,891.04,891.04,891.04,891.04,3.21,27.71,273811,469800101.0,0.0,0.4
2010-02-04,887.03,887.03,887.03,887.03,-0.45,-4.01,212641,355964198.0,0.0,0.31
2010-02-05,867.16,867.16,867.16,867.16,-2.24,-19.87,175767,278963154.0,0.0,0.26
2010-02-08,865.69,865.69,865.69,865.69,-0.17,-1.47,176400,294838757.0,0.0,0.26
2010-02-09,896.42,896.42,896.42,896.42,3.55,30.73,350125,742993743.0,0.0,0.52
2010-02-10,897.52,897.52,897.52,897.52,0.12,1.1,243302,496594954.0,0.0,0.36
2010-02-11,925.33,925.33,925.33,925.33,3.1,27.81,372534,826998546.0,0.0,0.55
2010-02-12,928.96,928.96,928.96,928.96,0.39,3.63,220901,471392508.0,0.0,0.33
2010-02-22,920.93,920.93,920.93,920.93,-0.86,-8.03,178226,360051906.0,0.0,0.26
2010-02-23,909.95,909.95,909.95,909.95,-1.19,-10.98,171310,330613265.0,0.0,0.25
2010-02-24,926.86,926.86,926.86,926.86,1.86,16.91,179796,357072698.0,0.0,0.27
2010-02-25,947.21,947.21,947.21,947.21,2.2,20.35,268069,529155442.0,0.0,0.4
2010-02-26,934.13,934.13,934.13,934.13,-1.38,-13.08,187669,359486656.0,0.0,0.28
2010-03-01,951.0,951.0,951.0,951.0,1.81,16.87,257334,469914443.0,0.0,0.38
2010-03-02,934.18,934.18,934.18,934.18,-1.77,-16.82,201135,385556612.0,0.0,0.3
2010-03-03,959.73,959.73,959.73,959.73,2.74,25.55,425875,866079113.0,0.0,0.63
2010-03-04,939.71,939.71,939.71,939.71,-2.09,-20.02,453413,686231050.0,0.0,0.67
2010-03-05,938.25,938.25,938.25,938.25,-0.16,-1.46,250291,365864406.0,0.0,0.37
2010-03-08,940.4,940.4,940.4,940.4,0.23,2.15,201466,341874282.0,0.0,0.3
2010-03-09,949.38,949.38,949.38,949.38,0.95,8.98,234825,373537919.0,0.0,0.35
2010-03-10,953.5,953.5,953.5,953.5,0.43,4.12,327964,449475676.0,0.0,0.48
2010-03-11,975.35,975.35,975.35,975.35,2.29,21.85,363973,545669789.0,0.0,0.54
2010-03-12,956.62,956.62,956.62,956.62,-1.92,-18.73,384986,581470371.0,0.0,0.57
2010-03-15,950.29,950.29,950.29,950.29,-0.66,-6.33,262485,429339110.0,0.0,0.39
2010-03-16,960.52,960.52,960.52,960.52,1.08,10.23,248323,457224166.0,0.0,0.37
2010-03-17,974.68,974.68,974.68,974.68,1.47,14.16,334397,513257614.0,0.0,0.49
2010-03-18,977.22,977.22,977.22,977.22,0.26,2.54,124048,289494285.0,0.0,0.18
2010-03-19,1003.77,1003.77,1003.77,1003.77,2.72,26.55,746438,1290937996.0,0.0,1.1
2010-03-22,994.5,994.5,994.5,994.5,-0.92,-9.27,400122,706966784.0,0.0,0.59
2010-03-23,987.73,987.73,987.73,987.73,-0.68,-6.77,293720,571044508.0,0.0,0.43
2010-03-24,987.34,987.34,987.34,987.34,-0.04,-0.39,240119,474647048.0,0.0,0.35
2010-03-25,958.69,958.69,958.69,958.69,-2.9,-28.65,231332,440705194.0,0.0,0.34
2010-03-26,974.37,974.37,974.37,974.37,1.64,15.68,176893,359034266.0,0.0,0.26
2010-03-29,992.0,992.0,992.0,992.0,1.81,17.63,302991,648768563.0,0.0,0.45
2010-03-30,1003.51,1003.51,1003.51,1003.51,1.16,11.51,497843,1233282740.0,0.0,0.74
2010-03-31,1008.45,1008.45,1008.45,1008.45,0.49,4.94,334043,717324683.0,0.0,0.49
2010-04-01,1033.07,1033.07,1033.07,1033.07,2.44,24.62,360954,796312612.0,0.0,0.53
2010-04-02,1042.7,1042.7,1042.7,1042.7,0.93,9.63,378833,800117495.0,0.0,0.56
2010-04-06,1049.44,1049.44,1049.44,1049.44,0.65,6.74,390608,901547238.0,0.0,0.58
2010-04-07,1077.9,1077.9,1077.9,1077.9,2.71,28.46,366477,799349003.0,0.0,0.54
2010-04-08,1059.57,1059.57,1059.57,1059.57,-1.7,-18.33,425058,1011496453.0,0.0,0.63
2010-04-09,1075.32,1075.32,1075.32,1075.32,1.49,15.75,383434,950460288.0,0.0,0.57
2010-04-12,1101.34,1101.34,1101.34,1101.34,2.42,26.02,392239,953744494.0,0.0,0.58
2010-04-13,1095.3,1095.3,1095.3,1095.3,-0.55,-6.04,452196,1085617537.0,0.0,0.67
2010-04-14,1092.77,1092.77,1092.77,1092.77,-0.23,-2.53,325312,676646192.0,0.0,0.48
