日期,开盘,收盘,最高,最低,涨跌幅,涨跌额,成交量,成交额,振幅,换手率
2010-01-04,996.75,996.75,996.75,996.75,-0.33,-3.25,608819,521968844.0,0.0,2.09
2010-01-05,1014.16,1014.16,1014.16,1014.16,1.75,17.41,511837,423958466.0,0.0,1.76
2010-01-06,1006.95,1006.95,1006.95,1006.95,-0.71,-7.21,413970,351704332.0,0.0,1.42
2010-01-07,999.03,999.03,999.03,999.03,-0.79,-7.92,597323,469939502.0,0.0,2.06
2010-01-08,1005.5,1005.5,1005.5,1005.5,0.65,6.47,439089,348823744.0,0.0,1.51
2010-01-11,985.18,985.18,985.18,985.18,-2.02,-20.32,434080,342276364.0,0.0,1.49
2010-01-12,1004.01,1004.01,1004.01,1004.01,1.91,18.83,420101,340194614.0,0.0,1.45
2010-01-13,967.48,967.48,967.48,967.48,-3.64,-36.53,386332,304694960.0,0.0,1.33
2010-01-14,982.73,982.73,982.73,982.73,1.58,15.25,336329,272614551.0,0.0,1.16
2010-01-15,1014.18,1014.18,1014.18,1014.18,3.2,31.45,408261,345617398.0,0.0,1.4
2010-01-18,1041.51,1041.51,1041.51,1041.51,2.69,27.33,591157,500469429.0,0.0,2.03
2010-01-19,1054.71,1054.71,1054.71,1054.71,1.27,13.2,455576,393287976.0,0.0,1.57
2010-01-20,1030.3,1030.3,1030.3,1030.3,-2.31,-24.41,527945,439157501.0,0.0,1.82
2010-01-21,1039.77,1039.77,1039.77,1039.77,0.92,9.47,394101,330406910.0,0.0,1.36
2010-01-22,1006.37,1006.37,1006.37,1006.37,-3.21,-33.4,393427,316777234.0,0.0,1.35
2010-01-25,1001.83,1001.83,1001.83,1001.83,-0.45,-4.54,329193,269337217.0,0.0,1.13
2010-01-26,956.32,956.32,956.32,956.32,-4.54,-45.51,408928,324830869.0,0.0,1.41
2010-01-27,945.1,945.1,945.1,945.1,-1.17,-11.22,272678,207280353.0,0.0,0.94
2010-01-28,965.04,965.04,965.04,965.04,2.11,19.94,220598,167647710.0,0.0,0.76
