日期,开盘,收盘,最高,最低,涨跌幅,涨跌额,成交量,成交额,振幅,换手率
2010-01-04,998.78,998.78,998.78,998.78,-0.12,-1.22,594761,672757329.0,0.0,0.79
2010-01-05,1006.48,1006.48,1006.48,1006.48,0.77,7.7,553196,654458973.0,0.0,0.74
2010-01-06,1014.26,1014.26,1014.26,1014.26,0.77,7.78,729367,788245606.0,0.0,0.97
2010-01-07,993.61,993.61,993.61,993.61,-2.04,-20.65,699482,832691843.0,0.0,0.93
2010-01-08,982.39,982.39,982.39,982.39,-1.13,-11.22,563731,689291737.0,0.0,0.75
2010-01-11,977.34,977.34,977.34,977.34,-0.51,-5.05,672444,762948459.0,0.0,0.9
2010-01-12,1004.2,1004.2,1004.2,1004.2,2.75,26.86,637285,711496080.0,0.0,0.85
2010-01-13,1002.21,1002.21,1002.21,1002.21,-0.2,-1.99,785356,814854975.0,0.0,1.05
2010-01-14,1019.64,1019.64,1019.64,1019.64,1.74,17.43,725219,764552001.0,0.0,0.97
2010-01-15,1024.16,1024.16,1024.16,1024.16,0.44,4.52,631710,720461285.0,0.0,0.84
2010-01-18,1031.6,1031.6,1031.6,1031.6,0.73,7.44,613470,675528442.0,0.0,0.82
2010-01-19,1019.32,1019.32,1019.32,1019.32,-1.19,-12.28,501526,556703267.0,0.0,0.67
2010-01-20,961.17,961.17,961.17,961.17,-5.7,-58.15,726057,774497317.0,0.0,0.97
2010-01-21,946.58,946.58,946.58,946.58,-1.52,-14.59,527659,513411479.0,0.0,0.7
2010-01-22,917.02,917.02,917.02,917.02,-3.12,-29.56,502333,499048995.0,0.0,0.67
2010-01-25,911.91,911.91,911.91,911.91,-0.56,-5.11,246876,249635072.0,0.0,0.33
2010-01-26,870.91,870.91,870.91,870.91,-4.5,-41.0,371030,364829674.0,0.0,0.5
2010-01-27,859.0,859.0,859.0,859.0,-1.37,-11.91,253586,245502258.0,0.0,0.34
2010-01-28,866.56,866.56,866.56,866.56,0.88,7.56,242844,220944692.0,0.0,0.32
2010-01-29,869.83,869.83,869.83,869.83,0.38,3.27,375283,372426806.0,0.0,0.5
2010-02-01,836.91,836.91,836.91,836.91,-3.78,-32.92,289257,274593601.0,0.0,0.39
2010-02-02,837.06,837.06,837.06,837.06,0.02,0.15,258080,252941216.0,0.0,0.34
2010-02-03,857.4,857.4,857.4,857.4,2.43,20.34,383071,374124903.0,0.0,0.51
2010-02-04,856.72,856.72,856.72,856.72,-0.08,-0.68,356954,348824040.0,0.0,0.48
2010-02-05,829.43,829.43,829.43,829.43,-3.19,-27.29,454687,390406109.0,0.0,0.61
2010-02-08,834.86,834.86,834.86,834.86,0.65,5.43,231709,164021151.0,0.0,0.31
2010-02-09,840.36,840.36,840.36,840.36,0.66,5.5,378695,303382884.0,0.0,0.51
2010-02-10,844.36,844.36,844.36,844.36,0.48,4.0,316174,270267261.0,0.0,0.42
2010-02-11,855.25,855.25,855.25,855.25,1.29,10.89,403703,345858030.0,0.0,0.54
2010-02-12,864.1,864.1,864.1,864.1,1.03,8.85,271207,241843825.0,0.0,0.36
2010-02-22,858.87,858.87,858.87,858.87,-0.61,-5.23,294015,249477111.0,0.0,0.39
2010-02-23,866.86,866.86,866.86,866.86,0.93,7.99,374990,321785993.0,0.0,0.5
2010-02-24,892.76,892.76,892.76,892.76,2.99,25.9,554841,498971251.0,0.0,0.74
2010-02-25,898.61,898.61,898.61,898.61,0.66,5.85,643920,638790535.0,0.0,0.86
2010-02-26,904.57,904.57,904.57,904.57,0.66,5.96,467210,524121562.0,0.0,0.62
2010-03-01,910.3,910.3,910.3,910.3,0.63,5.73,374840,370258926.0,0.0,0.5
2010-03-02,908.37,908.37,908.37,908.37,-0.21,-1.93,423048,413056115.0,0.0,0.56
2010-03-03,923.39,923.39,923.39,923.39,1.65,15.02,631490,650663055.0,0.0,0.84
2010-03-04,879.32,879.32,879.32,879.32,-4.77,-44.07,486419,499647309.0,0.0,0.65
2010-03-05,881.39,881.39,881.39,881.39,0.24,2.07,443486,408150224.0,0.0,0.59
2010-03-08,888.87,888.87,888.87,888.87,0.85,7.48,382224,340467105.0,0.0,0.51
