日期,开盘,收盘,最高,最低,涨跌幅,涨跌额,成交量,成交额,振幅,换手率
2010-01-04,1004.86,1004.86,1004.86,1004.86,0.49,4.86,138620,176706219.0,0.0,0.12
2010-01-05,1013.28,1013.28,1013.28,1013.28,0.84,8.42,146490,174275418.0,0.0,0.12
2010-01-06,1028.51,1028.51,1028.51,1028.51,1.5,15.23,248221,345500312.0,0.0,0.21
2010-01-07,1014.44,1014.44,1014.44,1014.44,-1.37,-14.07,200266,287076117.0,0.0,0.17
2010-01-08,1017.56,1017.56,1017.56,1017.56,0.31,3.12,126689,184265363.0,0.0,0.11
2010-01-11,1008.68,1008.68,1008.68,1008.68,-0.87,-8.88,141517,178228923.0,0.0,0.12
2010-01-12,1031.0,1031.0,1031.0,1031.0,2.21,22.32,186165,296078730.0,0.0,0.15
2010-01-13,1018.06,1018.06,1018.06,1018.06,-1.26,-12.94,194384,253632235.0,0.0,0.16
2010-01-14,1045.42,1045.42,1045.42,1045.42,2.69,27.36,246602,314464894.0,0.0,0.21
2010-01-15,1057.2,1057.2,1057.2,1057.2,1.13,11.78,330244,361329837.0,0.0,0.27
2010-01-18,1068.22,1068.22,1068.22,1068.22,1.04,11.02,241582,308494685.0,0.0,0.2
2010-01-19,1058.55,1058.55,1058.55,1058.55,-0.91,-9.67,168221,234401115.0,0.0,0.14
2010-01-20,1011.47,1011.47,1011.47,1011.47,-4.45,-47.08,216234,294498292.0,0.0,0.18
2010-01-21,1022.48,1022.48,1022.48,1022.48,1.09,11.01,131625,171414673.0,0.0,0.11
2010-01-22,986.7,986.7,986.7,986.7,-3.5,-35.78,136722,181454832.0,0.0,0.11
2010-01-25,967.4,967.4,967.4,967.4,-1.96,-19.3,83154,103934118.0,0.0,0.07
2010-01-26,933.01,933.01,933.01,933.01,-3.55,-34.39,103607,125093471.0,0.0,0.09
2010-01-27,924.97,924.97,924.97,924.97,-0.86,-8.04,81062,94514667.0,0.0,0.07
2010-01-28,932.78,932.78,932.78,932.78,0.84,7.81,52810,59138963.0,0.0,0.04
2010-01-29,934.96,934.96,934.96,934.96,0.23,2.18,61374,74739722.0,0.0,0.05
2010-02-01,911.16,911.16,911.16,911.16,-2.55,-23.8,75149,97390833.0,0.0,0.06
2010-02-02,914.28,914.28,914.28,914.28,0.34,3.12,69999,86017692.0,0.0,0.06
2010-02-03,916.75,916.75,916.75,916.75,0.27,2.47,156114,263634140.0,0.0,0.13
2010-02-04,928.23,928.23,928.23,928.23,1.25,11.48,160512,204420807.0,0.0,0.13
2010-02-05,930.8,930.8,930.8,930.8,0.28,2.57,138838,181640775.0,0.0,0.12
2010-02-08,937.57,937.57,937.57,937.57,0.73,6.77,92426,133378067.0,0.0,0.08
2010-02-09,938.62,938.62,938.62,938.62,0.11,1.05,61509,72295810.0,0.0,0.05
2010-02-10,959.23,959.23,959.23,959.23,2.2,20.61,67876,128530419.0,0.0,0.06
2010-02-11,956.69,956.69,956.69,956.69,-0.26,-2.54,49611,79946153.0,0.0,0.04
2010-02-12,965.07,965.07,965.07,965.07,0.88,8.38,101686,130949273.0,0.0,0.08
2010-02-22,958.53,958.53,958.53,958.53,-0.68,-6.54,101399,115189262.0,0.0,0.08
