日期,开盘,收盘,最高,最低,涨跌幅,涨跌额,成交量,成交额,振幅,换手率
2010-01-04,1002.93,1002.93,1002.93,1002.93,0.29,2.93,813907,782121177.0,0.0,0.42
2010-01-05,1017.9,1017.9,1017.9,1017.9,1.49,14.97,895588,847175678.0,0.0,0.46
2010-01-06,1014.45,1014.45,1014.45,1014.45,-0.34,-3.45,833806,768843360.0,0.0,0.43
2010-01-07,990.99,990.99,990.99,990.99,-2.31,-23.46,888979,802082471.0,0.0,0.46
2010-01-08,993.71,993.71,993.71,993.71,0.27,2.72,617748,565425160.0,0.0,0.32
2010-01-11,1013.85,1013.85,1013.85,1013.85,2.03,20.14,927710,921464806.0,0.0,0.48
2010-01-12,1050.03,1050.03,1050.03,1050.03,3.57,36.18,1731665,1745797138.0,0.0,0.9
2010-01-13,1051.47,1051.47,1051.47,1051.47,0.14,1.44,1802901,1842380466.0,0.0,0.93
2010-01-14,1069.57,1069.57,1069.57,1069.57,1.72,18.1,1401754,1417801812.0,0.0,0.73
2010-01-15,1081.6,1081.6,1081.6,1081.6,1.12,12.03,1294352,1420672780.0,0.0,0.67
2010-01-18,1100.03,1100.03,1100.03,1100.03,1.7,18.43,1091818,1131714655.0,0.0,0.56
2010-01-19,1103.51,1103.51,1103.51,1103.51,0.32,3.48,1378995,1417711602.0,0.0,0.71
2010-01-20,1061.72,1061.72,1061.72,1061.72,-3.79,-41.79,1359107,1313033325.0,0.0,0.7
2010-01-21,1067.81,1067.81,1067.81,1067.81,0.57,6.09,844985,847322581.0,0.0,0.44
2010-01-22,1037.02,1037.02,1037.02,1037.02,-2.88,-30.79,1220396,1180800833.0,0.0,0.63
2010-01-25,1025.16,1025.16,1025.16,1025.16,-1.14,-11.86,502944,473347511.0,0.0,0.26
2010-01-26,974.54,974.54,974.54,974.54,-4.94,-50.62,802371,751981655.0,0.0,0.41
2010-01-27,971.26,971.26,971.26,971.26,-0.34,-3.28,535551,521731075.0,0.0,0.28
2010-01-28,982.34,982.34,982.34,982.34,1.14,11.08,460683,449310926.0,0.0,0.24
2010-01-29,985.11,985.11,985.11,985.11,0.28,2.77,591480,579336142.0,0.0,0.31
2010-02-01,965.65,965.65,965.65,965.65,-1.98,-19.46,618908,554333314.0,0.0,0.32
2010-02-02,956.79,956.79,956.79,956.79,-0.92,-8.86,506769,461085006.0,0.0,0.26
2010-02-03,975.25,975.25,975.25,975.25,1.93,18.46,769519,682292847.0,0.0,0.4
2010-02-04,991.35,991.35,991.35,991.35,1.65,16.1,894078,779945202.0,0.0,0.46
2010-02-05,974.3,974.3,974.3,974.3,-1.72,-17.05,884917,767577668.0,0.0,0.46
2010-02-08,976.09,976.09,976.09,976.09,0.18,1.79,614693,572123417.0,0.0,0.32
2010-02-09,971.99,971.99,971.99,971.99,-0.42,-4.1,448076,405610149.0,0.0,0.23
2010-02-10,987.49,987.49,987.49,987.49,1.59,15.5,594877,586000943.0,0.0,0.31
2010-02-11,983.44,983.44,983.44,983.44,-0.41,-4.05,479739,462267687.0,0.0,0.25
2010-02-12,990.3,990.3,990.3,990.3,0.7,6.86,490346,451990326.0,0.0,0.25
2010-02-22,996.8,996.8,996.8,996.8,0.66,6.5,469863,426788159.0,0.0,0.24
2010-02-23,1009.43,1009.43,1009.43,1009.43,1.27,12.63,659011,584802970.0,0.0,0.34
2010-02-24,1027.95,1027.95,1027.95,1027.95,1.83,18.52,676750,605685076.0,0.0,0.35
2010-02-25,1048.93,1048.93,1048.93,1048.93,2.04,20.98,926775,906819642.0,0.0,0.48
2010-02-26,1047.6,1047.6,1047.6,1047.6,-0.13,-1.33,1030082,1134698922.0,0.0,0.53
2010-03-01,1060.51,1060.51,1060.51,1060.51,1.23,12.91,880430,886154547.0,0.0,0.46
2010-03-02,1066.9,1066.9,1066.9,1066.9,0.6,6.39,1420408,1409348644.0,0.0,0.73
2010-03-03,1079.86,1079.86,1079.86,1079.86,1.21,12.96,2003113,2060844314.0,0.0,1.04
2010-03-04,1041.85,1041.85,1041.85,1041.85,-3.52,-38.01,1585487,1566035055.0,0.0,0.82
2010-03-05,1041.56,1041.56,1041.56,1041.56,-0.03,-0.29,1281924,1191656725.0,0.0,0.66
2010-03-08,1048.22,1048.22,1048.22,1048.22,0.64,6.66,975219,934929180.0,0.0,0.5
2010-03-09,1049.69,1049.69,1049.69,1049.69,0.14,1.47,980272,873106300.0,0.0,0.51
2010-03-10,1041.59,1041.59,1041.59,1041.59,-0.77,-8.1,1086330,1061097735.0,0.0,0.56
2010-03-11,1031.92,1031.92,1031.92,1031.92,-0.93,-9.67,699299,663266661.0,0.0,0.36
2010-03-12,1019.92,1019.92,1019.92,1019.92,-1.16,-12.0,730702,725432723.0,0.0,0.38
2010-03-15,1017.52,1017.52,1017.52,1017.52,-0.24,-2.4,683122,648934377.0,0.0,0.35
2010-03-16,1026.57,1026.57,1026.57,1026.57,0.89,9.05,764448,729541360.0,0.0,0.4
2010-03-17,1051.28,1051.28,1051.28,1051.28,2.41,24.71,977054,917549700.0,0.0,0.51
2010-03-18,1058.88,1058.88,1058.88,1058.88,0.72,7.6,1134809,1054743589.0,0.0,0.59
2010-03-19,1059.66,1059.66,1059.66,1059.66,0.07,0.78,929703,863364171.0,0.0,0.48
2010-03-22,1067.31,1067.31,1067.31,1067.31,0.72,7.65,967430,944246145.0,0.0,0.5
2010-03-23,1053.13,1053.13,1053.13,1053.13,-1.33,-14.18,813665,788873458.0,0.0,0.42
2010-03-24,1061.91,1061.91,1061.91,1061.91,0.83,8.78,1038069,958521136.0,0.0,0.54
2010-03-25,1040.9,1040.9,1040.9,1040.9,-1.98,-21.01,897996,840921582.0,0.0,0.46
2010-03-26,1051.34,1051.34,1051.34,1051.34,1.0,10.44,663077,620408997.0,0.0,0.34
2010-03-29,1058.14,1058.14,1058.14,1058.14,0.65,6.8,746263,695994211.0,0.0,0.39
2010-03-30,1068.34,1068.34,1068.34,1068.34,0.96,10.2,1038767,983635614.0,0.0,0.54
2010-03-31,1067.33,1067.33,1067.33,1067.33,-0.09,-1.01,837356,853805466.0,0.0,0.43
2010-04-01,1085.3,1085.3,1085.3,1085.3,1.68,17.97,1074527,1159778979.0,0.0,0.56
2010-04-02,1097.23,1097.23,1097.23,1097.23,1.1,11.93,1046189,1111751260.0,0.0,0.54
2010-04-06,1102.71,1102.71,1102.71,1102.71,0.5,5.48,801500,868060294.0,0.0,0.41
2010-04-07,1103.35,1103.35,1103.35,1103.35,0.06,0.64,793300,862465599.0,0.0,0.41
2010-04-08,1099.72,1099.72,1099.72,1099.72,-0.33,-3.63,1190048,1277904428.0,0.0,0.62
2010-04-09,1117.27,1117.27,1117.27,1117.27,1.6,17.55,1068391,1119710779.0,0.0,0.55
2010-04-12,1127.74,1127.74,1127.74,1127.74,0.94,10.47,1363950,1392294471.0,0.0,0.71
2010-04-13,1106.22,1106.22,1106.22,1106.22,-1.91,-21.52,1253465,1280240373.0,0.0,0.65
2010-04-14,1122.14,1122.14,1122.14,1122.14,1.44,15.92,906525,944016746.0,0.0,0.47
2010-04-15,1109.38,1109.38,1109.38,1109.38,-1.14,-12.76,854802,874472646.0,0.0,0.44
2010-04-16,1106.03,1106.03,1106.03,1106.03,-0.3,-3.35,701743,716999712.0,0.0,0.36
2010-04-19,1062.89,1062.89,1062.89,1062.89,-3.9,-43.14,940600,933714465.0,0.0,0.49
2010-04-20,1085.92,1085.92,1085.92,1085.92,2.17,23.03,1164796,1044202199.0,0.0,0.6
2010-04-21,1116.17,1116.17,1116.17,1116.17,2.79,30.25,1147133,1134281139.0,0.0,0.59
2010-04-22,1107.76,1107.76,1107.76,1107.76,-0.75,-8.41,954638,947293545.0,0.0,0.49
2010-04-23,1102.9,1102.9,1102.9,1102.9,-0.44,-4.86,1068346,1026749678.0,0.0,0.55
2010-04-26,1093.98,1093.98,1093.98,1093.98,-0.81,-8.92,933263,1269378981.0,0.0,0.48
2010-04-27,1051.6,1051.6,1051.6,1051.6,-3.87,-42.38,901237,1056710460.0,0.0,0.47
2010-04-28,1049.92,1049.92,1049.92,1049.92,-0.16,-1.68,576047,696940030.0,0.0,0.3
2010-04-29,1019.18,1019.18,1019.18,1019.18,-2.93,-30.74,930558,1021317216.0,0.0,0.48
2010-04-30,983.15,983.15,983.15,983.15,-3.54,-36.03,845357,844792004.0,0.0,0.44
2010-05-04,976.42,976.42,976.42,976.42,-0.68,-6.73,446767,476408229.0,0.0,0.23
2010-05-05,1008.7,1008.7,1008.7,1008.7,3.31,32.28,656291,670785412.0,0.0,0.34
2010-05-06,977.37,977.37,977.37,977.37,-3.11,-31.33,1180458,1224024786.0,0.0,0.61
2010-05-07,960.87,960.87,960.87,960.87,-1.69,-16.5,1406805,1460545471.0,0.0,0.73
2010-05-10,947.71,947.71,947.71,947.71,-1.37,-13.16,979811,1025477658.0,0.0,0.51
2010-05-11,928.35,928.35,928.35,928.35,-2.04,-19.36,1142404,1163073613.0,0.0,0.59
