日期,开盘,收盘,最高,最低,涨跌幅,涨跌额,成交量,成交额,振幅,换手率
2010-01-04,1011.46,1011.46,1011.46,1011.46,1.15,11.46,289578,382646114.0,0.0,0.36
2010-01-05,1031.45,1031.45,1031.45,1031.45,1.98,19.99,258704,385013357.0,0.0,0.32
2010-01-06,1007.58,1007.58,1007.58,1007.58,-2.31,-23.87,215007,302740300.0,0.0,0.27
2010-01-07,980.11,980.11,980.11,980.11,-2.73,-27.47,225803,306068536.0,0.0,0.28
2010-01-08,983.16,983.16,983.16,983.16,0.31,3.05,206016,267733183.0,0.0,0.25
2010-01-11,996.05,996.05,996.05,996.05,1.31,12.89,393459,493936839.0,0.0,0.49
2010-01-12,1027.73,1027.73,1027.73,1027.73,3.18,31.68,508631,639685960.0,0.0,0.63
2010-01-13,1053.22,1053.22,1053.22,1053.22,2.48,25.49,669999,880660683.0,0.0,0.83
2010-01-14,1077.13,1077.13,1077.13,1077.13,2.27,23.91,406537,576227140.0,0.0,0.5
2010-01-15,1078.02,1078.02,1078.02,1078.02,0.08,0.89,315680,447477618.0,0.0,0.39
2010-01-18,1092.94,1092.94,1092.94,1092.94,1.38,14.92,293196,437389602.0,0.0,0.36
2010-01-19,1072.09,1072.09,1072.09,1072.09,-1.91,-20.85,277341,394860037.0,0.0,0.34
2010-01-20,1018.94,1018.94,1018.94,1018.94,-4.96,-53.15,276867,393411402.0,0.0,0.34
2010-01-21,1036.62,1036.62,1036.62,1036.62,1.74,17.68,202258,278794766.0,0.0,0.25
2010-01-22,1038.73,1038.73,1038.73,1038.73,0.2,2.11,273444,386557692.0,0.0,0.34
2010-01-25,1012.11,1012.11,1012.11,1012.11,-2.56,-26.62,117506,162413006.0,0.0,0.15
2010-01-26,975.72,975.72,975.72,975.72,-3.6,-36.39,161649,214996913.0,0.0,0.2
2010-01-27,968.46,968.46,968.46,968.46,-0.74,-7.26,126247,165316309.0,0.0,0.16
2010-01-28,989.06,989.06,989.06,989.06,2.13,20.6,160052,199950818.0,0.0,0.2
2010-01-29,999.78,999.78,999.78,999.78,1.08,10.72,189650,241613097.0,0.0,0.23
2010-02-01,965.59,965.59,965.59,965.59,-3.42,-34.19,174707,234778074.0,0.0,0.22
2010-02-02,955.71,955.71,955.71,955.71,-1.02,-9.88,232972,302733898.0,0.0,0.29
2010-02-03,974.69,974.69,974.69,974.69,1.99,18.98,250189,314159705.0,0.0,0.31
2010-02-04,978.5,978.5,978.5,978.5,0.39,3.81,158657,203995715.0,0.0,0.2
2010-02-05,958.37,958.37,958.37,958.37,-2.06,-20.13,189134,238832804.0,0.0,0.23
2010-02-08,941.62,941.62,941.62,941.62,-1.75,-16.75,307889,358074143.0,0.0,0.38
2010-02-09,931.79,931.79,931.79,931.79,-1.04,-9.83,172415,201640642.0,0.0,0.21
2010-02-10,943.18,943.18,943.18,943.18,1.22,11.39,85581,103665674.0,0.0,0.11
2010-02-11,960.57,960.57,960.57,960.57,1.84,17.39,221995,267220872.0,0.0,0.27
2010-02-12,985.99,985.99,985.99,985.99,2.65,25.42,218265,270105782.0,0.0,0.27
2010-02-22,971.89,971.89,971.89,971.89,-1.43,-14.1,138962,174295216.0,0.0,0.17
2010-02-23,986.91,986.91,986.91,986.91,1.55,15.02,146115,184095360.0,0.0,0.18
2010-02-24,1007.48,1007.48,1007.48,1007.48,2.08,20.57,199090,263383430.0,0.0,0.25
2010-02-25,1016.11,1016.11,1016.11,1016.11,0.86,8.63,269229,353423684.0,0.0,0.33
2010-02-26,1021.18,1021.18,1021.18,1021.18,0.5,5.07,152665,207994102.0,0.0,0.19
2010-03-01,1028.19,1028.19,1028.19,1028.19,0.69,7.01,160471,223613299.0,0.0,0.2
2010-03-02,1011.48,1011.48,1011.48,1011.48,-1.63,-16.71,151409,206694033.0,0.0,0.19
2010-03-03,1015.33,1015.33,1015.33,1015.33,0.38,3.85,153588,205014936.0,0.0,0.19
2010-03-04,988.42,988.42,988.42,988.42,-2.65,-26.91,212871,282845690.0,0.0,0.26
2010-03-05,994.65,994.65,994.65,994.65,0.63,6.23,108612,142483890.0,0.0,0.13
2010-03-08,999.44,999.44,999.44,999.44,0.48,4.79,81698,107374891.0,0.0,0.1
2010-03-09,1020.54,1020.54,1020.54,1020.54,2.11,21.1,135834,183893368.0,0.0,0.17
2010-03-10,1026.95,1026.95,1026.95,1026.95,0.63,6.41,294716,390574829.0,0.0,0.36
2010-03-11,1004.11,1004.11,1004.11,1004.11,-2.22,-22.84,181176,238874488.0,0.0,0.22
2010-03-12,996.64,996.64,996.64,996.64,-0.74,-7.47,126271,169353968.0,0.0,0.16
2010-03-15,975.0,975.0,975.0,975.0,-2.17,-21.64,181880,227001396.0,0.0,0.22
2010-03-16,981.99,981.99,981.99,981.99,0.72,6.99,92733,120651789.0,0.0,0.11
2010-03-17,1013.11,1013.11,1013.11,1013.11,3.17,31.12,194678,257455073.0,0.0,0.24
2010-03-18,1019.84,1019.84,1019.84,1019.84,0.66,6.73,214013,298046241.0,0.0,0.26
2010-03-19,1040.71,1040.71,1040.71,1040.71,2.05,20.87,184873,280851002.0,0.0,0.23
2010-03-22,1054.63,1054.63,1054.63,1054.63,1.34,13.92,275670,384740502.0,0.0,0.34
2010-03-23,1055.55,1055.55,1055.55,1055.55,0.09,0.92,264623,364429375.0,0.0,0.33
2010-03-24,1056.41,1056.41,1056.41,1056.41,0.08,0.86,241855,328699325.0,0.0,0.3
2010-03-25,1050.99,1050.99,1050.99,1050.99,-0.51,-5.42,187083,258888800.0,0.0,0.23
2010-03-26,1074.27,1074.27,1074.27,1074.27,2.22,23.28,212756,328674021.0,0.0,0.26
2010-03-29,1076.26,1076.26,1076.26,1076.26,0.19,1.99,196281,312159307.0,0.0,0.24
2010-03-30,1075.17,1075.17,1075.17,1075.17,-0.1,-1.09,139048,203243406.0,0.0,0.17
2010-03-31,1072.03,1072.03,1072.03,1072.03,-0.29,-3.14,164408,238687134.0,0.0,0.2
2010-04-01,1110.49,1110.49,1110.49,1110.49,3.59,38.46,368436,526771529.0,0.0,0.46
2010-04-02,1109.53,1109.53,1109.53,1109.53,-0.09,-0.96,215329,323767335.0,0.0,0.27
2010-04-06,1119.67,1119.67,1119.67,1119.67,0.91,10.14,25529,58723838.0,0.0,0.03
2010-04-07,1101.25,1101.25,1101.25,1101.25,-1.65,-18.42,255030,357367497.0,0.0,0.32
2010-04-08,1109.92,1109.92,1109.92,1109.92,0.79,8.67,213615,313798090.0,0.0,0.26
2010-04-09,1122.44,1122.44,1122.44,1122.44,1.13,12.52,193015,282023531.0,0.0,0.24
2010-04-12,1140.2,1140.2,1140.2,1140.2,1.58,17.76,225612,342005960.0,0.0,0.28
2010-04-13,1132.62,1132.62,1132.62,1132.62,-0.66,-7.58,395182,586993561.0,0.0,0.49
2010-04-14,1135.38,1135.38,1135.38,1135.38,0.24,2.76,213638,319532712.0,0.0,0.26
2010-04-15,1114.06,1114.06,1114.06,1114.06,-1.88,-21.32,23088,52114816.0,0.0,0.03
2010-04-16,1097.96,1097.96,1097.96,1097.96,-1.45,-16.1,200961,279881216.0,0.0,0.25
2010-04-19,1062.66,1062.66,1062.66,1062.66,-3.22,-35.3,202557,288397385.0,0.0,0.25
2010-04-20,1071.65,1071.65,1071.65,1071.65,0.85,8.99,194876,269759917.0,0.0,0.24
2010-04-21,1113.9,1113.9,1113.9,1113.9,3.94,42.25,266297,378074189.0,0.0,0.33
2010-04-22,1129.91,1129.91,1129.91,1129.91,1.44,16.01,449219,882737091.0,0.0,0.55
2010-04-23,1111.81,1111.81,1111.81,1111.81,-1.6,-18.1,380925,669612676.0,0.0,0.47
2010-04-26,1087.98,1087.98,1087.98,1087.98,-2.14,-23.83,250983,440858049.0,0.0,0.31
2010-04-27,1051.47,1051.47,1051.47,1051.47,-3.36,-36.51,271597,439990418.0,0.0,0.34
2010-04-28,1062.39,1062.39,1062.39,1062.39,1.04,10.92,245915,405815850.0,0.0,0.3
2010-04-29,1025.04,1025.04,1025.04,1025.04,-3.52,-37.35,251062,401124179.0,0.0,0.31
2010-04-30,977.95,977.95,977.95,977.95,-4.59,-47.09,307736,418821749.0,0.0,0.38
2010-05-04,970.66,970.66,970.66,970.66,-0.75,-7.29,95064,141769171.0,0.0,0.12
2010-05-05,999.22,999.22,999.22,999.22,2.94,28.56,153905,218576641.0,0.0,0.19
2010-05-06,953.79,953.79,953.79,953.79,-4.55,-45.43,236458,313052348.0,0.0,0.29
2010-05-07,914.52,914.52,914.52,914.52,-4.12,-39.27,284982,341270512.0,0.0,0.35
2010-05-10,859.05,859.05,859.05,859.05,-6.07,-55.47,370031,436870425.0,0.0,0.46
2010-05-11,841.94,841.94,841.94,841.94,-1.99,-17.11,322938,371373184.0,0.0,0.4
2010-05-12,826.73,826.73,826.73,826.73,-1.81,-15.21,236765,262636820.0,0.0,0.29
2010-05-13,869.06,869.06,869.06,869.06,5.12,42.33,376389,408928286.0,0.0,0.46
2010-05-14,870.7,870.7,870.7,870.7,0.19,1.64,273790,311283882.0,0.0,0.34
2010-05-17,819.77,819.77,819.77,819.77,-5.85,-50.93,258056,288556922.0,0.0,0.32
2010-05-18,836.85,836.85,836.85,836.85,2.08,17.08,220002,249621901.0,0.0,0.27
2010-05-19,856.8,856.8,856.8,856.8,2.38,19.95,326502,377136665.0,0.0,0.4
2010-05-20,833.83,833.83,833.83,833.83,-2.68,-22.97,239948,282683583.0,0.0,0.3
2010-05-21,847.49,847.49,847.49,847.49,1.64,13.66,190690,228021256.0,0.0,0.24
2010-05-24,884.71,884.71,884.71,884.71,4.39,37.22,300286,373116599.0,0.0,0.37
2010-05-25,879.18,879.18,879.18,879.18,-0.63,-5.53,193251,248429356.0,0.0,0.24
2010-05-26,880.82,880.82,880.82,880.82,0.19,1.64,89118,105768047.0,0.0,0.11
2010-05-27,903.04,903.04,903.04,903.04,2.52,22.22,149796,200785122.0,0.0,0.19
2010-05-28,903.28,903.28,903.28,903.28,0.03,0.24,36913,75036260.0,0.0,0.05
2010-05-31,864.38,864.38,864.38,864.38,-4.31,-38.9,143662,184806480.0,0.0,0.18
2010-06-01,833.27,833.27,833.27,833.27,-3.6,-31.11,188444,219613352.0,0.0,0.23
2010-06-02,840.35,840.35,840.35,840.35,0.85,7.08,134620,152968741.0,0.0,0.17
2010-06-03,837.38,837.38,837.38,837.38,-0.35,-2.97,145519,171439541.0,0.0,0.18
