日期,开盘,收盘,最高,最低,涨跌幅,涨跌额,成交量,成交额,振幅,换手率
2000-01-04,998.4,1019.17,1026.39,983.59,1.92,19.17,198988,228952000.0,4.28,0.03
2000-01-05,1018.92,1028.79,1048.22,1007.83,0.94,9.62,287864,331550000.0,3.96,0.04
2000-01-06,1022.0,1056.32,1059.94,1005.52,2.68,27.53,310499,375013000.0,5.29,0.04
2000-01-07,1062.97,1096.03,1111.67,1051.38,3.76,39.71,559723,757285000.0,5.71,0.08
2000-01-10,1100.62,1125.41,1141.72,1075.08,2.68,29.38,533374,731026000.0,6.08,0.07
2000-01-11,1124.65,1079.63,1133.41,1058.87,-4.07,-45.78,367093,492188000.0,6.62,0.05
2000-01-12,1076.48,1048.41,1092.2,1031.69,-2.89,-31.22,258941,322241000.0,5.6,0.04
2000-01-13,1047.95,1036.64,1055.71,1027.96,-1.12,-11.77,116976,142413000.0,2.65,0.02
2000-01-14,1035.09,1029.21,1051.08,1018.07,-0.72,-7.43,110309,127843000.0,3.18,0.02
2000-01-17,1024.95,1042.07,1049.42,1012.01,1.25,12.86,121257,146692000.0,3.63,0.02
2000-01-18,1046.1,1043.33,1065.46,1027.33,0.12,1.26,161567,197739000.0,3.66,0.02
2000-01-19,1041.71,1058.13,1072.71,1035.76,1.42,14.8,269507,362492000.0,3.54,0.04
2000-01-20,1059.12,1073.19,1087.63,1046.4,1.42,15.06,267174,349006000.0,3.9,0.04
2000-01-21,1076.71,1069.27,1095.36,1051.47,-0.37,-3.92,391131,516296000.0,4.09,0.05
2000-01-24,1069.51,1090.12,1099.31,1046.16,1.95,20.85,486392,650630000.0,4.97,0.07
2000-01-25,1095.66,1086.17,1121.33,1069.08,-0.36,-3.95,420464,559751000.0,4.79,0.06
2000-01-26,1084.42,1100.11,1123.04,1073.28,1.28,13.94,252802,345122000.0,4.58,0.04
2000-01-27,1103.93,1102.26,1128.63,1080.27,0.2,2.15,338919,480107000.0,4.4,0.05
2000-01-28,1106.52,1119.35,1137.1,1083.28,1.55,17.09,430459,630442000.0,4.88,0.06
2000-02-14,1164.6,1216.16,1223.14,1138.68,8.65,96.81,612329,963696000.0,7.55,0.09
2000-02-15,1228.74,1198.95,1282.36,1177.21,-1.42,-17.21,798811,1293654000.0,8.65,0.11
2000-02-16,1200.32,1200.67,1250.66,1155.73,0.14,1.72,651984,1043115000.0,7.92,0.09
2000-02-17,1213.89,1157.81,1254.6,1135.87,-3.57,-42.86,914899,1332872000.0,9.89,0.13
2000-02-18,1149.19,1177.66,1202.95,1118.03,1.71,19.85,597575,848229000.0,7.33,0.08
2000-02-21,1192.87,1220.26,1250.6,1157.21,3.62,42.6,693776,1009302000.0,7.93,0.1
2000-02-22,1230.8,1163.58,1250.92,1155.08,-4.64,-56.68,471447,674583000.0,7.85,0.07
2000-02-23,1151.94,1165.92,1188.79,1127.44,0.2,2.34,514562,668518000.0,5.27,0.07
2000-02-24,1166.97,1184.6,1200.11,1153.16,1.6,18.68,537246,712157000.0,4.03,0.07
2000-02-25,1184.17,1164.46,1198.69,1146.22,-1.7,-20.14,368456,526203000.0,4.43,0.05
2000-02-28,1163.38,1189.49,1207.95,1144.83,2.15,25.03,563171,812188000.0,5.42,0.08
2000-02-29,1205.67,1203.77,1242.41,1166.32,1.2,14.28,551517,829273000.0,6.4,0.08
2000-03-01,1226.14,1193.31,1245.43,1176.33,-0.87,-10.46,502590,760503000.0,5.74,0.07
2000-03-02,1190.45,1201.38,1228.22,1171.23,0.68,8.07,561834,821421000.0,4.78,0.08
2000-03-03,1208.77,1222.12,1258.08,1194.61,1.73,20.74,787164,1135495000.0,5.28,0.11
2000-03-06,1234.54,1194.44,1256.73,1183.8,-2.26,-27.68,971739,1317518000.0,5.97,0.14
2000-03-07,1187.69,1193.7,1213.54,1160.15,-0.06,-0.74,501648,677499000.0,4.47,0.07
2000-03-08,1198.88,1214.76,1230.83,1176.96,1.76,21.06,522833,746470000.0,4.51,0.07
2000-03-09,1217.43,1211.08,1237.46,1190.11,-0.3,-3.68,541219,809072000.0,3.9,0.08
2000-03-10,1210.66,1181.39,1223.87,1169.72,-2.45,-29.69,381418,564294000.0,4.47,0.05
2000-03-13,1179.67,1193.04,1210.48,1167.7,0.99,11.65,334802,468485000.0,3.62,0.05
2000-03-14,1179.34,1183.41,1205.85,1137.84,-0.81,-9.63,494544,679552000.0,5.7,0.07
2000-03-15,1188.94,1200.52,1224.58,1171.58,1.45,17.11,442054,645975000.0,4.48,0.06
2000-03-16,1194.24,1146.77,1201.16,1132.86,-4.48,-53.75,506994,663643000.0,5.69,0.07
2000-03-17,1146.85,1187.02,1199.15,1144.05,3.51,40.25,503421,714378000.0,4.8,0.07
2000-03-20,1175.65,1229.9,1246.65,1162.02,3.61,42.88,576238,880905000.0,7.13,0.08
2000-03-21,1233.47,1242.26,1265.5,1211.08,1.0,12.36,470701,751175000.0,4.42,0.07
2000-03-22,1241.51,1248.11,1275.22,1224.48,0.47,5.85,373523,599578000.0,4.08,0.05
2000-03-23,1254.72,1288.68,1304.74,1243.39,3.25,40.57,491427,815191000.0,4.92,0.07
2000-03-24,1309.3,1302.45,1357.22,1266.98,1.07,13.77,576673,1043203000.0,7.0,0.08
2000-03-27,1324.9,1340.95,1370.26,1295.22,2.96,38.5,560873,1013502000.0,5.76,0.08
2000-03-28,1348.87,1341.97,1375.21,1306.56,0.08,1.02,500396,851068000.0,5.12,0.07
2000-03-29,1347.75,1338.32,1374.19,1309.96,-0.27,-3.65,548774,950668000.0,4.79,0.08
2000-03-30,1343.0,1366.65,1392.27,1323.07,2.12,28.33,689889,1193572000.0,5.17,0.1
2000-03-31,1368.51,1346.64,1384.55,1326.9,-1.46,-20.01,525455,880210000.0,4.22,0.07
2000-04-03,1344.75,1333.0,1367.65,1314.68,-1.01,-13.64,576138,943332000.0,3.93,0.08
2000-04-04,1325.32,1297.92,1341.4,1280.73,-2.63,-35.08,506444,783220000.0,4.55,0.07
2000-04-05,1296.95,1309.08,1324.59,1279.01,0.86,11.16,338006,533336000.0,3.51,0.05
2000-04-06,1320.39,1334.96,1354.78,1303.61,1.98,25.88,409696,673952000.0,3.91,0.06
2000-04-07,1341.08,1334.73,1363.05,1316.01,-0.02,-0.23,454453,701218000.0,3.52,0.06
2000-04-10,1335.86,1352.19,1371.3,1312.65,1.31,17.46,567401,849911000.0,4.39,0.08
2000-04-11,1352.35,1356.45,1387.17,1331.43,0.32,4.26,581928,823274000.0,4.12,0.08
2000-04-12,1352.03,1352.12,1374.43,1328.7,-0.32,-4.33,518714,817559000.0,3.37,0.07
2000-04-13,1352.0,1359.49,1373.83,1336.09,0.55,7.37,359608,570647000.0,2.79,0.05
2000-04-14,1359.14,1353.59,1378.02,1328.74,-0.43,-5.9,362655,570499000.0,3.62,0.05
2000-04-17,1353.88,1349.27,1377.28,1315.21,-0.32,-4.32,409335,652156000.0,4.59,0.06
2000-04-18,1343.33,1368.77,1388.51,1324.76,1.45,19.5,433034,723872000.0,4.72,0.06
