日期,开盘,收盘,最高,最低,涨跌幅,涨跌额,成交量,成交额,振幅,换手率
2021-04-27,990.0,878.0,990.0,862.0,-12.2,-122.0,301038,2778314000.0,12.8,2.58
2021-04-28,899.9,931.1,943.8,872.0,6.05,53.1,201775,1836269812.0,8.18,1.73
2021-04-29,920.0,940.1,969.0,905.5,0.97,9.0,145459,1363574787.0,6.82,1.25
2021-04-30,940.0,1016.0,1019.9,925.8,8.07,75.9,145001,1407660752.0,10.01,1.24
2021-05-06,1038.9,1020.0,1051.9,997.3,0.39,4.0,110098,1127309256.0,5.37,0.94
2021-05-07,1020.0,882.3,1046.8,878.1,-13.5,-137.7,170809,1630248256.0,16.54,1.46
2021-05-10,863.0,875.0,918.5,863.0,-0.83,-7.3,98830,876211226.0,6.29,0.85
2021-05-11,850.0,856.5,883.9,821.0,-2.11,-18.5,67049,575062599.0,7.19,0.57
2021-05-12,850.0,821.6,863.7,798.9,-4.07,-34.9,87984,728530768.0,7.57,0.75
2021-05-13,807.1,881.0,898.0,806.6,7.23,59.4,79396,683714264.0,11.12,0.68
2021-05-14,890.0,888.0,905.0,866.9,0.79,7.0,56550,498459184.0,4.32,0.48
2021-05-17,880.0,944.0,951.0,880.0,6.31,56.0,77253,708694352.0,8.0,0.66
2021-05-18,933.1,946.8,972.0,926.8,0.3,2.8,45192,428053124.0,4.79,0.39
2021-05-19,938.1,933.8,958.2,916.0,-1.37,-13.0,39096,365310832.0,4.46,0.34
2021-05-20,935.0,920.0,953.8,915.4,-1.48,-13.8,42964,401344656.0,4.11,0.37
2021-05-21,925.0,905.0,937.7,897.7,-1.63,-15.0,37645,344772500.0,4.35,0.32
2021-05-24,908.1,892.0,914.8,872.1,-1.44,-13.0,40941,366475256.0,4.72,0.35
2021-05-25,890.1,948.0,949.3,885.4,6.28,56.0,54929,505284144.0,7.16,0.47
2021-05-26,950.0,957.6,986.8,939.0,1.01,9.6,50117,483269944.0,5.04,0.43
2021-05-27,964.0,952.8,964.0,927.8,-0.5,-4.8,32018,302382680.0,3.78,0.27
2021-05-28,948.0,949.6,974.7,940.0,-0.34,-3.2,27256,260035899.0,3.64,0.23
2021-05-31,910.0,921.6,942.5,904.0,-2.95,-28.0,47773,439460192.0,4.05,0.41
2021-06-01,922.0,925.0,932.7,907.1,0.37,3.4,31726,292671104.0,2.78,0.27
2021-06-02,923.0,897.8,923.0,889.3,-2.94,-27.2,25782,233256880.0,3.64,0.22
2021-06-03,895.0,897.5,909.5,881.2,-0.03,-0.3,17754,159322048.0,3.15,0.15
2021-06-04,895.0,885.0,908.0,877.5,-1.39,-12.5,21820,194662305.0,3.4,0.19
2021-06-07,885.1,954.9,959.6,885.1,7.9,69.9,47891,447682832.0,8.42,0.41
2021-06-08,950.1,961.9,970.0,935.2,0.73,7.0,31112,296189648.0,3.64,0.27
2021-06-09,961.6,1010.0,1049.4,961.6,5.0,48.1,54822,557698372.0,9.13,0.47
2021-06-10,1010.0,1030.0,1047.0,1002.0,1.98,20.0,34731,356135032.0,4.46,0.3
2021-06-11,1022.7,999.6,1063.3,999.1,-2.95,-30.4,35296,360706016.0,6.23,0.3
2021-06-15,1000.5,997.1,1037.3,984.6,-0.25,-2.5,26564,266942531.0,5.27,0.23
2021-06-16,995.0,923.4,1000.1,914.6,-7.39,-73.7,35167,334783712.0,8.57,0.3
2021-06-17,930.0,979.7,1003.3,930.0,6.1,56.3,39764,386602117.0,7.94,0.34
2021-06-18,980.0,997.8,1011.0,969.0,1.85,18.1,24879,245612670.0,4.29,0.21
2021-06-21,990.2,1020.7,1028.7,954.6,2.3,22.9,39337,391527727.0,7.43,0.34
2021-06-22,1021.1,1027.9,1035.0,1005.9,0.71,7.2,19599,200037820.0,2.85,0.17
2021-06-23,1035.8,1005.9,1035.8,999.9,-2.14,-22.0,19303,194861998.0,3.49,0.17
2021-06-24,1000.2,1015.0,1052.0,991.5,0.9,9.1,28019,287327480.0,6.01,0.24
2021-06-25,1031.1,996.0,1044.3,985.0,-1.87,-19.0,23810,238876777.0,5.84,0.2
2021-06-28,1035.1,1088.0,1123.4,1035.1,9.24,92.0,46187,495732800.0,8.87,0.4
2021-06-29,1080.6,1139.8,1150.0,1080.6,4.76,51.8,42882,482988990.0,6.38,0.37
2021-06-30,1135.0,1139.0,1145.5,1114.3,-0.07,-0.8,30979,349995646.0,2.74,0.27
2021-07-01,1129.9,1128.2,1161.7,1118.5,-0.95,-10.8,34037,387910432.0,3.79,0.29
