日期,开盘,收盘,最高,最低,涨跌幅,涨跌额,成交量,成交额,振幅,换手率
2010-01-04,999.33,999.33,999.33,999.33,-0.07,-0.67,390533,425980635.0,0.0,0.14
2010-01-05,998.59,998.59,998.59,998.59,-0.07,-0.74,475899,610157712.0,0.0,0.17
2010-01-06,993.39,993.39,993.39,993.39,-0.52,-5.2,446036,561946774.0,0.0,0.16
2010-01-07,970.27,970.27,970.27,970.27,-2.33,-23.12,484859,642850441.0,0.0,0.17
2010-01-08,979.17,979.17,979.17,979.17,0.92,8.9,333230,426973946.0,0.0,0.12
2010-01-11,980.11,980.11,980.11,980.11,0.1,0.94,308680,417599301.0,0.0,0.11
2010-01-12,1002.76,1002.76,1002.76,1002.76,2.31,22.65,457516,665485905.0,0.0,0.16
2010-01-13,983.59,983.59,983.59,983.59,-1.91,-19.17,460881,616327550.0,0.0,0.16
2010-01-14,1018.19,1018.19,1018.19,1018.19,3.52,34.6,584629,862083925.0,0.0,0.21
2010-01-15,1026.65,1026.65,1026.65,1026.65,0.83,8.46,531253,666452871.0,0.0,0.19
2010-01-18,1050.27,1050.27,1050.27,1050.27,2.3,23.62,482975,712480395.0,0.0,0.17
2010-01-19,1049.5,1049.5,1049.5,1049.5,-0.07,-0.77,472225,603905387.0,0.0,0.17
2010-01-20,1016.19,1016.19,1016.19,1016.19,-3.17,-33.31,618712,870888551.0,0.0,0.22
2010-01-21,1012.27,1012.27,1012.27,1012.27,-0.39,-3.92,348773,524849006.0,0.0,0.12
2010-01-22,977.94,977.94,977.94,977.94,-3.39,-34.33,478073,644519241.0,0.0,0.17
2010-01-25,964.31,964.31,964.31,964.31,-1.39,-13.63,197357,263020338.0,0.0,0.07
2010-01-26,930.39,930.39,930.39,930.39,-3.52,-33.92,311572,417954227.0,0.0,0.11
2010-01-27,922.11,922.11,922.11,922.11,-0.89,-8.28,226316,291678453.0,0.0,0.08
