日期,开盘,收盘,最高,最低,涨跌幅,涨跌额,成交量,成交额,振幅,换手率
2021-02-26,979.07,986.64,1010.29,963.21,-1.34,-13.36,1516919,6269064728.0,4.71,1.28
2021-03-01,990.44,1018.75,1028.94,981.19,3.25,32.11,1660658,6087682759.0,4.84,1.4
2021-03-02,1019.04,1000.56,1029.79,982.81,-1.79,-18.19,1341694,5490684676.0,4.61,1.13
2021-03-03,999.79,1015.15,1027.57,986.67,1.46,14.59,1306236,4888664256.0,4.09,1.1
2021-03-04,1009.13,991.77,1029.15,978.79,-2.3,-23.38,1375319,6820667240.0,4.96,1.16
2021-03-05,981.36,999.91,1016.07,970.19,0.82,8.14,1216458,4938355429.0,4.63,1.03
2021-03-08,1014.53,998.1,1042.95,981.29,-0.18,-1.81,2080937,7212638253.0,6.17,1.75
2021-03-09,991.29,974.42,1011.29,945.4,-2.37,-23.68,1950911,6661802101.0,6.6,1.65
2021-03-10,982.62,964.75,996.65,951.87,-0.99,-9.67,1360627,5113113983.0,4.6,1.15
2021-03-11,964.62,986.02,1000.49,951.97,2.2,21.27,1392741,7275271022.0,5.03,1.17
2021-03-12,985.93,975.31,1002.39,958.26,-1.09,-10.71,1208427,5582347213.0,4.48,1.02
2021-03-15,969.77,959.34,983.02,938.04,-1.64,-15.97,1160551,5280514502.0,4.61,0.98
2021-03-16,960.38,972.2,984.33,943.73,1.34,12.86,1118134,4752909518.0,4.23,0.94
2021-03-17,967.91,986.37,997.0,954.26,1.46,14.17,1234136,4481474391.0,4.4,1.04
2021-03-18,987.24,1021.6,1042.02,978.77,3.57,35.23,2267106,7977612153.0,6.41,1.91
2021-03-19,1008.47,1016.75,1049.24,993.26,-0.47,-4.85,2786875,6538790304.0,5.48,2.35
2021-03-22,1014.64,1023.77,1040.54,997.36,0.69,7.02,1905607,5185005901.0,4.25,1.61
2021-03-23,1024.05,996.53,1036.43,982.86,-2.66,-27.24,1703318,5866697052.0,5.23,1.44
2021-03-24,988.02,991.31,1011.04,969.91,-0.52,-5.22,1668785,4732320543.0,4.13,1.41
2021-03-25,984.29,996.47,1015.52,967.02,0.52,5.16,1513609,4634611296.0,4.89,1.28
2021-03-26,997.19,1006.99,1027.55,985.03,1.06,10.52,1851647,5199939024.0,4.27,1.56
2021-03-29,1001.82,1006.89,1026.05,984.12,-0.01,-0.1,1501243,5087652652.0,4.16,1.27
2021-03-30,1002.86,1002.54,1026.03,983.23,-0.43,-4.35,1319549,5396123564.0,4.25,1.11
2021-03-31,998.44,994.88,1015.89,977.67,-0.76,-7.66,1150799,4033860141.0,3.81,0.97
2021-04-01,992.51,1002.59,1017.32,979.61,0.77,7.71,1607311,7275601381.0,3.79,1.36
2021-04-02,1002.52,1014.36,1035.7,988.8,1.17,11.77,1607142,8153333314.0,4.68,1.36
2021-04-06,1014.33,1029.62,1045.48,1001.04,1.5,15.26,1361877,8524961723.0,4.38,1.15
2021-04-07,1028.71,1041.27,1056.81,1014.0,1.13,11.65,1501207,7324308323.0,4.16,1.27
2021-04-08,1037.73,1045.81,1069.02,1018.27,0.44,4.54,1813944,10093913613.0,4.87,1.53
2021-04-09,1041.11,1063.72,1085.25,1031.43,1.71,17.91,1746954,8355048818.0,5.15,1.47
2021-04-12,1061.96,1032.76,1081.67,1019.65,-2.91,-30.96,1906028,9701502379.0,5.83,1.61
2021-04-13,1023.54,1028.12,1054.53,1004.68,-0.45,-4.64,1574489,7557724964.0,4.83,1.33
2021-04-14,1024.61,1047.39,1060.9,1012.2,1.87,19.27,1401167,7132466906.0,4.74,1.18
2021-04-15,1053.56,1041.0,1072.69,1029.32,-0.61,-6.39,1447098,6562773699.0,4.14,1.22
2021-04-16,1038.72,1053.62,1075.03,1024.23,1.21,12.62,1684351,7217957309.0,4.88,1.42
2021-04-19,1044.27,1064.48,1078.34,1032.21,1.03,10.86,1553389,7440126328.0,4.38,1.31
2021-04-20,1062.04,1067.36,1096.86,1046.74,0.27,2.88,1698549,8945515534.0,4.71,1.43
2021-04-21,1063.0,1087.49,1104.58,1049.63,1.89,20.13,2078696,10063349833.0,5.15,1.75
2021-04-22,1093.95,1108.11,1128.84,1081.2,1.9,20.62,1821241,8876333458.0,4.38,1.54
2021-04-23,1107.45,1089.86,1123.35,1071.0,-1.65,-18.25,2586529,11206579749.0,4.72,2.18
2021-04-26,1087.86,1098.05,1132.97,1073.57,0.75,8.19,2492479,11364251194.0,5.45,2.1
2021-04-27,1093.2,1106.82,1128.76,1062.27,0.8,8.77,2282426,10136879069.0,6.06,1.92
2021-04-28,1100.95,1113.17,1139.35,1076.78,0.57,6.35,2629856,9794875398.0,5.65,2.22
2021-04-29,1103.96,1101.12,1139.63,1074.23,-1.08,-12.05,2914000,10545386605.0,5.88,2.46
2021-04-30,1095.27,1101.21,1130.22,1069.27,0.01,0.09,2121813,10029058707.0,5.54,1.79
2021-05-06,1102.76,1095.27,1134.3,1065.17,-0.54,-5.94,3261989,13102044230.0,6.28,2.75
2021-05-07,1096.27,1072.69,1116.37,1055.93,-2.06,-22.58,2845353,10882478594.0,5.52,2.4
2021-05-10,1076.12,1086.47,1111.82,1052.88,1.28,13.78,2678785,10354634222.0,5.49,2.26
2021-05-11,1081.24,1091.63,1113.49,1051.92,0.47,5.16,2724457,10405694146.0,5.67,2.3
2021-05-12,1085.54,1117.98,1130.93,1067.09,2.41,26.35,2059572,9076864175.0,5.85,1.74
2021-05-13,1113.44,1130.23,1157.27,1098.47,1.1,12.25,2546051,10749406851.0,5.26,2.15
2021-05-14,1132.15,1138.6,1161.62,1106.47,0.74,8.37,2632205,9790691309.0,4.88,2.22
2021-05-17,1129.46,1147.01,1170.28,1109.61,0.74,8.41,2105922,11422464339.0,5.33,1.78
2021-05-18,1151.69,1162.82,1183.4,1131.37,1.38,15.81,2041034,8602506412.0,4.54,1.72
2021-05-19,1159.97,1159.72,1192.19,1134.9,-0.27,-3.1,2002613,8997897858.0,4.93,1.69
