日期,开盘,收盘,最高,最低,涨跌幅,涨跌额,成交量,成交额,振幅,换手率
2010-01-04,1044.78,1044.78,1044.78,1044.78,4.48,44.78,96050,205424966.0,0.0,0.21
2010-01-05,1060.5,1060.5,1060.5,1060.5,1.5,15.72,68141,143760521.0,0.0,0.15
2010-01-06,1045.09,1045.09,1045.09,1045.09,-1.45,-15.41,43103,89901900.0,0.0,0.09
2010-01-07,1020.19,1020.19,1020.19,1020.19,-2.38,-24.9,37018,77176754.0,0.0,0.08
2010-01-08,1034.45,1034.45,1034.45,1034.45,1.4,14.26,25939,58616923.0,0.0,0.06
2010-01-11,1027.27,1027.27,1027.27,1027.27,-0.69,-7.18,31293,68161357.0,0.0,0.07
2010-01-12,1068.26,1068.26,1068.26,1068.26,3.99,40.99,54240,145197217.0,0.0,0.12
2010-01-13,1122.65,1122.65,1122.65,1122.65,5.09,54.39,127057,308180841.0,0.0,0.28
2010-01-14,1130.81,1130.81,1130.81,1130.81,0.73,8.16,92649,223492300.0,0.0,0.2
2010-01-15,1116.83,1116.83,1116.83,1116.83,-1.24,-13.98,62762,145080045.0,0.0,0.14
2010-01-18,1136.72,1136.72,1136.72,1136.72,1.78,19.89,53766,124135545.0,0.0,0.12
2010-01-19,1100.57,1100.57,1100.57,1100.57,-3.18,-36.15,59273,125850216.0,0.0,0.13
2010-01-20,1067.54,1067.54,1067.54,1067.54,-3.0,-33.03,47839,107167330.0,0.0,0.11
2010-01-21,1065.14,1065.14,1065.14,1065.14,-0.22,-2.4,81309,197514953.0,0.0,0.18
2010-01-22,1066.67,1066.67,1066.67,1066.67,0.14,1.53,75525,189288892.0,0.0,0.17
2010-01-25,1043.49,1043.49,1043.49,1043.49,-2.17,-23.18,35123,85819509.0,0.0,0.08
2010-01-26,1028.98,1028.98,1028.98,1028.98,-1.39,-14.51,30320,69732403.0,0.0,0.07
2010-01-27,1029.84,1029.84,1029.84,1029.84,0.08,0.86,40354,97956983.0,0.0,0.09
2010-01-28,1037.02,1037.02,1037.02,1037.02,0.7,7.18,34130,81419491.0,0.0,0.08
2010-01-29,1053.9,1053.9,1053.9,1053.9,1.63,16.88,53460,137128013.0,0.0,0.12
2010-02-01,1013.41,1013.41,1013.41,1013.41,-3.84,-40.49,43279,102318848.0,0.0,0.1
2010-02-02,1020.1,1020.1,1020.1,1020.1,0.66,6.69,33888,82366132.0,0.0,0.07
2010-02-03,1027.64,1027.64,1027.64,1027.64,0.74,7.54,43017,103258302.0,0.0,0.09
2010-02-04,1029.58,1029.58,1029.58,1029.58,0.19,1.94,37440,90480213.0,0.0,0.08
2010-02-05,1056.22,1056.22,1056.22,1056.22,2.59,26.64,61194,123950263.0,0.0,0.13
2010-02-08,1074.41,1074.41,1074.41,1074.41,1.72,18.19,90648,200616116.0,0.0,0.2
2010-02-09,1035.21,1035.21,1035.21,1035.21,-3.65,-39.2,48271,106215011.0,0.0,0.11
2010-02-10,1021.05,1021.05,1021.05,1021.05,-1.37,-14.16,33724,75913889.0,0.0,0.07
2010-02-11,1000.56,1000.56,1000.56,1000.56,-2.01,-20.49,29735,68023552.0,0.0,0.07
2010-02-12,1015.8,1015.8,1015.8,1015.8,1.52,15.24,16708,35525176.0,0.0,0.04
2010-02-22,1019.83,1019.83,1019.83,1019.83,0.4,4.03,22861,48182446.0,0.0,0.05
2010-02-23,1030.71,1030.71,1030.71,1030.71,1.07,10.88,31566,59647868.0,0.0,0.07
2010-02-24,1069.08,1069.08,1069.08,1069.08,3.72,38.37,65884,140045054.0,0.0,0.15
2010-02-25,1089.73,1089.73,1089.73,1089.73,1.93,20.65,56282,132372573.0,0.0,0.12
2010-02-26,1091.2,1091.2,1091.2,1091.2,0.13,1.47,51373,107486397.0,0.0,0.11
2010-03-01,1103.82,1103.82,1103.82,1103.82,1.16,12.62,45545,106125052.0,0.0,0.1
2010-03-02,1095.34,1095.34,1095.34,1095.34,-0.77,-8.48,33946,78706180.0,0.0,0.07
2010-03-03,1128.52,1128.52,1128.52,1128.52,3.03,33.18,94038,234518794.0,0.0,0.21
2010-03-04,1061.64,1061.64,1061.64,1061.64,-5.93,-66.88,49947,114380648.0,0.0,0.11
2010-03-05,1062.34,1062.34,1062.34,1062.34,0.07,0.7,28754,66587665.0,0.0,0.06
2010-03-08,1078.88,1078.88,1078.88,1078.88,1.56,16.54,25849,63643034.0,0.0,0.06
2010-03-09,1084.01,1084.01,1084.01,1084.01,0.48,5.13,33952,83760400.0,0.0,0.07
2010-03-10,1076.84,1076.84,1076.84,1076.84,-0.66,-7.17,39047,101240231.0,0.0,0.09
2010-03-11,1081.9,1081.9,1081.9,1081.9,0.47,5.06,28941,71668412.0,0.0,0.06
2010-03-12,1055.12,1055.12,1055.12,1055.12,-2.48,-26.78,46551,120611709.0,0.0,0.1
2010-03-15,1027.3,1027.3,1027.3,1027.3,-2.64,-27.82,25944,56258873.0,0.0,0.06
2010-03-16,1051.28,1051.28,1051.28,1051.28,2.33,23.98,21774,52813637.0,0.0,0.05
2010-03-17,1072.13,1072.13,1072.13,1072.13,1.98,20.85,27996,65244202.0,0.0,0.06
2010-03-18,1073.36,1073.36,1073.36,1073.36,0.11,1.23,19395,46176100.0,0.0,0.04
2010-03-19,1101.65,1101.65,1101.65,1101.65,2.64,28.29,30557,62720952.0,0.0,0.07
2010-03-22,1102.4,1102.4,1102.4,1102.4,0.07,0.75,43992,95151397.0,0.0,0.1
2010-03-23,1101.81,1101.81,1101.81,1101.81,-0.05,-0.59,34447,84168910.0,0.0,0.08
2010-03-24,1109.61,1109.61,1109.61,1109.61,0.71,7.8,39982,105897431.0,0.0,0.09
2010-03-25,1078.6,1078.6,1078.6,1078.6,-2.79,-31.01,25613,63857544.0,0.0,0.06
2010-03-26,1095.91,1095.91,1095.91,1095.91,1.6,17.31,28192,71082053.0,0.0,0.06
2010-03-29,1110.73,1110.73,1110.73,1110.73,1.35,14.82,28291,73580256.0,0.0,0.06
2010-03-30,1135.95,1135.95,1135.95,1135.95,2.27,25.22,39948,83367323.0,0.0,0.09
2010-03-31,1130.31,1130.31,1130.31,1130.31,-0.5,-5.64,49889,101473342.0,0.0,0.11
2010-04-01,1147.1,1147.1,1147.1,1147.1,1.49,16.79,38740,97686149.0,0.0,0.09
2010-04-02,1142.47,1142.47,1142.47,1142.47,-0.4,-4.63,38649,97416086.0,0.0,0.09
2010-04-06,1151.93,1151.93,1151.93,1151.93,0.83,9.46,32717,81622323.0,0.0,0.07
2010-04-07,1177.79,1177.79,1177.79,1177.79,2.24,25.86,41448,85165618.0,0.0,0.09
2010-04-08,1199.09,1199.09,1199.09,1199.09,1.81,21.3,70044,162403825.0,0.0,0.15
2010-04-09,1197.09,1197.09,1197.09,1197.09,-0.17,-2.0,41848,92470818.0,0.0,0.09
2010-04-12,1192.01,1192.01,1192.01,1192.01,-0.42,-5.08,33510,73791931.0,0.0,0.07
2010-04-13,1163.49,1163.49,1163.49,1163.49,-2.39,-28.52,42977,106645172.0,0.0,0.09
2010-04-14,1163.05,1163.05,1163.05,1163.05,-0.04,-0.44,23829,59209243.0,0.0,0.05
2010-04-15,1159.99,1159.99,1159.99,1159.99,-0.26,-3.06,29994,74539254.0,0.0,0.07
2010-04-16,1114.32,1114.32,1114.32,1114.32,-3.94,-45.67,13995,23387020.0,0.0,0.03
2010-04-19,1086.89,1086.89,1086.89,1086.89,-2.46,-27.43,36912,93877286.0,0.0,0.08
2010-04-20,1122.98,1122.98,1122.98,1122.98,3.32,36.09,31082,73342217.0,0.0,0.07
2010-04-21,1160.15,1160.15,1160.15,1160.15,3.31,37.17,36390,90353436.0,0.0,0.08
2010-04-22,1223.3,1223.3,1223.3,1223.3,5.44,63.15,21295,72621054.0,0.0,0.05
2010-04-23,1197.31,1197.31,1197.31,1197.31,-2.12,-25.99,35437,82887729.0,0.0,0.08
2010-04-26,1188.22,1188.22,1188.22,1188.22,-0.76,-9.09,17611,46234870.0,0.0,0.04
2010-04-27,1171.14,1171.14,1171.14,1171.14,-1.44,-17.08,31702,83789646.0,0.0,0.07
2010-04-28,1182.3,1182.3,1182.3,1182.3,0.95,11.16,15889,37585946.0,0.0,0.04
2010-04-29,1147.86,1147.86,1147.86,1147.86,-2.91,-34.44,15178,34547825.0,0.0,0.03
2010-04-30,1105.7,1105.7,1105.7,1105.7,-3.67,-42.16,22455,49182597.0,0.0,0.05
2010-05-04,1119.34,1119.34,1119.34,1119.34,1.23,13.64,10030,24756360.0,0.0,0.02
2010-05-05,1185.26,1185.26,1185.26,1185.26,5.89,65.92,25081,72431462.0,0.0,0.06
2010-05-06,1157.02,1157.02,1157.02,1157.02,-2.38,-28.24,19590,54339068.0,0.0,0.04
2010-05-07,1151.63,1151.63,1151.63,1151.63,-0.47,-5.39,35092,106147734.0,0.0,0.08
2010-05-10,1105.94,1105.94,1105.94,1105.94,-3.97,-45.69,27879,79537377.0,0.0,0.06
2010-05-11,1051.39,1051.39,1051.39,1051.39,-4.93,-54.55,31572,90508793.0,0.0,0.07
2010-05-12,1034.94,1034.94,1034.94,1034.94,-1.56,-16.45,19820,49195745.0,0.0,0.04
2010-05-13,1052.58,1052.58,1052.58,1052.58,1.7,17.64,17582,41269624.0,0.0,0.04
2010-05-14,1044.51,1044.51,1044.51,1044.51,-0.77,-8.07,21726,49850393.0,0.0,0.05
2010-05-17,972.35,972.35,972.35,972.35,-6.91,-72.16,17233,33967539.0,0.0,0.04
2010-05-18,991.16,991.16,991.16,991.16,1.93,18.81,23796,51838315.0,0.0,0.05
2010-05-19,988.05,988.05,988.05,988.05,-0.31,-3.11,18575,39419081.0,0.0,0.04
2010-05-20,968.53,968.53,968.53,968.53,-1.98,-19.52,13122,25096301.0,0.0,0.03
2010-05-21,983.14,983.14,983.14,983.14,1.51,14.61,15582,27051679.0,0.0,0.03
2010-05-24,1030.02,1030.02,1030.02,1030.02,4.77,46.88,30249,62690099.0,0.0,0.07
2010-05-25,1050.38,1050.38,1050.38,1050.38,1.98,20.36,33569,61083294.0,0.0,0.07
2010-05-26,1047.57,1047.57,1047.57,1047.57,-0.27,-2.81,24411,47506318.0,0.0,0.05
2010-05-27,1054.82,1054.82,1054.82,1054.82,0.69,7.25,29181,53495762.0,0.0,0.06
2010-05-28,1040.87,1040.87,1040.87,1040.87,-1.32,-13.95,25043,50310734.0,0.0,0.06
2010-05-31,1010.61,1010.61,1010.61,1010.61,-2.91,-30.26,21222,47871137.0,0.0,0.05
2010-06-01,990.98,990.98,990.98,990.98,-1.94,-19.63,16793,36258884.0,0.0,0.04
2010-06-02,1004.66,1004.66,1004.66,1004.66,1.38,13.68,13037,26211884.0,0.0,0.03
2010-06-03,1046.72,1046.72,1046.72,1046.72,4.19,42.06,29463,60463321.0,0.0,0.06
2010-06-04,1047.08,1047.08,1047.08,1047.08,0.03,0.36,16288,30019538.0,0.0,0.04
2010-06-07,1033.87,1033.87,1033.87,1033.87,-1.26,-13.21,17477,37175981.0,0.0,0.04
2010-06-08,1028.58,1028.58,1028.58,1028.58,-0.51,-5.29,17994,40247445.0,0.0,0.04
2010-06-09,1085.85,1085.85,1085.85,1085.85,5.57,57.27,43474,114513737.0,0.0,0.1
2010-06-10,1082.67,1082.67,1082.67,1082.67,-0.29,-3.18,20960,48867718.0,0.0,0.05
2010-06-11,1082.41,1082.41,1082.41,1082.41,-0.02,-0.26,18014,43887211.0,0.0,0.04
2010-06-17,1060.13,1060.13,1060.13,1060.13,-2.06,-22.28,24394,45877789.0,0.0,0.05
2010-06-18,1019.84,1019.84,1019.84,1019.84,-3.8,-40.29,20412,40663113.0,0.0,0.04
2010-06-21,1020.3,1020.3,1020.3,1020.3,0.05,0.46,26140,61979786.0,0.0,0.06
2010-06-22,1019.73,1019.73,1019.73,1019.73,-0.06,-0.57,32871,76763895.0,0.0,0.07
2010-06-23,1001.6,1001.6,1001.6,1001.6,-1.78,-18.13,22751,56197136.0,0.0,0.05
2010-06-24,1016.46,1016.46,1016.46,1016.46,1.48,14.86,19453,52431324.0,0.0,0.04
2010-06-25,999.66,999.66,999.66,999.66,-1.65,-16.8,16448,35860569.0,0.0,0.04
2010-06-28,960.12,960.12,960.12,960.12,-3.96,-39.54,18306,44306631.0,0.0,0.04
2010-06-29,900.45,900.45,900.45,900.45,-6.21,-59.67,18739,40319827.0,0.0,0.04
2010-06-30,874.99,874.99,874.99,874.99,-2.83,-25.46,15993,35477151.0,0.0,0.04
2010-07-01,883.2,883.2,883.2,883.2,0.94,8.21,21908,50681540.0,0.0,0.05
2010-07-02,897.61,897.61,897.61,897.61,1.63,14.41,15747,34865587.0,0.0,0.03
2010-07-05,911.07,911.07,911.07,911.07,1.5,13.46,14348,27781850.0,0.0,0.03
2010-07-06,931.78,931.78,931.78,931.78,2.27,20.71,22807,41000532.0,0.0,0.05
2010-07-07,927.36,927.36,927.36,927.36,-0.47,-4.42,15242,31121755.0,0.0,0.03
2010-07-08,929.18,929.18,929.18,929.18,0.2,1.82,14637,33266144.0,0.0,0.03
2010-07-09,943.69,943.69,943.69,943.69,1.56,14.51,32183,72595097.0,0.0,0.07
2010-07-12,929.36,929.36,929.36,929.36,-1.52,-14.33,31611,75668623.0,0.0,0.07
2010-07-13,913.17,913.17,913.17,913.17,-1.74,-16.19,26128,61957625.0,0.0,0.06
2010-07-14,909.31,909.31,909.31,909.31,-0.42,-3.86,20561,47912303.0,0.0,0.05
2010-07-15,920.83,920.83,920.83,920.83,1.27,11.52,40477,65679465.0,0.0,0.09
2010-07-16,957.02,957.02,957.02,957.02,3.93,36.19,62165,114274466.0,0.0,0.14
2010-07-19,963.15,963.15,963.15,963.15,0.64,6.13,46007,92412455.0,0.0,0.1
2010-07-20,991.62,991.62,991.62,991.62,2.96,28.47,57250,121694686.0,0.0,0.13
2010-07-21,986.06,986.06,986.06,986.06,-0.56,-5.56,36174,77196694.0,0.0,0.08
2010-07-22,1005.99,1005.99,1005.99,1005.99,2.02,19.93,32001,68537056.0,0.0,0.07
2010-07-23,994.25,994.25,994.25,994.25,-1.17,-11.74,24912,51830449.0,0.0,0.05
2010-07-26,1032.2,1032.2,1032.2,1032.2,3.82,37.95,43926,92986504.0,0.0,0.1
2010-07-27,1030.92,1030.92,1030.92,1030.92,-0.12,-1.28,26513,58337266.0,0.0,0.06
2010-07-28,1048.88,1048.88,1048.88,1048.88,1.74,17.96,29632,63141218.0,0.0,0.07
2010-07-29,1037.77,1037.77,1037.77,1037.77,-1.06,-11.11,25319,57348442.0,0.0,0.06
2010-07-30,1025.93,1025.93,1025.93,1025.93,-1.14,-11.84,15574,34307565.0,0.0,0.03
2010-08-02,1048.6,1048.6,1048.6,1048.6,2.21,22.67,30272,68998286.0,0.0,0.07
2010-08-03,1044.26,1044.26,1044.26,1044.26,-0.41,-4.34,12433,18169689.0,0.0,0.03
2010-08-04,1062.11,1062.11,1062.11,1062.11,1.71,17.85,29390,72528654.0,0.0,0.06
2010-08-05,1071.9,1071.9,1071.9,1071.9,0.92,9.79,29469,72390333.0,0.0,0.06
2010-08-06,1098.29,1098.29,1098.29,1098.29,2.46,26.39,32717,79786678.0,0.0,0.07
2010-08-09,1121.99,1121.99,1121.99,1121.99,2.16,23.7,43365,119414640.0,0.0,0.1
2010-08-10,1089.93,1089.93,1089.93,1089.93,-2.86,-32.06,33786,88195515.0,0.0,0.07
2010-08-11,1058.11,1058.11,1058.11,1058.11,-2.92,-31.82,105469,326152959.0,0.0,0.23
2010-08-12,1047.62,1047.62,1047.62,1047.62,-0.99,-10.49,81662,241651056.0,0.0,0.18
2010-08-13,1048.45,1048.45,1048.45,1048.45,0.08,0.83,59959,173648912.0,0.0,0.13
2010-08-16,1059.33,1059.33,1059.33,1059.33,1.04,10.88,66340,196324227.0,0.0,0.15
2010-08-17,1056.81,1056.81,1056.81,1056.81,-0.24,-2.52,70591,215286353.0,0.0,0.16
2010-08-18,1041.03,1041.03,1041.03,1041.03,-1.49,-15.78,55999,158892022.0,0.0,0.12
2010-08-19,1064.51,1064.51,1064.51,1064.51,2.26,23.48,78801,225205072.0,0.0,0.17
2010-08-20,1014.85,1014.85,1014.85,1014.85,-4.67,-49.66,81505,230005100.0,0.0,0.18
2010-08-23,1005.14,1005.14,1005.14,1005.14,-0.96,-9.71,58521,164131641.0,0.0,0.13
2010-08-24,1022.93,1022.93,1022.93,1022.93,1.77,17.79,42421,122513475.0,0.0,0.09
2010-08-25,1015.58,1015.58,1015.58,1015.58,-0.72,-7.35,42003,102010251.0,0.0,0.09
2010-08-26,1015.28,1015.28,1015.28,1015.28,-0.03,-0.3,39291,106361605.0,0.0,0.09
2010-08-27,1063.76,1063.76,1063.76,1063.76,4.78,48.48,77580,199457912.0,0.0,0.17
2010-08-30,1081.44,1081.44,1081.44,1081.44,1.66,17.68,85878,239321764.0,0.0,0.19
2010-08-31,1080.26,1080.26,1080.26,1080.26,-0.11,-1.18,59979,163502004.0,0.0,0.13
2010-09-01,1074.18,1074.18,1074.18,1074.18,-0.56,-6.08,98755,282590528.0,0.0,0.22
2010-09-02,1080.96,1080.96,1080.96,1080.96,0.63,6.78,78015,228893977.0,0.0,0.17
2010-09-03,1097.84,1097.84,1097.84,1097.84,1.56,16.88,83692,214716754.0,0.0,0.18
2010-09-06,1126.65,1126.65,1126.65,1126.65,2.62,28.81,147732,352937099.0,0.0,0.33
2010-09-07,1152.91,1152.91,1152.91,1152.91,2.33,26.26,103315,257823890.0,0.0,0.23
2010-09-08,1150.73,1150.73,1150.73,1150.73,-0.19,-2.18,81168,231399377.0,0.0,0.18
2010-09-09,1120.27,1120.27,1120.27,1120.27,-2.65,-30.46,75192,192561415.0,0.0,0.17
2010-09-10,1128.13,1128.13,1128.13,1128.13,0.7,7.86,48102,124983173.0,0.0,0.11
2010-09-13,1134.87,1134.87,1134.87,1134.87,0.6,6.74,45385,126826813.0,0.0,0.1
2010-09-14,1111.38,1111.38,1111.38,1111.38,-2.07,-23.49,45248,119919820.0,0.0,0.1
2010-09-15,1068.66,1068.66,1068.66,1068.66,-3.84,-42.72,66187,167555607.0,0.0,0.15
2010-09-16,1049.57,1049.57,1049.57,1049.57,-1.79,-19.09,38711,115351235.0,0.0,0.09
2010-09-17,1043.72,1043.72,1043.72,1043.72,-0.56,-5.85,62811,157757893.0,0.0,0.14
2010-09-20,1037.19,1037.19,1037.19,1037.19,-0.63,-6.53,40179,111042676.0,0.0,0.09
2010-09-21,1022.46,1022.46,1022.46,1022.46,-1.42,-14.73,32278,81290486.0,0.0,0.07
2010-09-27,1061.89,1061.89,1061.89,1061.89,3.86,39.43,46320,114991742.0,0.0,0.1
2010-09-28,1044.69,1044.69,1044.69,1044.69,-1.62,-17.2,31416,81302029.0,0.0,0.07
2010-09-29,1028.44,1028.44,1028.44,1028.44,-1.56,-16.25,19332,44958565.0,0.0,0.04
2010-09-30,1028.28,1028.28,1028.28,1028.28,-0.02,-0.16,30608,76152389.0,0.0,0.07
2010-10-08,1046.32,1046.32,1046.32,1046.32,1.75,18.04,39925,91329734.0,0.0,0.09
2010-10-11,1092.81,1092.81,1092.81,1092.81,4.44,46.49,106203,278026163.0,0.0,0.23
2010-10-12,1108.53,1108.53,1108.53,1108.53,1.44,15.72,88284,226013556.0,0.0,0.19
2010-10-13,1114.2,1114.2,1114.2,1114.2,0.51,5.67,76646,186463419.0,0.0,0.17
2010-10-14,1068.59,1068.59,1068.59,1068.59,-4.09,-45.61,72792,171315556.0,0.0,0.16
2010-10-15,1066.41,1066.41,1066.41,1066.41,-0.2,-2.18,86286,200294636.0,0.0,0.19
2010-10-18,1048.46,1048.46,1048.46,1048.46,-1.68,-17.95,67930,155361951.0,0.0,0.15
2010-10-19,1075.99,1075.99,1075.99,1075.99,2.63,27.53,56722,132171025.0,0.0,0.13
2010-10-20,1129.19,1129.19,1129.19,1129.19,4.94,53.2,130091,293143846.0,0.0,0.29
2010-10-21,1127.97,1127.97,1127.97,1127.97,-0.11,-1.22,92864,224056760.0,0.0,0.2
2010-10-22,1123.79,1123.79,1123.79,1123.79,-0.37,-4.18,67336,169579324.0,0.0,0.15
2010-10-25,1145.88,1145.88,1145.88,1145.88,1.97,22.09,117689,306495300.0,0.0,0.26
2010-10-26,1162.22,1162.22,1162.22,1162.22,1.43,16.34,152334,394407819.0,0.0,0.34
2010-10-27,1136.92,1136.92,1136.92,1136.92,-2.18,-25.3,87076,221550616.0,0.0,0.19
2010-10-28,1138.66,1138.66,1138.66,1138.66,0.15,1.74,55778,141177675.0,0.0,0.12
2010-10-29,1144.13,1144.13,1144.13,1144.13,0.48,5.47,49376,133183304.0,0.0,0.11
2010-11-01,1165.17,1165.17,1165.17,1165.17,1.84,21.04,95741,272182602.0,0.0,0.21
2010-11-02,1131.22,1131.22,1131.22,1131.22,-2.91,-33.95,230263,645211595.0,0.0,0.51
2010-11-03,1127.9,1127.9,1127.9,1127.9,-0.29,-3.32,109779,306058355.0,0.0,0.24
2010-11-04,1146.15,1146.15,1146.15,1146.15,1.62,18.25,119288,337043029.0,0.0,0.26
2010-11-05,1224.09,1224.09,1224.09,1224.09,6.8,77.94,228012,680164164.0,0.0,0.5
2010-11-08,1321.73,1321.73,1321.73,1321.73,7.98,97.64,109263,304860152.0,0.0,0.24
2010-11-09,1299.02,1299.02,1299.02,1299.02,-1.72,-22.71,61883,170861657.0,0.0,0.14
2010-11-10,1333.24,1333.24,1333.24,1333.24,2.63,34.22,310624,993432584.0,0.0,0.68
2010-11-11,1352.79,1352.79,1352.79,1352.79,1.47,19.55,191997,582749822.0,0.0,0.42
2010-11-12,1320.58,1320.58,1320.58,1320.58,-2.38,-32.21,179256,544126899.0,0.0,0.4
2010-11-15,1418.9,1418.9,1418.9,1418.9,7.45,98.32,185622,578098297.0,0.0,0.41
2010-11-16,1350.88,1350.88,1350.88,1350.88,-4.79,-68.02,173176,551972456.0,0.0,0.38
2010-11-17,1291.93,1291.93,1291.93,1291.93,-4.36,-58.95,116431,345561568.0,0.0,0.26
2010-11-18,1274.03,1274.03,1274.03,1274.03,-1.39,-17.9,92090,260952958.0,0.0,0.2
2010-11-19,1309.54,1309.54,1309.54,1309.54,2.79,35.51,103277,302280453.0,0.0,0.23
2010-11-22,1314.89,1314.89,1314.89,1314.89,0.41,5.35,75553,226077772.0,0.0,0.17
2010-11-23,1345.83,1345.83,1345.83,1345.83,2.35,30.94,81194,238627194.0,0.0,0.18
2010-11-24,1368.99,1368.99,1368.99,1368.99,1.72,23.16,79682,240677367.0,0.0,0.18
2010-11-25,1391.58,1391.58,1391.58,1391.58,1.65,22.59,95404,302228325.0,0.0,0.21
2010-11-26,1353.95,1353.95,1353.95,1353.95,-2.7,-37.63,47712,147332324.0,0.0,0.11
2010-11-29,1360.88,1360.88,1360.88,1360.88,0.51,6.93,64997,205926252.0,0.0,0.14
2010-11-30,1350.35,1350.35,1350.35,1350.35,-0.77,-10.53,109755,351912424.0,0.0,0.24
2010-12-01,1359.38,1359.38,1359.38,1359.38,0.67,9.03,87192,290967562.0,0.0,0.19
2010-12-02,1372.69,1372.69,1372.69,1372.69,0.98,13.31,79241,262012675.0,0.0,0.17
2010-12-03,1366.32,1366.32,1366.32,1366.32,-0.46,-6.37,112192,369336134.0,0.0,0.25
2010-12-06,1330.07,1330.07,1330.07,1330.07,-2.65,-36.25,37116,116927093.0,0.0,0.08
2010-12-07,1350.79,1350.79,1350.79,1350.79,1.56,20.72,145017,475854552.0,0.0,0.32
2010-12-08,1364.38,1364.38,1364.38,1364.38,1.01,13.59,126642,422391477.0,0.0,0.28
2010-12-09,1362.89,1362.89,1362.89,1362.89,-0.11,-1.49,81026,263149236.0,0.0,0.18
2010-12-10,1355.8,1355.8,1355.8,1355.8,-0.52,-7.09,68854,208948536.0,0.0,0.15
2010-12-13,1399.52,1399.52,1399.52,1399.52,3.22,43.72,88006,279804248.0,0.0,0.19
2010-12-14,1424.87,1424.87,1424.87,1424.87,1.81,25.35,131538,433787873.0,0.0,0.29
2010-12-15,1426.66,1426.66,1426.66,1426.66,0.13,1.79,117396,389939655.0,0.0,0.26
2010-12-16,1431.85,1431.85,1431.85,1431.85,0.36,5.19,70215,233694792.0,0.0,0.15
2010-12-17,1421.06,1421.06,1421.06,1421.06,-0.75,-10.79,42722,144590762.0,0.0,0.09
2010-12-20,1430.06,1430.06,1430.06,1430.06,0.63,9.0,131247,455114365.0,0.0,0.29
2010-12-21,1426.81,1426.81,1426.81,1426.81,-0.23,-3.25,114654,412197473.0,0.0,0.25
2010-12-22,1410.17,1410.17,1410.17,1410.17,-1.17,-16.64,99950,355231780.0,0.0,0.22
2010-12-23,1384.78,1384.78,1384.78,1384.78,-1.8,-25.39,73527,255766099.0,0.0,0.16
2010-12-24,1373.29,1373.29,1373.29,1373.29,-0.83,-11.49,49137,162097917.0,0.0,0.11
2010-12-27,1331.96,1331.96,1331.96,1331.96,-3.01,-41.33,51747,171123514.0,0.0,0.11
2010-12-28,1316.21,1316.21,1316.21,1316.21,-1.18,-15.75,54610,163899368.0,0.0,0.12
2010-12-29,1339.21,1339.21,1339.21,1339.21,1.75,23.0,50890,162851625.0,0.0,0.11
2010-12-30,1321.46,1321.46,1321.46,1321.46,-1.33,-17.75,76325,247512034.0,0.0,0.17
2010-12-31,1377.51,1377.51,1377.51,1377.51,4.24,56.05,66995,225737198.0,0.0,0.15
2011-01-04,1399.96,1399.96,1399.96,1399.96,1.63,22.45,86585,290310552.0,0.0,0.19
2011-01-05,1371.3,1371.3,1371.3,1371.3,-2.05,-28.66,56549,186568568.0,0.0,0.12
2011-01-06,1356.02,1356.02,1356.02,1356.02,-1.11,-15.28,69538,221028235.0,0.0,0.15
2011-01-07,1376.99,1376.99,1376.99,1376.99,1.55,20.97,63489,193257082.0,0.0,0.14
2011-01-10,1357.31,1357.31,1357.31,1357.31,-1.43,-19.68,71495,245830389.0,0.0,0.16
